Date,Market Cap,Volume,Open,Close
2021-10-16,"$864,373,498","$104,759,998",$1.02,N/A
2021-10-15,"$865,450,098","$89,400,793",$1.03,$1.02
2021-10-14,"$867,182,691","$92,309,940",$1.03,$1.03
2021-10-13,"$844,006,470","$97,005,496",$0.997764,$1.03
2021-10-12,"$855,129,133","$86,565,146",$1.02,$0.997764
2021-10-11,"$881,836,148","$107,878,005",$1.04,$1.02
2021-10-10,"$945,187,128","$108,980,055",$1.12,$1.04
2021-10-09,"$910,737,299","$133,720,707",$1.08,$1.12
2021-10-08,"$859,090,565","$94,657,910",$1.02,$1.08
2021-10-07,"$872,160,764","$121,959,834",$1.03,$1.02
2021-10-06,"$867,595,771","$109,863,245",$1.03,$1.03
2021-10-05,"$823,925,655","$89,294,932",$0.974156,$1.03
2021-10-04,"$850,359,831","$107,310,682",$1.01,$0.974156
2021-10-03,"$830,086,799","$83,925,890",$0.978429,$1.01
2021-10-02,"$828,319,213","$126,440,933",$0.981272,$0.978429
2021-10-01,"$752,350,179","$116,663,673",$0.895770,$0.981272
2021-09-30,"$703,303,404","$85,953,675",$0.833939,$0.895770
2021-09-29,"$691,932,102","$98,341,630",$0.816206,$0.833939
2021-09-28,"$721,327,882","$107,184,865",$0.853760,$0.816206
2021-09-27,"$762,666,207","$188,863,700",$0.893571,$0.853760
2021-09-26,"$763,905,598","$88,679,773",$0.904967,$0.893571
2021-09-25,"$774,783,216","$107,529,774",$0.906870,$0.904967
2021-09-24,"$838,389,823","$102,007,207",$0.995602,$0.906870
2021-09-23,"$807,925,839","$120,760,607",$0.959661,$0.995602
2021-09-22,"$702,874,749","$110,425,497",$0.833427,$0.959661
2021-09-21,"$766,158,015","$177,053,962",$0.910187,$0.833427
2021-09-20,"$897,689,682","$108,863,715",$1.06,$0.910187
2021-09-19,"$940,070,049","$118,067,245",$1.11,$1.06
2021-09-18,"$913,584,420","$108,298,572",$1.08,$1.11
2021-09-17,"$966,322,251","$245,113,693",$1.14,$1.08
2021-09-16,"$910,602,734","$80,856,613",$1.08,$1.14
2021-09-15,"$901,895,009","$88,096,096",$1.07,$1.08
2021-09-14,"$845,186,096","$99,402,242",$1.00,$1.07
2021-09-13,"$899,092,333","$93,888,759",$1.06,$1.00
2021-09-12,"$856,074,962","$86,360,313",$1.01,$1.06
2021-09-11,"$839,394,446","$150,270,576",$0.995656,$1.01
2021-09-10,"$887,255,397","$153,189,356",$1.05,$0.995656
2021-09-09,"$853,516,638","$228,176,275",$1.01,$1.05
2021-09-08,"$856,738,906","$187,068,429",$1.02,$1.01
2021-09-07,"$1,083,213,951","$132,972,672",$1.28,$1.02
2021-09-06,"$1,098,232,936","$158,707,391",$1.30,$1.28
2021-09-05,"$1,048,962,210","$181,048,187",$1.24,$1.30
2021-09-04,"$975,192,446","$107,086,344",$1.16,$1.24
2021-09-03,"$945,363,986","$94,563,715",$1.12,$1.16
2021-09-02,"$947,658,886","$111,444,236",$1.12,$1.12
2021-09-01,"$902,462,078","$86,965,023",$1.07,$1.12
2021-08-31,"$883,583,353","$96,582,036",$1.05,$1.07
2021-08-30,"$927,549,960","$109,737,625",$1.10,$1.05
2021-08-29,"$917,130,547","$66,932,940",$1.08,$1.10
2021-08-28,"$933,188,116","$80,501,111",$1.10,$1.08
2021-08-27,"$900,158,890","$106,958,948",$1.06,$1.10
2021-08-26,"$974,696,502","$132,569,494",$1.15,$1.06
2021-08-25,"$909,009,629","$131,057,839",$1.07,$1.15
2021-08-24,"$976,440,925","$132,631,531",$1.15,$1.07
2021-08-23,"$949,299,152","$126,181,025",$1.12,$1.15
2021-08-22,"$902,443,859","$107,312,460",$1.07,$1.12
2021-08-21,"$889,627,342","$85,953,445",$1.06,$1.07
2021-08-20,"$834,289,168","$76,538,977",$1.01,$1.06
2021-08-19,"$829,464,376","$100,151,322",$0.977660,$1.01
2021-08-18,"$834,452,050","$111,947,013",$0.983810,$0.977660
2021-08-17,"$882,893,214","$143,279,864",$1.03,$0.983810
2021-08-16,"$897,833,445","$95,803,071",$1.06,$1.03
2021-08-15,"$904,633,855","$145,112,842",$1.07,$1.06
2021-08-14,"$888,195,618","$176,716,284",$1.05,$1.07
2021-08-13,"$805,089,072","$89,554,968",$0.953757,$1.05
2021-08-12,"$838,642,733","$102,829,994",$0.993305,$0.953757
2021-08-11,"$812,535,082","$88,378,270",$0.963250,$0.993305
2021-08-10,"$800,108,188","$90,145,004",$0.954235,$0.963250
2021-08-09,"$791,889,189","$205,436,376",$0.937419,$0.954235
2021-08-08,"$777,843,437","$92,178,232",$0.930279,$0.937419
2021-08-07,"$752,787,329","$76,654,672",$0.891029,$0.930279
2021-08-06,"$754,753,917","$140,472,524",$0.891327,$0.891029
2021-08-05,"$732,685,277","$84,082,145",$0.868513,$0.891327
2021-08-04,"$713,719,528","$70,122,223",$0.847519,$0.868513
2021-08-03,"$690,869,763","$66,350,637",$0.816145,$0.847519
2021-08-02,"$659,329,782","$75,464,199",$0.782177,$0.816145
2021-08-01,"$699,557,829","$144,147,602",$0.825753,$0.782177
2021-07-31,"$659,132,433","$67,140,471",$0.778629,$0.825753
2021-07-30,"$640,479,421","$89,675,942",$0.755347,$0.778629
2021-07-29,"$595,114,662","$54,543,825",$0.706204,$0.755347
2021-07-28,"$595,615,746","$77,641,815",$0.705512,$0.706204
2021-07-27,"$570,882,057","$74,842,003",$0.674079,$0.705512
2021-07-26,"$559,333,890","$41,586,373",$0.662010,$0.674079
2021-07-25,"$554,400,432","$44,789,783",$0.659056,$0.662010
2021-07-24,"$550,023,270","$43,099,258",$0.650496,$0.659056
2021-07-23,"$540,514,363","$50,674,542",$0.640545,$0.650496
2021-07-22,"$536,165,816","$72,681,493",$0.635160,$0.640545
2021-07-21,"$465,385,469","$43,704,110",$0.549712,$0.635160
2021-07-20,"$499,659,983","$41,345,814",$0.587570,$0.549712
2021-07-19,"$529,864,975","$36,073,378",$0.627533,$0.587570
2021-07-18,"$529,352,934","$35,066,282",$0.625281,$0.627533
2021-07-17,"$520,273,868","$46,175,671",$0.617246,$0.625281
2021-07-16,"$562,600,845","$45,570,352",$0.663868,$0.617246
2021-07-15,"$604,888,640","$47,115,093",$0.716854,$0.663868
2021-07-14,"$602,020,551","$41,352,091",$0.710974,$0.716854
2021-07-13,"$636,725,453","$51,865,090",$0.753993,$0.710974
2021-07-12,"$670,427,254","$59,636,743",$0.794004,$0.753993
2021-07-11,"$671,214,306","$94,981,724",$0.793397,$0.794004
2021-07-10,"$713,571,764","$200,461,014",$0.843823,$0.793397
2021-07-09,"$644,288,791","$79,983,962",$0.768396,$0.843823
2021-07-08,"$661,866,727","$115,597,630",$0.783150,$0.768396
2021-07-07,"$602,846,588","$81,811,760",$0.711175,$0.783150
2021-07-06,"$587,870,830","$67,186,147",$0.695436,$0.711175
