Date,Market Cap,Volume,Open,Close
2021-10-16,"$589,134,527","$168,258,709",$3.25,N/A
2021-10-15,"$606,514,697","$239,715,243",$3.35,$3.25
2021-10-14,"$535,648,097","$88,765,352",$2.96,$3.35
2021-10-13,"$523,115,043","$84,353,231",$2.89,$2.96
2021-10-12,"$522,370,056","$72,850,530",$2.90,$2.89
2021-10-11,"$534,769,887","$67,210,131",$2.96,$2.90
2021-10-10,"$579,282,101","$60,447,140",$3.20,$2.96
2021-10-09,"$569,925,056","$97,344,406",$3.16,$3.20
2021-10-08,"$566,598,292","$112,873,537",$3.14,$3.16
2021-10-07,"$563,988,319","$136,345,909",$3.12,$3.14
2021-10-06,"$592,431,869","$142,191,781",$3.28,$3.12
2021-10-05,"$575,248,632","$144,918,108",$3.17,$3.28
2021-10-04,"$556,855,420","$146,898,169",$3.08,$3.17
2021-10-03,"$551,723,106","$160,543,182",$3.06,$3.08
2021-10-02,"$525,733,466","$148,317,363",$2.92,$3.06
2021-10-01,"$460,783,005","$81,525,822",$2.55,$2.92
2021-09-30,"$450,464,357","$94,021,207",$2.50,$2.55
2021-09-29,"$429,537,845","$79,007,095",$2.38,$2.50
2021-09-28,"$457,448,282","$124,459,722",$2.52,$2.38
2021-09-27,"$484,443,767","$150,293,406",$2.68,$2.52
2021-09-26,"$451,997,837","$59,183,131",$2.51,$2.68
2021-09-25,"$458,689,060","$98,840,354",$2.55,$2.51
2021-09-24,"$501,984,534","$105,166,286",$2.78,$2.55
2021-09-23,"$471,693,805","$87,593,784",$2.62,$2.78
2021-09-22,"$415,170,327","$93,783,441",$2.30,$2.62
2021-09-21,"$462,516,842","$108,524,031",$2.57,$2.30
2021-09-20,"$537,300,029","$62,078,066",$2.97,$2.57
2021-09-19,"$564,437,144","$79,786,708",$3.13,$2.97
2021-09-18,"$562,915,384","$93,909,242",$3.10,$3.13
2021-09-17,"$602,184,539","$190,647,625",$3.34,$3.10
2021-09-16,"$591,434,566","$124,125,221",$3.29,$3.34
2021-09-15,"$553,394,002","$90,436,642",$3.07,$3.29
2021-09-14,"$514,814,163","$63,000,201",$2.85,$3.07
2021-09-13,"$540,852,673","$63,327,001",$2.99,$2.85
2021-09-12,"$525,086,876","$51,466,540",$2.91,$2.99
2021-09-11,"$518,283,912","$78,901,391",$2.88,$2.91
2021-09-10,"$548,470,966","$102,157,756",$3.03,$2.88
2021-09-09,"$528,235,660","$149,480,148",$2.92,$3.03
2021-09-08,"$531,456,681","$220,036,217",$2.94,$2.92
2021-09-07,"$673,370,823","$129,832,541",$3.72,$2.94
2021-09-06,"$692,161,837","$151,008,729",$3.83,$3.72
2021-09-05,"$669,398,571","$133,803,139",$3.70,$3.83
2021-09-04,"$641,925,379","$158,642,448",$3.58,$3.70
2021-09-03,"$608,081,168","$106,653,283",$3.36,$3.58
2021-09-02,"$605,644,310","$128,118,318",$3.36,$3.36
2021-09-01,"$552,720,022","$97,606,643",$3.06,$3.36
