Date,Market Cap,Volume,Open,Close
2021-10-16,"$3,990,747,908","$204,065,698",$302.26,N/A
2021-10-15,"$4,003,004,209","$234,827,952",$303.43,$302.26
2021-10-14,"$3,929,963,618","$276,210,105",$297.48,$303.43
2021-10-13,"$3,747,497,250","$236,016,966",$283.41,$297.48
2021-10-12,"$3,810,622,301","$175,599,475",$290.81,$283.41
2021-10-11,"$3,821,222,086","$162,698,591",$289.21,$290.81
2021-10-10,"$4,062,459,586","$126,960,098",$307.98,$289.21
2021-10-09,"$4,051,881,807","$246,638,154",$306.53,$307.98
2021-10-08,"$4,037,699,625","$212,823,848",$306.66,$306.53
2021-10-07,"$4,104,524,295","$324,375,018",$312.34,$306.66
2021-10-06,"$4,073,727,192","$236,096,505",$308.27,$312.34
2021-10-05,"$3,992,431,015","$259,023,525",$301.45,$308.27
2021-10-04,"$4,105,576,786","$223,252,389",$311.12,$301.45
2021-10-03,"$4,130,149,242","$310,673,478",$313.38,$311.12
2021-10-02,"$3,975,562,005","$289,013,610",$302.07,$313.38
2021-10-01,"$3,640,908,518","$198,029,043",$276.18,$302.07
2021-09-30,"$3,490,644,071","$203,741,940",$264.87,$276.18
2021-09-29,"$3,448,398,761","$217,080,996",$260.52,$264.87
2021-09-28,"$3,637,202,284","$234,659,349",$273.85,$260.52
2021-09-27,"$3,857,114,449","$391,899,855",$292.94,$273.85
2021-09-26,"$3,639,097,640","$180,952,958",$275.84,$292.94
2021-09-25,"$3,698,600,966","$310,483,124",$280.22,$275.84
2021-09-24,"$4,067,259,386","$224,190,350",$308.45,$280.22
2021-09-23,"$3,955,939,823","$321,794,888",$301.08,$308.45
2021-09-22,"$3,520,600,411","$344,670,647",$267.86,$301.08
2021-09-21,"$3,825,424,915","$460,606,697",$291.29,$267.86
2021-09-20,"$4,493,197,006","$227,983,378",$340.64,$291.29
2021-09-19,"$4,675,766,136","$266,604,789",$355.39,$340.64
2021-09-18,"$4,686,494,589","$371,757,815",$355.64,$355.39
2021-09-17,"$5,066,546,958","$518,358,529",$384.35,$355.64
2021-09-16,"$5,416,142,919","$694,255,449",$411.81,$384.35
2021-09-15,"$5,049,680,649","$720,731,576",$383.06,$411.81
2021-09-14,"$4,383,678,511","$314,263,212",$333.21,$383.06
2021-09-13,"$4,410,610,973","$257,942,714",$334.23,$333.21
2021-09-12,"$4,305,527,053","$239,086,985",$327.04,$334.23
2021-09-11,"$4,109,463,836","$323,581,887",$312.05,$327.04
2021-09-10,"$4,401,549,365","$336,790,772",$333.57,$312.05
2021-09-09,"$4,370,472,069","$481,574,069",$331.53,$333.57
2021-09-08,"$4,587,661,353","$748,477,132",$346.85,$331.53
2021-09-07,"$5,403,617,817","$389,900,233",$410.44,$346.85
2021-09-06,"$5,475,015,995","$441,743,533",$416.53,$410.44
2021-09-05,"$5,253,363,107","$255,751,451",$398.60,$416.53
2021-09-04,"$5,185,005,486","$322,903,214",$394.77,$398.60
2021-09-03,"$5,261,286,017","$298,404,459",$400.09,$394.77
2021-09-02,"$5,403,545,584","$645,475,334",$411.57,$400.09
2021-09-01,"$5,200,036,199","$517,346,920",$393.79,$411.57
2021-08-31,"$4,703,683,346","$286,278,668",$358.98,$393.79
2021-08-30,"$4,802,277,778","$234,280,479",$365.46,$358.98
2021-08-29,"$4,805,478,878","$196,213,811",$366.19,$365.46
2021-08-28,"$4,904,301,687","$298,894,204",$372.81,$366.19
2021-08-27,"$4,692,873,733","$331,857,264",$356.08,$372.81
2021-08-26,"$5,051,685,029","$258,964,752",$384.24,$356.08
2021-08-25,"$5,009,914,671","$348,713,554",$380.87,$384.24
2021-08-24,"$5,307,882,621","$372,976,651",$407.99,$380.87
2021-08-23,"$5,220,179,599","$221,916,576",$402.02,$407.99
2021-08-22,"$5,189,098,292","$310,235,618",$400.31,$402.02
