Date,Market Cap,Volume,Open,Close
2021-10-16,"$461,585,560","$20,686,094",$1.03,N/A
2021-10-15,"$472,654,224","$13,222,295",$1.06,$1.03
2021-10-14,"$462,799,927","$18,632,324",$1.04,$1.06
2021-10-13,"$434,630,153","$12,347,786",$0.973300,$1.04
2021-10-12,"$429,187,600","$6,774,741",$0.963024,$0.973300
2021-10-11,"$390,199,546","$9,255,714",$0.962313,$0.963024
2021-10-10,"$421,130,081","$10,868,346",$1.04,$0.962313
2021-10-09,"$427,622,343","$25,102,535",$1.05,$1.04
2021-10-08,"$439,932,183","$28,438,253",$1.08,$1.05
2021-10-07,"$423,979,416","$23,907,617",$1.05,$1.08
2021-10-06,"$424,113,910","$21,874,852",$1.04,$1.05
2021-10-05,"$408,253,699","$18,839,975",$1.00,$1.04
2021-10-04,"$404,265,504","$13,865,090",$0.993761,$1.00
2021-10-03,"$403,633,832","$15,942,437",$0.992458,$0.993761
2021-10-02,"$385,295,668","$13,576,825",$0.951648,$0.992458
2021-10-01,"$352,282,446","$30,350,945",$0.866463,$0.951648
2021-09-30,"$336,130,565","$37,816,929",$0.830783,$0.866463
2021-09-29,"$320,995,592","$20,672,191",$0.789492,$0.830783
2021-09-28,"$336,185,856","$25,161,387",$0.823268,$0.789492
2021-09-27,"$345,315,801","$27,650,102",$0.850635,$0.823268
2021-09-26,"$347,706,392","$20,178,315",$0.855140,$0.850635
2021-09-25,"$353,392,015","$37,385,386",$0.871247,$0.855140
2021-09-24,"$389,056,306","$37,347,852",$0.957536,$0.871247
2021-09-23,"$372,437,577","$35,132,903",$0.921785,$0.957536
2021-09-22,"$326,233,579","$37,236,710",$0.804009,$0.921785
2021-09-21,"$358,850,954","$68,803,375",$0.887259,$0.804009
2021-09-20,"$434,589,355","$32,851,199",$1.07,$0.887259
2021-09-19,"$447,154,331","$34,184,824",$1.10,$1.07
2021-09-18,"$455,732,001","$44,068,128",$1.12,$1.10
2021-09-17,"$484,300,586","$57,507,633",$1.20,$1.12
2021-09-16,"$496,498,082","$54,122,574",$1.22,$1.20
2021-09-15,"$476,644,468","$60,844,734",$1.17,$1.22
2021-09-14,"$436,856,908","$47,358,367",$1.08,$1.17
2021-09-13,"$458,458,765","$39,040,418",$1.12,$1.08
2021-09-12,"$437,591,124","$32,442,815",$1.08,$1.12
2021-09-11,"$443,968,926","$46,675,825",$1.10,$1.08
2021-09-10,"$475,194,859","$65,453,506",$1.17,$1.10
2021-09-09,"$463,882,914","$71,532,552",$1.14,$1.17
2021-09-08,"$464,872,238","$108,843,330",$1.15,$1.14
2021-09-07,"$574,590,919","$83,471,602",$1.41,$1.15
2021-09-06,"$562,867,480","$54,719,989",$1.39,$1.41
2021-09-05,"$547,394,841","$40,771,799",$1.34,$1.39
2021-09-04,"$561,419,185","$84,375,728",$1.38,$1.34
2021-09-03,"$550,331,978","$85,454,937",$1.36,$1.38
2021-09-02,"$533,000,491","$125,040,494",$1.31,$1.36
2021-09-01,"$499,533,193","$139,207,914",$1.22,$1.31
2021-08-31,"$444,714,130","$91,911,615",$1.10,$1.22
2021-08-30,"$446,545,390","$38,908,620",$1.10,$1.10
2021-08-29,"$443,621,733","$37,302,699",$1.09,$1.10
2021-08-28,"$458,375,155","$59,769,608",$1.13,$1.09
2021-08-27,"$445,596,876","$80,919,497",$1.09,$1.13
2021-08-26,"$475,245,052","$156,862,403",$1.17,$1.09
2021-08-25,"$474,303,533","$110,554,554",$1.17,$1.17
2021-08-24,"$460,193,109","$74,890,791",$1.13,$1.17
2021-08-23,"$470,438,553","$145,741,584",$1.16,$1.13
2021-08-22,"$399,355,690","$46,834,224",$0.983089,$1.16
2021-08-21,"$417,723,083","$78,171,384",$1.03,$0.983089
2021-08-20,"$365,143,156","$49,714,876",$0.911898,$1.03
2021-08-19,"$366,883,708","$51,037,439",$0.896777,$0.911898
2021-08-18,"$372,642,582","$59,543,337",$0.908552,$0.896777
2021-08-17,"$397,189,642","$75,799,715",$0.965513,$0.908552
2021-08-16,"$408,521,234","$48,675,912",$1.01,$0.965513
2021-08-15,"$402,193,256","$53,807,047",$0.987572,$1.01
2021-08-14,"$416,763,210","$44,519,914",$1.03,$0.987572
2021-08-13,"$387,490,173","$64,280,365",$0.954372,$1.03
2021-08-12,"$403,001,694","$106,898,988",$0.993952,$0.954372
2021-08-11,"$376,192,477","$61,905,312",$0.927646,$0.993952
2021-08-10,"$325,653,788","$73,532,811",$0.955323,$0.927646
2021-08-09,"$303,465,213","$66,499,737",$0.864359,$0.955323
2021-08-08,"$329,111,069","$147,865,370",$0.938273,$0.864359
2021-08-07,"$280,297,256","$44,045,255",$0.798749,$0.938273
2021-08-06,"$289,245,764","$137,437,394",$0.812322,$0.798749
2021-08-05,"$260,225,595","$47,891,374",$0.744426,$0.812322
2021-08-04,"$230,710,927","$44,672,964",$0.651938,$0.744426
2021-08-03,"$237,237,243","$56,700,821",$0.675583,$0.651938
2021-08-02,"$236,206,189","$75,655,733",$0.674600,$0.675583
2021-08-01,"$224,570,376","$34,200,695",$0.639523,$0.674600
2021-07-31,"$223,003,763","$44,761,268",$0.635536,$0.639523
2021-07-30,"$215,112,640","$29,264,165",$0.612388,$0.635536
2021-07-29,"$209,297,356","$35,987,617",$0.596323,$0.612388
2021-07-28,"$210,709,371","$51,488,138",$0.600305,$0.596323
2021-07-27,"$216,344,592","$80,082,794",$0.614074,$0.600305
2021-07-26,"$211,036,488","$50,748,415",$0.600815,$0.614074
2021-07-25,"$208,089,113","$48,748,803",$0.593190,$0.600815
2021-07-24,"$197,486,723","$38,329,461",$0.563696,$0.593190
2021-07-23,"$196,342,202","$47,167,952",$0.559356,$0.563696
2021-07-22,"$190,290,634","$71,652,944",$0.544096,$0.559356
2021-07-21,"$175,451,540","$65,310,982",$0.498150,$0.544096
2021-07-20,"$135,209,983","$29,302,437",$0.469794,$0.498150
2021-07-19,"$148,665,920","$29,183,645",$0.518518,$0.469794
2021-07-18,"$147,090,166","$35,865,255",$0.516199,$0.518518
2021-07-17,"$152,780,399","$50,852,055",$0.534407,$0.516199
2021-07-16,"$160,643,936","$57,175,518",$0.562893,$0.534407
2021-07-15,"$176,350,737","$70,265,727",$0.617317,$0.562893
2021-07-14,"$190,801,134","$42,001,605",$0.669535,$0.617317
2021-07-13,"$215,924,205","$59,599,397",$0.756876,$0.669535
2021-07-12,"$220,051,465","$38,747,741",$0.770256,$0.756876
2021-07-11,"$216,029,665","$88,521,275",$0.756382,$0.770256
2021-07-10,"$213,175,417","$51,932,699",$0.746197,$0.756382
2021-07-09,"$210,726,947","$117,426,970",$0.742643,$0.746197
2021-07-08,"$260,597,237","$120,823,009",$0.913487,$0.742643
2021-07-07,"$223,890,291","$283,502,453",$0.783718,$0.913487
2021-07-06,"$174,681,746","$89,300,704",$0.611710,$0.783718
2021-07-05,"$151,708,772","$33,028,775",$0.531709,$0.611710
2021-07-04,"$130,919,372","$14,417,222",$0.458886,$0.531709
2021-07-03,"$127,001,450","$18,820,244",$0.445622,$0.458886
2021-07-02,"$125,357,934","$20,427,559",$0.439172,$0.445622
2021-07-01,"$136,754,963","$34,543,369",$0.480702,$0.439172
2021-06-30,"$135,423,316","$42,224,635",$0.472503,$0.480702
2021-06-29,"$119,828,023","$29,626,506",$0.419820,$0.472503
2021-06-28,"$109,027,016","$12,779,047",$0.382068,$0.419820
2021-06-27,"$101,596,113","$21,568,953",$0.357048,$0.382068
2021-06-26,"$102,944,866","$25,183,980",$0.359429,$0.357048
2021-06-25,"$112,948,191","$25,027,383",$0.395140,$0.359429
2021-06-24,"$107,220,601","$34,176,675",$0.376326,$0.395140
2021-06-23,"$94,475,245","$43,456,467",$0.332455,$0.376326
2021-06-22,"$113,995,514","$25,612,319",$0.397601,$0.332455
2021-06-21,"$154,270,497","$19,581,124",$0.540290,$0.397601
2021-06-20,"$153,541,409","$12,912,992",$0.538762,$0.540290
2021-06-19,"$159,161,943","$15,631,012",$0.556563,$0.538762
2021-06-18,"$169,789,302","$14,324,934",$0.597804,$0.556563
2021-06-17,"$168,589,720","$20,319,598",$0.589779,$0.597804
2021-06-16,"$183,460,401","$32,120,535",$0.641407,$0.589779
2021-06-15,"$178,111,777","$33,266,107",$0.624438,$0.641407
2021-06-14,"$174,689,734","$23,794,344",$0.615306,$0.624438
2021-06-13,"$168,167,927","$29,251,854",$0.584922,$0.615306
2021-06-12,"$167,752,135","$43,450,173",$0.590217,$0.584922
2021-06-11,"$190,207,550","$29,001,290",$0.661304,$0.590217
2021-06-10,"$208,633,402","$32,370,387",$0.729058,$0.661304
2021-06-09,"$193,685,527","$29,558,915",$0.676771,$0.729058
2021-06-08,"$202,800,916","$25,918,211",$0.704613,$0.676771
2021-06-07,"$225,125,268","$17,240,354",$0.788980,$0.704613
2021-06-06,"$220,926,074","$35,281,262",$0.777220,$0.788980
2021-06-05,"$236,958,807","$39,802,573",$0.828316,$0.777220
2021-06-04,"$267,675,857","$55,595,500",$0.932696,$0.828316
2021-06-03,"$240,601,979","$32,167,077",$0.841342,$0.932696
2021-06-02,"$236,268,948","$41,316,709",$0.826625,$0.841342
2021-06-01,"$247,786,572","$50,596,904",$0.867822,$0.826625
2021-05-31,"$215,797,948","$28,346,366",$0.752290,$0.867822
2021-05-30,"$203,793,107","$31,207,069",$0.705757,$0.752290
2021-05-29,"$219,986,910","$42,539,588",$0.769407,$0.705757
2021-05-28,"$255,488,203","$39,538,956",$0.894277,$0.769407
2021-05-27,"$273,151,210","$48,608,637",$0.958319,$0.894277
2021-05-26,"$244,069,785","$60,987,783",$0.852344,$0.958319
2021-05-25,"$263,313,429","$79,133,504",$0.920242,$0.852344
2021-05-24,"$187,029,118","$71,788,454",$0.661417,$0.920242
2021-05-23,"$254,528,678","$44,202,103",$0.890128,$0.661417
2021-05-22,"$294,968,801","$92,919,027",$1.04,$0.890128
2021-05-21,"$373,152,873","$82,895,003",$1.31,$1.04
2021-05-20,"$341,093,128","$141,895,789",$1.18,$1.31
2021-05-19,"$536,829,167","$76,720,372",$1.90,$1.18
2021-05-18,"$512,448,454","$93,257,019",$1.77,$1.90
2021-05-17,"$534,909,270","$83,285,313",$1.89,$1.77
2021-05-16,"$551,833,703","$101,267,674",$1.93,$1.89
2021-05-15,"$635,374,399","$146,515,109",$2.22,$1.93
2021-05-14,"$634,384,845","$469,461,064",$2.25,$2.22
2021-05-13,"$555,189,837","$312,010,689",$1.82,$2.25
2021-05-12,"$537,795,842","$72,425,902",$1.88,$1.82
2021-05-11,"$480,125,552","$65,294,969",$1.67,$1.88
2021-05-10,"$470,953,735","$68,171,796",$1.88,$1.67
2021-05-09,"$465,774,358","$129,808,252",$1.87,$1.88
2021-05-08,"$485,914,468","$87,948,927",$1.94,$1.87
2021-05-07,"$480,762,176","$82,181,970",$1.93,$1.94
2021-05-06,"$499,022,501","$84,518,590",$1.99,$1.93
2021-05-05,"$471,246,145","$129,049,386",$1.86,$1.99
2021-05-04,"$543,071,765","$146,108,318",$2.18,$1.86
2021-05-03,"$494,938,499","$112,245,786",$1.98,$2.18
2021-05-02,"$513,855,458","$199,686,097",$2.05,$1.98
2021-05-01,"$483,465,178","$255,366,915",$1.94,$2.05
2021-04-30,"$402,807,561","$132,324,603",$1.61,$1.94
2021-04-29,"$357,091,016","$82,477,742",$1.43,$1.61
2021-04-28,"$361,556,258","$98,635,081",$1.44,$1.43
2021-04-27,"$332,691,415","$91,085,489",$1.33,$1.44
2021-04-26,"$303,560,821","$66,212,378",$1.21,$1.33
2021-04-25,"$310,439,447","$73,362,112",$1.23,$1.21
2021-04-24,"$341,451,086","$156,227,436",$1.37,$1.23
2021-04-23,"$346,624,412","$154,417,446",$1.37,$1.37
2021-04-22,"$387,528,542","$184,472,450",$1.53,$1.37
2021-04-21,"$337,369,793","$167,198,011",$1.36,$1.53
2021-04-20,"$320,074,515","$118,655,299",$1.27,$1.36
2021-04-19,"$368,440,691","$232,231,172",$1.47,$1.27
2021-04-18,"$424,218,053","$190,758,387",$1.69,$1.47
2021-04-17,"$406,454,234","$146,792,761",$1.62,$1.69
2021-04-16,"$418,178,554","$190,913,141",$1.67,$1.62
2021-04-15,"$404,171,236","$157,048,190",$1.62,$1.67
2021-04-14,"$385,009,272","$123,232,738",$1.54,$1.62
2021-04-13,"$407,236,361","$161,325,038",$1.63,$1.54
2021-04-12,"$389,757,746","$132,924,797",$1.56,$1.63
2021-04-11,"$394,942,324","$163,189,770",$1.58,$1.56
2021-04-10,"$422,669,789","$120,927,234",$1.69,$1.58
2021-04-09,"$438,741,142","$123,586,325",$1.75,$1.69
2021-04-08,"$440,070,024","$133,912,563",$1.76,$1.75
2021-04-07,"$494,692,239","$170,883,397",$1.97,$1.76
2021-04-06,"$474,915,897","$140,188,284",$1.91,$1.97
2021-04-05,"$481,804,327","$102,825,130",$1.92,$1.91
2021-04-04,"$453,478,152","$148,338,992",$1.81,$1.92
2021-04-03,"$462,734,931","$91,919,126",$1.85,$1.81
2021-04-02,"$454,479,881","$102,809,323",$1.81,$1.85
2021-04-01,"$434,492,818","$108,100,906",$1.73,$1.81
2021-03-31,"$458,296,802","$103,900,175",$1.84,$1.73
2021-03-30,"$460,191,596","$94,913,516",$1.84,$1.84
2021-03-29,"$451,739,615","$93,091,476",$1.81,$1.84
2021-03-28,"$466,727,391","$89,276,444",$1.86,$1.81
2021-03-27,"$484,206,314","$150,830,413",$1.94,$1.86
2021-03-26,"$409,768,072","$147,677,591",$1.64,$1.94
2021-03-25,"$457,159,285","$300,149,209",$1.81,$1.64
2021-03-24,"$537,328,252","$300,126,517",$2.15,$1.81
2021-03-23,"$428,444,885","$117,719,451",$1.70,$2.15
2021-03-22,"$438,111,904","$87,769,823",$1.75,$1.70
2021-03-21,"$473,338,401","$134,542,107",$1.89,$1.75
2021-03-20,"$442,892,609","$89,381,842",$1.77,$1.89
2021-03-19,"$436,191,856","$107,716,264",$1.74,$1.77
