Date,Market Cap,Volume,Open,Close
2021-10-16,"$945,683,359","$39,827,503",$4.14,N/A
2021-10-15,"$917,353,704","$61,731,240",$3.99,$4.14
2021-10-14,"$893,868,572","$54,002,260",$3.90,$3.99
2021-10-13,"$874,494,158","$57,485,105",$3.81,$3.90
2021-10-12,"$884,087,749","$56,288,383",$3.90,$3.81
2021-10-11,"$874,456,555","$30,237,429",$3.84,$3.90
2021-10-10,"$911,135,554","$38,574,278",$4.01,$3.84
2021-10-09,"$897,621,832","$44,176,302",$3.93,$4.01
2021-10-08,"$903,164,653","$50,317,067",$3.94,$3.93
2021-10-07,"$917,120,354","$62,327,779",$3.99,$3.94
2021-10-06,"$904,559,938","$49,603,824",$3.94,$3.99
2021-10-05,"$876,138,702","$43,187,008",$3.82,$3.94
2021-10-04,"$888,039,034","$34,576,554",$3.88,$3.82
2021-10-03,"$874,949,111","$53,941,789",$3.81,$3.88
2021-10-02,"$875,627,246","$51,337,835",$3.77,$3.81
2021-10-01,"$806,386,720","$38,376,728",$3.47,$3.77
2021-09-30,"$772,523,417","$35,018,863",$3.33,$3.47
2021-09-29,"$764,509,345","$35,562,360",$3.27,$3.33
2021-09-28,"$801,675,584","$53,797,447",$3.43,$3.27
2021-09-27,"$837,538,012","$77,512,742",$3.54,$3.43
2021-09-26,"$809,887,004","$54,718,063",$3.49,$3.54
2021-09-25,"$814,006,640","$80,068,034",$3.45,$3.49
2021-09-24,"$858,329,900","$55,807,237",$3.70,$3.45
2021-09-23,"$832,754,903","$69,726,688",$3.59,$3.70
2021-09-22,"$759,123,979","$82,054,980",$3.26,$3.59
2021-09-21,"$814,299,488","$103,222,803",$3.51,$3.26
2021-09-20,"$922,325,875","$48,638,593",$3.97,$3.51
2021-09-19,"$944,391,855","$45,100,380",$4.07,$3.97
2021-09-18,"$941,523,250","$73,333,851",$4.05,$4.07
2021-09-17,"$979,030,896","$82,782,299",$4.21,$4.05
2021-09-16,"$990,086,085","$85,989,101",$4.27,$4.21
2021-09-15,"$963,578,044","$76,451,199",$4.15,$4.27
2021-09-14,"$912,433,549","$94,112,284",$3.92,$4.15
2021-09-13,"$952,583,652","$73,481,305",$4.09,$3.92
2021-09-12,"$913,662,550","$65,325,708",$3.92,$4.09
2021-09-11,"$902,485,716","$93,289,595",$3.88,$3.92
2021-09-10,"$956,213,235","$89,528,772",$4.11,$3.88
2021-09-09,"$961,745,083","$162,815,855",$4.11,$4.11
2021-09-08,"$959,627,707","$213,868,682",$4.14,$4.11
2021-09-07,"$1,117,072,368","$113,433,436",$4.79,$4.14
2021-09-06,"$1,102,949,242","$74,024,345",$4.75,$4.79
2021-09-05,"$1,063,589,768","$35,664,855",$4.57,$4.75
