Date,Market Cap,Volume,Open,Close
2021-10-16,"$12,422,699,585","$1,220,883,029",$27.08,N/A
2021-10-15,"$12,196,548,692","$1,360,412,069",$26.68,$27.08
2021-10-14,"$11,677,138,027","$1,044,763,607",$25.53,$26.68
2021-10-13,"$11,305,427,384","$995,123,503",$24.66,$25.53
2021-10-12,"$11,496,017,971","$853,296,324",$25.21,$24.66
2021-10-11,"$11,730,341,073","$782,901,053",$25.62,$25.21
2021-10-10,"$12,560,659,740","$910,334,743",$27.45,$25.62
2021-10-09,"$12,042,931,529","$895,901,736",$26.27,$27.45
2021-10-08,"$12,244,178,055","$1,174,576,942",$26.89,$26.27
2021-10-07,"$12,274,829,797","$1,278,611,229",$26.89,$26.89
2021-10-06,"$12,504,224,060","$965,956,925",$27.27,$26.89
2021-10-05,"$12,185,133,064","$1,010,407,962",$26.61,$27.27
2021-10-04,"$12,627,009,283","$914,842,197",$27.61,$26.61
2021-10-03,"$12,319,787,470","$975,093,496",$26.97,$27.61
2021-10-02,"$11,985,438,391","$1,209,726,617",$26.31,$26.97
2021-10-01,"$10,859,891,608","$921,098,525",$23.93,$26.31
2021-09-30,"$10,389,961,503","$959,094,246",$22.92,$23.93
2021-09-29,"$10,096,077,469","$1,014,146,026",$22.11,$22.92
2021-09-28,"$10,504,305,854","$1,033,739,203",$23.09,$22.11
2021-09-27,"$11,141,413,422","$1,800,385,252",$24.55,$23.09
2021-09-26,"$11,154,693,970","$1,294,999,923",$24.67,$24.55
2021-09-25,"$10,742,519,171","$1,546,272,258",$23.19,$24.67
2021-09-24,"$11,478,067,808","$1,156,230,797",$25.36,$23.19
2021-09-23,"$10,996,655,910","$1,305,647,884",$24.33,$25.36
2021-09-22,"$9,637,898,532","$1,613,474,202",$21.21,$24.33
2021-09-21,"$10,629,208,014","$1,744,721,051",$23.53,$21.21
2021-09-20,"$12,446,260,480","$818,519,778",$27.44,$23.53
2021-09-19,"$12,858,130,068","$969,729,588",$28.41,$27.44
2021-09-18,"$12,623,161,871","$1,290,180,004",$27.70,$28.41
2021-09-17,"$13,527,227,285","$1,614,080,006",$29.92,$27.70
2021-09-16,"$13,812,895,164","$1,812,550,197",$30.67,$29.92
2021-09-15,"$13,816,924,370","$1,828,205,385",$30.49,$30.67
2021-09-14,"$12,251,877,099","$2,018,390,346",$27.12,$30.49
2021-09-13,"$13,334,116,916","$1,381,007,876",$29.42,$27.12
2021-09-12,"$12,157,292,071","$1,030,301,995",$26.93,$29.42
2021-09-11,"$11,879,802,414","$1,724,958,547",$26.31,$26.93
2021-09-10,"$12,660,111,947","$1,933,789,042",$28.01,$26.31
2021-09-09,"$12,304,993,306","$2,465,782,008",$27.17,$28.01
2021-09-08,"$12,729,172,603","$3,627,207,146",$28.35,$27.17
2021-09-07,"$15,710,779,906","$2,433,785,072",$34.89,$28.35
2021-09-06,"$14,966,448,414","$1,509,759,931",$33.28,$34.89
2021-09-05,"$13,518,369,649","$1,075,909,712",$29.96,$33.28
2021-09-04,"$13,790,722,105","$1,555,947,905",$30.71,$29.96
2021-09-03,"$13,496,276,025","$1,554,856,448",$30.06,$30.71
2021-09-02,"$13,300,469,955","$1,771,226,270",$29.63,$30.06
2021-09-01,"$12,003,882,155","$1,432,869,187",$26.73,$29.63
2021-08-31,"$11,293,069,376","$939,632,803",$25.11,$26.73
2021-08-30,"$11,575,530,552","$702,880,214",$25.81,$25.11
2021-08-29,"$11,531,440,132","$635,236,281",$25.70,$25.81
2021-08-28,"$11,661,885,184","$1,151,616,406",$25.97,$25.70
2021-08-27,"$11,111,513,141","$1,214,280,933",$24.81,$25.97
2021-08-26,"$11,890,759,057","$1,319,105,776",$26.57,$24.81
2021-08-25,"$11,626,164,965","$1,462,081,546",$25.93,$26.57
2021-08-24,"$12,777,030,467","$1,459,998,157",$28.50,$25.93
2021-08-23,"$12,535,219,331","$1,284,691,376",$27.98,$28.50
2021-08-22,"$12,487,430,659","$1,316,807,166",$27.89,$27.98
2021-08-21,"$12,803,637,958","$1,625,996,459",$28.66,$27.89
2021-08-20,"$11,787,402,600","$1,445,504,632",$26.95,$28.66
2021-08-19,"$11,532,629,617","$1,439,444,168",$25.69,$26.95
2021-08-18,"$11,743,273,729","$1,735,916,219",$26.10,$25.69
2021-08-17,"$12,676,026,710","$1,846,650,789",$28.07,$26.10
2021-08-16,"$12,354,613,873","$950,128,281",$27.77,$28.07
2021-08-15,"$12,130,143,539","$1,104,036,409",$27.15,$27.77
2021-08-14,"$12,296,383,598","$1,109,543,009",$27.72,$27.15
2021-08-13,"$11,035,736,825","$1,148,446,157",$24.93,$27.72
2021-08-12,"$11,523,611,256","$1,384,454,668",$25.94,$24.93
2021-08-11,"$10,895,542,909","$1,082,979,491",$24.55,$25.94
2021-08-10,"$10,660,779,664","$989,277,024",$24.27,$24.55
2021-08-09,"$10,273,394,368","$900,348,797",$23.06,$24.27
2021-08-08,"$10,936,667,406","$1,028,863,967",$24.61,$23.06
2021-08-07,"$10,607,452,228","$1,088,167,820",$23.86,$24.61
2021-08-06,"$10,648,767,743","$1,105,770,147",$24.05,$23.86
2021-08-05,"$10,745,747,766","$1,193,169,797",$24.20,$24.05
2021-08-04,"$10,667,314,343","$1,415,000,503",$24.09,$24.20
2021-08-03,"$10,469,397,729","$1,174,623,506",$23.63,$24.09
2021-08-02,"$9,737,760,812","$1,173,705,963",$22.07,$23.63
2021-08-01,"$10,151,007,353","$1,105,673,123",$22.84,$22.07
2021-07-31,"$9,902,916,406","$1,753,895,145",$22.34,$22.84
2021-07-30,"$8,559,160,247","$607,923,416",$19.34,$22.34
2021-07-29,"$8,402,001,967","$949,386,580",$19.07,$19.34
2021-07-28,"$8,522,057,080","$1,037,473,442",$19.35,$19.07
2021-07-27,"$7,991,454,885","$1,593,123,749",$18.02,$19.35
2021-07-26,"$7,415,877,636","$607,809,027",$16.81,$18.02
2021-07-25,"$7,365,430,940","$662,738,292",$16.69,$16.81
2021-07-24,"$7,281,439,788","$650,429,882",$16.52,$16.69
2021-07-23,"$7,071,647,317","$694,718,335",$16.09,$16.52
2021-07-22,"$6,710,757,534","$876,707,518",$15.31,$16.09
2021-07-21,"$6,098,378,527","$756,102,979",$13.88,$15.31
2021-07-20,"$6,470,433,681","$606,673,027",$14.61,$13.88
2021-07-19,"$6,862,469,517","$513,956,835",$15.60,$14.61
2021-07-18,"$6,776,190,629","$603,602,951",$15.40,$15.60
2021-07-17,"$6,692,521,336","$600,169,163",$15.25,$15.40
2021-07-16,"$6,891,481,428","$643,424,396",$15.65,$15.25
2021-07-15,"$7,425,370,139","$604,089,386",$16.95,$15.65
2021-07-14,"$7,403,536,798","$474,935,073",$16.86,$16.95
2021-07-13,"$7,718,372,717","$517,060,799",$17.62,$16.86
2021-07-12,"$8,039,992,739","$432,269,926",$18.37,$17.62
2021-07-11,"$8,026,402,613","$583,728,400",$18.30,$18.37
2021-07-10,"$8,214,360,162","$737,929,885",$18.73,$18.30
2021-07-09,"$8,090,397,979","$962,173,434",$18.52,$18.73
2021-07-08,"$8,673,287,033","$987,570,560",$19.86,$18.52
2021-07-07,"$8,729,368,508","$1,039,774,686",$20.00,$19.86
2021-07-06,"$8,078,719,641","$688,520,282",$18.49,$20.00
2021-07-05,"$8,462,052,234","$736,556,099",$19.31,$18.49
2021-07-04,"$8,084,804,410","$507,861,559",$18.51,$19.31
2021-07-03,"$7,984,941,870","$669,998,149",$18.33,$18.51
2021-07-02,"$7,979,565,497","$840,146,133",$18.34,$18.33
2021-07-01,"$8,524,079,841","$907,152,171",$19.56,$18.34
2021-06-30,"$8,541,763,214","$1,054,922,444",$19.58,$19.56
2021-06-29,"$8,207,485,515","$983,184,175",$18.86,$19.58
2021-06-28,"$7,974,082,851","$782,913,513",$18.33,$18.86
2021-06-27,"$7,300,862,222","$1,010,418,163",$16.82,$18.33
2021-06-26,"$7,548,646,482","$1,183,038,206",$17.24,$16.82
2021-06-25,"$8,280,072,942","$883,251,697",$19.04,$17.24
2021-06-24,"$7,923,006,406","$1,317,364,488",$18.33,$19.04
2021-06-23,"$7,222,229,391","$2,057,186,815",$16.72,$18.33
2021-06-22,"$7,662,615,017","$1,852,117,034",$17.47,$16.72
2021-06-21,"$9,431,544,245","$1,024,853,082",$21.71,$17.47
2021-06-20,"$8,909,634,824","$780,336,685",$20.46,$21.71
2021-06-19,"$9,273,199,944","$1,059,988,620",$21.33,$20.46
2021-06-18,"$10,068,865,640","$843,432,513",$23.41,$21.33
2021-06-17,"$9,948,477,439","$1,079,949,882",$23.00,$23.41
2021-06-16,"$10,728,550,365","$1,270,307,655",$24.74,$23.00
2021-06-15,"$10,754,787,267","$1,306,048,544",$24.93,$24.74
2021-06-14,"$10,078,863,533","$1,328,820,190",$23.40,$24.93
2021-06-13,"$9,476,107,536","$1,269,382,863",$21.79,$23.40
2021-06-12,"$9,238,332,118","$1,012,586,735",$21.41,$21.79
2021-06-11,"$10,034,956,906","$1,144,246,112",$23.10,$21.41
2021-06-10,"$11,050,310,220","$1,624,847,275",$25.60,$23.10
2021-06-09,"$10,453,239,795","$1,821,025,557",$24.17,$25.60
2021-06-08,"$10,675,612,008","$1,475,311,734",$24.59,$24.17
2021-06-07,"$11,840,904,182","$794,052,113",$27.47,$24.59
2021-06-06,"$11,634,948,528","$1,443,543,817",$27.08,$27.47
2021-06-05,"$12,499,019,441","$1,950,875,733",$28.93,$27.08
2021-06-04,"$13,930,564,847","$1,432,906,429",$32.35,$28.93
2021-06-03,"$13,235,164,464","$1,370,113,649",$30.82,$32.35
2021-06-02,"$13,254,761,603","$1,872,589,231",$30.74,$30.82
2021-06-01,"$13,732,388,150","$2,468,673,771",$31.97,$30.74
2021-05-31,"$11,561,471,923","$2,019,637,832",$26.85,$31.97
2021-05-30,"$11,006,436,098","$2,114,214,232",$25.37,$26.85
2021-05-29,"$12,046,937,975","$2,971,015,168",$28.05,$25.37
2021-05-28,"$13,559,727,768","$2,985,226,351",$31.64,$28.05
2021-05-27,"$14,398,812,018","$3,201,030,591",$33.89,$31.64
2021-05-26,"$11,694,252,755","$2,295,717,092",$27.38,$33.89
2021-05-25,"$11,186,843,878","$2,835,542,526",$26.20,$27.38
2021-05-24,"$8,541,726,848","$3,517,658,466",$20.10,$26.20
2021-05-23,"$10,016,401,298","$1,963,963,770",$23.34,$20.10
2021-05-22,"$10,818,938,184","$2,710,057,773",$25.41,$23.34
2021-05-21,"$12,918,473,112","$3,480,409,270",$30.16,$25.41
2021-05-20,"$11,703,270,527","$4,901,308,353",$27.44,$30.16
2021-05-19,"$18,028,260,937","$2,778,831,151",$42.64,$27.44
2021-05-18,"$15,876,330,602","$2,418,989,730",$37.11,$42.64
2021-05-17,"$17,224,763,463","$2,303,552,576",$40.45,$37.11
2021-05-16,"$17,628,835,724","$2,558,139,630",$41.33,$40.45
2021-05-15,"$19,873,709,750","$1,998,927,229",$46.54,$41.33
2021-05-14,"$18,161,248,503","$3,284,556,307",$43.33,$46.54
2021-05-13,"$18,348,698,006","$2,466,624,937",$42.12,$43.33
2021-05-12,"$20,651,666,017","$2,425,500,129",$48.80,$42.12
2021-05-11,"$19,970,909,380","$3,468,330,866",$46.81,$48.80
2021-05-10,"$22,037,403,035","$2,906,961,085",$51.85,$46.81
2021-05-09,"$20,499,347,661","$2,133,658,197",$48.59,$51.85
2021-05-08,"$20,892,021,596","$3,236,607,576",$49.23,$48.59
2021-05-07,"$20,035,914,394","$2,820,777,195",$47.31,$49.23
2021-05-06,"$21,034,869,731","$4,581,633,161",$49.52,$47.31
2021-05-05,"$19,675,704,327","$5,076,238,048",$45.86,$49.52
2021-05-04,"$17,798,251,360","$1,728,718,653",$42.00,$45.86
2021-05-03,"$16,711,390,231","$1,439,347,181",$39.47,$42.00
2021-05-02,"$17,400,548,194","$1,579,734,292",$41.03,$39.47
2021-05-01,"$16,116,983,357","$1,417,891,047",$38.12,$41.03
2021-04-30,"$15,328,076,533","$1,346,539,752",$36.36,$38.12
2021-04-29,"$15,256,450,651","$1,423,358,996",$36.22,$36.36
2021-04-28,"$15,465,994,841","$1,520,690,813",$36.68,$36.22
2021-04-27,"$14,722,512,910","$1,719,495,453",$35.02,$36.68
2021-04-26,"$13,240,241,835","$1,297,424,133",$31.37,$35.02
2021-04-25,"$13,305,708,757","$1,593,510,327",$31.18,$31.37
2021-04-24,"$14,749,295,193","$3,677,037,230",$35.05,$31.18
2021-04-23,"$15,035,866,440","$3,491,720,646",$35.46,$35.05
2021-04-22,"$15,400,642,176","$2,267,772,025",$36.46,$35.46
2021-04-21,"$16,351,577,231","$3,597,706,487",$38.79,$36.46
2021-04-20,"$15,196,136,707","$3,565,130,060",$36.00,$38.79
2021-04-19,"$16,503,345,637","$4,680,200,772",$39.09,$36.00
2021-04-18,"$16,990,628,190","$2,210,095,288",$40.07,$39.09
2021-04-17,"$17,579,790,114","$3,070,264,905",$41.71,$40.07
2021-04-16,"$17,901,608,377","$3,801,387,078",$42.71,$41.71
2021-04-15,"$17,342,976,824","$3,918,225,542",$41.26,$42.71
2021-04-14,"$14,925,152,159","$1,733,692,875",$35.66,$41.26
2021-04-13,"$13,882,731,109","$1,177,674,550",$33.19,$35.66
2021-04-12,"$14,147,574,555","$1,285,910,616",$33.81,$33.19
2021-04-11,"$13,342,329,422","$1,032,270,908",$31.88,$33.81
2021-04-10,"$13,254,217,147","$899,786,026",$31.63,$31.88
2021-04-09,"$13,654,897,168","$1,181,108,399",$32.74,$31.63
2021-04-08,"$13,139,183,162","$2,448,511,882",$31.27,$32.74
2021-04-07,"$14,516,869,513","$2,679,304,051",$34.77,$31.27
2021-04-06,"$13,479,390,430","$1,498,434,776",$32.36,$34.77
2021-04-05,"$12,842,928,798","$1,145,059,594",$30.78,$32.36
2021-04-04,"$12,338,407,564","$1,632,971,521",$29.31,$30.78
2021-04-03,"$13,510,625,678","$1,511,740,167",$32.36,$29.31
2021-04-02,"$12,533,071,758","$1,737,067,284",$30.11,$32.36
2021-04-01,"$12,076,610,998","$1,475,136,599",$29.19,$30.11
2021-03-31,"$11,533,777,806","$879,939,041",$27.77,$29.19
2021-03-30,"$11,690,621,458","$1,025,089,086",$28.03,$27.77
