Date,Market Cap,Volume,Open,Close
2021-10-16,"$654,597,312","$57,007,641",$3.54,N/A
2021-10-15,"$663,318,659","$95,337,260",$3.59,$3.54
2021-10-14,"$684,487,687","$221,079,656",$3.70,$3.59
2021-10-13,"$617,588,979","$53,037,445",$3.34,$3.70
2021-10-12,"$600,449,273","$44,394,414",$3.25,$3.34
2021-10-11,"$609,583,654","$38,095,893",$3.30,$3.25
2021-10-10,"$654,598,590","$37,154,739",$3.54,$3.30
2021-10-09,"$655,880,070","$64,423,809",$3.54,$3.54
2021-10-08,"$661,618,890","$66,605,653",$3.59,$3.54
2021-10-07,"$653,131,547","$87,448,644",$3.53,$3.59
2021-10-06,"$688,693,813","$74,042,807",$3.72,$3.53
2021-10-05,"$692,170,573","$126,585,613",$3.74,$3.72
2021-10-04,"$707,838,274","$164,287,530",$3.83,$3.74
2021-10-03,"$690,384,161","$176,801,949",$3.73,$3.83
2021-10-02,"$617,824,394","$81,155,963",$3.34,$3.73
2021-10-01,"$575,417,958","$64,919,844",$3.11,$3.34
2021-09-30,"$568,609,165","$129,410,093",$3.07,$3.11
2021-09-29,"$516,181,770","$33,569,452",$2.79,$3.07
2021-09-28,"$539,201,318","$55,062,231",$2.91,$2.79
2021-09-27,"$540,336,992","$74,848,404",$2.94,$2.91
2021-09-26,"$581,128,206","$44,238,772",$3.14,$2.94
2021-09-25,"$590,727,426","$85,823,430",$3.19,$3.14
2021-09-24,"$654,091,657","$67,876,838",$3.56,$3.19
2021-09-23,"$649,106,414","$60,060,604",$3.51,$3.56
2021-09-22,"$574,615,817","$93,913,891",$3.12,$3.51
2021-09-21,"$611,386,798","$128,151,344",$3.31,$3.12
2021-09-20,"$727,513,737","$156,205,794",$3.92,$3.31
2021-09-19,"$741,328,910","$190,663,817",$4.01,$3.92
2021-09-18,"$677,570,338","$61,356,038",$3.66,$4.01
2021-09-17,"$708,380,282","$106,811,183",$3.83,$3.66
2021-09-16,"$748,008,767","$122,372,250",$4.03,$3.83
2021-09-15,"$699,990,102","$212,635,224",$3.78,$4.03
2021-09-14,"$632,847,622","$83,136,363",$3.45,$3.78
2021-09-13,"$695,032,161","$76,544,594",$3.75,$3.45
2021-09-12,"$690,524,520","$99,102,523",$3.73,$3.75
2021-09-11,"$689,933,519","$140,682,500",$3.73,$3.73
2021-09-10,"$764,996,685","$425,273,608",$4.12,$3.73
2021-09-09,"$700,926,670","$308,047,627",$3.78,$4.12
2021-09-08,"$634,058,062","$276,956,129",$3.42,$3.78
2021-09-07,"$810,884,573","$193,498,083",$4.38,$3.42
2021-09-06,"$847,237,501","$80,073,404",$4.58,$4.38
2021-09-05,"$831,901,900","$117,633,697",$4.49,$4.58
2021-09-04,"$844,861,330","$187,969,281",$4.58,$4.49
2021-09-03,"$858,269,635","$462,665,719",$4.64,$4.58
2021-09-02,"$792,293,878","$143,807,754",$4.28,$4.64
2021-09-01,"$800,939,846","$163,722,506",$4.33,$4.28
2021-08-31,"$839,239,577","$226,503,246",$4.59,$4.33
2021-08-30,"$905,745,281","$236,016,802",$4.87,$4.59
2021-08-29,"$916,084,191","$275,134,333",$4.98,$4.87
2021-08-28,"$991,775,749","$559,159,281",$5.34,$4.98
2021-08-27,"$914,736,079","$831,538,862",$4.94,$5.34
2021-08-26,"$960,685,049","$2,421,925,410",$5.22,$4.94
2021-08-25,"$992,542,556","$1,713,799,514",$5.16,$5.22
2021-08-24,"$586,332,487","$414,803,691",$3.20,$5.16
2021-08-23,"$581,635,584","$516,744,286",$3.15,$3.20
2021-08-22,"$521,129,018","$863,988,989",$2.78,$3.15
2021-08-21,"$484,888,547","$525,821,754",$2.62,$2.78
2021-08-20,"$321,604,618","$124,868,263",$1.77,$2.62
2021-08-19,"$342,514,571","$417,912,311",$1.85,$1.77
2021-08-18,"$271,825,571","$124,735,835",$1.45,$1.85
2021-08-17,"$272,941,438","$95,920,219",$1.48,$1.45
2021-08-16,"$277,068,192","$196,128,722",$1.50,$1.48
2021-08-15,"$312,686,202","$463,985,719",$1.73,$1.50
2021-08-14,"$220,332,568","$25,682,893",$1.19,$1.73
2021-08-13,"$212,815,195","$27,654,053",$1.15,$1.19
2021-08-12,"$215,949,898","$45,638,749",$1.18,$1.15
2021-08-11,"$216,703,787","$35,299,142",$1.17,$1.18
2021-08-10,"$220,267,801","$69,596,276",$1.20,$1.17
2021-08-09,"$231,617,093","$135,147,471",$1.24,$1.20
2021-08-08,"$207,266,993","$48,323,163",$1.12,$1.24
2021-08-07,"$205,106,621","$32,475,012",$1.11,$1.12
2021-08-06,"$204,494,173","$34,417,519",$1.10,$1.11
2021-08-05,"$211,815,488","$38,267,538",$1.14,$1.10
2021-08-04,"$212,996,841","$42,794,192",$1.15,$1.14
2021-08-03,"$211,435,539","$31,114,737",$1.15,$1.15
2021-08-02,"$211,555,204","$53,313,888",$1.14,$1.15
2021-08-01,"$236,240,019","$131,781,465",$1.28,$1.14
2021-07-31,"$230,426,745","$375,709,805",$1.25,$1.28
2021-07-30,"$194,812,342","$55,201,515",$1.05,$1.25
2021-07-29,"$212,518,440","$59,988,054",$1.15,$1.05
2021-07-28,"$233,275,986","$175,095,540",$1.26,$1.15
2021-07-27,"$239,559,254","$226,513,388",$1.29,$1.26
2021-07-26,"$274,945,044","$388,741,627",$1.47,$1.29
2021-07-25,"$355,688,828","$1,581,192,252",$2.04,$1.47
2021-07-24,"$135,654,496","$382,760,901",$0.742326,$2.04
2021-07-23,"$135,654,496","$382,760,901",$0.742326,$0.742326
