Date,Market Cap,Volume,Open,Close
2021-10-16,"$1,939,665,089","$152,322,905",$318.21,N/A
2021-10-15,"$1,913,183,439","$113,756,825",$314.38,$318.21
2021-10-14,"$1,856,119,468","$108,650,192",$304.75,$314.38
2021-10-13,"$1,863,532,245","$122,796,159",$305.66,$304.75
2021-10-12,"$1,830,267,843","$124,722,878",$302.77,$305.66
2021-10-11,"$1,860,721,287","$107,238,423",$304.57,$302.77
2021-10-10,"$2,015,110,790","$137,933,090",$331.08,$304.57
2021-10-09,"$1,902,087,652","$197,146,018",$313.56,$331.08
2021-10-08,"$1,921,270,714","$196,891,429",$315.99,$313.56
2021-10-07,"$1,868,020,196","$196,648,903",$307.04,$315.99
2021-10-06,"$1,890,541,016","$216,113,027",$310.49,$307.04
2021-10-05,"$1,908,599,702","$200,698,513",$313.22,$310.49
2021-10-04,"$1,989,175,440","$200,409,387",$327.19,$313.22
2021-10-03,"$1,991,153,659","$181,500,531",$338.14,$327.19
2021-10-02,"$1,919,557,946","$204,221,828",$326.36,$338.14
2021-10-01,"$1,837,311,570","$422,073,752",$312.13,$326.36
2021-09-30,"$1,701,486,446","$182,984,791",$300.11,$312.13
2021-09-29,"$1,830,303,262","$97,076,896",$319.53,$300.11
2021-09-28,"$1,949,716,891","$132,375,179",$338.74,$319.53
2021-09-27,"$1,997,509,801","$152,123,488",$351.11,$338.74
2021-09-26,"$1,898,107,290","$91,601,637",$332.93,$351.11
2021-09-25,"$1,835,692,874","$160,080,900",$339.17,$332.93
2021-09-24,"$2,017,480,839","$137,538,444",$373.49,$339.17
2021-09-23,"$1,865,869,161","$154,447,307",$346.10,$373.49
2021-09-22,"$1,664,120,449","$149,891,626",$311.23,$346.10
2021-09-21,"$1,812,151,429","$171,036,853",$337.83,$311.23
2021-09-20,"$2,121,936,559","$68,645,630",$392.78,$337.83
2021-09-19,"$2,166,004,161","$92,695,327",$401.43,$392.78
2021-09-18,"$2,168,745,137","$156,365,244",$399.70,$401.43
2021-09-17,"$2,282,041,467","$191,284,681",$422.80,$399.70
2021-09-16,"$2,384,134,065","$202,068,562",$442.25,$422.80
2021-09-15,"$2,408,687,948","$258,902,453",$446.39,$442.25
2021-09-14,"$2,074,951,803","$128,497,859",$385.74,$446.39
2021-09-13,"$2,188,623,579","$91,886,571",$404.54,$385.74
2021-09-12,"$2,139,899,194","$78,554,189",$396.61,$404.54
2021-09-11,"$2,109,773,780","$111,311,944",$390.95,$396.61
2021-09-10,"$2,227,263,878","$136,719,729",$412.03,$390.95
2021-09-09,"$2,214,395,611","$228,700,499",$409.18,$412.03
2021-09-08,"$2,240,231,952","$445,823,796",$415.00,$409.18
2021-09-07,"$2,769,287,254","$303,742,389",$511.49,$415.00
2021-09-06,"$2,758,840,046","$344,025,486",$511.07,$511.49
2021-09-05,"$2,553,224,797","$138,982,073",$472.06,$511.07
2021-09-04,"$2,513,938,521","$181,386,163",$466.38,$472.06
2021-09-03,"$2,496,133,508","$202,743,364",$463.76,$466.38
2021-09-02,"$2,592,489,164","$291,317,998",$479.72,$463.76
2021-09-01,"$2,387,843,262","$309,761,745",$442.34,$479.72
2021-08-31,"$2,271,616,093","$263,397,885",$420.36,$442.34
2021-08-30,"$2,258,549,388","$125,423,783",$419.11,$420.36
2021-08-29,"$2,234,748,089","$97,374,555",$413.89,$419.11
2021-08-28,"$2,273,792,052","$145,005,063",$420.62,$413.89
2021-08-27,"$2,231,163,968","$127,579,634",$410.89,$420.62
2021-08-26,"$2,350,855,756","$145,206,341",$435.19,$410.89
2021-08-25,"$2,301,075,459","$235,271,567",$424.50,$435.19
2021-08-24,"$2,516,382,160","$271,351,768",$465.59,$424.50
2021-08-23,"$2,475,321,371","$171,744,428",$457.84,$465.59
2021-08-22,"$2,503,946,768","$221,192,328",$463.70,$457.84
2021-08-21,"$2,583,254,794","$224,804,573",$478.61,$463.70
2021-08-20,"$2,423,344,922","$184,113,885",$454.73,$478.61
2021-08-19,"$2,389,729,005","$246,635,704",$441.03,$454.73
2021-08-18,"$2,439,128,408","$313,048,220",$447.09,$441.03
2021-08-17,"$2,586,411,721","$354,427,693",$471.04,$447.09
2021-08-16,"$2,634,552,870","$218,676,680",$488.47,$471.04
2021-08-15,"$2,556,077,533","$175,043,585",$475.85,$488.47
2021-08-14,"$2,604,043,675","$156,506,540",$483.19,$475.85
2021-08-13,"$2,442,198,313","$204,760,055",$453.21,$483.19
2021-08-12,"$2,532,485,189","$243,448,359",$469.01,$453.21
2021-08-11,"$2,553,082,046","$151,187,734",$473.59,$469.01
2021-08-10,"$2,540,146,333","$166,420,611",$468.40,$473.59
2021-08-09,"$2,524,612,581","$170,054,867",$467.14,$468.40
2021-08-08,"$2,735,354,197","$259,140,268",$507.73,$467.14
2021-08-07,"$2,525,941,000","$189,083,826",$467.34,$507.73
2021-08-06,"$2,578,638,697","$359,094,242",$476.04,$467.34
2021-08-05,"$2,500,009,739","$293,660,312",$463.73,$476.04
2021-08-04,"$2,150,081,387","$137,162,916",$396.54,$463.73
2021-08-03,"$2,216,438,180","$174,202,459",$409.07,$396.54
2021-08-02,"$2,201,134,891","$149,836,434",$409.84,$409.07
2021-08-01,"$2,199,784,401","$109,865,249",$407.06,$409.84
2021-07-31,"$2,183,712,993","$154,407,930",$404.48,$407.06
2021-07-30,"$2,149,688,744","$134,922,135",$397.65,$404.48
2021-07-29,"$2,096,574,816","$140,775,561",$388.16,$397.65
2021-07-28,"$2,101,265,272","$208,566,240",$391.01,$388.16
2021-07-27,"$2,112,808,072","$327,443,140",$390.52,$391.01
2021-07-26,"$2,126,402,622","$216,789,189",$393.79,$390.52
2021-07-25,"$2,208,120,938","$178,393,116",$410.27,$393.79
2021-07-24,"$2,255,694,107","$212,716,041",$417.53,$410.27
2021-07-23,"$2,237,899,447","$273,751,140",$414.34,$417.53
2021-07-22,"$2,023,142,194","$238,870,265",$376.11,$414.34
2021-07-21,"$1,899,857,779","$201,632,234",$351.62,$376.11
2021-07-20,"$1,863,342,155","$162,786,476",$342.07,$351.62
2021-07-19,"$2,052,954,879","$110,897,773",$381.52,$342.07
2021-07-18,"$2,053,844,533","$116,520,630",$380.04,$381.52
2021-07-17,"$1,992,251,525","$143,497,047",$369.64,$380.04
2021-07-16,"$2,129,039,104","$288,787,858",$395.16,$369.64
2021-07-15,"$2,209,687,164","$220,635,620",$410.44,$395.16
2021-07-14,"$2,069,491,903","$138,410,570",$384.26,$410.44
2021-07-13,"$2,233,316,715","$169,789,028",$415.12,$384.26
2021-07-12,"$2,338,543,081","$203,800,993",$434.80,$415.12
2021-07-11,"$2,279,140,011","$229,469,367",$423.37,$434.80
2021-07-10,"$2,336,676,191","$297,205,887",$435.72,$423.37
2021-07-09,"$2,244,804,868","$313,032,776",$417.56,$435.72
2021-07-08,"$2,356,334,011","$327,975,428",$438.32,$417.56
2021-07-07,"$2,576,197,388","$544,853,565",$479.30,$438.32
2021-07-06,"$2,657,506,147","$692,437,144",$494.71,$479.30
2021-07-05,"$2,390,332,467","$397,097,735",$444.86,$494.71
2021-07-04,"$2,025,336,951","$249,282,111",$378.71,$444.86
2021-07-03,"$1,950,625,149","$283,213,377",$364.46,$378.71
2021-07-02,"$1,793,500,992","$297,174,545",$334.73,$364.46
2021-07-01,"$1,790,332,941","$178,728,718",$334.49,$334.73
2021-06-30,"$1,669,969,899","$201,069,346",$310.45,$334.49
2021-06-29,"$1,661,687,635","$313,087,638",$310.82,$310.45
2021-06-28,"$1,369,437,693","$104,054,005",$256.93,$310.82
2021-06-27,"$1,188,188,357","$94,908,600",$222.37,$256.93
2021-06-26,"$1,216,186,688","$96,279,847",$227.12,$222.37
2021-06-25,"$1,373,737,624","$108,541,359",$256.60,$227.12
2021-06-24,"$1,292,055,262","$140,053,283",$241.67,$256.60
2021-06-23,"$1,244,507,686","$154,095,978",$234.03,$241.67
2021-06-22,"$1,210,297,241","$115,336,238",$223.34,$234.03
2021-06-21,"$1,566,212,095","$100,667,421",$293.59,$223.34
2021-06-20,"$1,460,449,939","$58,817,563",$274.22,$293.59
2021-06-19,"$1,482,204,800","$100,938,599",$277.28,$274.22
2021-06-18,"$1,617,084,211","$75,145,537",$307.26,$277.28
2021-06-17,"$1,604,844,343","$89,954,843",$303.98,$307.26
2021-06-16,"$1,734,424,674","$100,562,570",$327.70,$303.98
2021-06-15,"$1,781,276,036","$122,121,789",$337.52,$327.70
2021-06-14,"$1,701,411,833","$102,253,368",$324.91,$337.52
2021-06-13,"$1,582,916,455","$106,505,092",$297.87,$324.91
2021-06-12,"$1,568,254,814","$94,775,557",$295.94,$297.87
2021-06-11,"$1,740,106,199","$131,141,763",$328.12,$295.94
2021-06-10,"$1,903,053,656","$158,835,272",$363.59,$328.12
2021-06-09,"$1,829,102,510","$149,655,419",$350.53,$363.59
2021-06-08,"$1,804,682,423","$121,455,051",$341.50,$350.53
2021-06-07,"$2,025,589,339","$82,548,391",$388.19,$341.50
2021-06-06,"$2,004,416,956","$103,152,955",$386.34,$388.19
2021-06-05,"$2,103,374,391","$142,037,181",$402.62,$386.34
2021-06-04,"$2,356,831,293","$118,273,630",$450.40,$402.62
2021-06-03,"$2,271,733,384","$122,128,797",$436.67,$450.40
2021-06-02,"$2,228,367,385","$146,329,562",$427.23,$436.67
2021-06-01,"$2,262,786,569","$160,981,332",$434.83,$427.23
2021-05-31,"$2,109,618,093","$163,081,705",$404.64,$434.83
2021-05-30,"$1,862,403,544","$143,209,866",$355.08,$404.64
2021-05-29,"$1,959,960,765","$158,265,254",$377.32,$355.08
2021-05-28,"$2,201,770,464","$166,667,791",$421.49,$377.32
2021-05-27,"$2,398,589,450","$202,081,543",$461.41,$421.49
2021-05-26,"$2,196,607,883","$244,319,084",$424.18,$461.41
2021-05-25,"$2,190,354,848","$247,020,054",$422.66,$424.18
2021-05-24,"$1,774,770,826","$293,656,734",$344.54,$422.66
2021-05-23,"$2,007,484,041","$223,082,421",$385.75,$344.54
2021-05-22,"$2,295,555,419","$352,961,147",$442.93,$385.75
2021-05-21,"$2,798,152,561","$347,131,576",$544.10,$442.93
2021-05-20,"$2,539,293,457","$565,539,558",$485.75,$544.10
2021-05-19,"$3,425,996,071","$309,893,279",$667.93,$485.75
2021-05-18,"$3,618,066,026","$408,910,025",$700.61,$667.93
2021-05-17,"$3,517,024,587","$396,319,502",$687.21,$700.61
2021-05-16,"$3,554,578,184","$407,192,965",$689.13,$687.21
2021-05-15,"$4,021,614,519","$364,584,573",$777.71,$689.13
2021-05-14,"$3,922,224,675","$518,699,434",$767.89,$777.71
2021-05-13,"$3,944,732,612","$503,109,484",$744.04,$767.89
2021-05-12,"$4,393,666,483","$546,248,094",$854.45,$744.04
2021-05-11,"$3,994,166,995","$360,321,223",$779.77,$854.45
2021-05-10,"$3,952,075,132","$217,372,960",$769.58,$779.77
2021-05-09,"$4,004,605,058","$316,970,471",$782.61,$769.58
2021-05-08,"$3,656,054,002","$227,088,686",$714.55,$782.61
2021-05-07,"$3,784,095,613","$256,640,780",$738.85,$714.55
2021-05-06,"$4,026,445,113","$252,038,249",$787.98,$738.85
2021-05-05,"$3,798,984,393","$383,324,031",$737.26,$787.98
2021-05-04,"$4,224,833,954","$430,808,480",$827.89,$737.26
2021-05-03,"$4,150,504,984","$423,132,893",$810.69,$827.89
2021-05-02,"$4,123,610,443","$427,748,106",$805.71,$810.69
2021-05-01,"$3,787,589,140","$318,373,647",$743.23,$805.71
2021-04-30,"$3,284,155,216","$206,871,993",$643.83,$743.23
2021-04-29,"$3,284,900,358","$257,234,790",$647.62,$643.83
2021-04-28,"$3,298,502,881","$284,097,139",$652.54,$647.62
2021-04-27,"$3,261,066,241","$349,432,230",$644.04,$652.54
2021-04-26,"$2,780,563,586","$253,542,801",$550.69,$644.04
2021-04-25,"$2,900,539,527","$460,208,445",$567.25,$550.69
2021-04-24,"$3,150,041,520","$803,877,452",$622.04,$567.25
2021-04-23,"$2,737,458,862","$510,650,282",$535.60,$622.04
2021-04-22,"$2,495,416,010","$171,266,804",$493.56,$535.60
2021-04-21,"$2,443,891,649","$290,760,922",$483.50,$493.56
2021-04-20,"$2,400,835,241","$199,922,099",$475.97,$483.50
2021-04-19,"$2,469,629,849","$324,246,610",$487.98,$475.97
2021-04-18,"$2,723,056,861","$167,260,419",$539.23,$487.98
2021-04-17,"$2,844,126,298","$417,706,589",$563.67,$539.23
2021-04-16,"$2,847,946,029","$372,308,951",$564.63,$563.67
2021-04-15,"$2,442,526,646","$183,550,482",$484.44,$564.63
2021-04-14,"$2,445,852,163","$184,248,963",$486.31,$484.44
2021-04-13,"$2,334,347,159","$162,503,393",$465.04,$486.31
2021-04-12,"$2,316,214,034","$124,026,456",$460.46,$465.04
2021-04-11,"$2,264,565,968","$138,870,239",$450.69,$460.46
2021-04-10,"$2,278,589,494","$136,340,474",$453.13,$450.69
2021-04-09,"$2,267,781,598","$133,180,168",$456.32,$453.13
2021-04-08,"$2,224,302,142","$191,896,834",$443.29,$456.32
2021-04-07,"$2,354,237,950","$156,482,134",$483.14,$443.29
2021-04-06,"$2,482,740,517","$190,712,497",$510.95,$483.14
2021-04-05,"$2,669,264,942","$301,001,541",$550.20,$510.95
2021-04-04,"$2,331,780,838","$150,087,208",$478.89,$550.20
2021-04-03,"$2,379,284,552","$139,029,601",$487.18,$478.89
2021-04-02,"$2,191,805,502","$237,958,369",$450.56,$487.18
2021-04-01,"$1,913,889,788","$84,054,489",$398.23,$450.56
2021-03-31,"$1,812,178,916","$106,686,901",$402.14,$398.23
2021-03-30,"$1,829,658,180","$137,477,601",$406.78,$402.14
2021-03-29,"$1,631,620,348","$64,229,892",$362.18,$406.78
2021-03-28,"$1,633,245,814","$87,591,078",$361.74,$362.18
2021-03-27,"$1,651,286,724","$93,261,240",$368.84,$361.74
2021-03-26,"$1,610,825,293","$103,911,651",$359.18,$368.84
2021-03-25,"$1,558,886,721","$92,196,886",$345.22,$359.18
2021-03-24,"$1,620,210,425","$97,429,405",$361.06,$345.22
2021-03-23,"$1,708,119,374","$143,054,327",$379.23,$361.06
2021-03-22,"$1,808,968,131","$109,777,897",$403.83,$379.23
2021-03-21,"$1,877,164,750","$95,510,248",$416.57,$403.83
2021-03-20,"$1,976,933,398","$66,145,274",$442.48,$416.57
2021-03-19,"$1,890,682,204","$75,965,470",$430.40,$442.48
2021-03-18,"$1,920,230,031","$72,584,059",$439.32,$430.40
2021-03-17,"$1,883,838,628","$68,732,349",$433.05,$439.32
2021-03-16,"$1,893,113,507","$85,850,775",$431.61,$433.05
2021-03-15,"$1,939,232,004","$75,768,141",$441.23,$431.61
2021-03-14,"$2,023,179,336","$118,337,868",$463.90,$441.23
2021-03-13,"$1,901,297,120","$94,761,304",$435.21,$463.90
2021-03-12,"$2,025,532,562","$118,870,989",$465.68,$435.21
2021-03-11,"$2,011,681,887","$123,863,415",$460.13,$465.68
2021-03-10,"$2,186,944,392","$115,487,493",$502.38,$460.13
2021-03-09,"$2,089,092,266","$102,303,869",$479.43,$502.38
2021-03-08,"$2,130,339,715","$87,771,286",$489.72,$479.43
2021-03-07,"$2,152,266,861","$127,541,204",$493.43,$489.72
2021-03-06,"$2,077,348,071","$98,099,037",$479.15,$493.43
2021-03-05,"$2,054,968,646","$112,913,695",$472.46,$479.15
2021-03-04,"$2,154,214,747","$120,911,624",$494.21,$472.46
2021-03-03,"$2,175,708,690","$280,466,097",$501.44,$494.21
2021-03-02,"$2,142,570,645","$245,527,185",$494.36,$501.44
2021-03-01,"$1,743,235,015","$151,630,338",$400.15,$494.36
2021-02-28,"$1,737,799,853","$110,008,967",$402.27,$400.15
2021-02-27,"$1,732,434,034","$213,838,192",$398.90,$402.27
2021-02-26,"$1,731,387,287","$130,541,455",$397.35,$398.90
2021-02-25,"$1,877,886,696","$200,515,927",$437.63,$397.35
2021-02-24,"$1,636,661,208","$261,540,497",$379.79,$437.63
2021-02-23,"$1,834,608,999","$256,407,630",$425.91,$379.79
2021-02-22,"$1,968,479,309","$113,860,689",$455.22,$425.91
2021-02-21,"$1,940,135,993","$251,010,066",$456.02,$455.22
2021-02-20,"$1,952,306,211","$143,425,312",$452.46,$456.02
2021-02-19,"$1,973,186,331","$110,967,606",$457.68,$452.46
2021-02-18,"$2,036,556,049","$168,642,792",$474.19,$457.68
2021-02-17,"$1,964,717,577","$162,553,784",$455.80,$474.19
2021-02-16,"$1,976,940,120","$213,194,206",$459.02,$455.80
2021-02-15,"$2,036,924,571","$169,703,956",$471.64,$459.02
2021-02-14,"$2,211,330,187","$185,464,716",$510.63,$471.64
2021-02-13,"$2,297,469,845","$323,384,378",$535.01,$510.63
2021-02-12,"$2,160,529,980","$238,543,939",$501.26,$535.01
2021-02-11,"$2,059,282,256","$279,183,071",$475.52,$501.26
2021-02-10,"$2,099,921,841","$251,303,032",$487.70,$475.52
2021-02-09,"$1,941,271,490","$209,813,675",$456.30,$487.70
2021-02-08,"$1,978,792,956","$208,150,304",$457.24,$456.30
2021-02-07,"$1,998,780,151","$270,769,373",$463.21,$457.24
2021-02-06,"$2,294,764,137","$327,418,243",$535.29,$463.21
2021-02-05,"$1,985,429,208","$410,057,996",$455.06,$535.29
2021-02-04,"$1,663,510,861","$122,864,942",$388.41,$455.06
2021-02-03,"$1,529,577,669","$122,654,014",$356.32,$388.41
2021-02-02,"$1,542,777,410","$219,950,615",$362.38,$356.32
2021-02-01,"$1,479,060,360","$177,682,762",$347.76,$362.38
2021-01-31,"$1,431,019,298","$274,793,530",$337.02,$347.76
2021-01-30,"$1,217,460,620","$182,617,052",$291.26,$337.02
2021-01-29,"$1,082,505,833","$111,978,908",$253.54,$291.26
2021-01-28,"$921,919,313","$89,917,724",$220.64,$253.54
2021-01-27,"$989,675,615","$119,061,746",$236.82,$220.64
2021-01-26,"$896,422,856","$137,103,746",$214.00,$236.82
2021-01-25,"$1,048,691,482","$134,273,412",$250.67,$214.00
2021-01-24,"$859,521,638","$64,917,045",$206.74,$250.67
2021-01-23,"$830,872,258","$91,191,516",$200.12,$206.74
2021-01-22,"$747,683,747","$86,794,423",$177.74,$200.12
2021-01-21,"$881,976,045","$70,986,913",$212.97,$177.74
2021-01-20,"$892,553,270","$88,831,676",$213.07,$212.97
2021-01-19,"$933,945,041","$94,816,552",$225.48,$213.07
2021-01-18,"$908,240,248","$98,828,535",$215.35,$225.48
2021-01-17,"$866,929,246","$91,234,585",$208.21,$215.35
2021-01-16,"$847,953,833","$110,113,945",$202.62,$208.21
2021-01-15,"$878,020,015","$113,404,518",$212.73,$202.62
2021-01-14,"$879,663,439","$162,907,612",$211.76,$212.73
2021-01-13,"$763,619,782","$141,107,918",$184.28,$211.76
2021-01-12,"$694,554,119","$222,395,509",$168.58,$184.28
2021-01-11,"$813,954,330","$200,039,247",$197.08,$168.58
2021-01-10,"$761,976,857","$78,112,501",$182.72,$197.08
2021-01-09,"$681,737,863","$95,605,225",$165.82,$182.72
2021-01-08,"$712,310,756","$126,004,853",$173.92,$165.82
2021-01-07,"$749,840,305","$98,016,381",$181.53,$173.92
2021-01-06,"$668,553,376","$80,457,450",$162.42,$181.53
2021-01-05,"$596,383,919","$90,658,733",$145.47,$162.42
2021-01-04,"$613,425,866","$67,879,473",$146.34,$145.47
2021-01-03,"$563,121,690","$64,535,572",$136.91,$146.34
2021-01-02,"$598,613,837","$84,280,293",$145.40,$136.91
2021-01-01,"$619,544,294","$59,892,322",$150.43,$145.40
2020-12-31,"$649,224,830","$79,337,051",$157.72,$150.43
2020-12-30,"$578,324,785","$61,111,837",$140.36,$157.72
2020-12-29,"$587,473,692","$42,797,683",$143.19,$140.36
2020-12-28,"$544,483,397","$59,740,192",$131.46,$143.19
2020-12-27,"$533,317,447","$44,397,288",$129.94,$131.46
2020-12-26,"$565,917,468","$32,027,799",$137.77,$129.94
2020-12-25,"$558,731,691","$40,945,381",$136.56,$137.77
2020-12-24,"$537,310,022","$84,050,402",$130.02,$136.56
2020-12-23,"$597,314,748","$65,113,501",$145.68,$130.02
2020-12-22,"$587,402,815","$58,252,679",$143.29,$145.68
2020-12-21,"$625,220,979","$54,668,098",$152.99,$143.29
2020-12-20,"$635,749,252","$50,486,647",$155.78,$152.99
2020-12-19,"$655,856,163","$92,502,908",$160.74,$155.78
2020-12-18,"$722,252,803","$119,495,231",$177.83,$160.74
2020-12-17,"$632,397,565","$68,737,293",$155.32,$177.83
2020-12-16,"$612,702,458","$54,959,440",$150.06,$155.32
2020-12-15,"$619,314,927","$55,536,266",$152.91,$150.06
2020-12-14,"$593,176,032","$44,797,224",$146.96,$152.91
2020-12-13,"$585,107,931","$59,439,166",$144.27,$146.96
2020-12-12,"$576,131,123","$82,082,314",$142.94,$144.27
2020-12-11,"$603,498,842","$73,014,980",$149.10,$142.94
2020-12-10,"$673,248,376","$144,152,973",$166.66,$149.10
2020-12-09,"$628,523,617","$225,988,558",$154.76,$166.66
2020-12-08,"$602,354,269","$62,244,118",$149.56,$154.76
2020-12-07,"$550,914,968","$44,432,361",$136.76,$149.56
2020-12-06,"$564,476,669","$72,879,861",$142.66,$136.76
2020-12-05,"$501,601,527","$126,001,934",$127.10,$142.66
2020-12-04,"$524,254,589","$107,151,306",$131.86,$127.10
2020-12-03,"$453,102,757","$39,478,864",$113.85,$131.86
2020-12-02,"$419,448,364","$42,435,435",$105.38,$113.85
2020-12-01,"$443,735,141","$34,572,194",$111.57,$105.38
2020-11-30,"$437,772,754","$26,039,231",$110.61,$111.57
2020-11-29,"$427,902,094","$32,182,064",$108.22,$110.61
2020-11-28,"$413,330,437","$31,238,890",$104.53,$108.22
2020-11-27,"$421,215,101","$78,987,728",$106.77,$104.53
2020-11-26,"$487,822,796","$75,901,863",$123.14,$106.77
2020-11-25,"$501,571,787","$79,380,826",$127.28,$123.14
2020-11-24,"$491,428,282","$64,998,965",$125.38,$127.28
2020-11-23,"$462,276,378","$58,095,914",$116.52,$125.38
2020-11-22,"$500,393,936","$72,217,524",$127.31,$116.52
2020-11-21,"$457,559,169","$41,888,532",$116.17,$127.31
2020-11-20,"$446,715,149","$37,734,350",$113.32,$116.17
2020-11-19,"$450,760,293","$55,813,469",$114.42,$113.32
2020-11-18,"$478,687,138","$43,174,121",$121.80,$114.42
2020-11-17,"$472,838,322","$42,121,589",$120.20,$121.80
2020-11-16,"$472,973,772","$60,673,067",$120.01,$120.20
2020-11-15,"$478,102,094","$71,430,243",$122.69,$120.01
2020-11-14,"$429,115,420","$43,667,230",$111.01,$122.69
2020-11-13,"$409,171,181","$36,965,602",$104.07,$111.01
2020-11-12,"$404,006,106","$49,732,435",$102.92,$104.07
2020-11-11,"$400,418,332","$33,930,740",$102.05,$102.92
2020-11-10,"$370,808,510","$26,130,734",$94.58,$102.05
2020-11-09,"$382,256,398","$27,046,536",$97.47,$94.58
2020-11-08,"$363,204,116","$56,834,132",$92.69,$97.47
2020-11-07,"$374,345,486","$38,818,844",$95.58,$92.69
2020-11-06,"$355,843,259","$27,335,533",$91.12,$95.58
2020-11-05,"$345,578,786","$19,393,899",$88.54,$91.12
2020-11-04,"$340,108,264","$34,157,759",$87.36,$88.54
2020-11-03,"$356,177,007","$19,462,772",$91.03,$87.36
2020-11-02,"$365,326,267","$18,662,229",$93.67,$91.03
2020-11-01,"$352,945,277","$22,188,993",$90.51,$93.67
2020-10-31,"$359,557,000","$34,846,639",$92.05,$90.51
2020-10-30,"$373,804,431","$38,146,659",$96.58,$92.05
2020-10-29,"$419,943,845","$57,405,671",$108.09,$96.58
2020-10-28,"$423,271,504","$38,822,470",$108.83,$108.09
2020-10-27,"$388,977,159","$25,463,872",$100.15,$108.83
2020-10-26,"$394,410,589","$21,741,327",$101.51,$100.15
2020-10-25,"$409,317,190","$22,222,454",$105.46,$101.51
2020-10-24,"$398,584,406","$31,604,709",$102.97,$105.46
2020-10-23,"$393,846,485","$32,330,662",$101.63,$102.97
2020-10-22,"$367,897,827","$32,794,427",$95.21,$101.63
2020-10-21,"$366,446,170","$30,779,199",$95.04,$95.21
2020-10-20,"$397,829,075","$23,753,913",$102.83,$95.04
2020-10-19,"$347,593,097","$23,042,746",$104.73,$102.83
2020-10-18,"$342,259,222","$19,786,512",$103.20,$104.73
2020-10-17,"$342,718,300","$29,559,232",$103.15,$103.20
2020-10-16,"$354,805,405","$27,237,086",$106.83,$103.15
