Date,Market Cap,Volume,Open,Close
2021-10-16,"$476,234,778","$19,375,873",$15.59,N/A
2021-10-15,"$506,742,552","$12,231,319",$16.64,$15.59
2021-10-14,"$519,620,714","$1,760,159",$17.22,$16.64
2021-10-13,"$489,482,301","$15,483,000",$16.38,$17.22
2021-10-12,"$422,609,068","$17,382,661",$14.32,$16.38
2021-10-11,"$382,284,414","$20,717,135",$12.85,$14.32
2021-10-10,"$366,631,300","$13,971,016",$12.49,$12.85
2021-10-09,"$306,941,643","$5,359,529",$10.56,$12.49
2021-10-08,"$296,798,863","$7,115,897",$10.24,$10.56
2021-10-07,"$313,734,900","$12,435,484",$10.92,$10.24
2021-10-06,"$302,867,215","$17,387,440",$10.58,$10.92
2021-10-05,"$274,021,019","$6,923,662",$9.79,$10.58
2021-10-04,"$260,471,732","$6,129,623",$9.24,$9.79
2021-10-03,"$243,529,260","$5,276,407",$8.72,$9.24
2021-10-02,"$244,004,405","$7,850,742",$8.77,$8.72
2021-10-01,"$230,190,450","$9,568,326",$8.32,$8.77
2021-09-30,"$236,996,147","$9,424,264",$8.62,$8.32
2021-09-29,"$235,767,343","$10,643,854",$8.63,$8.62
2021-09-28,"$240,227,158","$10,532,975",$8.91,$8.63
2021-09-27,"$253,346,836","$8,728,221",$9.46,$8.91
2021-09-26,"$249,648,277","$3,261,826",$9.44,$9.46
2021-09-25,"$266,414,734","$5,144,806",$9.87,$9.44
2021-09-24,"$297,886,919","$13,069,940",$11.32,$9.87
2021-09-23,"$252,264,822","$13,094,410",$9.64,$11.32
2021-09-22,"$210,529,966","$17,785,676",$8.14,$9.64
2021-09-21,"$209,067,456","$26,528,501",$8.15,$8.14
2021-09-20,"$261,085,465","$8,150,951",$10.21,$8.15
2021-09-19,"$261,267,511","$11,271,001",$10.32,$10.21
2021-09-18,"$294,769,730","$9,292,215",$11.76,$10.32
2021-09-17,"$336,247,466","$22,776,042",$13.43,$11.76
2021-09-16,"$316,959,131","$14,993,200",$12.79,$13.43
2021-09-15,"$281,203,924","$15,095,144",$11.46,$12.79
2021-09-14,"$231,440,021","$12,174,939",$9.55,$11.46
2021-09-13,"$267,325,204","$9,988,527",$11.03,$9.55
2021-09-12,"$249,150,191","$10,640,323",$10.44,$11.03
2021-09-11,"$260,904,552","$13,299,278",$11.05,$10.44
2021-09-10,"$290,231,810","$13,221,953",$12.43,$11.05
2021-09-09,"$278,125,849","$21,078,570",$12.02,$12.43
2021-09-08,"$247,553,752","$26,770,997",$10.80,$12.02
2021-09-07,"$281,549,296","$35,322,141",$12.42,$10.80
2021-09-06,"$221,420,995","$9,360,686",$9.91,$12.42
2021-09-05,"$211,859,619","$20,022,936",$9.57,$9.91
2021-09-04,"$161,256,554","$6,490,532",$7.36,$9.57
2021-09-03,"$147,532,882","$3,466,262",$6.79,$7.36
2021-09-02,"$154,428,080","$4,426,734",$7.16,$6.79
2021-09-01,"$141,387,726","$6,165,388",$6.66,$7.16
2021-08-31,"$134,753,356","$10,301,631",$6.22,$6.66
2021-08-30,"$156,647,198","$11,523,017",$7.57,$6.22
2021-08-29,"$136,436,723","$7,525,809",$6.55,$7.57
2021-08-28,"$144,064,035","$9,549,734",$6.98,$6.55
2021-08-27,"$141,435,183","$7,425,480",$6.90,$6.98
2021-08-26,"$139,502,463","$5,511,151",$6.86,$6.90
2021-08-25,"$137,948,140","$6,733,242",$6.74,$6.86
2021-08-24,"$160,520,044","$9,427,647",$8.00,$6.74
2021-08-23,"$149,793,654","$5,528,881",$7.59,$8.00
2021-08-22,"$147,713,451","$6,826,992",$7.56,$7.59
2021-08-21,"$149,199,934","$10,288,217",$7.72,$7.56
2021-08-20,"$122,473,543","$13,105,285",$6.48,$7.72
2021-08-19,"$109,468,321","$9,043,731",$5.72,$6.48
2021-08-18,"$102,313,691","$5,452,332",$5.48,$5.72
2021-08-17,"$111,166,986","$8,365,461",$5.95,$5.48
2021-08-16,"$119,127,890","$10,333,513",$6.54,$5.95
2021-08-15,"$116,887,098","$10,026,362",$6.49,$6.54
2021-08-14,"$109,995,794","$5,792,496",$6.37,$6.49
2021-08-13,"$84,394,275","$4,419,090",$4.86,$6.37
2021-08-12,"$92,622,481","$5,875,109",$5.23,$4.86
2021-08-11,"$86,134,981","$5,180,781",$5.01,$5.23
2021-08-10,"$84,909,941","$8,024,070",$5.17,$5.01
2021-08-09,"$86,950,296","$8,750,555",$5.20,$5.17
2021-08-08,"$70,100,734","$5,316,478",$4.47,$5.20
2021-08-07,"$71,024,917","$5,011,936",$4.39,$4.47
2021-08-06,"$59,928,816","$3,977,435",$3.77,$4.39
2021-08-05,"$50,782,657","$2,028,399",$3.20,$3.77
2021-08-04,"$49,146,020","$3,516,989",$3.15,$3.20
