Date,Market Cap,Volume,Open,Close
2021-10-16,"$1,141,532,764","$204,700,088",$2.91,N/A
2021-10-15,"$1,126,258,195","$252,721,016",$2.88,$2.91
2021-10-14,"$1,162,430,742","$292,814,460",$2.97,$2.88
2021-10-13,"$1,051,084,932","$132,380,292",$2.69,$2.97
2021-10-12,"$1,045,579,660","$135,813,305",$2.70,$2.69
2021-10-11,"$1,053,835,495","$141,317,152",$2.70,$2.70
2021-10-10,"$1,142,604,893","$259,763,929",$2.91,$2.70
2021-10-09,"$1,153,116,805","$181,377,786",$2.94,$2.91
2021-10-08,"$1,105,256,649","$216,619,348",$2.81,$2.94
2021-10-07,"$1,080,403,148","$205,778,666",$2.74,$2.81
2021-10-06,"$1,150,218,388","$261,996,106",$2.93,$2.74
2021-10-05,"$1,135,371,077","$309,674,083",$2.87,$2.93
2021-10-04,"$1,119,831,318","$368,150,303",$2.83,$2.87
2021-10-03,"$1,011,845,989","$172,989,276",$2.55,$2.83
2021-10-02,"$1,002,848,788","$199,057,162",$2.53,$2.55
2021-10-01,"$930,804,679","$197,205,252",$2.33,$2.53
2021-09-30,"$909,273,235","$181,942,799",$2.29,$2.33
2021-09-29,"$904,122,927","$260,641,110",$2.25,$2.29
2021-09-28,"$948,436,666","$413,054,834",$2.37,$2.25
2021-09-27,"$1,022,150,595","$387,209,619",$2.55,$2.37
2021-09-26,"$935,442,687","$153,059,069",$2.32,$2.55
2021-09-25,"$975,988,346","$366,629,514",$2.42,$2.32
2021-09-24,"$1,123,634,160","$346,930,274",$2.79,$2.42
2021-09-23,"$982,596,221","$224,994,142",$2.44,$2.79
2021-09-22,"$871,651,908","$338,126,918",$2.17,$2.44
2021-09-21,"$969,600,275","$458,067,860",$2.42,$2.17
2021-09-20,"$1,233,004,173","$337,898,055",$3.05,$2.42
2021-09-19,"$1,157,834,235","$316,168,532",$2.88,$3.05
2021-09-18,"$1,133,438,315","$478,938,944",$2.81,$2.88
2021-09-17,"$1,252,889,758","$711,626,426",$3.11,$2.81
2021-09-16,"$1,218,137,519","$653,415,270",$3.03,$3.11
2021-09-15,"$1,122,400,923","$617,138,731",$2.80,$3.03
2021-09-14,"$950,010,092","$287,028,097",$2.37,$2.80
2021-09-13,"$972,117,363","$158,530,015",$2.42,$2.37
2021-09-12,"$913,657,747","$155,788,042",$2.27,$2.42
2021-09-11,"$860,275,064","$309,004,654",$2.14,$2.27
2021-09-10,"$964,612,832","$294,692,878",$2.38,$2.14
2021-09-09,"$804,549,183","$230,672,971",$1.99,$2.38
2021-09-08,"$805,549,594","$371,753,365",$1.99,$1.99
2021-09-07,"$1,011,593,792","$290,166,068",$2.50,$1.99
2021-09-06,"$995,917,606","$328,960,750",$2.47,$2.50
2021-09-05,"$917,418,579","$181,597,529",$2.27,$2.47
2021-09-04,"$886,438,606","$137,244,274",$2.20,$2.27
2021-09-03,"$888,608,417","$132,160,222",$2.21,$2.20
2021-09-02,"$918,357,711","$173,033,938",$2.29,$2.21
2021-09-01,"$897,396,497","$316,958,693",$2.24,$2.29
2021-08-31,"$838,956,179","$265,033,143",$2.11,$2.24
2021-08-30,"$844,832,753","$112,837,563",$2.12,$2.11
2021-08-29,"$835,370,063","$101,390,839",$2.09,$2.12
2021-08-28,"$868,994,863","$142,139,392",$2.17,$2.09
2021-08-27,"$835,074,716","$124,061,147",$2.09,$2.17
2021-08-26,"$879,438,756","$198,721,377",$2.21,$2.09
2021-08-25,"$845,966,305","$232,476,264",$2.11,$2.21
2021-08-24,"$883,588,015","$248,758,249",$2.36,$2.11
2021-08-23,"$913,691,084","$275,119,703",$2.43,$2.36
2021-08-22,"$827,849,322","$232,127,003",$2.22,$2.43
2021-08-21,"$851,292,244","$215,867,569",$2.28,$2.22
2021-08-20,"$789,496,362","$188,499,847",$2.13,$2.28
2021-08-19,"$734,030,139","$158,973,805",$1.94,$2.13
2021-08-18,"$729,530,921","$220,470,116",$1.92,$1.94
2021-08-17,"$796,278,835","$181,253,498",$2.13,$1.92
2021-08-16,"$818,498,503","$162,222,635",$2.22,$2.13
2021-08-15,"$824,077,682","$176,118,129",$2.26,$2.22
2021-08-14,"$850,232,176","$218,046,009",$2.36,$2.26
2021-08-13,"$732,302,667","$167,073,218",$2.03,$2.36
2021-08-12,"$734,164,734","$201,328,221",$2.05,$2.03
2021-08-11,"$730,437,315","$161,241,705",$2.04,$2.05
2021-08-10,"$658,762,216","$116,106,487",$1.87,$2.04
2021-08-09,"$628,091,118","$117,811,697",$1.75,$1.87
2021-08-08,"$679,918,597","$154,157,629",$1.90,$1.75
2021-08-07,"$690,604,134","$174,990,181",$1.94,$1.90
2021-08-06,"$635,587,363","$161,612,773",$1.78,$1.94
2021-08-05,"$581,078,624","$96,916,220",$1.63,$1.78
2021-08-04,"$560,310,712","$75,572,187",$1.57,$1.63
2021-08-03,"$581,073,481","$77,067,612",$1.63,$1.57
2021-08-02,"$588,888,252","$88,337,205",$1.66,$1.63
2021-08-01,"$607,976,675","$102,898,614",$1.72,$1.66
2021-07-31,"$602,506,582","$109,218,046",$1.70,$1.72
2021-07-30,"$572,213,389","$93,577,813",$1.62,$1.70
2021-07-29,"$540,305,104","$67,300,644",$1.54,$1.62
2021-07-28,"$548,093,070","$74,885,257",$1.56,$1.54
2021-07-27,"$538,073,190","$146,907,902",$1.52,$1.56
2021-07-26,"$538,012,381","$85,209,192",$1.54,$1.52
2021-07-25,"$541,588,274","$91,887,830",$1.55,$1.54
2021-07-24,"$559,700,117","$108,362,274",$1.60,$1.55
2021-07-23,"$542,201,380","$110,448,773",$1.55,$1.60
