Date,Market Cap,Volume,Open,Close
2021-10-16,"$6,991,089,765","$1,283,969,082",$1.00,N/A
2021-10-15,"$6,770,612,810","$640,218,034",$1.00,$1.00
2021-10-14,"$6,638,638,659","$1,600,165,906",$1.00,$1.00
2021-10-13,"$6,607,836,165","$591,828,426",$1.00,$1.00
2021-10-12,"$6,554,714,018","$462,183,445",$1.01,$1.00
2021-10-11,"$6,543,645,498","$317,846,194",$1.00,$1.01
2021-10-10,"$6,537,843,670","$267,447,014",$1.00,$1.00
2021-10-09,"$6,493,206,763","$382,016,557",$1.00,$1.00
2021-10-08,"$6,446,972,671","$397,177,241",$1.00,$1.00
2021-10-07,"$6,414,373,278","$614,728,813",$1.00,$1.00
2021-10-06,"$6,313,909,658","$476,702,217",$1.00,$1.00
2021-10-05,"$6,290,092,663","$466,929,750",$1.00,$1.00
2021-10-04,"$6,272,842,279","$284,441,879",$1.00,$1.00
2021-10-03,"$6,219,234,789","$274,349,856",$0.999448,$1.00
2021-10-02,"$6,219,165,305","$485,073,515",$1.00,$0.999448
2021-10-01,"$6,199,628,073","$658,703,253",$1.01,$1.00
2021-09-30,"$6,191,474,519","$408,706,154",$1.00,$1.01
2021-09-29,"$6,183,354,056","$460,645,517",$0.994649,$1.00
2021-09-28,"$6,175,531,614","$633,837,231",$0.994492,$0.994649
2021-09-27,"$6,079,024,252","$363,053,948",$1.00,$0.994492
2021-09-26,"$6,064,950,516","$345,478,860",$1.00,$1.00
2021-09-25,"$6,046,166,700","$531,959,022",$1.00,$1.00
2021-09-24,"$6,094,469,528","$296,091,094",$1.00,$1.00
2021-09-23,"$6,025,413,163","$421,176,271",$1.00,$1.00
2021-09-22,"$6,059,754,074","$649,201,400",$0.995159,$1.00
2021-09-21,"$6,087,222,920","$875,168,548",$0.991183,$0.995159
2021-09-20,"$6,341,811,746","$274,193,198",$1.00,$0.991183
2021-09-19,"$6,330,278,299","$257,757,806",$1.00,$1.00
2021-09-18,"$6,337,331,911","$339,676,896",$1.00,$1.00
2021-09-17,"$6,311,184,288","$359,088,348",$1.00,$1.00
2021-09-16,"$6,286,593,817","$268,647,848",$1.00,$1.00
2021-09-15,"$6,286,029,153","$259,081,823",$1.00,$1.00
2021-09-14,"$6,305,138,406","$401,222,112",$1.00,$1.00
2021-09-13,"$6,305,049,658","$271,128,077",$1.01,$1.00
2021-09-12,"$6,283,492,128","$261,504,318",$1.00,$1.01
2021-09-11,"$6,155,063,054","$366,916,404",$0.997759,$1.00
2021-09-10,"$6,232,966,612","$344,437,002",$1.00,$0.997759
2021-09-09,"$6,231,557,363","$563,711,069",$1.00,$1.00
2021-09-08,"$6,216,941,541","$838,996,756",$1.00,$1.00
2021-09-07,"$6,187,976,964","$430,745,861",$1.00,$1.00
2021-09-06,"$6,147,447,306","$267,117,101",$0.999645,$1.00
2021-09-05,"$6,112,981,422","$319,776,466",$0.998331,$0.999645
2021-09-04,"$6,100,944,794","$442,033,472",$0.998898,$0.998331
2021-09-03,"$6,060,471,958","$677,481,159",$0.999851,$0.998898
2021-09-02,"$5,873,154,201","$550,987,100",$1.00,$0.999851
2021-09-01,"$5,860,043,256","$518,511,066",$1.00,$1.00
2021-08-31,"$5,842,080,102","$330,373,789",$0.997830,$1.00
2021-08-30,"$5,850,913,957","$256,478,649",$0.999939,$0.997830
2021-08-29,"$5,822,652,586","$225,626,464",$1.00,$0.999939
2021-08-28,"$5,825,544,831","$298,518,034",$1.00,$1.00
2021-08-27,"$5,778,564,255","$356,973,437",$0.999792,$1.00
2021-08-26,"$5,773,271,142","$328,719,602",$0.999855,$0.999792
2021-08-25,"$5,787,349,455","$479,422,445",$1.00,$0.999855
2021-08-24,"$5,787,999,784","$497,932,598",$1.00,$1.00
2021-08-23,"$5,800,139,321","$278,847,912",$1.01,$1.00
2021-08-22,"$5,771,563,780","$343,788,315",$1.00,$1.01
2021-08-21,"$5,751,803,888","$422,985,327",$0.999684,$1.00
2021-08-20,"$5,742,013,248","$452,138,852",$1.01,$0.999684
2021-08-19,"$5,735,960,696","$523,968,902",$1.00,$1.01
2021-08-18,"$5,722,002,699","$494,050,228",$1.00,$1.00
2021-08-17,"$5,736,557,951","$465,082,361",$1.00,$1.00
2021-08-16,"$5,741,630,077","$339,192,643",$1.00,$1.00
2021-08-15,"$5,688,684,862","$371,446,678",$0.999990,$1.00
2021-08-14,"$5,676,819,812","$382,605,426",$1.00,$0.999990
2021-08-13,"$5,632,021,893","$438,675,682",$1.00,$1.00
2021-08-12,"$5,600,687,714","$382,087,064",$0.999256,$1.00
2021-08-11,"$5,575,469,233","$490,134,607",$1.00,$0.999256
2021-08-10,"$5,532,087,205","$617,566,371",$1.00,$1.00
2021-08-09,"$5,555,842,673","$530,268,110",$1.00,$1.00
2021-08-08,"$5,498,000,382","$563,635,853",$0.999778,$1.00
2021-08-07,"$5,461,811,006","$745,816,261",$1.00,$0.999778
2021-08-06,"$5,461,101,360","$587,265,147",$1.00,$1.00
2021-08-05,"$5,414,461,051","$481,278,661",$0.995116,$1.00
2021-08-04,"$5,448,817,222","$728,639,986",$1.01,$0.995116
2021-08-03,"$5,434,599,924","$371,054,126",$1.00,$1.01
2021-08-02,"$5,409,630,448","$364,153,802",$1.00,$1.00
2021-08-01,"$5,394,112,979","$458,950,785",$1.00,$1.00
2021-07-31,"$5,391,646,533","$473,753,895",$1.00,$1.00
