Date,Market Cap,Volume,Open,Close
2021-10-16,"$423,496,680","$61,119,510",$1.00,N/A
2021-10-15,"$423,892,655","$12,908,028",$1.01,$1.00
2021-10-14,"$407,923,047","$9,753,113",$1.00,$1.01
2021-10-13,"$404,640,036","$17,378,805",$1.01,$1.00
2021-10-12,"$396,194,350","$13,613,178",$1.01,$1.01
2021-10-11,"$393,876,895","$8,834,823",$1.00,$1.01
2021-10-10,"$394,757,250","$6,531,323",$1.01,$1.00
2021-10-09,"$383,442,464","$8,863,013",$1.00,$1.01
2021-10-08,"$371,998,485","$8,311,012",$0.996493,$1.00
2021-10-07,"$368,483,795","$8,064,037",$1.01,$0.996493
2021-10-06,"$352,178,690","$9,353,217",$1.01,$1.01
2021-10-05,"$352,247,441","$10,920,498",$1.00,$1.01
2021-10-04,"$352,306,858","$6,632,145",$1.00,$1.00
2021-10-03,"$347,853,608","$3,611,817",$0.993184,$1.00
2021-10-02,"$351,257,107","$12,570,602",$1.00,$0.993184
2021-10-01,"$350,182,643","$5,872,186",$0.998989,$1.00
2021-09-30,"$352,350,389","$9,044,957",$1.01,$0.998989
2021-09-29,"$346,311,100","$6,961,542",$0.992892,$1.01
2021-09-28,"$335,861,138","$8,246,473",$0.990467,$0.992892
2021-09-27,"$341,934,261","$7,346,808",$1.01,$0.990467
2021-09-26,"$341,277,605","$17,655,702",$1.00,$1.01
2021-09-25,"$341,904,204","$21,795,285",$1.01,$1.00
2021-09-24,"$339,521,492","$5,801,873",$1.00,$1.01
2021-09-23,"$340,069,594","$15,224,600",$1.00,$1.00
2021-09-22,"$334,550,285","$13,396,622",$0.995598,$1.00
2021-09-21,"$335,246,326","$22,321,866",$0.993461,$0.995598
2021-09-20,"$342,108,477","$15,386,779",$1.00,$0.993461
2021-09-19,"$337,493,047","$6,477,820",$0.997790,$1.00
2021-09-18,"$329,772,092","$16,494,231",$1.00,$0.997790
2021-09-17,"$329,452,514","$8,833,695",$1.00,$1.00
2021-09-16,"$325,173,047","$9,127,708",$1.01,$1.00
2021-09-15,"$323,188,407","$8,844,255",$1.00,$1.01
2021-09-14,"$323,889,080","$15,748,566",$1.00,$1.00
2021-09-13,"$316,935,400","$10,748,543",$0.997928,$1.00
2021-09-12,"$315,083,413","$2,499,211",$0.994720,$0.997928
2021-09-11,"$316,889,821","$10,034,223",$0.999126,$0.994720
2021-09-10,"$317,237,546","$14,768,178",$0.999263,$0.999126
2021-09-09,"$316,077,324","$6,735,248",$1.00,$0.999263
2021-09-08,"$315,777,796","$19,005,921",$1.00,$1.00
2021-09-07,"$317,235,260","$5,552,788",$1.01,$1.00
2021-09-06,"$313,168,688","$4,078,711",$0.996396,$1.01
2021-09-05,"$315,188,682","$4,212,527",$1.00,$0.996396
2021-09-04,"$313,252,370","$4,753,628",$0.997188,$1.00
2021-09-03,"$313,349,340","$3,740,533",$0.995558,$0.997188
2021-09-02,"$316,518,079","$6,817,327",$1.00,$0.995558
2021-09-01,"$311,968,669","$17,403,653",$1.00,$1.00
2021-08-31,"$310,049,160","$4,613,248",$0.993371,$1.00
2021-08-30,"$311,150,865","$5,174,346",$0.998370,$0.993371
2021-08-29,"$311,472,282","$8,624,917",$1.00,$0.998370
2021-08-28,"$310,654,429","$11,420,187",$0.999780,$1.00
2021-08-27,"$310,754,600","$12,586,004",$0.998896,$0.999780
2021-08-26,"$307,670,334","$18,897,684",$0.999869,$0.998896
2021-08-25,"$307,415,415","$23,803,503",$0.999312,$0.999869
2021-08-24,"$307,120,135","$49,839,642",$0.999299,$0.999312
2021-08-23,"$302,321,712","$6,125,545",$1.01,$0.999299
2021-08-22,"$298,884,513","$8,668,196",$0.995911,$1.01
2021-08-21,"$287,238,445","$22,596,827",$1.00,$0.995911
2021-08-20,"$282,090,410","$6,000,595",$1.00,$1.00
2021-08-19,"$278,986,879","$8,051,519",$1.00,$1.00
2021-08-18,"$278,301,380","$11,335,906",$0.996132,$1.00
2021-08-17,"$272,833,801","$14,541,690",$0.999972,$0.996132
2021-08-16,"$271,590,446","$17,451,001",$0.999259,$0.999972
2021-08-15,"$256,628,454","$22,568,979",$1.00,$0.999259
2021-08-14,"$261,672,400","$8,202,261",$1.01,$1.00
2021-08-13,"$260,720,888","$7,583,395",$1.00,$1.01
2021-08-12,"$259,527,029","$10,912,807",$0.999086,$1.00
2021-08-11,"$259,807,714","$5,786,946",$0.999173,$0.999086
2021-08-10,"$260,419,509","$10,517,107",$1.00,$0.999173
2021-08-09,"$259,115,538","$6,518,216",$0.999184,$1.00
2021-08-08,"$260,783,791","$11,087,781",$1.00,$0.999184
2021-08-07,"$260,437,853","$6,676,477",$1.00,$1.00
