Date,Market Cap,Volume,Open,Close
2021-10-16,"$500,653,844","$6,849,811",$332.82,N/A
2021-10-15,"$490,128,317","$5,980,446",$325.43,$332.82
2021-10-14,"$465,987,444","$2,910,269",$309.90,$325.43
2021-10-13,"$458,330,416","$8,214,274",$302.45,$309.90
2021-10-12,"$456,134,853","$4,292,395",$302.48,$302.45
2021-10-11,"$447,756,777","$5,755,236",$297.53,$302.48
2021-10-10,"$458,403,922","$7,367,189",$304.22,$297.53
2021-10-09,"$451,682,297","$8,179,491",$300.63,$304.22
2021-10-08,"$448,226,807","$3,997,035",$298.05,$300.63
2021-10-07,"$447,145,936","$7,563,131",$298.26,$298.05
2021-10-06,"$435,793,782","$4,043,504",$289.68,$298.26
2021-10-05,"$416,878,873","$1,473,909",$275.94,$289.68
2021-10-04,"$421,459,188","$1,771,735",$279.98,$275.94
2021-10-03,"$411,669,614","$2,700,942",$273.58,$279.98
2021-10-02,"$402,584,512","$2,931,278",$267.51,$273.58
2021-10-01,"$376,281,704","$3,038,139",$249.78,$267.51
2021-09-30,"$357,341,322","$6,866,175",$237.53,$249.78
2021-09-29,"$352,732,460","$5,707,269",$233.95,$237.53
2021-09-28,"$367,416,050","$2,742,696",$244.31,$233.95
2021-09-27,"$378,288,345","$1,627,399",$248.92,$244.31
2021-09-26,"$370,338,641","$2,033,765",$245.87,$248.92
2021-09-25,"$375,068,637","$1,643,574",$247.66,$245.87
2021-09-24,"$405,299,958","$2,190,226",$270.01,$247.66
2021-09-23,"$387,426,095","$4,649,674",$257.57,$270.01
2021-09-22,"$351,638,077","$9,003,067",$234.26,$257.57
2021-09-21,"$365,458,833","$4,421,521",$243.87,$234.26
2021-09-20,"$401,508,305","$1,538,955",$266.86,$243.87
2021-09-19,"$418,155,969","$2,411,179",$277.95,$266.86
2021-09-18,"$418,261,400","$1,833,425",$278.09,$277.95
2021-09-17,"$432,712,669","$1,461,758",$287.55,$278.09
2021-09-16,"$443,510,182","$3,230,472",$294.73,$287.55
2021-09-15,"$431,905,959","$4,935,672",$287.02,$294.73
2021-09-14,"$413,398,348","$1,124,837",$274.75,$287.02
2021-09-13,"$429,890,462","$1,360,742",$285.05,$274.75
2021-09-12,"$425,977,813","$1,132,984",$283.05,$285.05
2021-09-11,"$414,257,358","$2,681,202",$275.45,$283.05
2021-09-10,"$443,984,012","$3,820,596",$294.76,$275.45
2021-09-09,"$404,768,977","$2,595,297",$268.49,$294.76
2021-09-08,"$398,604,040","$5,438,980",$263.60,$268.49
2021-09-07,"$470,283,769","$3,330,639",$313.22,$263.60
2021-09-06,"$463,764,731","$2,553,153",$308.21,$313.22
2021-09-05,"$456,595,087","$4,023,288",$303.54,$308.21
2021-09-04,"$468,885,860","$15,116,126",$311.88,$303.54
2021-09-03,"$466,509,428","$13,635,818",$310.45,$311.88
2021-09-02,"$446,684,002","$16,955,024",$297.01,$310.45
2021-09-01,"$432,367,230","$23,034,826",$287.49,$297.01
2021-08-31,"$462,528,306","$84,869,101",$310.37,$287.49
2021-08-30,"$443,453,238","$5,108,516",$295.67,$310.37
2021-08-29,"$437,593,022","$4,562,755",$290.58,$295.67
2021-08-28,"$445,154,876","$5,934,780",$297.36,$290.58
2021-08-27,"$470,198,093","$5,077,695",$312.48,$297.36
2021-08-26,"$511,162,545","$10,634,543",$339.70,$312.48
2021-08-25,"$424,107,860","$9,159,791",$281.80,$339.70
2021-08-24,"$383,096,747","$5,179,200",$254.27,$281.80
2021-08-23,"$354,273,297","$3,562,832",$235.20,$254.27
2021-08-22,"$349,064,086","$3,391,903",$232.44,$235.20
2021-08-21,"$351,906,186","$4,237,689",$234.29,$232.44
2021-08-20,"$323,607,658","$3,538,450",$217.99,$234.29
2021-08-19,"$322,457,291","$4,083,742",$213.84,$217.99
