Date,Market Cap,Volume,Open,Close
2021-10-16,"$525,883,137","$93,072,970",$5.75,N/A
2021-10-15,"$551,293,550","$74,887,580",$6.02,$5.75
2021-10-14,"$546,984,066","$76,520,422",$5.98,$6.02
2021-10-13,"$530,294,969","$82,495,908",$5.80,$5.98
2021-10-12,"$551,353,052","$76,902,206",$6.08,$5.80
2021-10-11,"$564,464,349","$77,145,901",$6.19,$6.08
2021-10-10,"$614,873,704","$89,766,154",$6.73,$6.19
2021-10-09,"$595,955,027","$81,550,803",$6.50,$6.73
2021-10-08,"$596,990,863","$83,423,911",$6.53,$6.50
2021-10-07,"$576,551,419","$44,780,962",$6.32,$6.53
2021-10-06,"$586,617,571","$41,215,687",$6.41,$6.32
2021-10-05,"$568,214,115","$70,778,090",$6.23,$6.41
2021-10-04,"$603,585,639","$104,839,423",$6.59,$6.23
2021-10-03,"$551,971,446","$94,541,741",$6.06,$6.59
2021-10-02,"$533,772,139","$91,556,276",$5.85,$6.06
2021-10-01,"$492,231,986","$112,452,415",$5.39,$5.85
2021-09-30,"$464,559,639","$118,890,548",$5.09,$5.39
2021-09-29,"$467,670,160","$119,027,737",$5.11,$5.09
2021-09-28,"$512,002,687","$124,140,099",$5.56,$5.11
2021-09-27,"$516,985,593","$134,170,651",$5.65,$5.56
2021-09-26,"$540,303,760","$116,343,648",$5.92,$5.65
2021-09-25,"$579,852,573","$194,069,111",$6.34,$5.92
2021-09-24,"$544,559,317","$109,918,004",$5.94,$6.34
2021-09-23,"$501,753,007","$149,161,439",$5.50,$5.94
2021-09-22,"$420,726,891","$96,334,707",$4.63,$5.50
2021-09-21,"$466,858,969","$109,619,984",$5.14,$4.63
2021-09-20,"$550,299,097","$74,286,442",$6.02,$5.14
2021-09-19,"$574,221,677","$75,760,781",$6.28,$6.02
2021-09-18,"$561,856,385","$113,595,229",$6.15,$6.28
2021-09-17,"$585,499,251","$40,132,324",$6.41,$6.15
2021-09-16,"$592,204,116","$31,415,659",$6.48,$6.41
2021-09-15,"$582,255,053","$34,314,138",$6.38,$6.48
2021-09-14,"$574,620,601","$61,259,540",$6.28,$6.38
2021-09-13,"$622,834,741","$47,820,802",$6.82,$6.28
2021-09-12,"$572,201,930","$39,441,635",$6.26,$6.82
2021-09-11,"$574,446,137","$65,842,993",$6.30,$6.26
2021-09-10,"$617,491,272","$87,189,293",$6.73,$6.30
2021-09-09,"$565,602,658","$74,980,876",$6.15,$6.73
2021-09-08,"$564,464,983","$124,785,904",$6.16,$6.15
2021-09-07,"$716,795,969","$114,953,070",$7.83,$6.16
2021-09-06,"$726,268,133","$89,859,958",$7.95,$7.83
2021-09-05,"$733,879,567","$114,367,793",$8.06,$7.95
2021-09-04,"$735,161,320","$138,139,719",$8.05,$8.06
2021-09-03,"$746,280,371","$180,190,344",$8.15,$8.05
2021-09-02,"$744,763,512","$224,004,916",$8.16,$8.15
2021-09-01,"$693,389,992","$92,890,495",$7.59,$8.16
2021-08-31,"$710,965,468","$430,303,735",$7.86,$7.59
2021-08-30,"$692,360,020","$113,148,108",$8.47,$7.86
2021-08-29,"$700,135,505","$173,466,969",$8.60,$8.47
2021-08-28,"$664,074,135","$257,124,593",$8.17,$8.60
2021-08-27,"$627,169,007","$132,830,710",$7.69,$8.17
2021-08-26,"$657,340,330","$219,316,219",$8.08,$7.69
2021-08-25,"$650,725,583","$241,302,204",$7.97,$8.08
2021-08-24,"$704,124,832","$334,557,298",$8.65,$7.97
2021-08-23,"$683,990,460","$755,544,818",$8.40,$8.65
2021-08-22,"$618,195,845","$351,084,207",$7.57,$8.40
2021-08-21,"$573,238,165","$81,359,222",$7.05,$7.57
2021-08-20,"$525,995,160","$113,907,434",$6.60,$7.05
2021-08-19,"$528,038,533","$179,184,190",$6.45,$6.60
2021-08-18,"$515,801,438","$240,936,603",$6.32,$6.45
2021-08-17,"$533,200,455","$140,480,091",$6.42,$6.32
2021-08-16,"$532,320,052","$269,900,245",$6.54,$6.42
2021-08-15,"$493,060,553","$71,333,239",$6.04,$6.54
2021-08-14,"$500,129,393","$70,931,988",$6.14,$6.04
2021-08-13,"$478,914,849","$86,640,266",$5.89,$6.14
2021-08-12,"$502,040,211","$102,532,692",$6.18,$5.89
2021-08-11,"$495,942,956","$110,796,792",$6.07,$6.18
2021-08-10,"$482,453,698","$125,507,649",$5.94,$6.07
2021-08-09,"$463,433,739","$111,949,011",$5.69,$5.94
2021-08-08,"$495,342,637","$119,566,022",$6.10,$5.69
2021-08-07,"$497,841,688","$105,724,360",$6.11,$6.10
2021-08-06,"$491,869,550","$109,683,300",$6.03,$6.11
2021-08-05,"$428,113,924","$127,177,436",$6.12,$6.03
2021-08-04,"$433,940,402","$381,333,287",$6.18,$6.12
2021-08-03,"$412,731,223","$185,027,325",$5.84,$6.18
2021-08-02,"$364,584,974","$137,004,119",$5.22,$5.84
2021-08-01,"$369,846,707","$94,576,387",$5.27,$5.22
2021-07-31,"$370,236,709","$75,876,861",$5.28,$5.27
2021-07-30,"$369,048,434","$83,725,793",$5.25,$5.28
2021-07-29,"$370,894,746","$111,261,307",$5.29,$5.25
2021-07-28,"$382,991,107","$191,021,271",$5.47,$5.29
2021-07-27,"$353,299,700","$243,946,255",$5.02,$5.47
2021-07-26,"$324,312,789","$93,737,407",$4.63,$5.02
2021-07-25,"$311,570,691","$92,211,207",$4.44,$4.63
2021-07-24,"$309,483,012","$203,009,625",$4.41,$4.44
2021-07-23,"$275,430,134","$80,195,939",$3.92,$4.41
2021-07-22,"$257,213,515","$74,064,499",$3.68,$3.92
2021-07-21,"$236,005,955","$22,832,896",$3.36,$3.68
2021-07-20,"$256,077,293","$21,529,054",$3.64,$3.36
2021-07-19,"$277,120,822","$26,186,909",$3.94,$3.64
2021-07-18,"$269,441,907","$18,289,160",$3.83,$3.94
2021-07-17,"$265,110,756","$35,619,144",$3.78,$3.83
2021-07-16,"$276,308,628","$36,849,927",$3.95,$3.78
2021-07-15,"$295,246,617","$36,564,126",$4.21,$3.95
2021-07-14,"$286,975,611","$25,952,279",$4.09,$4.21
2021-07-13,"$301,808,885","$33,005,919",$4.32,$4.09
2021-07-12,"$309,318,044","$51,276,798",$4.41,$4.32
2021-07-11,"$303,520,191","$34,376,288",$4.32,$4.41
2021-07-10,"$310,248,513","$31,178,930",$4.43,$4.32
2021-07-09,"$305,729,749","$46,448,211",$4.37,$4.43
2021-07-08,"$333,687,549","$48,209,522",$4.76,$4.37
2021-07-07,"$322,164,940","$56,453,173",$4.59,$4.76
2021-07-06,"$318,581,023","$72,668,939",$4.54,$4.59
2021-07-05,"$315,122,734","$45,644,128",$4.49,$4.54
2021-07-04,"$300,795,378","$31,706,328",$4.29,$4.49
2021-07-03,"$288,690,288","$30,688,480",$4.14,$4.29
2021-07-02,"$277,128,550","$37,647,431",$3.97,$4.14
2021-07-01,"$295,890,989","$75,116,176",$4.21,$3.97
2021-06-30,"$282,294,077","$98,743,294",$4.00,$4.21
2021-06-29,"$254,499,799","$34,993,188",$3.63,$4.00
2021-06-28,"$247,987,192","$28,916,291",$3.54,$3.63
2021-06-27,"$240,699,446","$38,517,163",$3.45,$3.54
2021-06-26,"$232,775,615","$41,856,332",$3.31,$3.45
2021-06-25,"$250,030,184","$77,545,792",$3.56,$3.31
2021-06-24,"$236,398,763","$124,227,498",$3.38,$3.56
2021-06-23,"$225,398,626","$124,064,734",$3.21,$3.38
2021-06-22,"$218,256,514","$122,609,826",$3.09,$3.21
2021-06-21,"$284,760,349","$37,130,005",$4.06,$3.09
2021-06-20,"$270,656,107","$28,771,849",$3.86,$4.06
2021-06-19,"$264,222,281","$66,885,068",$3.74,$3.86
2021-06-18,"$289,065,475","$81,347,737",$4.15,$3.74
2021-06-17,"$288,791,756","$132,573,749",$4.12,$4.15
2021-06-16,"$286,986,541","$109,815,864",$4.09,$4.12
2021-06-15,"$281,862,213","$179,157,551",$4.01,$4.09
2021-06-14,"$269,982,110","$96,724,450",$3.88,$4.01
2021-06-13,"$257,979,881","$43,147,730",$3.64,$3.88
2021-06-12,"$249,486,292","$32,418,682",$3.57,$3.64
2021-06-11,"$272,703,232","$41,006,390",$3.89,$3.57
2021-06-10,"$288,703,343","$47,181,951",$4.11,$3.89
2021-06-09,"$288,748,042","$55,832,190",$4.11,$4.11
2021-06-08,"$292,073,720","$46,394,807",$4.10,$4.11
