Date,Market Cap,Volume,Open,Close
2021-10-16,"$397,782,985","$1,424,779,569",$0.723474,N/A
2021-10-15,"$227,514,449","$7,855,440",$0.413979,$0.723474
2021-10-14,"$228,923,806","$12,897,130",$0.417210,$0.413979
2021-10-13,"$221,776,022","$11,739,113",$0.403093,$0.417210
2021-10-12,"$227,531,359","$27,279,385",$0.415598,$0.403093
2021-10-11,"$230,159,961","$16,582,927",$0.421322,$0.415598
2021-10-10,"$235,860,718","$13,078,213",$0.429199,$0.421322
2021-10-09,"$232,936,827","$22,406,029",$0.424022,$0.429199
2021-10-08,"$229,340,427","$30,076,406",$0.418310,$0.424022
2021-10-07,"$231,693,355","$29,335,234",$0.423384,$0.418310
2021-10-06,"$225,217,920","$12,567,599",$0.409387,$0.423384
2021-10-05,"$217,711,872","$12,432,651",$0.395455,$0.409387
2021-10-04,"$227,620,745","$14,023,129",$0.413727,$0.395455
2021-10-03,"$224,227,636","$19,275,502",$0.408926,$0.413727
2021-10-02,"$220,689,510","$14,320,594",$0.402151,$0.408926
2021-10-01,"$198,626,158","$11,225,228",$0.361513,$0.402151
2021-09-30,"$189,255,724","$9,988,096",$0.345061,$0.361513
2021-09-29,"$185,844,604","$12,375,006",$0.337341,$0.345061
2021-09-28,"$190,420,134","$15,456,375",$0.346397,$0.337341
2021-09-27,"$196,502,575","$28,565,479",$0.357916,$0.346397
2021-09-26,"$214,514,253","$23,259,374",$0.392793,$0.357916
2021-09-25,"$195,732,909","$19,770,172",$0.354898,$0.392793
2021-09-24,"$216,346,136","$11,404,291",$0.393952,$0.354898
2021-09-23,"$213,476,207","$20,851,373",$0.389971,$0.393952
2021-09-22,"$186,313,631","$17,021,231",$0.339891,$0.389971
2021-09-21,"$206,042,542","$20,696,354",$0.379476,$0.339891
2021-09-20,"$246,485,348","$10,777,740",$0.448103,$0.379476
2021-09-19,"$261,917,463","$16,217,895",$0.477163,$0.448103
2021-09-18,"$256,981,602","$53,453,553",$0.467084,$0.477163
2021-09-17,"$272,003,480","$32,298,083",$0.494833,$0.467084
2021-09-16,"$265,960,312","$73,950,469",$0.484098,$0.494833
2021-09-15,"$237,438,629","$16,533,568",$0.431826,$0.484098
2021-09-14,"$226,793,232","$19,100,103",$0.413915,$0.431826
2021-09-13,"$240,946,214","$24,413,135",$0.434993,$0.413915
2021-09-12,"$222,985,252","$19,981,436",$0.406030,$0.434993
2021-09-11,"$224,820,796","$24,580,334",$0.409127,$0.406030
2021-09-10,"$248,675,889","$33,765,617",$0.452580,$0.409127
2021-09-09,"$246,046,785","$42,817,493",$0.444682,$0.452580
2021-09-08,"$261,955,898","$124,565,782",$0.472476,$0.444682
2021-09-07,"$343,125,364","$172,374,722",$0.622714,$0.472476
2021-09-06,"$264,245,846","$14,776,555",$0.480345,$0.622714
2021-09-05,"$262,486,115","$27,694,153",$0.477261,$0.480345
2021-09-04,"$245,074,834","$18,893,881",$0.447870,$0.477261
2021-09-03,"$240,938,920","$18,962,384",$0.438031,$0.447870
2021-09-02,"$246,236,647","$26,966,287",$0.448182,$0.438031
2021-09-01,"$250,786,512","$47,269,533",$0.455229,$0.448182
2021-08-31,"$218,015,994","$23,738,509",$0.396663,$0.455229
2021-08-30,"$223,278,751","$11,235,315",$0.406243,$0.396663
2021-08-29,"$227,670,003","$16,959,082",$0.414317,$0.406243
2021-08-28,"$231,592,912","$24,567,875",$0.421062,$0.414317
2021-08-27,"$217,135,046","$27,833,232",$0.394436,$0.421062
2021-08-26,"$230,348,857","$30,069,843",$0.418937,$0.394436
2021-08-25,"$223,332,683","$49,060,398",$0.407010,$0.418937
2021-08-24,"$232,672,193","$23,985,697",$0.423168,$0.407010
2021-08-23,"$244,434,270","$48,888,384",$0.443227,$0.423168
2021-08-22,"$233,306,463","$35,461,097",$0.425405,$0.443227
2021-08-21,"$212,896,630","$14,662,964",$0.387939,$0.425405
2021-08-20,"$205,029,627","$21,811,163",$0.375350,$0.387939
2021-08-19,"$196,669,128","$27,134,040",$0.356326,$0.375350
2021-08-18,"$156,223,278","$25,579,517",$0.355477,$0.356326
2021-08-17,"$168,218,667","$24,526,344",$0.379306,$0.355477
2021-08-16,"$171,501,535","$17,382,753",$0.391936,$0.379306
2021-08-15,"$171,980,522","$31,642,375",$0.392813,$0.391936
2021-08-14,"$173,659,417","$47,791,538",$0.396947,$0.392813
2021-08-13,"$149,232,377","$28,799,408",$0.341108,$0.396947
2021-08-12,"$149,742,065","$27,722,180",$0.342791,$0.341108
2021-08-11,"$145,384,124","$63,815,996",$0.332777,$0.342791
2021-08-10,"$136,165,428","$23,678,735",$0.332010,$0.332777
2021-08-09,"$129,469,436","$16,485,837",$0.294958,$0.332010
2021-08-08,"$139,708,894","$25,108,506",$0.319557,$0.294958
2021-08-07,"$137,304,640","$20,191,589",$0.314403,$0.319557
2021-08-06,"$134,742,038","$24,152,438",$0.309288,$0.314403
2021-08-05,"$128,488,985","$17,851,045",$0.292293,$0.309288
2021-08-04,"$123,420,616","$16,999,411",$0.281837,$0.292293
2021-08-03,"$123,164,701","$13,309,147",$0.280449,$0.281837
2021-08-02,"$118,437,208","$18,890,062",$0.270800,$0.280449
2021-08-01,"$128,607,945","$35,626,747",$0.293885,$0.270800
2021-07-31,"$122,231,350","$19,421,506",$0.278771,$0.293885
2021-07-30,"$113,681,616","$7,438,225",$0.259854,$0.278771
2021-07-29,"$107,668,652","$6,093,349",$0.247084,$0.259854
2021-07-28,"$109,722,775","$11,872,662",$0.251993,$0.247084
2021-07-27,"$108,203,582","$21,130,100",$0.246694,$0.251993
2021-07-26,"$110,477,032","$14,357,525",$0.252871,$0.246694
2021-07-25,"$108,607,433","$20,433,562",$0.248600,$0.252871
2021-07-24,"$108,411,166","$12,267,790",$0.246902,$0.248600
2021-07-23,"$108,535,458","$11,545,932",$0.248573,$0.246902
2021-07-22,"$103,888,148","$7,563,971",$0.238248,$0.248573
2021-07-21,"$97,991,845","$12,061,411",$0.224232,$0.238248
2021-07-20,"$109,249,554","$5,145,479",$0.249661,$0.224232
2021-07-19,"$114,323,442","$5,577,467",$0.261400,$0.249661
2021-07-18,"$114,489,127","$6,432,737",$0.261311,$0.261400
2021-07-17,"$116,550,966","$12,124,923",$0.267460,$0.261311
2021-07-16,"$120,406,119","$18,084,980",$0.276305,$0.267460
2021-07-15,"$129,247,754","$19,931,239",$0.295840,$0.276305
2021-07-14,"$126,168,793","$16,636,755",$0.286658,$0.295840
2021-07-13,"$127,551,369","$15,388,331",$0.291431,$0.286658
2021-07-12,"$132,382,964","$40,979,769",$0.306630,$0.291431
2021-07-11,"$122,275,093","$14,585,626",$0.279421,$0.306630
2021-07-10,"$122,910,732","$17,574,371",$0.280933,$0.279421
2021-07-09,"$124,251,809","$28,375,801",$0.284068,$0.280933
2021-07-08,"$138,212,644","$81,295,464",$0.316032,$0.284068
2021-07-07,"$141,472,285","$47,026,684",$0.323243,$0.316032
2021-07-06,"$113,604,675","$7,438,918",$0.259557,$0.323243
2021-07-05,"$118,769,823","$11,732,667",$0.271484,$0.259557
2021-07-04,"$115,106,762","$7,416,586",$0.263708,$0.271484
2021-07-03,"$113,181,339","$11,769,814",$0.259639,$0.263708
2021-07-02,"$110,318,679","$11,103,344",$0.252596,$0.259639
2021-07-01,"$117,782,735","$16,702,976",$0.269124,$0.252596
2021-06-30,"$125,336,030","$15,635,397",$0.286434,$0.269124
2021-06-29,"$124,239,085","$18,278,229",$0.284702,$0.286434
2021-06-28,"$127,895,184","$41,483,249",$0.293986,$0.284702
2021-06-27,"$106,833,549","$12,683,230",$0.245186,$0.293986
2021-06-26,"$107,856,405","$13,352,517",$0.246034,$0.245186
2021-06-25,"$118,023,837","$12,617,787",$0.269696,$0.246034
2021-06-24,"$118,815,921","$22,624,557",$0.271703,$0.269696
2021-06-23,"$112,071,034","$36,560,691",$0.254903,$0.271703
2021-06-22,"$134,247,927","$27,243,628",$0.300198,$0.254903
2021-06-21,"$182,652,575","$22,115,043",$0.416236,$0.300198
2021-06-20,"$202,034,989","$41,947,687",$0.458926,$0.416236
2021-06-19,"$230,765,787","$59,946,512",$0.527190,$0.458926
2021-06-18,"$275,399,658","$218,040,212",$0.630782,$0.527190
2021-06-17,"$226,126,255","$11,512,707",$0.517584,$0.630782
2021-06-16,"$245,298,501","$21,778,245",$0.560573,$0.517584
2021-06-15,"$223,824,465","$10,828,573",$0.511623,$0.560573
2021-06-14,"$208,861,725","$4,525,683",$0.477403,$0.511623
2021-06-13,"$174,641,852","$6,042,877",$0.397436,$0.477403
