Date,Market Cap,Volume,Open,Close
2021-10-16,"$5,363,151,343","$7,308,645","$3,853.85",N/A
2021-10-15,"$5,249,075,931","$20,844,968","$3,771.05","$3,853.85"
2021-10-14,"$4,974,157,812","$9,343,735","$3,577.20","$3,771.05"
2021-10-13,"$4,836,544,060","$4,925,936","$3,473.76","$3,577.20"
2021-10-12,"$4,847,650,323","$8,725,531","$3,497.62","$3,473.76"
2021-10-11,"$4,703,519,712","$9,471,839","$3,405.53","$3,497.62"
2021-10-10,"$4,912,626,495","$9,678,207","$3,564.27","$3,405.53"
2021-10-09,"$4,887,556,006","$14,337,599","$3,543.89","$3,564.27"
2021-10-08,"$4,905,668,901","$37,195,418","$3,572.78","$3,543.89"
2021-10-07,"$4,893,690,070","$10,472,441","$3,564.85","$3,572.78"
2021-10-06,"$4,780,833,065","$4,107,459","$3,497.28","$3,564.85"
2021-10-05,"$4,551,721,778","$17,294,244","$3,383.18","$3,497.28"
2021-10-04,"$4,545,561,583","$7,339,616","$3,406.34","$3,383.18"
2021-10-03,"$4,491,337,311","$27,073,743","$3,373.67","$3,406.34"
2021-10-02,"$4,355,913,556","$17,597,390","$3,278.40","$3,373.67"
2021-10-01,"$3,949,031,854","$5,082,558","$2,980.48","$3,278.40"
2021-09-30,"$3,727,902,726","$9,568,146","$2,828.21","$2,980.48"
2021-09-29,"$3,691,496,027","$10,549,648","$2,796.30","$2,828.21"
2021-09-28,"$3,858,926,185","$12,097,231","$2,934.72","$2,796.30"
2021-09-27,"$3,970,274,350","$10,173,833","$3,030.25","$2,934.72"
2021-09-26,"$3,809,603,194","$11,381,243","$2,917.22","$3,030.25"
2021-09-25,"$3,836,860,649","$17,438,520","$2,907.75","$2,917.22"
2021-09-24,"$4,097,217,485","$11,950,530","$3,134.02","$2,907.75"
2021-09-23,"$3,960,386,496","$5,306,459","$3,037.40","$3,134.02"
2021-09-22,"$3,548,628,014","$4,188,011","$2,718.11","$3,037.40"
2021-09-21,"$3,813,486,306","$29,658,245","$2,945.11","$2,718.11"
2021-09-20,"$4,256,184,677","$3,188,277","$3,306.74","$2,945.11"
2021-09-19,"$4,397,679,689","$11,024,064","$3,395.26","$3,306.74"
2021-09-18,"$4,363,114,000","$16,628,884","$3,367.04","$3,395.26"
2021-09-17,"$4,549,280,566","$42,294,799","$3,536.57","$3,367.04"
2021-09-16,"$4,564,047,643","$16,664,009","$3,563.39","$3,536.57"
2021-09-15,"$4,320,488,278","$17,883,110","$3,371.51","$3,563.39"
2021-09-14,"$4,138,885,969","$9,195,919","$3,249.24","$3,371.51"
2021-09-13,"$4,295,686,320","$18,239,824","$3,371.46","$3,249.24"
2021-09-12,"$4,062,070,879","$649,228","$3,203.56","$3,371.46"
2021-09-11,"$3,956,928,211","$30,184,250","$3,155.64","$3,203.56"
2021-09-10,"$4,249,377,602","$21,284,929","$3,390.06","$3,155.64"
2021-09-09,"$4,367,036,812","$11,094,252","$3,492.42","$3,390.06"
2021-09-08,"$4,243,360,201","$24,501,053","$3,421.66","$3,492.42"
2021-09-07,"$4,629,403,641","$16,590,348","$3,899.08","$3,421.66"
2021-09-06,"$4,614,944,423","$2,332,407","$3,923.75","$3,899.08"
2021-09-05,"$4,562,573,935","$6,496,138","$3,871.67","$3,923.75"
2021-09-04,"$4,580,908,849","$7,378,182","$3,904.08","$3,871.67"
2021-09-03,"$4,400,074,824","$11,030,319","$3,771.26","$3,904.08"
2021-09-02,"$4,355,385,527","$44,627,055","$3,762.76","$3,771.26"
2021-09-01,"$3,939,610,033","$5,942,070","$3,419.06","$3,762.76"
2021-08-31,"$3,673,855,799","$52,134,463","$3,221.33","$3,419.06"
