Date,Market Cap,Volume,Open,Close
2021-10-16,"$594,992,988","$82,427,088",$0.999932,N/A
2021-10-15,"$655,962,258","$22,455,338",$0.999296,$0.999932
2021-10-14,"$653,451,395","$26,582,708",$1.00,$0.999296
2021-10-13,"$637,099,920","$21,535,753",$1.00,$1.00
2021-10-12,"$629,607,716","$16,195,605",$1.00,$1.00
2021-10-11,"$626,090,745","$14,595,310",$0.996044,$1.00
2021-10-10,"$625,165,482","$7,899,836",$1.00,$0.996044
2021-10-09,"$616,614,795","$7,368,428",$0.993721,$1.00
2021-10-08,"$606,777,434","$2,741,286",$0.992756,$0.993721
2021-10-07,"$613,456,255","$7,779,976",$1.00,$0.992756
2021-10-06,"$614,514,656","$13,022,357",$1.00,$1.00
2021-10-05,"$612,364,586","$9,297,062",$1.01,$1.00
2021-10-04,"$605,177,235","$10,502,230",$0.999449,$1.01
2021-10-03,"$589,101,671","$3,252,255",$0.996599,$0.999449
2021-10-02,"$589,959,728","$8,042,391",$1.00,$0.996599
2021-10-01,"$588,629,420","$19,674,085",$1.00,$1.00
2021-09-30,"$589,927,060","$6,105,579",$1.00,$1.00
2021-09-29,"$586,114,263","$9,547,497",$0.989543,$1.00
2021-09-28,"$587,454,532","$8,286,601",$0.990364,$0.989543
2021-09-27,"$583,461,051","$3,355,971",$0.998309,$0.990364
2021-09-26,"$589,078,021","$4,749,825",$1.01,$0.998309
2021-09-25,"$585,901,317","$10,961,631",$0.999532,$1.01
2021-09-24,"$585,260,607","$15,685,779",$1.00,$0.999532
2021-09-23,"$583,094,743","$7,883,618",$1.00,$1.00
2021-09-22,"$578,882,086","$15,176,364",$0.995584,$1.00
2021-09-21,"$580,049,096","$60,679,018",$0.984642,$0.995584
2021-09-20,"$555,291,190","$8,049,719",$0.999520,$0.984642
2021-09-19,"$559,551,055","$2,172,122",$1.01,$0.999520
2021-09-18,"$608,616,269","$7,381,845",$1.00,$1.01
2021-09-17,"$611,763,917","$2,872,551",$1.01,$1.00
2021-09-16,"$607,076,951","$1,539,716",$1.01,$1.01
2021-09-15,"$610,269,362","$12,928,358",$1.01,$1.01
2021-09-14,"$604,828,971","$8,824,186",$1.00,$1.01
2021-09-13,"$615,317,246","$5,441,714",$1.02,$1.00
2021-09-12,"$602,096,500","$3,210,999",$0.995091,$1.02
2021-09-11,"$619,646,434","$8,369,268",$0.999693,$0.995091
2021-09-10,"$623,470,732","$10,314,551",$1.01,$0.999693
2021-09-09,"$618,815,729","$7,052,048",$1.00,$1.01
2021-09-08,"$621,662,998","$31,563,445",$1.01,$1.00
2021-09-07,"$632,393,340","$7,928,991",$1.02,$1.01
2021-09-06,"$621,047,162","$1,479,685",$1.00,$1.02
2021-09-05,"$620,154,335","$3,923,878",$1.00,$1.00
2021-09-04,"$614,848,909","$6,836,642",$1.00,$1.00
2021-09-03,"$612,760,850","$4,743,034",$1.00,$1.00
2021-09-02,"$601,033,289","$7,629,432",$1.00,$1.00
2021-09-01,"$599,634,375","$10,655,730",$1.01,$1.00
2021-08-31,"$585,094,890","$30,054,113",$0.984437,$1.01
2021-08-30,"$593,563,319","$1,891,458",$1.01,$0.984437
2021-08-29,"$589,182,421","$5,480,888",$1.01,$1.01
2021-08-28,"$610,509,128","$3,945,501",$1.01,$1.01
2021-08-27,"$610,684,507","$3,273,999",$1.01,$1.01
2021-08-26,"$612,312,342","$11,578,828",$1.01,$1.01
2021-08-25,"$615,937,813","$4,135,521",$1.01,$1.01
2021-08-24,"$615,434,962","$10,873,258",$1.01,$1.01
2021-08-23,"$616,507,111","$6,920,227",$1.01,$1.01
2021-08-22,"$605,398,441","$12,975,126",$1.01,$1.01
2021-08-21,"$598,626,075","$6,481,431",$1.01,$1.01
2021-08-20,"$603,294,343","$2,884,604",$1.01,$1.01
2021-08-19,"$601,746,929","$18,890,798",$1.02,$1.01
2021-08-18,"$596,644,262","$6,411,496",$1.01,$1.02
2021-08-17,"$597,096,952","$6,048,623",$1.01,$1.01
2021-08-16,"$585,549,085","$6,863,584",$1.01,$1.01
2021-08-15,"$585,607,363","$10,774,747",$1.02,$1.01
2021-08-14,"$578,747,847","$7,833,433",$1.01,$1.02
2021-08-13,"$572,644,956","$14,737,777",$1.01,$1.01
2021-08-12,"$577,019,507","$6,164,808",$1.01,$1.01
2021-08-11,"$569,722,773","$8,405,463",$1.01,$1.01
2021-08-10,"$561,332,805","$17,529,406",$1.01,$1.01
2021-08-09,"$558,189,562","$11,829,464",$1.00,$1.01
2021-08-08,"$546,438,875","$25,079,793",$1.01,$1.00
2021-08-07,"$523,579,770","$6,932,297",$1.01,$1.01
2021-08-06,"$515,256,649","$6,240,939",$1.01,$1.01
2021-08-05,"$515,637,689","$13,428,822",$1.01,$1.01
2021-08-04,"$508,540,005","$21,973,274",$1.01,$1.01
2021-08-03,"$503,799,024","$3,107,530",$1.01,$1.01
2021-08-02,"$497,768,269","$11,991,296",$0.996161,$1.01
2021-08-01,"$495,320,463","$5,604,228",$1.01,$0.996161
2021-07-31,"$496,229,166","$14,302,797",$1.03,$1.01
2021-07-30,"$487,898,644","$14,401,418",$1.02,$1.03
2021-07-29,"$480,686,807","$8,369,240",$1.01,$1.02
2021-07-28,"$481,003,863","$2,717,906",$1.01,$1.01
2021-07-27,"$474,742,048","$8,380,839",$0.997853,$1.01
2021-07-26,"$478,659,989","$3,109,504",$1.02,$0.997853
2021-07-25,"$473,227,140","$1,202,353",$1.01,$1.02
2021-07-24,"$449,033,033","$3,097,398",$1.01,$1.01
2021-07-23,"$446,044,716","$4,326,266",$1.01,$1.01
2021-07-22,"$445,474,755","$5,628,358",$1.01,$1.01
2021-07-21,"$449,427,282","$12,366,498",$1.01,$1.01
2021-07-20,"$475,407,977","$5,805,183",$1.01,$1.01
2021-07-19,"$483,070,464","$1,685,801",$1.01,$1.01
2021-07-18,"$480,663,592","$4,455,193",$1.01,$1.01
2021-07-17,"$478,474,819","$6,357,595",$1.00,$1.01
2021-07-16,"$760,214,932","$3,994,135",$1.01,$1.00
2021-07-15,"$756,179,278","$7,983,309",$1.01,$1.01
2021-07-14,"$763,680,416","$6,100,932",$1.01,$1.01
2021-07-13,"$766,196,041","$3,759,525",$1.02,$1.01
2021-07-12,"$762,817,063","$2,487,072",$1.01,$1.02
2021-07-11,"$761,197,446","$1,393,589",$1.01,$1.01
2021-07-10,"$759,550,080","$4,877,653",$1.01,$1.01
2021-07-09,"$755,375,003","$9,166,016",$1.01,$1.01
2021-07-08,"$761,869,849","$3,390,430",$1.01,$1.01
2021-07-07,"$768,640,984","$3,772,742",$1.01,$1.01
2021-07-06,"$766,361,272","$4,424,814",$1.01,$1.01
2021-07-05,"$763,907,680","$4,720,797",$1.01,$1.01
2021-07-04,"$760,177,094","$6,246,193",$1.02,$1.01
2021-07-03,"$756,051,916","$2,194,868",$1.01,$1.02
2021-07-02,"$755,655,508","$2,788,176",$1.02,$1.01
2021-07-01,"$754,061,278","$7,671,012",$1.02,$1.02
2021-06-30,"$748,358,612","$6,690,832",$1.01,$1.02
2021-06-29,"$748,215,292","$6,544,360",$1.02,$1.01
2021-06-28,"$757,244,570","$3,908,611",$1.04,$1.02
2021-06-27,"$745,907,905","$3,799,095",$1.02,$1.04
2021-06-26,"$748,488,908","$6,869,799",$1.03,$1.02
2021-06-25,"$747,555,994","$2,747,099",$1.02,$1.03
2021-06-24,"$746,513,180","$5,500,288",$1.02,$1.02
2021-06-23,"$740,909,108","$31,639,225",$1.02,$1.02
2021-06-22,"$765,942,268","$13,566,910",$1.01,$1.02
2021-06-21,"$792,330,297","$6,687,237",$1.02,$1.01
2021-06-20,"$786,208,671","$8,775,986",$1.01,$1.02
2021-06-19,"$787,303,830","$23,735,548",$1.02,$1.01
2021-06-18,"$799,879,396","$5,095,086",$1.01,$1.02
2021-06-17,"$796,184,979","$9,054,024",$1.00,$1.01
2021-06-16,"$797,919,918","$24,201,381",$1.01,$1.00
2021-06-15,"$791,026,121","$4,936,649",$1.01,$1.01
2021-06-14,"$787,833,068","$8,406,475",$1.01,$1.01
2021-06-13,"$791,049,354","$5,391,079",$1.01,$1.01
2021-06-12,"$777,135,120","$1,792,091",$1.01,$1.01
2021-06-11,"$783,293,224","$3,598,589",$1.02,$1.01
2021-06-10,"$788,307,322","$6,197,273",$1.03,$1.02
2021-06-09,"$773,087,720","$8,791,659",$1.01,$1.03
2021-06-08,"$774,576,268","$4,800,238",$1.01,$1.01
2021-06-07,"$778,669,066","$12,631,424",$1.01,$1.01
2021-06-06,"$775,506,420","$21,762,740",$1.02,$1.01
2021-06-05,"$754,020,185","$9,168,640",$1.01,$1.02
2021-06-04,"$762,052,867","$9,779,828",$1.02,$1.01
2021-06-03,"$751,697,719","$14,112,024",$1.02,$1.02
2021-06-02,"$751,172,500","$12,494,595",$1.02,$1.02
2021-06-01,"$744,845,141","$8,526,425",$1.02,$1.02
2021-05-31,"$726,472,858","$14,543,174",$1.02,$1.02
2021-05-30,"$723,721,414","$5,404,010",$1.01,$1.02
2021-05-29,"$729,688,776","$15,337,184",$1.01,$1.01
2021-05-28,"$719,531,597","$14,658,607",$1.01,$1.01
2021-05-27,"$684,861,900","$27,573,329",$1.01,$1.01
2021-05-26,"$497,852,956","$12,969,929",$1.00,$1.01
