Date,Market Cap,Volume,Open,Close
2021-10-16,"$2,321,193,989","$81,783,484","$2,568.50",N/A
2021-10-15,"$2,289,233,688","$87,389,405","$2,542.91","$2,568.50"
2021-10-14,"$2,247,876,737","$78,011,505","$2,495.11","$2,542.91"
2021-10-13,"$2,203,046,113","$105,620,640","$2,442.26","$2,495.11"
2021-10-12,"$2,197,297,085","$76,852,209","$2,447.15","$2,442.26"
2021-10-11,"$2,224,157,270","$125,192,735","$2,461.62","$2,447.15"
2021-10-10,"$2,315,858,054","$81,275,721","$2,575.34","$2,461.62"
2021-10-09,"$2,247,325,606","$78,390,610","$2,495.69","$2,575.34"
2021-10-08,"$2,250,831,923","$80,940,995","$2,500.45","$2,495.69"
2021-10-07,"$2,249,155,210","$86,704,928","$2,495.02","$2,500.45"
2021-10-06,"$2,303,366,107","$86,182,606","$2,548.32","$2,495.02"
2021-10-05,"$2,297,010,344","$95,927,450","$2,546.81","$2,548.32"
2021-10-04,"$2,290,311,337","$87,127,798","$2,539.12","$2,546.81"
2021-10-03,"$2,240,346,357","$95,627,248","$2,486.83","$2,539.12"
2021-10-02,"$2,193,609,241","$119,335,646","$2,437.07","$2,486.83"
2021-10-01,"$2,067,629,131","$72,068,555","$2,292.87","$2,437.07"
2021-09-30,"$2,009,092,270","$75,120,931","$2,234.04","$2,292.87"
2021-09-29,"$2,020,355,930","$107,988,329","$2,228.96","$2,234.04"
2021-09-28,"$2,026,735,238","$94,767,810","$2,247.36","$2,228.96"
2021-09-27,"$2,143,736,225","$320,373,059","$2,352.10","$2,247.36"
2021-09-26,"$2,048,759,174","$63,442,366","$2,274.27","$2,352.10"
2021-09-25,"$2,084,621,235","$115,060,840","$2,294.23","$2,274.27"
2021-09-24,"$2,242,581,633","$85,266,102","$2,494.31","$2,294.23"
2021-09-23,"$2,266,113,790","$76,620,030","$2,519.89","$2,494.31"
2021-09-22,"$2,039,013,588","$91,147,400","$2,269.87","$2,519.89"
2021-09-21,"$2,184,881,179","$110,318,488","$2,438.13","$2,269.87"
2021-09-20,"$2,501,987,183","$58,051,921","$2,775.93","$2,438.13"
2021-09-19,"$2,560,281,525","$56,762,236","$2,843.16","$2,775.93"
2021-09-18,"$2,529,011,495","$123,837,983","$2,804.19","$2,843.16"
2021-09-17,"$2,682,938,478","$120,817,067","$2,977.18","$2,804.19"
2021-09-16,"$2,755,921,059","$111,929,506","$3,059.04","$2,977.18"
2021-09-15,"$2,600,312,806","$80,198,037","$2,893.66","$3,059.04"
2021-09-14,"$2,545,062,255","$83,036,163","$2,826.12","$2,893.66"
2021-09-13,"$2,607,111,941","$78,707,577","$2,883.92","$2,826.12"
2021-09-12,"$2,557,825,973","$79,001,199","$2,841.24","$2,883.92"
2021-09-11,"$2,506,216,342","$109,467,021","$2,783.06","$2,841.24"
2021-09-10,"$2,662,576,539","$119,757,976","$2,946.29","$2,783.06"
2021-09-09,"$2,741,028,387","$123,774,505","$3,029.62","$2,946.29"
2021-09-08,"$2,765,421,585","$198,475,006","$3,069.81","$3,029.62"
2021-09-07,"$3,286,241,143","$115,374,477","$3,643.26","$3,069.81"
2021-09-06,"$3,341,219,831","$97,448,399","$3,713.59","$3,643.26"
2021-09-05,"$3,211,872,401","$92,325,752","$3,560.42","$3,713.59"
2021-09-04,"$3,278,223,603","$128,097,882","$3,655.14","$3,560.42"
2021-09-03,"$3,208,423,395","$85,411,298","$3,559.86","$3,655.14"
2021-09-02,"$3,316,225,739","$118,931,823","$3,694.75","$3,559.86"
2021-09-01,"$3,189,093,234","$131,787,863","$3,533.31","$3,694.75"
2021-08-31,"$3,026,356,301","$105,588,769","$3,362.21","$3,533.31"
2021-08-30,"$3,123,662,123","$117,215,778","$3,469.80","$3,362.21"
2021-08-29,"$3,252,316,976","$84,040,811","$3,612.01","$3,469.80"
2021-08-28,"$3,388,288,236","$89,083,942","$3,754.89","$3,612.01"
2021-08-27,"$3,285,351,513","$97,759,415","$3,639.16","$3,754.89"
2021-08-26,"$3,339,322,700","$87,280,971","$3,703.45","$3,639.16"
2021-08-25,"$3,306,952,771","$94,961,685","$3,664.18","$3,703.45"
2021-08-24,"$3,502,048,522","$92,253,218","$3,882.50","$3,664.18"
2021-08-23,"$3,430,852,381","$75,970,568","$3,801.33","$3,882.50"
2021-08-22,"$3,499,571,508","$129,610,981","$3,881.14","$3,801.33"
2021-08-21,"$3,418,395,006","$90,885,008","$3,796.46","$3,881.14"
2021-08-20,"$3,307,046,230","$100,810,368","$3,733.72","$3,796.46"
2021-08-19,"$3,195,168,681","$96,889,460","$3,538.00","$3,733.72"
2021-08-18,"$3,125,321,143","$100,527,117","$3,445.00","$3,538.00"
2021-08-17,"$3,277,797,347","$110,283,574","$3,593.36","$3,445.00"
2021-08-16,"$3,419,093,711","$128,468,992","$3,794.94","$3,593.36"
2021-08-15,"$3,479,391,773","$171,970,050","$3,858.39","$3,794.94"
2021-08-14,"$3,329,723,708","$159,275,397","$3,695.84","$3,858.39"
2021-08-13,"$2,925,940,322","$125,126,222","$3,246.63","$3,695.84"
2021-08-12,"$3,033,542,630","$128,838,555","$3,369.33","$3,246.63"
2021-08-11,"$3,059,607,419","$149,548,224","$3,400.60","$3,369.33"
2021-08-10,"$2,989,256,505","$106,658,777","$3,357.32","$3,400.60"
2021-08-09,"$2,911,847,370","$100,056,884","$3,229.09","$3,357.32"
2021-08-08,"$3,069,865,873","$135,413,497","$3,412.55","$3,229.09"
2021-08-07,"$2,941,920,030","$153,863,461","$3,263.74","$3,412.55"
2021-08-06,"$2,872,688,295","$164,039,589","$3,248.03","$3,263.74"
2021-08-05,"$2,681,399,264","$89,620,642","$2,966.52","$3,248.03"
2021-08-04,"$2,521,853,638","$61,634,432","$2,797.35","$2,966.52"
2021-08-03,"$2,643,096,829","$67,836,266","$2,926.91","$2,797.35"
2021-08-02,"$2,624,977,677","$66,103,060","$2,920.71","$2,926.91"
2021-08-01,"$2,705,096,216","$63,641,990","$2,997.71","$2,920.71"
2021-07-31,"$2,626,489,481","$72,091,027","$2,914.11","$2,997.71"
2021-07-30,"$2,584,318,459","$83,151,314","$2,869.66","$2,914.11"
2021-07-29,"$2,388,717,160","$58,935,779","$2,654.25","$2,869.66"
2021-07-28,"$2,398,925,775","$63,732,728","$2,665.60","$2,654.25"
2021-07-27,"$2,334,379,555","$97,270,155","$2,584.69","$2,665.60"
2021-07-26,"$2,334,598,295","$55,628,606","$2,589.17","$2,584.69"
2021-07-25,"$2,319,551,423","$56,715,254","$2,574.24","$2,589.17"
2021-07-24,"$2,256,877,212","$62,560,052","$2,507.25","$2,574.24"
2021-07-23,"$2,203,539,322","$59,531,902","$2,445.95","$2,507.25"
2021-07-22,"$2,193,178,085","$81,655,950","$2,442.31","$2,445.95"
2021-07-21,"$1,984,161,572","$66,149,826","$2,203.30","$2,442.31"
2021-07-20,"$2,090,862,852","$61,066,057","$2,317.49","$2,203.30"
2021-07-19,"$2,235,770,897","$50,503,135","$2,481.46","$2,317.49"
2021-07-18,"$2,190,640,316","$50,442,718","$2,430.07","$2,481.46"
2021-07-17,"$2,182,406,249","$64,959,747","$2,426.24","$2,430.07"
2021-07-16,"$2,319,132,289","$101,569,679","$2,564.94","$2,426.24"
2021-07-15,"$2,264,962,307","$65,583,326","$2,513.84","$2,564.94"
