Date,Market Cap,Volume,Open,Close
2021-10-16,"$570,908,334","$20,625,170",$0.994886,N/A
2021-10-15,"$569,098,758","$33,599,190",$0.990213,$0.994886
2021-10-14,"$567,499,333","$42,612,265",$0.987761,$0.990213
2021-10-13,"$563,527,449","$24,772,518",$0.981125,$0.987761
2021-10-12,"$537,500,509","$12,856,291",$0.985024,$0.981125
2021-10-11,"$535,922,869","$7,338,386",$0.977151,$0.985024
2021-10-10,"$538,724,991","$6,747,338",$0.982135,$0.977151
2021-10-09,"$536,930,115","$11,731,391",$0.979077,$0.982135
2021-10-08,"$535,821,873","$12,851,391",$0.975356,$0.979077
2021-10-07,"$541,748,763","$19,851,610",$0.986663,$0.975356
2021-10-06,"$545,787,593","$22,422,192",$0.994176,$0.986663
2021-10-05,"$540,910,361","$25,217,463",$0.984182,$0.994176
2021-10-04,"$540,055,495","$18,332,134",$0.982478,$0.984182
2021-10-03,"$535,580,905","$23,384,798",$0.976332,$0.982478
2021-10-02,"$538,272,608","$35,819,817",$0.980473,$0.976332
2021-10-01,"$543,802,029","$22,630,787",$0.988329,$0.980473
2021-09-30,"$539,090,614","$8,704,854",$0.983110,$0.988329
2021-09-29,"$535,226,662","$14,478,542",$0.973642,$0.983110
2021-09-28,"$528,072,574","$10,170,075",$0.970564,$0.973642
2021-09-27,"$534,746,447","$11,012,673",$0.985823,$0.970564
2021-09-26,"$541,625,914","$6,993,620",$0.992575,$0.985823
2021-09-25,"$538,219,828","$19,577,506",$0.991073,$0.992575
2021-09-24,"$528,954,828","$7,391,663",$0.992950,$0.991073
2021-09-23,"$531,532,921","$15,353,668",$0.997246,$0.992950
2021-09-22,"$519,637,153","$13,519,727",$0.981623,$0.997246
2021-09-21,"$521,323,689","$20,909,511",$0.979593,$0.981623
2021-09-20,"$530,342,096","$9,017,535",$0.991487,$0.979593
2021-09-19,"$529,423,761","$4,596,708",$0.993250,$0.991487
2021-09-18,"$529,118,794","$8,936,623",$0.993310,$0.993250
2021-09-17,"$528,673,664","$11,412,348",$0.992436,$0.993310
2021-09-16,"$512,468,708","$17,040,951",$0.995413,$0.992436
2021-09-15,"$511,524,829","$8,138,526",$0.995080,$0.995413
2021-09-14,"$511,404,934","$11,694,183",$0.995218,$0.995080
2021-09-13,"$508,716,553","$6,292,754",$0.989334,$0.995218
2021-09-12,"$507,614,298","$11,894,923",$0.989678,$0.989334
2021-09-11,"$504,078,951","$18,980,139",$0.983165,$0.989678
2021-09-10,"$511,630,779","$24,575,603",$0.996121,$0.983165
2021-09-09,"$466,981,065","$15,673,899",$0.993171,$0.996121
2021-09-08,"$463,715,187","$35,819,093",$0.992731,$0.993171
2021-09-07,"$465,793,530","$11,623,451",$0.993841,$0.992731
2021-09-06,"$481,571,096","$23,863,411",$1.01,$0.993841
2021-09-05,"$489,751,611","$24,830,823",$0.990425,$1.01
2021-09-04,"$488,132,764","$24,396,609",$0.990494,$0.990425
2021-09-03,"$489,033,717","$29,691,938",$0.990803,$0.990494
2021-09-02,"$489,637,906","$16,879,004",$1.01,$0.990803
2021-09-01,"$484,445,172","$27,072,762",$0.992495,$1.01
2021-08-31,"$472,917,151","$29,777,994",$0.986950,$0.992495
2021-08-30,"$474,353,514","$7,662,404",$0.997359,$0.986950
2021-08-29,"$475,621,372","$12,770,533",$1.00,$0.997359
2021-08-28,"$478,346,323","$10,496,853",$1.01,$1.00
2021-08-27,"$473,587,601","$23,487,810",$0.999054,$1.01
2021-08-26,"$476,902,270","$14,480,892",$1.01,$0.999054
2021-08-25,"$473,982,849","$17,215,576",$0.996888,$1.01
2021-08-24,"$470,313,718","$16,045,376",$0.995833,$0.996888
2021-08-23,"$472,435,381","$23,706,571",$1.00,$0.995833
2021-08-22,"$465,496,984","$12,430,459",$0.990406,$1.00
2021-08-21,"$470,903,318","$13,044,131",$1.00,$0.990406
2021-08-20,"$478,544,105","$18,178,730",$1.03,$1.00
2021-08-19,"$470,800,440","$21,903,751",$1.00,$1.03
2021-08-18,"$460,707,406","$21,519,126",$0.975940,$1.00
2021-08-17,"$468,535,726","$10,683,063",$0.994086,$0.975940
2021-08-16,"$467,362,288","$20,381,592",$0.997683,$0.994086
2021-08-15,"$468,714,312","$54,879,336",$1.00,$0.997683
2021-08-14,"$438,702,602","$23,929,169",$1.01,$1.00
2021-08-13,"$435,944,902","$29,809,258",$0.999200,$1.01
2021-08-12,"$434,281,100","$28,791,129",$0.994719,$0.999200
2021-08-11,"$436,013,864","$11,818,077",$0.999331,$0.994719
2021-08-10,"$435,645,080","$19,791,866",$0.998822,$0.999331
