Date,Market Cap,Volume,Open,Close
2021-10-16,"$1,019,426,138","$15,552.43",$148.71,N/A
2021-10-15,"$997,589,625","$3,867.98",$144.46,$148.71
2021-10-14,"$933,484,898","$1,049.84",$137.72,$144.46
2021-10-13,"$925,327,011","$10,163.28",$134.31,$137.72
2021-10-12,"$932,135,253","$54,004",$135.04,$134.31
2021-10-11,"$911,247,852","$15,265.86",$132.13,$135.04
2021-10-10,"$945,116,045","$4,834.03",$136.98,$132.13
2021-10-09,"$940,214,397","$8,776.82",$136.26,$136.98
2021-10-08,"$947,654,338","$1,555.15",$137.30,$136.26
2021-10-07,"$945,191,991",$286.20,$136.94,$137.30
2021-10-06,"$928,206,631","$1,065.04",$134.48,$136.94
2021-10-05,"$885,979,407","$190,290",$128.86,$134.48
2021-10-04,"$900,792,689","$95,041",$130.54,$128.86
2021-10-03,"$906,675,742","$2,123.77",$131.62,$130.54
2021-10-02,"$869,785,382","$1,066.65",$126.03,$131.62
2021-10-01,"$788,346,652",$720.57,$115.19,$126.03
2021-09-30,"$750,229,296","$223,367",$109.08,$115.19
2021-09-29,"$748,072,393","$8,776.65",$107.87,$109.08
2021-09-28,"$793,765,167","$97,306",$114.99,$107.87
2021-09-27,"$818,193,102","$196,056",$116.70,$114.99
2021-09-26,"$772,326,067",$550.40,$111.96,$116.70
2021-09-25,"$784,491,068",$316.44,$112.44,$111.96
2021-09-24,"$835,838,550","$2,487.41",$121.07,$112.44
2021-09-23,"$806,223,826","$4,727.37",$117.44,$121.07
2021-09-22,"$729,014,199","$163,733",$105.94,$117.44
2021-09-21,"$797,705,203","$249,981",$113.66,$105.94
2021-09-20,"$876,706,845","$44,099",$127.17,$113.66
2021-09-19,"$906,558,815","$2,864.27",$131.25,$127.17
2021-09-18,"$893,446,307",$98.83,$130.49,$131.25
2021-09-17,"$931,452,266","$4,729.98",$135.69,$130.49
2021-09-16,"$942,149,186","$2,274.37",$137.25,$135.69
2021-09-15,"$890,341,135","$2,388.58",$131.23,$137.25
2021-09-14,"$869,463,554","$110,693",$125.88,$131.23
2021-09-13,"$881,814,493","$3,350.28",$127.44,$125.88
2021-09-12,"$862,488,357","$3,714.31",$124.87,$127.44
2021-09-11,"$848,693,037","$79,532",$122.64,$124.87
2021-09-10,"$915,400,760",$172.60,$132.12,$122.64
2021-09-09,"$941,063,088","$38,383",$134.13,$132.12
2021-09-08,"$890,335,973","$197,792",$131.64,$134.13
2021-09-07,"$1,039,880,727","$86,750",$150.34,$131.64
2021-09-06,"$1,035,934,933","$7,771.24",$150.66,$150.34
2021-09-05,"$1,026,154,300","$2,478.21",$149.04,$150.66
2021-09-04,"$1,034,579,641",$808.95,$149.76,$149.04
2021-09-03,"$1,005,557,656","$3,207.99",$145.15,$149.76
2021-09-02,"$997,590,090","$6,328.20",$144.48,$145.15
2021-09-01,"$902,477,220","$3,716.35",$130.88,$144.48
2021-08-31,"$861,460,584","$68,950",$123.75,$130.88
2021-08-30,"$859,769,420","$1,010.26",$123.84,$123.75
2021-08-29,"$862,107,447",$102.03,$124.32,$123.84
2021-08-28,"$855,294,975","$4,967.90",$123.81,$124.32
2021-08-27,"$821,363,859","$32,123",$118.90,$123.81
2021-08-26,"$852,082,740","$6,409.57",$123.34,$118.90
2021-08-25,"$852,735,157","$11,606.47",$122.91,$123.34
2021-08-24,"$879,626,285","$81,605",$127.33,$122.91
2021-08-23,"$849,695,425","$7,290.14",$123.90,$127.33
2021-08-22,"$857,218,452","$1,350.11",$124.10,$123.90
2021-08-21,"$861,441,379","$11,505.74",$124.48,$124.10
2021-08-20,"$804,250,462","$9,766.64",$120.93,$124.48
2021-08-19,"$805,049,324","$3,416.43",$116.76,$120.93
2021-08-18,"$801,399,998","$16,472.24",$116.09,$116.76
2021-08-17,"$843,046,213","$131,853",$120.80,$116.09
2021-08-16,"$873,513,497","$7,587.15",$126.47,$120.80
2021-08-15,"$859,799,530","$8,100.87",$124.87,$126.47
2021-08-14,"$868,291,395","$4,424.34",$126.60,$124.87
2021-08-13,"$799,103,783","$2,837.57",$116.31,$126.60
2021-08-12,"$836,211,136","$32,991",$121.07,$116.31
2021-08-11,"$829,521,336","$59,409",$119.82,$121.07
2021-08-10,"$808,684,814","$77,782",$120.30,$119.82
2021-08-09,"$806,229,646","$14,055.92",$116.75,$120.30
2021-08-08,"$813,566,790","$9,504.56",$119.26,$116.75
2021-08-07,"$761,357,497","$43,461",$110.09,$119.26
2021-08-06,"$741,579,108","$12,785.85",$107.42,$110.09
2021-08-05,"$720,236,581","$2,993.76",$104.70,$107.42
2021-08-04,"$665,684,268","$19,161.07",$96.11,$104.70
2021-08-03,"$685,994,684","$50,349",$99.07,$96.11
2021-08-02,"$676,092,583","$7,836.82",$97.54,$99.07
2021-08-01,"$661,240,544","$14,186.48",$96.59,$97.54
2021-07-31,"$639,538,989","$2,924.88",$93.50,$96.59
2021-07-30,"$610,921,484","$3,445.25",$91.08,$93.50
2021-07-29,"$605,875,331","$3,279.94",$87.90,$91.08
2021-07-28,"$598,054,644","$1,114.70",$86.36,$87.90
2021-07-27,"$587,329,605","$55,712",$85.07,$86.36
2021-07-26,"$568,068,560",$489.19,$82.47,$85.07
2021-07-25,"$567,744,638","$3,934.62",$82.95,$82.47
2021-07-24,"$543,196,834","$8,213.01",$78.74,$82.95
2021-07-23,"$533,172,807","$1,489.22",$77.23,$78.74
2021-07-22,"$515,815,423","$21,709",$75.08,$77.23
2021-07-21,"$471,356,685","$69,579",$68.27,$75.08
2021-07-20,"$482,696,023","$127,163",$69.91,$68.27
2021-07-19,"$509,120,458","$2,418.66",$72.70,$69.91
2021-07-18,"$503,780,661","$21,754",$72.96,$72.70
2021-07-17,"$497,943,991","$58,286",$72.11,$72.96
2021-07-16,"$510,171,312","$18,562.40",$73.27,$72.11
2021-07-15,"$531,818,684","$61,455",$76.19,$73.27
2021-07-14,"$514,189,665","$85,341",$74.57,$76.19
2021-07-13,"$535,549,346","$128,719",$77.83,$74.57
2021-07-12,"$568,797,393","$6,920.25",$82.09,$77.83
2021-07-11,"$562,965,187","$36,755",$81.20,$82.09
2021-07-10,"$570,914,226","$45,959",$82.64,$81.20
2021-07-09,"$558,448,060","$88,163",$81.33,$82.64
2021-07-08,"$617,104,375","$31,371",$89.06,$81.33
2021-07-07,"$611,658,603","$4,442.85",$88.60,$89.06
2021-07-06,"$587,732,043","$122,496",$85.76,$88.60
2021-07-05,"$615,955,508","$7,835.91",$89.17,$85.76
2021-07-04,"$583,194,046","$1,656.07",$84.10,$89.17
2021-07-03,"$571,041,477","$73,564",$82.36,$84.10
2021-07-02,"$559,241,734","$5,617.42",$80.95,$82.36
2021-07-01,"$596,719,495","$5,186.47",$86.68,$80.95
2021-06-30,"$576,818,165","$2,202.03",$82.99,$86.68
2021-06-29,"$551,443,643","$41,016",$79.82,$82.99
2021-06-28,"$515,970,261","$3,989.61",$74.57,$79.82
2021-06-27,"$474,560,085","$69,279",$68.69,$74.57
2021-06-26,"$480,082,932","$11,340.56",$69.62,$68.69
2021-06-25,"$524,542,604","$4,151.32",$76.30,$69.62
2021-06-24,"$514,911,124","$13,810.61",$75.00,$76.30
