Date,Market Cap,Volume,Open,Close
2021-10-16,"$2,979,961,814","$525,774,529","$1,090.44",N/A
2021-10-15,"$3,242,713,129","$125,940,598","$1,199.55","$1,090.44"
2021-10-14,"$3,555,695,877","$86,455,334","$1,334.36","$1,199.55"
2021-10-13,"$3,075,698,985","$93,071,260","$1,176.43","$1,334.36"
2021-10-12,"$2,833,554,862","$93,139,304","$1,108.35","$1,176.43"
2021-10-11,"$2,673,185,885","$67,378,204","$1,049.60","$1,108.35"
2021-10-10,"$2,388,344,171","$39,911,591",$961.00,"$1,049.60"
2021-10-09,"$2,118,079,415","$46,517,753",$865.51,$961.00
2021-10-08,"$1,996,961,509","$67,064,184",$831.67,$865.51
2021-10-07,"$1,802,260,265","$65,298,244",$752.90,$831.67
2021-10-06,"$2,106,963,024","$61,313,757",$902.15,$752.90
2021-10-05,"$2,074,703,063","$78,534,073",$901.72,$902.15
2021-10-04,"$1,936,595,141","$37,286,881",$857.04,$901.72
2021-10-03,"$1,715,933,410","$32,957,661",$777.51,$857.04
2021-10-02,"$1,652,890,072","$56,318,251",$747.35,$777.51
2021-10-01,"$1,705,046,829","$41,277,202",$783.15,$747.35
2021-09-30,"$1,532,896,868","$36,770,230",$722.66,$783.15
2021-09-29,"$1,328,979,994","$29,943,591",$638.10,$722.66
2021-09-28,"$1,306,603,387","$30,870,364",$631.23,$638.10
2021-09-27,"$1,191,476,716","$22,198,405",$590.59,$631.23
2021-09-26,"$1,165,171,336","$36,810,334",$582.22,$590.59
2021-09-25,"$1,208,733,403","$48,032,477",$612.45,$582.22
2021-09-24,"$1,274,545,997","$29,913,608",$655.25,$612.45
2021-09-23,"$1,199,270,634","$38,468,849",$630.18,$655.25
2021-09-22,"$1,195,683,637","$39,084,593",$638.59,$630.18
2021-09-21,"$992,436,197","$44,293,627",$535.00,$638.59
2021-09-20,"$1,078,861,649","$19,516,800",$588.60,$535.00
2021-09-19,"$984,831,913","$21,230,927",$548.53,$588.60
2021-09-18,"$963,977,177","$26,571,188",$538.85,$548.53
2021-09-17,"$901,315,452","$15,370,783",$513.16,$538.85
2021-09-16,"$811,775,918","$20,128,335",$470.70,$513.16
2021-09-15,"$780,479,424","$15,484,438",$458.50,$470.70
2021-09-14,"$725,806,710","$23,115,129",$432.74,$458.50
2021-09-13,"$746,003,122","$15,408,890",$453.49,$432.74
2021-09-12,"$703,248,442","$10,558,589",$433.10,$453.49
2021-09-11,"$653,758,350","$15,677,704",$406.98,$433.10
2021-09-10,"$624,772,696","$11,361,616",$397.62,$406.98
2021-09-09,"$578,831,873","$10,180,851",$367.90,$397.62
2021-09-08,"$532,981,453","$12,062,143",$349.26,$367.90
2021-09-07,"$526,267,108","$9,395,208",$348.27,$349.26
2021-09-06,"$487,341,768","$6,495,376",$326.04,$348.27
2021-09-05,"$458,547,013","$3,775,441",$313.63,$326.04
2021-09-04,"$473,391,024","$6,011,983",$326.32,$313.63
2021-09-03,"$449,454,946","$4,850,570",$315.91,$326.32
2021-09-02,"$440,483,421","$6,085,807",$312.17,$315.91
2021-09-01,"$434,993,175","$9,440,220",$312.56,$312.17
