Date,Market Cap,Volume,Open,Close
2021-10-16,"$4,627,290,977","$231,243,566",$19.94,N/A
2021-10-15,"$4,612,872,608","$288,010,076",$19.94,$19.94
2021-10-14,"$4,698,457,116","$586,309,036",$20.30,$19.94
2021-10-13,"$4,461,236,373","$297,903,800",$19.33,$20.30
2021-10-12,"$4,362,442,999","$164,061,160",$18.82,$19.33
2021-10-11,"$4,292,477,256","$171,567,156",$18.62,$18.82
2021-10-10,"$4,545,650,105","$132,340,188",$19.72,$18.62
2021-10-09,"$4,480,135,889","$288,837,943",$19.50,$19.72
2021-10-08,"$4,464,509,245","$383,539,864",$19.47,$19.50
2021-10-07,"$4,529,296,958","$237,626,080",$19.78,$19.47
2021-10-06,"$4,561,307,372","$187,148,082",$19.97,$19.78
2021-10-05,"$4,430,089,134","$180,146,348",$19.37,$19.97
2021-10-04,"$4,499,795,053","$165,869,191",$19.70,$19.37
2021-10-03,"$4,584,851,803","$169,934,054",$20.11,$19.70
2021-10-02,"$4,530,046,560","$221,027,782",$19.94,$20.11
2021-10-01,"$4,289,177,181","$210,076,476",$18.88,$19.94
2021-09-30,"$4,190,948,425","$220,781,054",$18.51,$18.88
2021-09-29,"$4,087,811,136","$172,583,403",$18.04,$18.51
2021-09-28,"$4,180,768,515","$226,136,301",$18.40,$18.04
2021-09-27,"$4,210,133,861","$306,896,346",$18.67,$18.40
2021-09-26,"$4,186,270,015","$140,533,472",$18.57,$18.67
2021-09-25,"$4,251,854,676","$313,160,335",$18.84,$18.57
2021-09-24,"$4,523,598,271","$185,576,137",$20.14,$18.84
2021-09-23,"$4,509,711,508","$249,753,809",$20.14,$20.14
2021-09-22,"$4,004,593,847","$343,257,435",$17.92,$20.14
2021-09-21,"$4,244,246,691","$429,946,190",$19.12,$17.92
2021-09-20,"$5,105,426,105","$258,488,024",$22.85,$19.12
2021-09-19,"$4,995,428,422","$206,298,840",$22.40,$22.85
2021-09-18,"$4,757,234,489","$183,084,936",$21.37,$22.40
2021-09-17,"$4,960,072,261","$256,600,479",$22.35,$21.37
2021-09-16,"$4,982,755,963","$305,847,577",$22.55,$22.35
2021-09-15,"$4,724,763,131","$166,223,701",$20.75,$22.55
2021-09-14,"$4,352,377,806","$238,062,387",$19.45,$20.75
2021-09-13,"$4,597,036,800","$156,672,678",$20.53,$19.45
2021-09-12,"$4,375,296,187","$150,272,247",$19.60,$20.53
2021-09-11,"$4,244,206,600","$236,641,660",$19.05,$19.60
2021-09-10,"$4,530,174,042","$229,752,082",$20.62,$19.05
2021-09-09,"$4,442,025,560","$420,298,739",$20.25,$20.62
2021-09-08,"$4,563,611,584","$494,857,683",$20.92,$20.25
2021-09-07,"$5,365,523,456","$291,367,292",$24.56,$20.92
2021-09-06,"$5,331,551,208","$216,469,359",$24.41,$24.56
2021-09-05,"$5,274,573,643","$230,881,889",$24.17,$24.41
2021-09-04,"$5,081,889,141","$244,250,434",$23.43,$24.17
2021-09-03,"$5,104,577,739","$244,185,761",$23.52,$23.43
2021-09-02,"$5,222,945,881","$336,339,077",$24.12,$23.52
2021-09-01,"$4,971,683,816","$332,478,539",$23.00,$24.12
2021-08-31,"$5,065,954,897","$312,766,670",$23.37,$23.00
2021-08-30,"$5,446,419,170","$183,584,905",$25.25,$23.37
2021-08-29,"$5,483,680,912","$200,994,296",$25.46,$25.25
2021-08-28,"$5,625,738,388","$295,310,498",$26.13,$25.46
2021-08-27,"$5,400,606,874","$378,807,874",$25.17,$26.13
2021-08-26,"$5,538,799,892","$417,862,761",$25.89,$25.17
2021-08-25,"$5,093,661,588","$318,012,904",$23.85,$25.89
2021-08-24,"$5,374,783,401","$391,193,288",$25.21,$23.85
2021-08-23,"$5,000,355,308","$214,957,110",$23.45,$25.21
2021-08-22,"$5,030,985,597","$241,969,944",$23.66,$23.45
2021-08-21,"$5,151,084,605","$329,527,153",$24.31,$23.66
2021-08-20,"$4,648,271,384","$260,635,025",$22.29,$24.31
2021-08-19,"$4,563,121,181","$304,280,181",$21.51,$22.29
2021-08-18,"$4,530,897,049","$375,111,224",$21.39,$21.51
2021-08-17,"$4,553,494,744","$306,869,110",$21.42,$21.39
2021-08-16,"$4,390,558,290","$167,253,221",$20.94,$21.42
2021-08-15,"$4,354,342,160","$213,208,467",$20.71,$20.94
2021-08-14,"$4,378,778,343","$201,787,044",$20.99,$20.71
2021-08-13,"$4,047,333,772","$215,779,275",$19.42,$20.99
2021-08-12,"$4,103,560,715","$240,319,368",$19.72,$19.42
2021-08-11,"$3,920,572,188","$211,736,508",$18.92,$19.72
2021-08-10,"$3,786,938,059","$223,642,669",$18.37,$18.92
2021-08-09,"$3,612,896,962","$187,603,811",$17.42,$18.37
2021-08-08,"$3,758,098,790","$260,615,495",$18.18,$17.42
2021-08-07,"$3,709,316,649","$209,604,711",$18.05,$18.18
2021-08-06,"$3,611,088,912","$236,379,463",$17.51,$18.05
2021-08-05,"$3,616,718,427","$213,012,119",$17.57,$17.51
2021-08-04,"$3,331,936,112","$229,738,868",$16.28,$17.57
2021-08-03,"$3,242,819,531","$179,480,077",$15.87,$16.28
2021-08-02,"$3,240,660,356","$224,537,181",$15.90,$15.87
2021-08-01,"$3,298,346,847","$212,362,467",$16.19,$15.90
2021-07-31,"$3,084,854,021","$183,708,572",$15.17,$16.19
2021-07-30,"$3,038,584,685","$120,485,806",$14.93,$15.17
2021-07-29,"$3,009,200,890","$178,920,496",$14.90,$14.93
2021-07-28,"$2,963,693,442","$170,309,300",$14.70,$14.90
2021-07-27,"$2,880,784,913","$259,243,599",$14.26,$14.70
2021-07-26,"$2,813,415,740","$109,544,536",$13.99,$14.26
2021-07-25,"$2,813,178,820","$181,367,006",$14.03,$13.99
2021-07-24,"$2,727,757,549","$157,885,347",$13.65,$14.03
2021-07-23,"$2,599,130,222","$134,378,084",$13.03,$13.65
2021-07-22,"$2,570,512,383","$182,275,251",$12.97,$13.03
2021-07-21,"$2,242,446,729","$174,181,682",$11.31,$12.97
2021-07-20,"$2,399,143,144","$118,686,937",$12.09,$11.31
2021-07-19,"$2,572,151,462","$91,392,416",$13.01,$12.09
2021-07-18,"$2,517,095,978","$113,867,283",$12.73,$13.01
2021-07-17,"$2,530,007,969","$148,831,292",$12.85,$12.73
2021-07-16,"$2,680,513,885","$160,653,631",$13.68,$12.85
2021-07-15,"$2,743,225,095","$235,137,144",$14.02,$13.68
2021-07-14,"$2,821,709,026","$119,452,071",$14.43,$14.02
2021-07-13,"$2,890,857,600","$172,388,763",$14.88,$14.43
2021-07-12,"$2,950,889,067","$132,328,830",$15.16,$14.88
2021-07-11,"$2,916,870,115","$161,300,476",$15.03,$15.16
2021-07-10,"$2,829,594,699","$156,748,892",$14.63,$15.03
2021-07-09,"$2,766,935,155","$189,102,444",$14.35,$14.63
2021-07-08,"$2,932,038,479","$254,486,346",$15.24,$14.35
2021-07-07,"$2,950,515,001","$313,503,048",$15.39,$15.24
2021-07-06,"$2,712,598,032","$194,665,522",$14.17,$15.39
2021-07-05,"$2,718,528,943","$157,336,312",$14.19,$14.17
2021-07-04,"$2,593,157,199","$138,940,810",$13.62,$14.19
2021-07-03,"$2,470,603,790","$114,874,642",$13.04,$13.62
2021-07-02,"$2,446,731,051","$146,306,352",$12.92,$13.04
2021-07-01,"$2,615,583,894","$162,158,097",$13.85,$12.92
2021-06-30,"$2,623,732,333","$146,109,429",$13.89,$13.85
2021-06-29,"$2,506,844,616","$178,358,986",$13.34,$13.89
2021-06-28,"$2,412,750,291","$145,936,499",$12.89,$13.34
2021-06-27,"$2,266,022,316","$179,712,564",$12.15,$12.89
2021-06-26,"$2,313,430,687","$206,675,216",$12.36,$12.15
2021-06-25,"$2,585,492,750","$189,546,808",$13.85,$12.36
2021-06-24,"$2,530,522,258","$319,304,823",$13.62,$13.85
2021-06-23,"$2,226,294,714","$563,768,093",$12.05,$13.62
2021-06-22,"$2,375,119,229","$310,226,772",$12.47,$12.05
2021-06-21,"$2,963,628,437","$200,404,152",$16.08,$12.47
2021-06-20,"$2,837,608,449","$152,628,651",$15.45,$16.08
2021-06-19,"$2,864,543,492","$186,301,386",$15.59,$15.45
2021-06-18,"$2,940,886,678","$175,757,235",$16.20,$15.59
2021-06-17,"$2,891,970,374","$191,820,436",$15.98,$16.20
2021-06-16,"$3,147,787,604","$214,564,050",$17.34,$15.98
2021-06-15,"$3,140,436,284","$266,423,763",$17.36,$17.34
2021-06-14,"$3,040,779,244","$209,972,509",$16.88,$17.36
2021-06-13,"$2,850,630,186","$236,049,150",$15.75,$16.88
2021-06-12,"$2,869,600,798","$250,993,851",$15.94,$15.75
2021-06-11,"$3,029,689,780","$314,950,354",$16.83,$15.94
2021-06-10,"$3,304,176,270","$346,141,890",$18.45,$16.83
2021-06-09,"$3,055,908,244","$472,306,515",$17.07,$18.45
2021-06-08,"$3,180,536,746","$394,927,329",$17.19,$17.07
2021-06-07,"$3,368,964,205","$270,450,786",$18.84,$17.19
2021-06-06,"$3,344,753,753","$355,939,166",$18.82,$18.84
2021-06-05,"$3,389,546,252","$406,835,696",$19.09,$18.82
2021-06-04,"$3,757,886,097","$349,735,557",$21.25,$19.09
2021-06-03,"$3,425,099,264","$371,308,501",$19.31,$21.25
