Date,Market Cap,Volume,Open,Close
2021-10-16,"$1,026,522,996","$63,001,732",$18.54,N/A
2021-10-15,"$1,006,480,153","$52,342,382",$18.16,$18.54
2021-10-14,"$986,793,742","$147,116,172",$17.80,$18.16
2021-10-13,"$853,038,456","$61,552,170",$15.38,$17.80
2021-10-12,"$854,528,072","$86,186,203",$15.49,$15.38
2021-10-11,"$743,799,926","$20,764,060",$13.45,$15.49
2021-10-10,"$783,115,643","$21,636,578",$14.18,$13.45
2021-10-09,"$759,227,828","$27,614,009",$13.75,$14.18
2021-10-08,"$745,721,597","$36,343,217",$13.49,$13.75
2021-10-07,"$765,318,706","$55,699,797",$13.83,$13.49
2021-10-06,"$773,413,144","$39,151,766",$13.96,$13.83
2021-10-05,"$804,058,929","$43,585,167",$14.51,$13.96
2021-10-04,"$832,167,646","$28,912,464",$15.09,$14.51
2021-10-03,"$857,316,003","$41,602,561",$15.55,$15.09
2021-10-02,"$820,794,084","$45,128,440",$14.88,$15.55
2021-10-01,"$790,309,781","$95,019,139",$14.32,$14.88
2021-09-30,"$837,195,515","$141,681,192",$15.14,$14.32
2021-09-29,"$761,468,138","$128,966,927",$13.75,$15.14
2021-09-28,"$840,630,110","$233,548,679",$15.27,$13.75
2021-09-27,"$772,620,576","$156,342,734",$14.10,$15.27
2021-09-26,"$655,843,225","$16,160,476",$11.96,$14.10
2021-09-25,"$666,007,350","$28,085,054",$12.16,$11.96
2021-09-24,"$720,541,659","$33,294,958",$13.14,$12.16
2021-09-23,"$764,636,592","$108,163,534",$13.94,$13.14
2021-09-22,"$598,434,724","$28,390,038",$10.93,$13.94
2021-09-21,"$663,954,476","$51,414,719",$12.16,$10.93
2021-09-20,"$784,295,437","$15,687,895",$14.30,$12.16
2021-09-19,"$821,660,285","$16,749,640",$14.98,$14.30
2021-09-18,"$842,133,657","$35,557,938",$15.30,$14.98
2021-09-17,"$889,309,617","$30,946,244",$17.20,$15.30
2021-09-16,"$824,445,264","$28,391,612",$17.82,$17.20
2021-09-15,"$825,861,740","$63,178,375",$18.32,$17.82
2021-09-14,"$721,358,827","$49,972,568",$15.98,$18.32
2021-09-13,"$680,182,673","$24,196,445",$15.08,$15.98
2021-09-12,"$709,655,691","$22,932,377",$15.77,$15.08
2021-09-11,"$695,755,020","$49,327,973",$15.46,$15.77
2021-09-10,"$821,973,592","$97,741,284",$18.26,$15.46
2021-09-09,"$884,433,469","$150,402,238",$19.65,$18.26
2021-09-08,"$905,152,032","$85,929,396",$20.12,$19.65
2021-09-07,"$968,998,409","$74,477,011",$21.65,$20.12
2021-09-06,"$887,202,076","$19,058,226",$19.82,$21.65
2021-09-05,"$865,436,764","$20,081,261",$19.22,$19.82
2021-09-04,"$892,292,060","$45,370,218",$19.83,$19.22
2021-09-03,"$868,653,798","$46,322,394",$19.41,$19.83
2021-09-02,"$935,113,105","$45,640,340",$20.84,$19.41
2021-09-01,"$916,356,623","$76,646,559",$20.40,$20.84
2021-08-31,"$978,885,623","$225,053,658",$21.73,$20.40
2021-08-30,"$830,527,066","$45,095,458",$18.63,$21.73
2021-08-29,"$804,704,830","$47,116,845",$17.94,$18.63
2021-08-28,"$770,117,566","$53,559,919",$17.20,$17.94
2021-08-27,"$755,082,511","$54,311,622",$16.97,$17.20
2021-08-26,"$815,837,280","$63,044,514",$18.27,$16.97
2021-08-25,"$755,204,546","$39,365,733",$16.95,$18.27
2021-08-24,"$789,741,382","$39,369,931",$17.70,$16.95
2021-08-23,"$760,500,204","$33,975,380",$17.10,$17.70
2021-08-22,"$798,205,500","$49,390,649",$17.96,$17.10
2021-08-21,"$831,945,007","$66,396,544",$18.81,$17.96
2021-08-20,"$851,102,285","$156,106,506",$19.09,$18.81
2021-08-19,"$721,684,753","$68,685,864",$16.36,$19.09
2021-08-18,"$658,090,881","$90,627,659",$14.78,$16.36
2021-08-17,"$643,509,505","$41,143,404",$14.33,$14.78
2021-08-16,"$641,022,882","$28,844,193",$14.53,$14.33
2021-08-15,"$656,686,839","$22,472,355",$14.79,$14.53
2021-08-14,"$697,110,873","$35,798,225",$15.79,$14.79
2021-08-13,"$666,838,918","$37,620,036",$15.05,$15.79
2021-08-12,"$705,792,388","$43,735,214",$15.93,$15.05
2021-08-11,"$689,121,896","$26,814,854",$15.61,$15.93
2021-08-10,"$694,385,701","$47,280,677",$15.94,$15.61
2021-08-09,"$635,149,971","$31,575,496",$14.34,$15.94
2021-08-08,"$704,170,158","$28,217,553",$16.05,$14.34
2021-08-07,"$691,302,933","$41,200,159",$15.66,$16.05
2021-08-06,"$705,367,665","$43,475,175",$15.94,$15.66
2021-08-05,"$753,360,779","$69,116,614",$17.06,$15.94
2021-08-04,"$701,999,933","$78,747,297",$15.90,$17.06
2021-08-03,"$634,200,305","$23,987,031",$14.37,$15.90
2021-08-02,"$605,785,706","$39,718,753",$13.86,$14.37
2021-08-01,"$652,116,635","$42,242,087",$14.91,$13.86
2021-07-31,"$639,122,235","$118,540,866",$14.63,$14.91
2021-07-30,"$601,403,023","$112,326,057",$13.72,$14.63
2021-07-29,"$473,250,102","$42,861,802",$10.82,$13.72
2021-07-28,"$429,388,828","$44,015,232",$9.83,$10.82
2021-07-27,"$441,060,928","$42,469,528",$10.08,$9.83
2021-07-26,"$402,455,962","$13,020,376",$9.24,$10.08
2021-07-25,"$400,357,970","$20,357,678",$9.20,$9.24
2021-07-24,"$402,341,160","$26,244,612",$9.22,$9.20
2021-07-23,"$344,399,189","$20,378,856",$7.91,$9.22
2021-07-22,"$332,157,618","$23,873,534",$7.65,$7.91
2021-07-21,"$300,566,334","$21,565,805",$6.90,$7.65
2021-07-20,"$291,289,926","$26,874,559",$6.68,$6.90
2021-07-19,"$336,733,380","$14,363,829",$7.75,$6.68
2021-07-18,"$355,775,400","$16,526,684",$8.19,$7.75
2021-07-17,"$323,055,564","$19,624,690",$7.45,$8.19
2021-07-16,"$346,405,366","$30,034,418",$7.98,$7.45
2021-07-15,"$351,837,295","$22,457,213",$8.11,$7.98
2021-07-14,"$325,806,810","$21,611,997",$7.49,$8.11
2021-07-13,"$359,652,891","$22,461,048",$8.31,$7.49
2021-07-12,"$385,622,797","$18,609,231",$8.90,$8.31
2021-07-11,"$362,081,838","$15,951,664",$8.37,$8.90
2021-07-10,"$385,607,808","$43,864,998",$8.92,$8.37
2021-07-09,"$397,018,783","$34,154,605",$9.17,$8.92
2021-07-08,"$461,550,279","$41,749,861",$10.63,$9.17
2021-07-07,"$478,117,878","$64,164,067",$11.01,$10.63
2021-07-06,"$399,053,760","$45,865,327",$9.19,$11.01
2021-07-05,"$370,456,123","$20,548,448",$8.56,$9.19
2021-07-04,"$342,998,353","$24,948,154",$7.95,$8.56
2021-07-03,"$325,483,246","$17,714,036",$7.60,$7.95
2021-07-02,"$325,971,315","$51,751,901",$7.50,$7.60
2021-07-01,"$354,059,184","$148,547,861",$8.18,$7.50
2021-06-30,"$255,294,613","$45,216,443",$5.86,$8.18
2021-06-29,"$238,971,625","$65,326,410",$5.53,$5.86
2021-06-28,"$189,666,724","$41,958,625",$4.40,$5.53
2021-06-27,"$173,548,643","$19,412,035",$4.03,$4.40
2021-06-26,"$195,804,665","$29,237,029",$4.54,$4.03
2021-06-25,"$140,996,669","$23,222,297",$5.35,$4.54
2021-06-24,"$138,097,411","$20,732,064",$5.15,$5.35
2021-06-23,"$132,765,034","$39,466,238",$4.90,$5.15
2021-06-22,"$124,616,857","$17,339,799",$4.49,$4.90
2021-06-21,"$169,322,378","$17,165,052",$6.07,$4.49
2021-06-20,"$170,771,625","$17,565,416",$6.12,$6.07
2021-06-19,"$192,301,467","$19,262,758",$6.93,$6.12
2021-06-18,"$189,637,156","$28,481,029",$7.61,$6.93
2021-06-17,"$186,196,777","$21,869,460",$7.44,$7.61
2021-06-16,"$174,525,968","$17,105,187",$8.44,$7.44
2021-06-15,"$196,429,251","$23,764,361",$9.52,$8.44
2021-06-14,"$177,051,032","$13,411,943",$8.58,$9.52
2021-06-13,"$159,820,573","$12,241,587",$7.69,$8.58
2021-06-12,"$156,148,742","$18,616,935",$7.53,$7.69
2021-06-11,"$173,077,383","$12,923,759",$8.30,$7.53
2021-06-10,"$188,757,435","$16,551,885",$9.04,$8.30
2021-06-09,"$178,541,502","$27,950,409",$8.52,$9.04
2021-06-08,"$186,907,987","$13,396,359",$8.87,$8.52
2021-06-07,"$207,345,930","$11,972,584",$9.87,$8.87
2021-06-06,"$206,122,775","$18,339,305",$9.83,$9.87
2021-06-05,"$209,049,979","$12,272,024",$9.96,$9.83
2021-06-04,"$221,257,735","$27,894,055",$10.42,$9.96
2021-06-03,"$226,842,535","$45,114,310",$10.61,$10.42
2021-06-02,"$190,141,325","$16,469,856",$8.88,$10.61
2021-06-01,"$182,384,967","$18,607,346",$8.55,$8.88
2021-05-31,"$166,390,757","$16,483,603",$7.72,$8.55
2021-05-30,"$155,790,297","$15,974,246",$7.25,$7.72
2021-05-29,"$164,713,394","$20,670,334",$7.70,$7.25
2021-05-28,"$194,702,961","$20,495,367",$9.02,$7.70
2021-05-27,"$220,555,952","$26,929,590",$10.24,$9.02
2021-05-26,"$220,282,509","$32,471,822",$10.45,$10.24
