Date,Market Cap,Volume,Open,Close
2021-10-16,"$1,041,511,919","$119,207,740",$1.04,N/A
2021-10-15,"$1,004,837,257","$67,852,263",$1.01,$1.04
2021-10-14,"$994,815,858","$62,718,141",$0.995785,$1.01
2021-10-13,"$1,003,630,693","$83,522,606",$1.00,$0.995785
2021-10-12,"$1,009,033,233","$113,789,509",$1.02,$1.00
2021-10-11,"$1,012,688,018","$54,235,449",$1.01,$1.02
2021-10-10,"$1,073,567,709","$55,188,787",$1.07,$1.01
2021-10-09,"$1,095,592,582","$66,794,221",$1.10,$1.07
2021-10-08,"$1,149,501,974","$108,327,550",$1.15,$1.10
2021-10-07,"$1,000,008,209","$122,825,553",$1.13,$1.15
2021-10-06,"$1,065,978,723","$151,927,188",$1.20,$1.13
2021-10-05,"$1,033,219,163","$144,411,476",$1.17,$1.20
2021-10-04,"$1,073,480,455","$165,681,878",$1.22,$1.17
2021-10-03,"$1,077,278,407","$365,771,149",$1.22,$1.22
2021-10-02,"$914,444,131","$146,881,042",$1.04,$1.22
2021-10-01,"$825,749,765","$108,985,718",$0.938080,$1.04
2021-09-30,"$808,706,110","$116,007,040",$0.920185,$0.938080
2021-09-29,"$825,640,567","$129,202,302",$0.931656,$0.920185
2021-09-28,"$910,799,987","$204,791,091",$1.03,$0.931656
2021-09-27,"$1,024,058,034","$315,251,063",$1.16,$1.03
2021-09-26,"$907,849,209","$292,005,604",$1.03,$1.16
2021-09-25,"$980,689,542","$662,696,144",$1.10,$1.03
2021-09-24,"$785,205,728","$97,425,679",$0.892020,$1.10
2021-09-23,"$731,797,365","$309,624,669",$0.832705,$0.892020
2021-09-22,"$616,306,274","$131,648,054",$0.705543,$0.832705
2021-09-21,"$659,608,885","$126,954,266",$0.750800,$0.705543
2021-09-20,"$787,494,288","$84,284,155",$0.892205,$0.750800
2021-09-19,"$854,631,815","$173,780,573",$0.970545,$0.892205
2021-09-18,"$833,571,736","$143,313,737",$0.940564,$0.970545
2021-09-17,"$885,451,786","$354,488,360",$0.997879,$0.940564
2021-09-16,"$953,164,264","$652,580,563",$1.08,$0.997879
2021-09-15,"$723,272,897","$122,421,266",$0.823817,$1.08
2021-09-14,"$587,057,115","$58,053,226",$0.667206,$0.823817
2021-09-13,"$645,667,541","$66,354,825",$0.731162,$0.667206
2021-09-12,"$617,302,592","$37,694,070",$0.700570,$0.731162
2021-09-11,"$621,422,321","$107,680,061",$0.706188,$0.700570
2021-09-10,"$644,126,624","$62,886,680",$0.729581,$0.706188
2021-09-09,"$592,595,614","$62,776,161",$0.670650,$0.729581
2021-09-08,"$598,940,688","$127,392,507",$0.679245,$0.670650
2021-09-07,"$710,964,968","$70,520,241",$0.806616,$0.679245
2021-09-06,"$746,895,674","$69,276,189",$0.847672,$0.806616
2021-09-05,"$741,704,269","$73,775,762",$0.841665,$0.847672
2021-09-04,"$719,655,872","$73,746,927",$0.818201,$0.841665
2021-09-03,"$711,559,120","$123,143,231",$0.808059,$0.818201
2021-09-02,"$756,754,805","$128,366,140",$0.860893,$0.808059
2021-09-01,"$679,831,021","$154,994,086",$0.771279,$0.860893
2021-08-31,"$570,985,000","$67,867,665",$0.648169,$0.771279
2021-08-30,"$587,026,741","$119,381,775",$0.667174,$0.648169
2021-08-29,"$530,887,254","$38,193,938",$0.605304,$0.667174
2021-08-28,"$538,851,897","$55,250,260",$0.610917,$0.605304
2021-08-27,"$487,258,612","$42,720,653",$0.552906,$0.610917
2021-08-26,"$519,158,034","$55,982,165",$0.588917,$0.552906
2021-08-25,"$547,098,944","$65,447,939",$0.617931,$0.588917
2021-08-24,"$573,746,116","$60,575,460",$0.650597,$0.617931
2021-08-23,"$540,798,730","$39,317,173",$0.613070,$0.650597
2021-08-22,"$534,518,063","$49,864,851",$0.606270,$0.613070
2021-08-21,"$558,660,027","$74,822,386",$0.636224,$0.606270
2021-08-20,"$500,321,366","$66,156,050",$0.569290,$0.636224
2021-08-19,"$494,178,705","$109,035,806",$0.559196,$0.569290
2021-08-18,"$525,150,520","$179,882,616",$0.591211,$0.559196
2021-08-17,"$450,036,396","$47,953,352",$0.504677,$0.591211
2021-08-16,"$453,397,683","$43,574,808",$0.514521,$0.504677
2021-08-15,"$460,876,061","$40,777,637",$0.522226,$0.514521
2021-08-14,"$456,494,679","$41,805,994",$0.518716,$0.522226
2021-08-13,"$417,589,347","$57,781,889",$0.474780,$0.518716
2021-08-12,"$443,625,948","$66,263,748",$0.503327,$0.474780
2021-08-11,"$418,944,171","$48,203,393",$0.475573,$0.503327
2021-08-10,"$388,397,091","$39,227,922",$0.450091,$0.475573
2021-08-09,"$373,889,303","$35,970,481",$0.423713,$0.450091
2021-08-08,"$412,771,453","$48,811,270",$0.470944,$0.423713
2021-08-07,"$392,577,579","$40,758,669",$0.445345,$0.470944
2021-08-06,"$382,426,671","$44,250,523",$0.433676,$0.445345
2021-08-05,"$378,237,590","$27,357,066",$0.427093,$0.433676
2021-08-04,"$374,010,113","$23,011,799",$0.424674,$0.427093
2021-08-03,"$384,982,887","$22,976,381",$0.436155,$0.424674
2021-08-02,"$382,330,009","$32,937,824",$0.434254,$0.436155
2021-08-01,"$392,487,421","$45,266,423",$0.443934,$0.434254
2021-07-31,"$372,570,290","$53,580,952",$0.422683,$0.443934
2021-07-30,"$334,602,138","$30,979,851",$0.378484,$0.422683
2021-07-29,"$319,805,306","$24,752,909",$0.362422,$0.378484
2021-07-28,"$305,422,464","$25,296,180",$0.348719,$0.362422
2021-07-27,"$307,899,898","$49,161,511",$0.347736,$0.348719
2021-07-26,"$299,821,290","$13,834,379",$0.340394,$0.347736
2021-07-25,"$295,996,769","$18,050,783",$0.335920,$0.340394
2021-07-24,"$298,117,501","$23,249,216",$0.338495,$0.335920
2021-07-23,"$281,687,972","$15,964,738",$0.320899,$0.338495
2021-07-22,"$275,991,940","$28,068,324",$0.314443,$0.320899
2021-07-21,"$246,504,999","$18,804,112",$0.279935,$0.314443
2021-07-20,"$263,342,145","$17,532,991",$0.298590,$0.279935
2021-07-19,"$275,995,159","$15,372,958",$0.313480,$0.298590
2021-07-18,"$270,040,664","$13,080,863",$0.305820,$0.313480
2021-07-17,"$268,377,024","$14,477,094",$0.305035,$0.305820
2021-07-16,"$282,888,999","$17,624,744",$0.318139,$0.305035
2021-07-15,"$298,596,464","$21,652,780",$0.339044,$0.318139
2021-07-14,"$295,014,073","$21,761,523",$0.333596,$0.339044
2021-07-13,"$316,806,096","$30,508,119",$0.360386,$0.333596
2021-07-12,"$324,406,688","$14,909,028",$0.367875,$0.360386
2021-07-11,"$325,010,307","$13,180,664",$0.368650,$0.367875
