Date,Market Cap,Volume,Open,Close
2021-10-16,"$406,916,385","$27,501,751",$36.12,N/A
2021-10-15,"$520,930,960","$31,783,114",$46.42,$36.12
2021-10-14,"$436,237,820","$25,651,659",$39.14,$46.42
2021-10-13,"$321,851,586","$6,156,455",$28.67,$39.14
2021-10-12,"$358,460,213","$6,003,774",$31.97,$28.67
2021-10-11,"$341,493,723","$5,032,255",$30.27,$31.97
2021-10-10,"$341,970,655","$3,452,213",$30.39,$30.27
2021-10-09,"$327,981,009","$2,585,591",$28.17,$30.39
2021-10-08,"$305,461,298","$3,899,110",$27.00,$28.17
2021-10-07,"$309,260,888","$5,669,190",$27.43,$27.00
2021-10-06,"$340,988,306","$7,591,927",$30.26,$27.43
2021-10-05,"$333,161,568","$8,302,405",$29.61,$30.26
2021-10-04,"$349,858,443","$13,645,456",$30.88,$29.61
2021-10-03,"$298,302,344","$1,998,325",$26.53,$30.88
2021-10-02,"$276,394,066","$7,221,790",$24.76,$26.53
2021-10-01,"$269,197,730","$9,788,623",$23.70,$24.76
2021-09-30,"$224,089,543","$2,727,135",$19.88,$23.70
2021-09-29,"$224,417,910","$4,522,478",$19.77,$19.88
2021-09-28,"$256,154,663","$5,568,885",$22.81,$19.77
2021-09-27,"$282,182,396","$10,778,886",$25.07,$22.81
2021-09-26,"$249,646,179","$10,400,840",$21.87,$25.07
2021-09-25,"$223,150,373","$6,771,460",$19.94,$21.87
2021-09-24,"$196,375,817","$4,252,260",$17.49,$19.94
2021-09-23,"$195,997,729","$3,572,561",$17.44,$17.49
2021-09-22,"$166,995,936","$2,431,817",$14.66,$17.44
2021-09-21,"$188,606,668","$5,269,960",$16.78,$14.66
2021-09-20,"$224,572,958","$3,401,365",$19.88,$16.78
2021-09-19,"$178,781,841","$8,624,572",$20.44,$19.88
2021-09-18,"$158,243,368","$5,201,858",$18.07,$20.44
2021-09-17,"$147,744,129","$1,601,411",$16.88,$18.07
2021-09-16,"$154,252,829","$8,113,844",$17.50,$16.88
2021-09-15,"$164,286,109","$18,121,269",$18.61,$17.50
2021-09-14,"$145,159,214","$2,722,394",$16.58,$18.61
2021-09-13,"$136,267,311","$4,335,692",$15.39,$16.58
2021-09-12,"$145,370,840","$10,833,351",$16.37,$15.39
2021-09-11,"$119,987,802","$12,301,481",$13.71,$16.37
2021-09-10,"$148,146,031","$24,554,497",$16.91,$13.71
2021-09-09,"$137,765,280","$23,558,807",$15.75,$16.91
2021-09-08,"$164,607,327","$11,818,755",$18.80,$15.75
2021-09-07,"$164,356,863","$9,059,395",$18.77,$18.80
2021-09-06,"$142,624,917","$2,559,271",$16.35,$18.77
2021-09-05,"$139,224,824","$1,788,618",$15.90,$16.35
2021-09-04,"$145,014,971","$4,489,422",$16.61,$15.90
2021-09-03,"$147,402,123","$4,395,805",$16.88,$16.61
2021-09-02,"$151,416,680","$15,756,850",$18.02,$16.88
2021-09-01,"$116,614,636","$18,948,053",$13.27,$18.02
2021-08-31,"$86,547,810","$1,358,408",$9.68,$13.27
2021-08-30,"$87,849,735","$882,138",$10.02,$9.68
2021-08-29,"$87,320,272","$1,278,320",$9.95,$10.02
2021-08-28,"$94,653,024","$963,115",$10.78,$9.95
2021-08-27,"$88,421,852","$2,759,693",$10.06,$10.78
2021-08-26,"$98,651,088","$2,559,346",$11.23,$10.06
2021-08-25,"$92,317,846","$1,598,559",$10.50,$11.23
2021-08-24,"$101,880,626","$1,177,850",$11.59,$10.50
2021-08-23,"$100,530,233","$1,924,854",$11.43,$11.59
2021-08-22,"$99,590,002","$2,303,252",$11.22,$11.43
2021-08-21,"$107,016,204","$2,607,244",$12.19,$11.22
2021-08-20,"$87,975,847","$1,478,611",$10.22,$12.19
2021-08-19,"$90,774,925","$766,740",$10.29,$10.22
2021-08-18,"$93,222,507","$833,330",$10.64,$10.29
2021-08-17,"$102,860,082","$1,245,722",$11.66,$10.64
2021-08-16,"$108,055,886","$637,158",$12.36,$11.66
2021-08-15,"$106,469,202","$1,380,220",$12.16,$12.36
2021-08-14,"$112,199,582","$1,317,889",$12.84,$12.16
2021-08-13,"$92,339,858","$1,360,535",$10.56,$12.84
2021-08-12,"$96,087,733","$3,471,358",$10.99,$10.56
2021-08-11,"$101,368,582","$1,425,908",$11.62,$10.99
2021-08-10,"$105,784,777","$1,545,756",$12.34,$11.62
2021-08-09,"$101,808,170","$1,390,342",$11.62,$12.34
2021-08-08,"$109,634,809","$1,696,874",$12.57,$11.62
2021-08-07,"$106,249,906","$3,763,892",$12.15,$12.57
2021-08-06,"$103,302,822","$1,288,006",$12.00,$12.15
2021-08-05,"$91,024,993","$2,283,898",$10.41,$12.00
2021-08-04,"$76,097,845","$1,738,434",$8.70,$10.41
2021-08-03,"$81,792,565","$1,548,398",$9.35,$8.70
2021-08-02,"$81,698,591","$2,585,460",$9.35,$9.35
2021-08-01,"$85,378,909","$2,883,304",$9.76,$9.35
2021-07-31,"$70,364,346","$1,411,005",$8.05,$9.76
2021-07-30,"$66,719,319","$361,210",$7.63,$8.05
2021-07-29,"$63,348,936","$890,299",$7.25,$7.63
2021-07-28,"$60,624,726","$917,441",$7.06,$7.25
2021-07-27,"$65,993,815","$1,447,138",$7.52,$7.06
2021-07-26,"$61,679,327","$1,899,070",$7.06,$7.52
2021-07-25,"$59,403,184","$806,566",$6.81,$7.06
2021-07-24,"$55,235,979","$1,390,188",$6.33,$6.81
2021-07-23,"$50,388,142","$1,215,622",$5.77,$6.33
2021-07-22,"$43,210,425","$1,605,311",$4.96,$5.77
2021-07-21,"$42,117,655","$1,544,828",$4.82,$4.96
2021-07-20,"$39,231,099","$365,974",$4.50,$4.82
2021-07-19,"$42,950,898","$431,645",$4.93,$4.50
2021-07-18,"$40,292,231","$930,292",$4.62,$4.93
2021-07-17,"$39,440,274","$869,066",$4.51,$4.62
2021-07-16,"$47,136,718","$644,861",$5.38,$4.51
2021-07-15,"$49,658,867","$1,140,195",$5.67,$5.38
2021-07-14,"$45,653,789","$621,578",$5.19,$5.67
2021-07-13,"$50,659,756","$411,111",$5.73,$5.19
2021-07-12,"$54,162,339","$160,137",$6.20,$5.73
2021-07-11,"$53,531,680","$521,765",$6.12,$6.20
2021-07-10,"$55,948,745","$1,029,754",$6.42,$6.12
2021-07-09,"$55,173,969","$611,568",$6.37,$6.42
2021-07-08,"$68,355,448","$770,847",$7.80,$6.37
2021-07-07,"$73,811,479","$1,035,258",$8.45,$7.80
2021-07-06,"$71,265,789","$1,040,620",$8.15,$8.45
2021-07-05,"$72,536,422","$1,167,460",$8.31,$8.15
2021-07-04,"$61,976,771","$822,893",$7.11,$8.31
2021-07-03,"$57,047,156","$543,276",$6.54,$7.11
2021-07-02,"$58,328,696","$3,179,783",$6.69,$6.54
2021-07-01,"$49,319,476","$499,649",$5.65,$6.69
2021-06-30,"$47,498,250","$721,706",$5.44,$5.65
2021-06-29,"$46,519,270","$898,590",$5.33,$5.44
