Date,Market Cap,Volume,Open,Close
2021-10-16,"$738,125,293","$156,386,138",$10.22,N/A
2021-10-15,"$713,200,715","$84,040,538",$9.88,$10.22
2021-10-14,"$723,379,641","$154,668,776",$10.03,$9.88
2021-10-13,"$681,788,074","$63,948,516",$9.58,$10.03
2021-10-12,"$669,925,866","$81,366,309",$9.40,$9.58
2021-10-11,"$685,814,862","$72,206,259",$9.61,$9.40
2021-10-10,"$735,644,256","$62,566,649",$10.30,$9.61
2021-10-09,"$734,709,338","$99,229,050",$10.30,$10.30
2021-10-08,"$736,331,280","$109,262,609",$10.33,$10.30
2021-10-07,"$767,387,537","$138,602,471",$10.77,$10.33
2021-10-06,"$791,971,206","$95,751,911",$11.05,$10.77
2021-10-05,"$796,854,864","$126,387,095",$11.16,$11.05
2021-10-04,"$820,912,997","$145,100,541",$11.54,$11.16
2021-10-03,"$793,572,015","$149,863,389",$11.21,$11.54
2021-10-02,"$778,197,309","$185,985,956",$10.98,$11.21
2021-10-01,"$685,154,952","$90,590,626",$9.62,$10.98
2021-09-30,"$652,611,960","$80,997,239",$9.16,$9.62
2021-09-29,"$639,782,327","$94,845,974",$9.10,$9.16
2021-09-28,"$678,527,195","$162,876,603",$9.68,$9.10
2021-09-27,"$676,321,811","$123,720,134",$9.67,$9.68
2021-09-26,"$693,333,468","$95,209,587",$9.92,$9.67
2021-09-25,"$705,894,647","$165,859,892",$10.03,$9.92
2021-09-24,"$814,969,419","$169,535,744",$11.67,$10.03
2021-09-23,"$737,508,143","$173,725,059",$10.59,$11.67
2021-09-22,"$634,902,915","$175,614,042",$9.18,$10.59
2021-09-21,"$703,117,611","$175,239,491",$10.14,$9.18
2021-09-20,"$856,510,109","$123,853,711",$12.23,$10.14
2021-09-19,"$914,991,609","$222,609,938",$13.16,$12.23
2021-09-18,"$854,768,508","$180,081,176",$12.20,$13.16
2021-09-17,"$904,489,424","$134,329,319",$12.94,$12.20
2021-09-16,"$952,073,135","$141,865,326",$13.61,$12.94
2021-09-15,"$949,420,163","$179,783,752",$13.62,$13.61
2021-09-14,"$1,012,042,225","$418,565,728",$14.50,$13.62
2021-09-13,"$1,115,822,044","$484,029,275",$16.64,$14.50
2021-09-12,"$994,811,101","$638,801,202",$14.87,$16.64
2021-09-11,"$958,633,075","$506,253,118",$14.31,$14.87
2021-09-10,"$995,225,895","$1,055,492,219",$14.85,$14.31
2021-09-09,"$855,952,531","$430,115,142",$12.65,$14.85
2021-09-08,"$793,378,285","$732,274,546",$11.82,$12.65
2021-09-07,"$861,896,143","$326,480,345",$12.87,$11.82
2021-09-06,"$827,762,754","$153,684,235",$12.43,$12.87
2021-09-05,"$823,257,506","$259,196,775",$12.59,$12.43
2021-09-04,"$832,274,216","$432,911,526",$12.77,$12.59
2021-09-03,"$773,666,790","$279,367,518",$11.87,$12.77
2021-09-02,"$757,326,709","$221,770,600",$11.59,$11.87
2021-09-01,"$792,062,540","$539,971,850",$12.05,$11.59
2021-08-31,"$752,014,817","$516,720,607",$11.47,$12.05
2021-08-30,"$688,790,706","$425,430,406",$11.43,$11.47
2021-08-29,"$666,995,478","$782,789,692",$11.23,$11.43
2021-08-28,"$508,820,125","$249,955,483",$8.46,$11.23
2021-08-27,"$423,530,652","$82,870,061",$6.94,$8.46
2021-08-26,"$437,386,381","$75,706,661",$7.19,$6.94
2021-08-25,"$421,167,275","$90,354,278",$7.09,$7.19
2021-08-24,"$427,622,400","$79,351,006",$7.24,$7.09
2021-08-23,"$426,311,691","$76,336,247",$7.21,$7.24
2021-08-22,"$436,162,751","$45,741,324",$7.43,$7.21
2021-08-21,"$472,575,956","$74,222,960",$8.04,$7.43
2021-08-20,"$431,139,410","$190,296,790",$7.49,$8.04
2021-08-19,"$455,198,844","$322,589,884",$7.73,$7.49
2021-08-18,"$403,763,860","$334,047,770",$6.94,$7.73
2021-08-17,"$377,954,184","$249,036,238",$6.35,$6.94
2021-08-16,"$337,644,119","$90,792,604",$5.77,$6.35
2021-08-15,"$292,756,320","$50,764,979",$4.99,$5.77
2021-08-14,"$300,267,370","$78,601,125",$5.10,$4.99
2021-08-13,"$263,876,444","$83,390,609",$4.49,$5.10
2021-08-12,"$249,401,473","$75,699,412",$4.24,$4.49
2021-08-11,"$248,301,198","$136,383,234",$4.23,$4.24
2021-08-10,"$219,267,813","$18,523,096",$3.86,$4.23
2021-08-09,"$208,377,060","$14,641,816",$3.61,$3.86
2021-08-08,"$218,154,212","$21,321,316",$3.81,$3.61
2021-08-07,"$211,389,223","$19,541,661",$3.69,$3.81
2021-08-06,"$205,430,622","$22,772,231",$3.57,$3.69
2021-08-05,"$200,389,723","$15,906,620",$3.45,$3.57
2021-08-04,"$187,314,304","$20,080,027",$3.28,$3.45
2021-08-03,"$190,368,396","$14,817,331",$3.33,$3.28
2021-08-02,"$186,462,786","$15,522,275",$3.26,$3.33
2021-08-01,"$200,207,295","$15,960,098",$3.50,$3.26
2021-07-31,"$190,160,726","$15,390,597",$3.33,$3.50
2021-07-30,"$177,659,360","$10,198,074",$3.10,$3.33
2021-07-29,"$165,280,354","$10,731,635",$2.91,$3.10
2021-07-28,"$165,522,731","$12,565,719",$2.92,$2.91
2021-07-27,"$168,564,235","$21,202,813",$2.97,$2.92
2021-07-26,"$164,856,206","$9,591,353",$2.92,$2.97
2021-07-25,"$164,178,331","$8,811,198",$2.91,$2.92
2021-07-24,"$159,273,065","$10,197,385",$2.84,$2.91
2021-07-23,"$155,019,106","$8,752,468",$2.76,$2.84
2021-07-22,"$148,918,297","$12,699,651",$2.66,$2.76
2021-07-21,"$141,678,321","$9,996,715",$2.52,$2.66
2021-07-20,"$147,715,627","$9,126,103",$2.63,$2.52
2021-07-19,"$158,581,819","$8,916,533",$2.84,$2.63
2021-07-18,"$156,600,867","$6,994,190",$2.79,$2.84
2021-07-17,"$154,192,807","$11,605,290",$2.78,$2.79
2021-07-16,"$162,344,992","$10,736,036",$2.92,$2.78
2021-07-15,"$172,242,649","$11,098,672",$3.10,$2.92
2021-07-14,"$172,062,863","$10,043,870",$3.11,$3.10
2021-07-13,"$179,466,998","$7,698,957",$3.25,$3.11
2021-07-12,"$182,928,802","$3,376,907",$3.31,$3.25
2021-07-11,"$180,180,289","$5,666,420",$3.26,$3.31
2021-07-10,"$182,139,460","$7,448,205",$3.30,$3.26
2021-07-09,"$182,012,740","$9,513,403",$3.33,$3.30
2021-07-08,"$195,547,816","$11,471,386",$3.59,$3.33
2021-07-07,"$197,354,766","$10,525,959",$3.63,$3.59
2021-07-06,"$189,411,029","$6,422,699",$3.46,$3.63
2021-07-05,"$194,890,446","$6,382,681",$3.55,$3.46
2021-07-04,"$192,667,845","$6,746,484",$3.51,$3.55
2021-07-03,"$191,685,397","$9,179,966",$3.50,$3.51
2021-07-02,"$191,902,738","$12,964,490",$3.56,$3.50
2021-07-01,"$191,686,788","$16,671,918",$3.61,$3.56
2021-06-30,"$186,560,658","$16,220,733",$3.52,$3.61
2021-06-29,"$182,345,672","$20,800,981",$3.44,$3.52
2021-06-28,"$176,484,813","$27,122,061",$3.33,$3.44
2021-06-27,"$165,462,338","$13,501,384",$3.13,$3.33
2021-06-26,"$172,277,802","$13,160,636",$3.26,$3.13
2021-06-25,"$181,563,263","$22,761,626",$3.48,$3.26
2021-06-24,"$178,078,615","$34,175,191",$3.42,$3.48
2021-06-23,"$167,827,937","$42,273,647",$3.22,$3.42
2021-06-22,"$169,482,599","$11,768,683",$3.25,$3.22
2021-06-21,"$201,956,671","$27,645,034",$3.91,$3.25
2021-06-20,"$195,920,778","$17,026,426",$3.79,$3.91
2021-06-19,"$198,444,560","$24,798,663",$3.81,$3.79
2021-06-18,"$202,335,922","$13,522,625",$3.98,$3.81
2021-06-17,"$204,732,795","$19,397,493",$4.02,$3.98
2021-06-16,"$215,775,780","$15,566,272",$4.23,$4.02
2021-06-15,"$216,762,462","$15,456,701",$4.27,$4.23
2021-06-14,"$212,242,279","$25,557,246",$4.19,$4.27
2021-06-13,"$206,452,871","$32,735,379",$4.04,$4.19
2021-06-12,"$208,591,457","$14,551,217",$4.06,$4.04
2021-06-11,"$227,275,069","$22,705,811",$4.46,$4.06
2021-06-10,"$240,197,274","$24,790,580",$4.76,$4.46
2021-06-09,"$235,900,885","$46,932,640",$4.67,$4.76
2021-06-08,"$244,220,092","$34,987,942",$4.78,$4.67
2021-06-07,"$260,921,569","$16,296,197",$5.19,$4.78
2021-06-06,"$252,458,769","$25,811,678",$5.05,$5.19
2021-06-05,"$261,394,988","$35,976,562",$5.20,$5.05
2021-06-04,"$273,713,544","$33,349,107",$5.53,$5.20
2021-06-03,"$253,901,451","$21,152,950",$5.12,$5.53
2021-06-02,"$245,759,636","$15,728,097",$4.96,$5.12
2021-06-01,"$255,351,492","$31,905,246",$5.16,$4.96
2021-05-31,"$228,863,099","$26,926,446",$4.60,$5.16
2021-05-30,"$216,338,627","$33,495,899",$4.31,$4.60
2021-05-29,"$224,349,190","$44,884,520",$4.47,$4.31
2021-05-28,"$252,542,133","$36,877,754",$5.10,$4.47
2021-05-27,"$261,608,596","$56,808,652",$5.31,$5.10
2021-05-26,"$213,195,655","$45,147,571",$4.29,$5.31
2021-05-25,"$215,593,955","$75,715,898",$4.38,$4.29
2021-05-24,"$174,688,598","$113,161,676",$3.55,$4.38
2021-05-23,"$230,809,838","$63,978,198",$4.70,$3.55
2021-05-22,"$256,032,015","$102,152,954",$5.23,$4.70
2021-05-21,"$317,759,392","$133,533,754",$6.47,$5.23
2021-05-20,"$293,942,171","$180,470,026",$5.82,$6.47
2021-05-19,"$485,105,400","$80,083,282",$9.68,$5.82
2021-05-18,"$459,575,849","$110,202,186",$9.19,$9.68
2021-05-17,"$478,753,528","$114,281,555",$9.62,$9.19
2021-05-16,"$431,966,710","$58,945,765",$8.69,$9.62
2021-05-15,"$484,536,430","$60,937,027",$9.89,$8.69
2021-05-14,"$459,932,541","$127,010,262",$9.49,$9.89
2021-05-13,"$532,753,071","$179,464,418",$11.04,$9.49
2021-05-12,"$586,264,529","$124,095,538",$13.49,$11.04
2021-05-11,"$548,255,230","$99,835,815",$12.87,$13.49
2021-05-10,"$588,426,127","$85,922,717",$14.29,$12.87
2021-05-09,"$577,881,805","$107,751,369",$14.41,$14.29
2021-05-08,"$514,305,590","$64,687,542",$12.88,$14.41
2021-05-07,"$536,239,934","$76,846,965",$13.48,$12.88
2021-05-06,"$576,396,321","$102,241,913",$14.80,$13.48
2021-05-05,"$514,749,874","$141,731,930",$13.26,$14.80
2021-05-04,"$584,282,563","$117,658,434",$15.21,$13.26
2021-05-03,"$561,031,120","$103,681,071",$15.06,$15.21
2021-05-02,"$549,609,594","$106,612,987",$14.67,$15.06
2021-05-01,"$488,665,057","$78,729,653",$13.12,$14.67
2021-04-30,"$487,556,614","$93,274,021",$13.13,$13.12
2021-04-29,"$508,462,996","$121,654,736",$13.80,$13.13
2021-04-28,"$509,734,829","$193,672,153",$13.87,$13.80
2021-04-27,"$440,320,499","$179,928,199",$12.16,$13.87
2021-04-26,"$358,507,916","$93,897,887",$10.05,$12.16
2021-04-25,"$332,284,682","$53,261,124",$9.10,$10.05
2021-04-24,"$319,135,379","$89,894,912",$8.90,$9.10
2021-04-23,"$356,849,246","$126,292,296",$9.94,$8.90
2021-04-22,"$323,393,697","$59,201,039",$9.51,$9.94
2021-04-21,"$263,286,081","$38,952,884",$8.19,$9.51
2021-04-20,"$250,774,149","$49,373,899",$7.97,$8.19
2021-04-19,"$266,066,636","$63,984,534",$8.62,$7.97
2021-04-18,"$292,840,302","$17,299,200",$9.91,$8.62
2021-04-17,"$300,259,910","$24,363,772",$10.41,$9.91
2021-04-16,"$325,693,037","$22,175,679",$11.32,$10.41
2021-04-15,"$308,571,726","$35,310,901",$10.80,$11.32
2021-04-14,"$332,318,189","$26,743,746",$12.14,$10.80
2021-04-13,"$314,294,213","$21,908,943",$11.36,$12.14
2021-04-12,"$323,662,364","$18,619,960",$11.99,$11.36
2021-04-11,"$322,858,528","$33,777,522",$11.96,$11.99
2021-04-10,"$296,087,661","$28,733,681",$11.07,$11.96
2021-04-09,"$246,977,825","$11,410,212",$9.25,$11.07
2021-04-08,"$237,399,914","$20,218,634",$8.98,$9.25
2021-04-07,"$239,065,685","$15,836,576",$9.41,$8.98
2021-04-06,"$247,447,083","$17,120,955",$9.82,$9.41
2021-04-05,"$262,011,345","$17,302,202",$10.39,$9.82
2021-04-04,"$237,218,428","$17,359,101",$9.40,$10.39
2021-04-03,"$232,493,157","$7,662,084",$9.28,$9.40
2021-04-02,"$223,660,644","$9,991,756",$8.99,$9.28
2021-04-01,"$223,411,948","$6,969,129",$9.15,$8.99
2021-03-31,"$226,273,154","$6,286,307",$9.28,$9.15
2021-03-30,"$227,301,588","$4,866,377",$9.37,$9.28
2021-03-29,"$208,356,134","$5,723,065",$8.60,$9.37
2021-03-28,"$192,891,875","$2,748,925",$7.92,$8.60
2021-03-27,"$184,332,299","$3,441,452",$7.99,$7.92
2021-03-26,"$168,459,141","$4,325,596",$7.29,$7.99
2021-03-25,"$175,258,315","$4,990,027",$7.73,$7.29
2021-03-24,"$186,413,420","$6,419,198",$8.16,$7.73
2021-03-23,"$197,103,321","$8,711,579",$8.76,$8.16
2021-03-22,"$191,318,374","$5,006,544",$8.63,$8.76
2021-03-21,"$195,883,651","$7,126,916",$8.94,$8.63
2021-03-20,"$188,245,089","$7,351,110",$8.71,$8.94
2021-03-19,"$197,618,298","$2,518,697",$9.22,$8.71
2021-03-18,"$196,399,267","$8,389,912",$9.42,$9.22
2021-03-17,"$198,248,254","$9,157,973",$9.91,$9.42
2021-03-16,"$210,605,894","$8,903,504",$10.68,$9.91
2021-03-15,"$216,664,109","$4,046,984",$10.98,$10.68
2021-03-14,"$217,935,549","$8,300,727",$11.16,$10.98
2021-03-13,"$193,247,259","$10,919,313",$9.90,$11.16
2021-03-12,"$197,661,259","$8,953,208",$10.33,$9.90
2021-03-11,"$171,774,250","$11,972,169",$9.38,$10.33
2021-03-10,"$177,792,205","$11,235,055",$10.04,$9.38
2021-03-09,"$156,034,792","$21,486,286",$9.27,$10.04
2021-03-08,"$104,737,313","$9,456,305",$7.74,$9.27
2021-03-07,"$100,981,634","$6,551,583",$7.41,$7.74
2021-03-06,"$87,973,575","$6,561,417",$6.54,$7.41
2021-03-05,"$90,392,224","$13,649,038",$6.80,$6.54
2021-03-04,"$94,253,903","$11,839,197",$7.05,$6.80
2021-03-03,"$92,152,050","$21,916,544",$7.12,$7.05
2021-03-02,"$89,761,047","$16,271,839",$7.79,$7.12
2021-03-01,"$70,676,538","$19,366,846",$5.74,$7.79
2021-02-28,"$72,921,057","$11,041,277",$6.57,$5.74
2021-02-27,"$83,564,742","$19,032,568",$7.56,$6.57
2021-02-26,"$94,542,600","$36,491,140",$8.60,$7.56
2021-02-25,"$105,546,004","$44,017,555",$9.67,$8.60
2021-02-24,"$107,038,213","$58,625,047",$9.87,$9.67
2021-02-23,"$132,460,778","$87,286,427",$12.16,$9.87
2021-02-22,$0.000000000000,"$43,364,478",$7.10,$12.16
2021-02-21,$0.000000000000,"$43,364,478",$7.10,$7.10
