Date,Market Cap,Volume,Open,Close
2021-10-16,"$526,207,030","$782,381",$32.37,N/A
2021-10-15,"$515,209,610","$840,592",$31.86,$32.37
2021-10-14,"$494,996,276","$1,071,135",$30.57,$31.86
2021-10-13,"$480,400,874","$4,577,558",$29.67,$30.57
2021-10-12,"$535,857,275","$864,698",$33.19,$29.67
2021-10-11,"$538,596,969","$913,382",$33.25,$33.19
2021-10-10,"$573,521,245","$1,471,886",$35.54,$33.25
2021-10-09,"$573,581,398","$1,306,754",$35.49,$35.54
2021-10-08,"$581,397,215","$5,369,174",$35.94,$35.49
2021-10-07,"$545,995,138","$2,179,144",$33.71,$35.94
2021-10-06,"$528,321,087","$12,019,283",$32.63,$33.71
2021-10-05,"$546,887,400","$3,477,600",$33.73,$32.63
2021-10-04,"$599,515,510","$2,488,056",$37.05,$33.73
2021-10-03,"$580,692,610","$1,900,789",$35.87,$37.05
2021-10-02,"$564,970,286","$1,248,476",$34.98,$35.87
2021-10-01,"$513,256,088","$3,104,572",$31.73,$34.98
2021-09-30,"$493,815,939","$5,002,812",$30.55,$31.73
2021-09-29,"$486,475,033","$3,676,410",$30.03,$30.55
2021-09-28,"$508,734,215","$2,764,277",$31.33,$30.03
2021-09-27,"$524,168,353","$1,866,261",$31.95,$31.33
2021-09-26,"$507,587,062","$1,007,825",$31.41,$31.95
2021-09-25,"$504,533,250","$4,230,213",$31.08,$31.41
2021-09-24,"$533,865,594","$1,202,709",$33.19,$31.08
2021-09-23,"$513,491,936","$1,100,925",$31.78,$33.19
2021-09-22,"$455,865,378","$1,757,371",$28.21,$31.78
2021-09-21,"$494,618,632","$2,579,056",$30.62,$28.21
2021-09-20,"$559,163,954","$5,896,793",$34.60,$30.62
2021-09-19,"$539,024,766","$4,386,622",$33.37,$34.60
2021-09-18,"$518,695,686","$1,513,686",$32.04,$33.37
2021-09-17,"$540,337,969","$3,012,548",$33.46,$32.04
2021-09-16,"$527,225,814","$7,418,962",$32.65,$33.46
2021-09-15,"$500,144,112","$4,655,519",$30.97,$32.65
2021-09-14,"$443,391,948","$1,329,440",$27.16,$30.97
2021-09-13,"$457,421,578","$3,756,211",$28.19,$27.16
2021-09-12,"$431,255,783","$9,609,980",$26.85,$28.19
2021-09-11,"$332,730,042","$3,776,339",$20.59,$26.85
2021-09-10,"$357,145,131","$3,981,838",$22.07,$20.59
2021-09-09,"$310,478,289","$858,449",$19.18,$22.07
2021-09-08,"$296,907,771","$2,096,426",$18.36,$19.18
2021-09-07,"$367,407,224","$1,167,275",$22.77,$18.36
2021-09-06,"$346,129,281","$659,760",$21.43,$22.77
2021-09-05,"$337,336,380","$1,707,333",$20.87,$21.43
2021-09-04,"$342,586,552","$3,523,529",$21.28,$20.87
2021-09-03,"$307,203,067","$1,659,780",$19.04,$21.28
2021-09-02,"$322,414,390","$1,451,726",$19.99,$19.04
2021-09-01,"$305,622,086","$869,054",$18.90,$19.99
2021-08-31,"$287,032,670","$671,078",$17.74,$18.90
2021-08-30,"$287,215,199","$210,137",$17.86,$17.74
2021-08-29,"$289,657,505","$471,257",$17.92,$17.86
2021-08-28,"$289,861,645","$600,138",$17.89,$17.92
2021-08-27,"$279,656,583","$999,290",$17.27,$17.89
2021-08-26,"$290,270,916","$1,055,452",$17.91,$17.27
2021-08-25,"$284,327,423","$412,814",$17.57,$17.91
2021-08-24,"$306,428,387","$1,403,060",$18.96,$17.57
2021-08-23,"$307,019,892","$1,084,103",$18.97,$18.96
2021-08-22,"$294,641,309","$722,604",$18.25,$18.97
2021-08-21,"$295,566,883","$2,526,375",$18.27,$18.25
2021-08-20,"$303,666,044","$2,992,076",$19.04,$18.27
2021-08-19,"$282,819,623","$634,080",$17.45,$19.04
2021-08-18,"$297,127,825","$655,514",$18.23,$17.45
2021-08-17,"$297,581,905","$1,309,175",$18.26,$18.23
2021-08-16,"$306,401,427","$1,510,892",$18.94,$18.26
2021-08-15,"$286,229,437","$1,555,684",$17.68,$18.94
2021-08-14,"$317,085,392","$384,945",$19.11,$17.68
2021-08-13,"$277,392,326","$1,026,703",$17.14,$19.11
2021-08-12,"$295,304,074","$1,310,710",$18.27,$17.14
2021-08-11,"$282,236,674","$1,604,716",$17.44,$18.27
2021-08-10,"$300,763,816","$674,040",$17.88,$17.44
2021-08-09,"$299,008,817","$2,695,920",$18.49,$17.88
2021-08-08,"$308,249,785","$2,381,064",$19.10,$18.49
2021-08-07,"$276,370,080","$1,642,516",$17.09,$19.10
2021-08-06,"$269,932,431","$234,391",$16.68,$17.09
2021-08-05,"$255,207,544","$406,541",$15.82,$16.68
2021-08-04,"$229,834,022","$1,811,323",$14.22,$15.82
2021-08-03,"$236,668,417","$2,096,440",$14.56,$14.22
2021-08-02,"$239,837,545","$1,998,278",$14.17,$14.56
2021-08-01,"$222,717,836","$2,101,766",$13.76,$14.17
2021-07-31,"$212,240,153","$2,050,847",$13.17,$13.76
2021-07-30,"$200,717,391","$1,539,457",$12.40,$13.17
2021-07-29,"$197,574,073","$712,219",$12.15,$12.40
2021-07-28,"$198,390,162","$487,355",$12.21,$12.15
2021-07-27,"$190,518,863","$596,782",$11.88,$12.21
2021-07-26,"$184,843,030","$330,665",$11.42,$11.88
2021-07-25,"$182,939,989","$272,104",$11.32,$11.42
2021-07-24,"$177,871,235","$401,354",$11.02,$11.32
2021-07-23,"$176,328,202","$138,510",$10.92,$11.02
2021-07-22,"$167,880,004","$594,192",$10.40,$10.92
2021-07-21,"$150,097,444","$648,440",$9.29,$10.40
2021-07-20,"$159,734,718","$301,318",$9.87,$9.29
2021-07-19,"$166,439,445","$325,560",$10.32,$9.87
2021-07-18,"$164,250,765","$334,214",$10.16,$10.32
2021-07-17,"$166,372,203","$153,775",$10.29,$10.16
2021-07-16,"$173,579,231","$91,604",$10.73,$10.29
2021-07-15,"$180,725,703","$203,310",$11.18,$10.73
2021-07-14,"$178,980,495","$1,260,970",$11.07,$11.18
2021-07-13,"$169,925,214","$520,053",$10.49,$11.07
2021-07-12,"$166,866,449","$24,198",$10.34,$10.49
2021-07-11,"$164,397,668","$983,662",$10.16,$10.34
2021-07-10,"$164,882,852","$410,597",$10.08,$10.16
2021-07-09,"$160,621,163","$1,169,717",$9.94,$10.08
2021-07-08,"$173,977,393","$1,954,304",$10.78,$9.94
2021-07-07,"$166,867,156","$1,763,464",$10.31,$10.78
2021-07-06,"$161,874,729","$1,487,119",$9.92,$10.31
2021-07-05,"$161,281,089","$421,444",$9.98,$9.92
2021-07-04,"$145,607,245","$1,143,439",$9.02,$9.98
2021-07-03,"$141,105,430","$1,537,635",$8.72,$9.02
2021-07-02,"$140,109,922","$1,367,075",$8.68,$8.72
2021-07-01,"$156,746,896","$147,685",$9.69,$8.68
2021-06-30,"$151,480,701","$1,763,180",$9.36,$9.69
2021-06-29,"$138,417,385","$139,771",$8.58,$9.36
2021-06-28,"$131,960,744","$638,081",$8.00,$8.58
2021-06-27,"$121,031,928","$2,871,354",$7.49,$8.00
2021-06-26,"$135,119,958","$130,709",$8.36,$7.49
2021-06-25,"$147,386,243","$336,957",$9.11,$8.36
2021-06-24,"$148,368,505","$871,723",$9.18,$9.11
2021-06-23,"$129,486,452","$2,027,135",$8.02,$9.18
2021-06-22,"$129,016,915","$1,994,864",$7.96,$8.02
2021-06-21,"$165,201,812","$1,532,324",$10.19,$7.96
2021-06-20,"$160,386,549","$1,400,635",$9.90,$10.19
2021-06-19,"$162,995,327","$131,196",$10.07,$9.90
2021-06-18,"$176,952,615","$418,001",$10.68,$10.07
2021-06-17,"$167,091,452","$187,175",$10.35,$10.68
