Date,Market Cap,Volume,Open,Close
2021-10-16,"$1,000,603,843","$216,374,511",$7.51,N/A
2021-10-15,"$1,017,991,040","$99,889,166",$7.64,$7.51
2021-10-14,"$1,008,274,313","$122,353,925",$7.57,$7.64
2021-10-13,"$997,555,213","$150,521,853",$7.48,$7.57
2021-10-12,"$973,471,042","$102,208,651",$7.34,$7.48
2021-10-11,"$993,791,586","$115,798,782",$7.46,$7.34
2021-10-10,"$1,078,319,583","$127,044,783",$8.10,$7.46
2021-10-09,"$1,052,568,663","$154,449,192",$7.89,$8.10
2021-10-08,"$1,084,916,473","$162,628,178",$8.15,$7.89
2021-10-07,"$1,087,209,174","$210,623,688",$8.16,$8.15
2021-10-06,"$1,140,587,216","$258,690,841",$8.54,$8.16
2021-10-05,"$1,145,545,531","$253,348,434",$8.56,$8.54
2021-10-04,"$1,195,015,228","$314,666,125",$8.96,$8.56
2021-10-03,"$1,151,969,474","$267,586,211",$8.65,$8.96
2021-10-02,"$1,095,541,764","$301,005,592",$8.24,$8.65
2021-10-01,"$993,945,587","$176,607,029",$7.46,$8.24
2021-09-30,"$929,168,065","$146,062,915",$6.99,$7.46
2021-09-29,"$934,898,354","$275,241,248",$7.01,$6.99
2021-09-28,"$1,013,469,791","$421,010,045",$7.60,$7.01
2021-09-27,"$1,014,020,976","$286,549,198",$7.62,$7.60
2021-09-26,"$1,009,975,724","$152,962,406",$7.59,$7.62
2021-09-25,"$1,040,379,043","$241,463,264",$7.80,$7.59
2021-09-24,"$431,206,340","$249,400,288",$8.63,$7.80
2021-09-23,"$412,468,013","$339,492,663",$8.26,$8.63
2021-09-22,"$350,480,723","$391,658,192",$7.08,$8.26
2021-09-21,"$399,517,503","$461,859,061",$8.05,$7.08
2021-09-20,"$493,140,157","$365,921,795",$9.84,$8.05
2021-09-19,"$535,175,268","$715,092,914",$10.85,$9.84
2021-09-18,"$484,238,329","$286,711,630",$9.69,$10.85
2021-09-17,"$512,520,557","$331,683,548",$10.26,$9.69
2021-09-16,"$535,708,543","$330,263,609",$10.71,$10.26
2021-09-15,"$525,488,763","$425,743,623",$10.44,$10.71
2021-09-14,"$564,603,322","$606,043,978",$11.30,$10.44
2021-09-13,"$629,911,842","$1,287,206,186",$12.52,$11.30
2021-09-12,"$591,727,489","$1,399,638,387",$11.80,$12.52
2021-09-11,"$559,165,506","$1,599,658,855",$11.25,$11.80
2021-09-10,"$551,340,422","$3,008,367,726",$10.96,$11.25
2021-09-09,"$447,030,437","$1,104,222,514",$8.97,$10.96
2021-09-08,"$415,573,364","$1,145,370,736",$8.28,$8.97
2021-09-07,"$455,631,765","$447,197,267",$9.11,$8.28
2021-09-06,"$434,005,936","$230,168,630",$8.68,$9.11
2021-09-05,"$441,816,813","$393,527,728",$8.82,$8.68
2021-09-04,"$464,092,572","$614,798,178",$9.32,$8.82
2021-09-03,"$443,434,224","$384,466,053",$8.88,$9.32
2021-09-02,"$435,134,251","$534,875,397",$8.71,$8.88
2021-09-01,"$420,825,729","$1,097,412,645",$8.43,$8.71
2021-08-31,"$409,460,349","$920,366,301",$8.22,$8.43
2021-08-30,"$397,417,438","$396,997,984",$7.93,$8.22
2021-08-29,"$414,151,633","$934,966,684",$8.27,$7.93
2021-08-28,"$372,748,822","$944,513,171",$7.45,$8.27
2021-08-27,"$326,552,764","$247,746,396",$6.51,$7.45
2021-08-26,"$346,052,329","$130,984,166",$6.95,$6.51
2021-08-25,"$339,507,487","$260,248,052",$6.79,$6.95
2021-08-24,"$376,870,677","$266,826,517",$7.55,$6.79
2021-08-23,"$373,670,742","$215,782,095",$7.46,$7.55
2021-08-22,"$384,614,297","$343,140,657",$7.69,$7.46
2021-08-21,"$392,478,151","$375,605,841",$7.86,$7.69
2021-08-20,"$387,918,478","$1,094,013,854",$7.87,$7.86
2021-08-19,"$389,216,933","$1,521,123,159",$7.71,$7.87
2021-08-18,"$315,985,992","$575,128,731",$6.30,$7.71
2021-08-17,"$341,870,955","$983,549,712",$6.62,$6.30
2021-08-16,"$299,509,990","$284,432,105",$6.00,$6.62
2021-08-15,"$262,015,806","$105,550,930",$5.23,$6.00
2021-08-14,"$259,473,197","$116,889,747",$5.20,$5.23
2021-08-13,"$233,714,960","$106,682,450",$4.69,$5.20
2021-08-12,"$242,412,646","$173,385,970",$4.85,$4.69
2021-08-11,"$232,043,168","$160,440,942",$4.65,$4.85
2021-08-10,"$224,200,262","$100,249,838",$4.57,$4.65
2021-08-09,"$212,350,927","$76,934,767",$4.25,$4.57
2021-08-08,"$229,664,213","$94,310,051",$4.59,$4.25
2021-08-07,"$226,597,669","$79,704,225",$4.54,$4.59
2021-08-06,"$222,867,659","$95,120,897",$4.45,$4.54
2021-08-05,"$227,713,017","$167,196,945",$4.55,$4.45
2021-08-04,"$217,497,793","$134,464,812",$4.42,$4.55
2021-08-03,"$197,924,423","$95,876,612",$3.94,$4.42
2021-08-02,"$188,254,345","$114,608,308",$3.77,$3.94
2021-08-01,"$202,602,477","$119,138,778",$4.05,$3.77
2021-07-31,"$194,444,101","$115,354,269",$3.89,$4.05
2021-07-30,"$178,662,317","$113,289,967",$3.58,$3.89
2021-07-29,"$161,668,386","$61,605,394",$3.23,$3.58
2021-07-28,"$158,104,985","$61,343,368",$3.17,$3.23
2021-07-27,"$152,659,318","$124,256,731",$3.04,$3.17
2021-07-26,"$149,758,244","$52,929,682",$2.99,$3.04
2021-07-25,"$144,384,334","$41,937,962",$2.89,$2.99
2021-07-24,"$139,834,409","$43,782,452",$2.80,$2.89
2021-07-23,"$138,074,307","$37,272,439",$2.76,$2.80
2021-07-22,"$136,192,915","$38,401,127",$2.73,$2.76
2021-07-21,"$124,264,275","$35,848,480",$2.49,$2.73
2021-07-20,"$135,432,501","$47,252,075",$2.70,$2.49
2021-07-19,"$146,835,728","$70,555,222",$2.93,$2.70
2021-07-18,"$134,963,093","$20,197,529",$2.70,$2.93
2021-07-17,"$133,590,380","$27,027,850",$2.67,$2.70
2021-07-16,"$141,287,259","$31,816,323",$2.83,$2.67
2021-07-15,"$149,332,674","$30,897,000",$2.99,$2.83
2021-07-14,"$152,430,212","$31,002,448",$3.04,$2.99
2021-07-13,"$159,557,204","$34,066,068",$3.20,$3.04
2021-07-12,"$159,779,298","$28,245,150",$3.20,$3.20
2021-07-11,"$157,537,565","$31,574,612",$3.15,$3.20
2021-07-10,"$160,605,222","$37,914,815",$3.21,$3.15
2021-07-09,"$160,615,935","$53,399,016",$3.21,$3.21
