Date,Market Cap,Volume,Open,Close
2021-10-16,"$2,139,319,228","$322,642,553",$11.11,N/A
2021-10-15,"$2,075,095,414","$277,863,543",$10.75,$11.11
2021-10-14,"$1,953,195,184","$290,307,645",$10.14,$10.75
2021-10-13,"$1,936,971,065","$206,065,599",$10.04,$10.14
2021-10-12,"$1,972,039,685","$211,946,292",$10.28,$10.04
2021-10-11,"$1,977,047,346","$201,416,389",$10.27,$10.28
2021-10-10,"$2,106,223,717","$141,641,411",$10.94,$10.27
2021-10-09,"$2,069,323,182","$274,720,162",$10.72,$10.94
2021-10-08,"$2,079,986,779","$276,939,316",$10.80,$10.72
2021-10-07,"$2,040,246,870","$360,328,735",$10.57,$10.80
2021-10-06,"$2,076,813,989","$252,107,100",$10.76,$10.57
2021-10-05,"$2,009,926,188","$239,482,366",$10.42,$10.76
2021-10-04,"$2,091,389,137","$194,232,883",$10.84,$10.42
2021-10-03,"$2,103,988,116","$232,640,911",$10.93,$10.84
2021-10-02,"$2,080,166,608","$349,450,551",$10.82,$10.93
2021-10-01,"$1,955,552,502","$326,173,729",$10.15,$10.82
2021-09-30,"$1,830,949,130","$361,145,740",$9.51,$10.15
2021-09-29,"$1,871,927,159","$520,191,719",$9.67,$9.51
2021-09-28,"$1,935,396,154","$647,798,673",$10.04,$9.67
2021-09-27,"$2,184,788,691","$1,058,541,509",$11.36,$10.04
2021-09-26,"$1,845,766,357","$287,912,626",$9.59,$11.36
2021-09-25,"$1,864,643,967","$428,364,574",$9.67,$9.59
2021-09-24,"$2,050,227,882","$386,585,090",$10.64,$9.67
2021-09-23,"$2,020,326,537","$391,564,586",$10.52,$10.64
2021-09-22,"$1,751,223,566","$463,641,316",$9.13,$10.52
2021-09-21,"$1,981,543,731","$558,740,612",$10.31,$9.13
2021-09-20,"$2,320,486,038","$362,984,465",$12.03,$10.31
2021-09-19,"$2,437,099,375","$683,068,402",$12.68,$12.03
2021-09-18,"$2,417,898,448","$1,251,080,751",$12.55,$12.68
2021-09-17,"$2,868,524,068","$1,205,921,068",$14.93,$12.55
2021-09-16,"$2,913,601,635","$967,013,719",$15.18,$14.93
2021-09-15,"$2,515,562,100","$578,247,919",$13.07,$15.18
2021-09-14,"$2,137,176,645","$475,813,525",$11.11,$13.07
