Date,Market Cap,Volume,Open,Close
2021-10-16,"$1,721,529,650","$112,552,097",$9.80,N/A
2021-10-15,"$1,734,759,294","$81,421,945",$9.90,$9.80
2021-10-14,"$1,650,160,206","$70,698,811",$9.40,$9.90
2021-10-13,"$1,615,302,951","$85,141,720",$9.21,$9.40
2021-10-12,"$1,669,362,875","$74,903,972",$9.55,$9.21
2021-10-11,"$1,687,114,005","$74,791,009",$9.63,$9.55
2021-10-10,"$1,782,769,619","$90,679,420",$10.18,$9.63
2021-10-09,"$1,759,707,443","$102,737,850",$10.04,$10.18
2021-10-08,"$1,802,272,411","$106,273,664",$10.29,$10.04
2021-10-07,"$1,798,694,971","$100,788,732",$10.26,$10.29
2021-10-06,"$1,837,209,923","$131,617,244",$10.48,$10.26
2021-10-05,"$1,808,887,913","$84,451,669",$10.28,$10.48
2021-10-04,"$1,882,082,648","$86,751,143",$10.73,$10.28
2021-10-03,"$1,912,127,421","$127,524,375",$10.92,$10.73
2021-10-02,"$1,830,788,550","$97,392,729",$10.47,$10.92
2021-10-01,"$1,674,534,930","$88,015,283",$9.57,$10.47
2021-09-30,"$1,622,364,493","$69,943,950",$9.29,$9.57
2021-09-29,"$1,637,673,687","$83,157,004",$9.32,$9.29
2021-09-28,"$1,726,901,024","$103,121,035",$9.83,$9.32
2021-09-27,"$1,820,141,556","$130,884,679",$10.43,$9.83
2021-09-26,"$1,794,506,268","$75,496,395",$10.26,$10.43
2021-09-25,"$1,840,871,106","$131,345,552",$10.52,$10.26
2021-09-24,"$2,047,581,855","$146,597,001",$11.74,$10.52
2021-09-23,"$1,896,539,719","$121,838,119",$10.90,$11.74
2021-09-22,"$1,637,896,505","$132,334,978",$9.42,$10.90
2021-09-21,"$1,841,035,028","$209,980,753",$10.60,$9.42
2021-09-20,"$2,233,457,017","$168,412,191",$12.81,$10.60
2021-09-19,"$2,186,099,909","$155,339,252",$12.58,$12.81
2021-09-18,"$2,225,206,346","$264,084,469",$12.77,$12.58
2021-09-17,"$2,530,935,678","$333,077,829",$14.59,$12.77
2021-09-16,"$2,611,388,072","$369,982,232",$15.03,$14.59
2021-09-15,"$2,351,677,262","$369,408,793",$13.60,$15.03
2021-09-14,"$2,200,582,491","$249,699,077",$12.79,$13.60
2021-09-13,"$1,901,905,986","$69,244,154",$10.96,$12.79
2021-09-12,"$1,862,645,288","$57,888,139",$10.78,$10.96
2021-09-11,"$1,816,450,233","$107,882,371",$10.53,$10.78
2021-09-10,"$1,952,309,196","$111,005,203",$11.27,$10.53
2021-09-09,"$1,901,191,352","$194,047,013",$10.99,$11.27
2021-09-08,"$1,866,819,680","$354,996,000",$10.79,$10.99
2021-09-07,"$2,359,405,455","$248,277,949",$13.64,$10.79
2021-09-06,"$2,230,925,911","$138,661,385",$12.92,$13.64
2021-09-05,"$2,146,096,842","$112,095,638",$12.41,$12.92
2021-09-04,"$2,139,601,764","$139,251,113",$12.42,$12.41
2021-09-03,"$2,171,705,304","$170,822,114",$12.55,$12.42
2021-09-02,"$2,154,873,699","$162,762,755",$12.47,$12.55
2021-09-01,"$2,005,871,557","$133,785,170",$11.63,$12.47
2021-08-31,"$1,918,219,528","$154,299,182",$11.13,$11.63
2021-08-30,"$2,008,664,437","$196,638,249",$11.67,$11.13
2021-08-29,"$2,055,879,022","$81,724,026",$11.96,$11.67
2021-08-28,"$2,107,996,197","$115,283,954",$12.21,$11.96
2021-08-27,"$2,016,738,606","$122,130,055",$11.67,$12.21
2021-08-26,"$2,158,388,112","$134,322,865",$12.48,$11.67
2021-08-25,"$2,125,319,228","$176,123,030",$12.27,$12.48
2021-08-24,"$2,325,858,017","$160,659,265",$13.60,$12.27
2021-08-23,"$2,305,906,045","$161,077,912",$13.49,$13.60
2021-08-22,"$2,233,195,034","$307,993,959",$13.08,$13.49
2021-08-21,"$2,140,933,180","$148,746,017",$12.57,$13.08
2021-08-20,"$2,073,509,412","$165,478,248",$12.38,$12.57
2021-08-19,"$1,977,637,527","$148,803,578",$11.50,$12.38
2021-08-18,"$1,938,480,628","$153,052,986",$11.25,$11.50
2021-08-17,"$2,102,283,372","$145,823,302",$12.15,$11.25
2021-08-16,"$2,179,493,214","$147,379,320",$12.84,$12.15
2021-08-15,"$2,201,499,763","$225,506,607",$12.93,$12.84
2021-08-14,"$2,048,922,500","$219,833,681",$12.08,$12.93
2021-08-13,"$1,754,054,503","$155,086,113",$10.39,$12.08
2021-08-12,"$1,818,115,921","$212,006,420",$10.74,$10.39
2021-08-11,"$1,730,066,705","$120,050,803",$10.25,$10.74
