Date,Market Cap,Volume,Open,Close
2021-10-15,"$14,903,953,276","$959,812,936",$37.14,N/A
2021-10-14,"$14,760,721,267","$912,624,540",$36.74,$37.14
2021-10-13,"$15,127,246,949","$1,135,813,742",$37.59,$36.74
2021-10-12,"$15,573,255,613","$912,620,347",$39.00,$37.59
2021-10-11,"$15,797,969,578","$658,427,398",$39.27,$39.00
2021-10-10,"$17,139,544,600","$595,231,134",$42.69,$39.27
2021-10-09,"$17,405,044,783","$1,183,224,241",$43.32,$42.69
2021-10-08,"$18,442,292,100","$1,585,131,191",$46.32,$43.32
2021-10-07,"$16,901,986,368","$1,322,088,565",$42.02,$46.32
2021-10-06,"$18,020,514,275","$1,280,626,967",$44.99,$42.02
2021-10-05,"$18,715,977,484","$2,484,195,817",$46.76,$44.99
2021-10-04,"$17,218,788,846","$1,961,685,715",$42.97,$46.76
2021-10-03,"$16,530,599,000","$1,380,959,765",$41.38,$42.97
2021-10-02,"$15,099,366,082","$1,140,762,881",$37.80,$41.38
2021-10-01,"$15,292,549,297","$1,028,518,484",$38.38,$37.80
2021-09-30,"$13,635,222,098","$1,061,820,146",$34.16,$38.38
2021-09-29,"$13,304,370,474","$1,106,852,280",$33.07,$34.16
2021-09-28,"$14,813,036,707","$1,602,407,318",$36.76,$33.07
2021-09-27,"$13,800,893,444","$1,361,619,819",$34.54,$36.76
2021-09-26,"$15,242,265,906","$1,630,889,132",$38.08,$34.54
2021-09-25,"$15,880,898,415","$3,000,770,492",$40.04,$38.08
2021-09-24,"$14,577,174,010","$1,515,458,692",$36.43,$40.04
2021-09-23,"$13,323,592,444","$1,447,406,581",$33.31,$36.43
2021-09-22,"$9,941,022,197","$1,392,296,742",$24.95,$33.31
2021-09-21,"$10,892,429,748","$1,582,776,290",$27.42,$24.95
2021-09-20,"$13,297,830,919","$918,728,238",$33.05,$27.42
2021-09-19,"$13,931,989,407","$641,903,133",$34.66,$33.05
2021-09-18,"$13,876,252,653","$993,642,923",$34.33,$34.66
2021-09-17,"$15,062,559,841","$1,334,036,438",$37.51,$34.33
2021-09-16,"$14,650,488,649","$810,305,176",$36.47,$37.51
2021-09-15,"$14,227,878,835","$935,119,080",$35.52,$36.47
2021-09-14,"$15,034,045,760","$1,457,165,766",$37.29,$35.52
2021-09-13,"$15,920,154,234","$1,611,209,204",$39.44,$37.29
2021-09-12,"$15,729,333,400","$2,318,587,957",$39.02,$39.44
2021-09-11,"$17,488,963,138","$4,540,657,544",$43.36,$39.02
2021-09-10,"$12,345,280,792","$1,033,903,324",$30.46,$43.36
2021-09-09,"$11,928,156,508","$1,677,529,875",$29.39,$30.46
2021-09-08,"$11,169,439,453","$1,581,714,094",$27.89,$29.39
2021-09-07,"$12,965,972,946","$880,348,086",$32.43,$27.89
2021-09-06,"$13,767,711,650","$825,773,998",$34.43,$32.43
2021-09-05,"$12,610,014,712","$446,253,605",$31.41,$34.43
2021-09-04,"$12,681,490,527","$776,656,580",$31.67,$31.41
2021-09-03,"$13,253,385,498","$831,216,440",$32.99,$31.67
2021-09-02,"$12,666,603,314","$858,076,779",$31.57,$32.99
2021-09-01,"$12,752,300,610","$1,043,928,986",$31.73,$31.57
2021-08-31,"$13,347,717,372","$1,447,796,649",$33.36,$31.73
2021-08-30,"$13,413,845,421","$1,207,491,215",$33.38,$33.36
2021-08-29,"$14,131,099,968","$1,627,462,877",$34.92,$33.38
2021-08-28,"$13,105,641,434","$1,576,911,034",$32.64,$34.92
2021-08-27,"$11,086,712,674","$1,007,015,259",$27.36,$32.64
2021-08-26,"$12,224,860,952","$1,083,259,976",$30.18,$27.36
2021-08-25,"$12,218,269,663","$2,337,161,954",$29.88,$30.18
