Date,Market Cap,Volume,Open,Close
2021-10-16,"$695,981,892","$71,942,378",$10.98,N/A
2021-10-15,"$643,105,875","$36,628,324",$10.20,$10.98
2021-10-14,"$631,429,052","$27,348,380",$10.02,$10.20
2021-10-13,"$612,238,682","$28,518,621",$9.72,$10.02
2021-10-12,"$625,468,435","$29,708,757",$9.99,$9.72
2021-10-11,"$647,504,181","$52,555,988",$10.25,$9.99
2021-10-10,"$715,063,792","$94,040,189",$11.40,$10.25
2021-10-09,"$616,099,666","$29,379,506",$9.80,$11.40
2021-10-08,"$624,653,919","$30,972,003",$9.92,$9.80
2021-10-07,"$623,141,627","$32,625,369",$9.88,$9.92
2021-10-06,"$633,227,786","$34,462,407",$10.05,$9.88
2021-10-05,"$613,268,726","$36,751,597",$9.70,$10.05
2021-10-04,"$638,003,627","$31,071,057",$10.13,$9.70
2021-10-03,"$624,268,732","$38,993,287",$9.93,$10.13
2021-10-02,"$601,115,132","$35,658,402",$9.55,$9.93
2021-10-01,"$570,174,111","$37,157,163",$9.05,$9.55
2021-09-30,"$546,408,202","$37,551,729",$8.69,$9.05
2021-09-29,"$541,397,032","$33,247,883",$8.55,$8.69
2021-09-28,"$561,181,186","$33,322,719",$8.85,$8.55
2021-09-27,"$589,969,580","$37,114,877",$9.38,$8.85
2021-09-26,"$580,874,919","$30,429,125",$9.21,$9.38
2021-09-25,"$580,016,888","$40,838,664",$9.24,$9.21
2021-09-24,"$635,148,228","$40,652,992",$10.11,$9.24
2021-09-23,"$635,990,950","$44,116,450",$10.13,$10.11
2021-09-22,"$582,268,108","$92,025,670",$9.27,$10.13
2021-09-21,"$608,555,971","$71,478,855",$9.70,$9.27
2021-09-20,"$694,266,376","$55,449,346",$11.07,$9.70
2021-09-19,"$703,642,013","$52,780,670",$11.22,$11.07
2021-09-18,"$703,261,124","$62,442,611",$11.15,$11.22
2021-09-17,"$748,881,162","$84,819,253",$11.94,$11.15
2021-09-16,"$742,740,842","$56,339,776",$11.84,$11.94
2021-09-15,"$708,090,314","$62,545,308",$11.28,$11.84
2021-09-14,"$651,623,873","$44,215,070",$10.38,$11.28
2021-09-13,"$684,833,012","$36,377,681",$10.87,$10.38
2021-09-12,"$655,889,096","$30,336,228",$10.44,$10.87
2021-09-11,"$654,050,869","$34,358,330",$10.43,$10.44
2021-09-10,"$696,995,210","$74,732,528",$11.08,$10.43
2021-09-09,"$697,349,406","$56,804,345",$11.06,$11.08
2021-09-08,"$688,889,716","$66,752,583",$11.01,$11.06
2021-09-07,"$882,735,610","$48,658,852",$14.05,$11.01
2021-09-06,"$888,802,923","$45,956,615",$14.15,$14.05
2021-09-05,"$837,948,306","$27,502,689",$13.33,$14.15
2021-09-04,"$800,405,763","$33,590,952",$12.79,$13.33
2021-09-03,"$807,772,666","$36,971,179",$12.80,$12.79
2021-09-02,"$825,575,738","$37,572,725",$13.19,$12.80
2021-09-01,"$807,592,927","$38,823,518",$12.90,$13.19
2021-08-31,"$781,263,206","$28,569,901",$12.49,$12.90
2021-08-30,"$829,735,498","$28,950,970",$13.25,$12.49
2021-08-29,"$825,765,133","$40,487,122",$13.33,$13.25
