Date,Market Cap,Volume,Open,Close
2021-10-16,"$13,469,626,952","$467,610,593",$25.96,N/A
2021-10-15,"$13,655,956,591","$463,096,855",$26.29,$25.96
2021-10-14,"$12,807,967,415","$612,128,286",$24.66,$26.29
2021-10-13,"$12,176,411,995","$277,583,515",$23.40,$24.66
2021-10-12,"$12,538,232,547","$272,560,317",$24.17,$23.40
2021-10-11,"$12,596,667,450","$298,370,109",$24.26,$24.17
2021-10-10,"$13,112,639,636","$246,026,272",$25.19,$24.26
2021-10-09,"$12,877,029,268","$320,602,934",$24.72,$25.19
2021-10-08,"$13,290,767,667","$374,299,518",$25.59,$24.72
2021-10-07,"$13,161,254,610","$424,072,460",$25.32,$25.59
2021-10-06,"$13,374,376,469","$375,749,110",$25.68,$25.32
2021-10-05,"$13,186,914,972","$402,599,015",$25.30,$25.68
2021-10-04,"$13,544,155,547","$343,004,137",$26.04,$25.30
2021-10-03,"$13,605,115,541","$594,393,104",$26.18,$26.04
2021-10-02,"$13,277,805,312","$700,423,037",$25.65,$26.18
2021-10-01,"$12,160,020,539","$517,424,056",$23.44,$25.65
2021-09-30,"$11,953,447,834","$780,794,940",$23.03,$23.44
2021-09-29,"$11,941,770,348","$1,290,304,392",$22.93,$23.03
2021-09-28,"$11,705,363,838","$1,066,548,559",$22.40,$22.93
2021-09-27,"$12,335,326,029","$1,583,534,192",$23.89,$22.40
2021-09-26,"$10,175,032,976","$265,078,098",$19.57,$23.89
2021-09-25,"$10,234,832,653","$432,897,752",$19.62,$19.57
2021-09-24,"$11,202,622,681","$262,156,346",$21.55,$19.62
2021-09-23,"$11,154,749,132","$447,596,021",$21.50,$21.55
2021-09-22,"$9,794,322,823","$495,596,373",$18.89,$21.50
2021-09-21,"$10,765,678,764","$532,993,826",$20.80,$18.89
2021-09-20,"$12,440,989,943","$214,205,298",$23.91,$20.80
2021-09-19,"$12,709,544,325","$246,937,881",$24.47,$23.91
2021-09-18,"$12,674,179,714","$433,400,713",$24.26,$24.47
2021-09-17,"$13,659,160,597","$564,251,576",$26.31,$24.26
2021-09-16,"$14,240,178,336","$608,722,044",$27.34,$26.31
2021-09-15,"$13,398,897,666","$570,879,782",$25.72,$27.34
2021-09-14,"$11,820,309,694","$444,930,553",$22.77,$25.72
2021-09-13,"$12,383,055,974","$403,802,698",$23.77,$22.77
2021-09-12,"$11,798,032,960","$321,145,858",$22.70,$23.77
