name,total volume,market cap,price
Luna,959812936.0,14903953276.0,37.14
Uniswap,467610593.0,13469626952.0,25.96
ChainLink,1220883029.0,12422699585.0,27.08
Dai,1283969082.0,6991089765.0,1.0
cEth,8606155.0,6142240024.0,77.93
STETH,7308645.0,5363151343.0,3853.85
CAKE,231243566.0,4627290977.0,19.94
CDAI,37609321.0,4159785336.0,0.02169118
GRT,396015575.0,4026434061.0,0.811545
AAVE,204065698.0,3990747908.0,302.26
CUSDC,10792107.0,3849173899.0,0.02233376
OHM,525774529.0,2979961814.0,1090.44
AMP,34634297.0,2426218009.0,0.051404
MKR,81783484.0,2321193989.0,2568.5
SUSHI,322642553.0,2139319228.0,11.11
COMP,152322905.0,1939665089.0,318.21
SNX,112552097.0,1721529650.0,9.8
MIM,81985621.0,1687438523.0,1.0
DYDX,357640070.0,1284279491.0,22.72
YFI,224212451.0,1291554465.0,36202.0
CRV,204700088.0,1141532764.0,2.91
RENBTC,10195092.0,1075852504.0,61616.0
SPELL,110018148.0,1042610316.0,0.01598418
REN,119207740.0,1041511919.0,1.04
NXM,15552.43,1019426138.0,148.71
PERP,63001732.0,1026522996.0,18.54
SRM,216374511.0,1000603843.0,7.51
BNT,39827503.0,945683359.0,4.14
XSUSHI,7607347.0,862856949.0,13.1
ZRX,104759998.0,864373498.0,1.02
RAY,156386138.0,738125293.0,10.22
UMA,71942378.0,695981892.0,10.98
C98,57007641.0,654597312.0,3.54
TIME,127450643.0,589871231.0,5903.65
LUSD,82427088.0,594992988.0,0.999932
INCH,168258709.0,589134527.0,3.25
USDN,20625170.0,570908334.0,0.994886
LRC,203670364.0,518509808.0,0.41583
FEI,52341727.0,532632813.0,1.01
KAVA,93072970.0,525883137.0,5.75
RPL,782381.0,526207030.0,32.37
GNO,6849811.0,500653844.0,332.82
RSR,57365360.0,455449708.0,0.03458791
ALPHA,20686094.0,461585560.0,1.03
FRAX,61119510.0,423496680.0,1.0
CVX,19375873.0,476234778.0,15.59
RGT,27501751.0,406916385.0,36.12
KEEP,1424779569.0,397782985.0,0.723474
SETH,4528431.0,383146483.0,3872.02
INJ,20561498.0,376403280.0,11.47
BTC,26590164539.0,954800139986.0,50530.0
ETH,19661953642.0,525850414062.0,4431.54
