Date,Luna,Uniswap,ChainLink,Dai,cEth,STETH,CAKE,CDAI,GRT,AAVE,CUSDC,OHM,AMP,MKR,SUSHI,COMP,SNX,MIM,DYDX,YFI,CRV,RENBTC,SPELL,REN,NXM,PERP,SRM,BNT,XSUSHI,ZRX,RAY,UMA,C98,TIME,LUSD,INCH,USDN,LRC,FEI,KAVA,RPL,GNO,RSR,ALPHA,FRAX,CVX,RGT,KEEP,SETH,INJ,BTC,ETH
2021-10-15,14903953276.0,13469626952.0,12422699585.0,6991089765.0,6142240024.0,5363151343.0,4627290977.0,4159785336.0,4026434061.0,3990747908.0,3849173899.0,2979961814.0,2426218009.0,2321193989.0,2139319228.0,1939665089.0,1721529650.0,1687438523.0,1284279491.0,1291554465.0,1141532764.0,1075852504.0,1042610316.0,1041511919.0,1019426138.0,1026522996.0,1000603843.0,945683359.0,862856949.0,864373498.0,738125293.0,695981892.0,654597312.0,589871231.0,594992988.0,589134527.0,570908334.0,518509808.0,532632813.0,525883137.0,526207030.0,500653844.0,455449708.0,461585560.0,423496680.0,476234778.0,406916385.0,397782985.0,383146483.0,376403280.0,954800139986.0,525850414062.0
2021-10-14,14760721267.0,13655956591.0,12196548692.0,6770612810.0,6079786594.0,5249075931.0,4612872608.0,4139985734.0,3543841684.0,4003004209.0,3921684379.0,3242713129.0,2201740120.0,2289233688.0,2075095414.0,1913183439.0,1734759294.0,1680947836.0,1319006523.0,1256191723.0,1126258195.0,966615244.0,935931765.0,1004837257.0,997589625.0,1006480153.0,1017991040.0,917353704.0,842656573.0,865450098.0,713200715.0,643105875.0,663318659.0,652228685.0,655962258.0,606514697.0,569098758.0,471540051.0,533229869.0,551293550.0,515209610.0,490128317.0,449257568.0,472654224.0,423892655.0,506742552.0,520930960.0,227514449.0,374157919.0,396952793.0,956961313926.0,511409310853.0
2021-10-13,15127246949.0,12807967415.0,11677138027.0,6638638659.0,5940306727.0,4974157812.0,4698457116.0,4165017492.0,3490716736.0,3929963618.0,3985442576.0,3555695877.0,2199212372.0,2247876737.0,1953195184.0,1856119468.0,1650160206.0,1492063676.0,1260871063.0,1234346853.0,1162430742.0,982978335.0,942292811.0,994815858.0,933484898.0,986793742.0,1008274313.0,893868572.0,791470806.0,867182691.0,723379641.0,631429052.0,684487687.0,788274623.0,653451395.0,535648097.0,567499333.0,474989260.0,535665495.0,546984066.0,494996276.0,465987444.0,446167242.0,462799927.0,407923047.0,519620714.0,436237820.0,228923806.0,379625693.0,380741102.0,953396710270.0,515778007029.0
2021-10-12,15573255613.0,12176411995.0,11305427384.0,6607836165.0,5528610421.0,4836544060.0,4461236373.0,2910281725.0,3348801076.0,3747497250.0,2970946846.0,3075698985.0,2177387972.0,2203046113.0,1936971065.0,1863532245.0,1615302951.0,1487674565.0,1263136903.0,1242888344.0,1051084932.0,987079026.0,1134997123.0,1003630693.0,925327011.0,853038456.0,997555213.0,874494158.0,787299356.0,844006470.0,681788074.0,612238682.0,617588979.0,683605327.0,637099920.0,523115043.0,563527449.0,463626214.0,536843028.0,530294969.0,480400874.0,458330416.0,439634586.0,434630153.0,404640036.0,489482301.0,321851586.0,221776022.0,374148477.0,356302554.0,932015145132.0,497049834887.0
2021-10-11,15797969578.0,12538232547.0,11496017971.0,6554714018.0,5568463228.0,4847650323.0,4362442999.0,2718767700.0,3364341279.0,3810622301.0,2842525678.0,2833554862.0,2323517777.0,2197297085.0,1972039685.0,1830267843.0,1669362875.0,1292067306.0,1325691383.0,1257708919.0,1045579660.0,992857974.0,1207011258.0,1009033233.0,932135253.0,854528072.0,973471042.0,884087749.0,801320932.0,855129133.0,669925866.0,625468435.0,600449273.0,850117700.0,629607716.0,522370056.0,537500509.0,459458618.0,514383300.0,551353052.0,535857275.0,456134853.0,455008944.0,429187600.0,396194350.0,422609068.0,358460213.0,227531359.0,376346534.0,347703616.0,930097457942.0,485429065737.0
2021-10-10,17139544600.0,12596667450.0,11730341073.0,6543645498.0,5445774819.0,4703519712.0,4292477256.0,2693516857.0,3384033677.0,3821222086.0,2792265786.0,2673185885.0,2274883969.0,2224157270.0,1977047346.0,1860721287.0,1687114005.0,1296462252.0,1276939055.0,1167960828.0,1053835495.0,931358810.0,1097916223.0,1012688018.0,911247852.0,743799926.0,993791586.0,874456555.0,807424246.0,881836148.0,685814862.0,647504181.0,609583654.0,703909660.0,626090745.0,534769887.0,535922869.0,479056100.0,526355109.0,564464349.0,538596969.0,447756777.0,470388371.0,390199546.0,393876895.0,382284414.0,341493723.0,230159961.0,371576891.0,357851392.0,1016040747070.0,502863051143.0
2021-10-09,17405044783.0,13112639636.0,12560659740.0,6537843670.0,5533581724.0,4912626495.0,4545650105.0,2662528236.0,3697205195.0,4062459586.0,2778355058.0,2388344171.0,2367160728.0,2315858054.0,2106223717.0,2015110790.0,1782769619.0,1294428589.0,1219464902.0,1216451048.0,1142604893.0,948990760.0,967202293.0,1073567709.0,945116045.0,783115643.0,1078319583.0,911135554.0,858055796.0,945187128.0,735644256.0,715063792.0,654598590.0,561527738.0,625165482.0,579282101.0,538724991.0,511853753.0,522996380.0,614873704.0,573521245.0,458403922.0,514027121.0,421130081.0,394757250.0,366631300.0,341970655.0,235860718.0,423971084.0,368688494.0,1067406204923.0,537814995668.0
2021-10-08,18442292100.0,12877029268.0,12042931529.0,6493206763.0,5554569919.0,4887556006.0,4480135889.0,2634508459.0,3526220595.0,4051881807.0,2718482424.0,2118079415.0,2260190605.0,2247325606.0,2069323182.0,1902087652.0,1759707443.0,1147934387.0,1230096719.0,1233689494.0,1153116805.0,939464105.0,826961906.0,1095592582.0,940214397.0,759227828.0,1052568663.0,897621832.0,845471293.0,910737299.0,734709338.0,616099666.0,655880070.0,479734437.0,616614795.0,569925056.0,536930115.0,498871098.0,535001685.0,595955027.0,573581398.0,451682297.0,494245442.0,427622343.0,383442464.0,306941643.0,327981009.0,232936827.0,421179526.0,379715505.0,1079838995017.0,544051345076.0
2021-10-07,16901986368.0,13290767667.0,12244178055.0,6446972671.0,5933724139.0,4905668901.0,4464509245.0,2673439662.0,3570389342.0,4037699625.0,2732398575.0,1996961509.0,2286579915.0,2250831923.0,2079986779.0,1921270714.0,1802272411.0,1145217068.0,1212795655.0,1147184440.0,1105256649.0,937268889.0,654268497.0,1149501974.0,947654338.0,745721597.0,1084916473.0,903164653.0,851684695.0,859090565.0,736331280.0,624653919.0,661618890.0,367991894.0,606777434.0,566598292.0,535821873.0,491659076.0,529494137.0,596990863.0,581397215.0,448226807.0,490558814.0,439932183.0,371998485.0,296798863.0,305461298.0,229340427.0,415212076.0,399471111.0,1076804436724.0,549758919636.0
2021-10-06,18020514275.0,13161254610.0,12274829797.0,6414373278.0,5985715115.0,4893690070.0,4529296958.0,2684607987.0,3564361973.0,4104524295.0,2743364316.0,1802260265.0,2349385180.0,2249155210.0,2040246870.0,1868020196.0,1798694971.0,1011922375.0,1266546415.0,1149475137.0,1080403148.0,962062416.0,665507251.0,1000008209.0,945191991.0,765318706.0,1087209174.0,917120354.0,830761724.0,872160764.0,767387537.0,623141627.0,653131547.0,325084568.0,613456255.0,563988319.0,541748763.0,488987766.0,522205866.0,576551419.0,545995138.0,447145936.0,496950783.0,423979416.0,368483795.0,313734900.0,309260888.0,231693355.0,419265227.0,348109255.0,1092574224476.0,527331112023.0
