Date,Luna,Uniswap,ChainLink,Dai,cEth,STETH,CAKE,CDAI,GRT,AAVE,CUSDC,OHM,AMP,MKR,SUSHI,COMP,SNX,MIM,DYDX,YFI,CRV,RENBTC,SPELL,REN,NXM,PERP,SRM,BNT,XSUSHI,ZRX,RAY,UMA,C98,TIME,LUSD,INCH,USDN,LRC,FEI,KAVA,RPL,GNO,RSR,ALPHA,FRAX,CVX,RGT,KEEP,SETH,INJ,BTC,ETH
2021-10-15,37.14,25.96,27.08,1.0,77.93,3853.85,19.94,0.02169118,0.811545,302.26,0.02233376,1090.44,0.051404,2568.5,11.11,318.21,9.8,1.0,22.72,36202.0,2.91,61616.0,0.01598418,1.04,148.71,18.54,7.51,4.14,13.1,1.02,10.22,10.98,3.54,5903.65,0.999932,3.25,0.994886,0.41583,1.01,5.75,32.37,332.82,0.03458791,1.03,1.0,15.59,36.12,0.723474,3872.02,11.47,50530.0,4431.54
2021-10-14,36.74,26.29,26.68,1.0,76.13,3771.05,19.94,0.02171358,0.715686,303.43,0.02229798,1199.55,0.04580971,2542.91,10.75,314.38,9.9,1.0,23.59,35235.0,2.88,56661.0,0.01437381,1.01,144.46,18.16,7.64,3.99,12.8,1.03,9.88,10.2,3.59,6553.18,0.999296,3.35,0.990213,0.378904,1.0,6.02,31.86,325.43,0.03420403,1.06,1.01,16.64,46.42,0.413979,3759.85,12.16,50648.0,4310.57
2021-10-13,37.59,24.66,25.53,1.0,72.32,3577.2,20.3,0.02174091,0.704024,297.48,0.02232228,1334.36,0.04591691,2495.11,10.14,304.75,9.4,1.01,22.33,34586.0,2.97,57403.0,0.01447346,0.995785,137.72,17.8,7.57,3.9,12.02,1.03,10.03,10.02,3.7,7920.21,1.0,2.96,0.987761,0.381571,1.0,5.98,30.57,309.9,0.03389686,1.04,1.0,17.22,39.14,0.41721,3608.4,11.65,50462.0,4347.62
2021-10-12,39.0,23.4,24.66,1.0,70.25,3473.76,19.33,0.0217027,0.674784,283.41,0.02228868,1176.43,0.04532787,2442.26,10.04,305.66,9.21,1.01,22.38,34804.0,2.69,56290.0,0.01742296,1.0,134.31,15.38,7.48,3.81,11.98,0.997764,9.58,9.72,3.34,6847.4,1.0,2.89,0.981125,0.371863,1.0,5.8,29.67,302.45,0.03340584,0.9733,1.01,16.38,28.67,0.403093,3516.44,10.91,49268.0,4198.57
2021-10-11,39.27,24.17,25.21,1.01,71.19,3497.62,18.82,0.02182127,0.679254,290.81,0.02241818,1108.35,0.04825942,2447.15,10.28,302.77,9.55,1.01,23.58,35402.0,2.7,57115.0,0.02061658,1.02,135.04,15.49,7.34,3.9,12.21,1.02,9.4,9.99,3.25,8563.3,1.0,2.9,0.985024,0.369453,1.01,6.08,33.19,302.48,0.03477183,0.963024,1.01,14.32,31.97,0.415598,3521.0,10.66,49162.0,4101.66
2021-10-10,42.69,24.26,25.62,1.0,68.6,3405.53,18.62,0.02168904,0.682278,289.21,0.02226535,1049.6,0.04729672,2461.62,10.27,304.57,9.63,1.01,22.7,32685.0,2.7,53321.0,0.01842123,1.01,132.13,13.45,7.46,3.84,12.3,1.04,9.61,10.25,3.3,7068.04,0.996044,2.96,0.977151,0.384147,0.998333,6.19,33.25,297.53,0.03567409,0.962313,1.0,12.85,30.27,0.421322,3444.8,10.94,53786.0,4240.16
2021-10-09,43.32,25.19,27.45,1.0,77.52,3564.27,19.72,0.02170823,0.745308,307.98,0.02228836,961.0,0.049266,2575.34,10.94,331.08,10.18,1.01,21.78,34019.0,2.91,54439.0,0.01621278,1.07,136.98,14.18,8.1,4.01,12.96,1.12,10.3,11.4,3.54,6976.13,1.0,3.2,0.982135,0.410146,1.0,6.73,35.54,304.22,0.03902276,1.04,1.01,12.49,30.39,0.429199,3601.24,11.29,56508.0,4519.44
2021-10-08,46.32,24.72,26.27,1.0,71.54,3543.89,19.5,0.02170217,0.711592,306.53,0.02228525,865.51,0.04721381,2495.69,10.72,313.56,10.04,1.01,21.97,34596.0,2.94,53817.0,0.01379388,1.1,136.26,13.75,7.89,3.93,12.81,1.08,10.3,9.8,3.54,5971.28,0.993721,3.16,0.979077,0.401382,1.0,6.5,35.49,300.63,0.03757844,1.05,1.0,10.56,28.17,0.424022,3578.03,11.63,57169.0,4589.61
2021-10-07,42.02,25.59,26.89,1.0,72.08,3572.78,19.47,0.02169398,0.720526,306.66,0.0222836,831.67,0.04768192,2500.45,10.8,315.99,10.29,1.01,21.75,32147.0,2.81,53846.0,0.0109256,1.15,137.3,13.49,8.15,3.94,12.91,1.02,10.33,9.92,3.59,4572.11,0.992756,3.14,0.975356,0.395135,1.0,6.53,35.94,298.05,0.03734317,1.08,0.996493,10.24,27.0,0.41831,3584.44,12.22,57011.0,4637.12
2021-10-06,44.99,25.32,26.89,1.0,71.95,3564.85,19.78,0.02170922,0.718973,312.34,0.02229121,752.9,0.04910083,2495.02,10.57,307.04,10.26,1.0,23.36,32194.0,2.74,55349.0,0.01113981,1.13,136.94,13.83,8.16,3.99,12.63,1.03,10.77,9.88,3.53,4061.02,1.0,3.12,0.986663,0.392573,1.0,6.32,33.71,298.26,0.03774759,1.05,1.01,10.92,27.43,0.423384,3614.37,10.66,57849.0,4444.53
2021-10-05,46.76,25.68,27.27,1.0,70.58,3497.28,19.97,0.02166654,0.758447,308.27,0.02223568,902.15,0.052921,2548.32,10.76,310.49,10.48,1.01,22.58,31972.0,2.93,51489.0,0.00882687,1.2,134.48,13.96,8.54,3.94,12.7,1.03,11.05,10.05,3.72,4761.81,1.0,3.28,0.994176,0.410692,1.0,6.41,32.63,289.68,0.03928672,1.04,1.01,10.58,30.26,0.409387,3519.5,10.38,57238.0,4290.09
2021-10-04,42.97,25.3,26.61,1.0,68.16,3383.18,19.37,0.02182654,0.71482,301.45,0.02226189,901.72,0.053197,2546.81,10.42,313.22,10.28,1.0,23.48,30747.0,2.87,49235.0,0.00674408,1.17,128.86,14.51,8.56,3.82,12.23,0.974156,11.16,9.7,3.74,3810.29,1.01,3.17,0.984182,0.40138,1.0,6.23,33.73,275.94,0.035151,1.0,1.0,9.79,29.61,0.395455,3389.32,10.33,54533.0,4084.09
2021-10-03,41.38,26.04,27.61,1.0,68.72,3406.34,19.7,0.02168917,0.737642,311.12,0.02225821,857.04,0.04926603,2539.12,10.84,327.19,10.73,1.0,23.59,31443.0,2.83,48223.0,0.00565264,1.22,130.54,15.09,8.96,3.88,12.77,1.01,11.54,10.13,3.83,4155.25,0.999449,3.08,0.982478,0.411861,1.0,6.59,37.05,279.98,0.03688578,0.993761,1.0,9.24,30.88,0.413727,3419.78,10.85,53828.0,4048.31
2021-10-02,37.8,26.18,26.97,0.999448,67.98,3373.67,20.11,0.02166898,0.727572,313.38,0.02224012,777.51,0.04986733,2486.83,10.93,338.14,10.92,0.998543,22.91,32108.0,2.55,47767.0,0.00428438,1.22,131.62,15.55,8.65,3.81,13.16,0.978429,11.21,9.93,3.73,3959.76,0.996599,3.06,0.976332,0.398755,0.991757,6.06,35.87,273.58,0.03500722,0.992458,0.993184,8.72,26.53,0.408926,3399.49,10.8,58898.0,4515.84
2021-10-01,38.38,25.65,26.31,1.0,66.4,3278.4,19.94,0.02167,0.707549,302.07,0.02226193,747.35,0.050298,2437.07,10.82,326.36,10.47,1.0,22.31,31603.0,2.53,48113.0,0.00456976,1.04,126.03,14.88,8.24,3.77,12.75,0.981272,10.98,9.55,3.34,3704.99,1.0,2.92,0.980473,0.389796,1.0,5.85,34.98,267.51,0.03355203,0.951648,1.0,8.77,24.76,0.402151,3292.95,10.67,57198.0,4269.44
2021-09-30,34.16,23.44,23.93,1.01,60.35,2980.48,18.88,0.02178505,0.645903,276.18,0.02225032,783.15,0.04853073,2292.87,10.15,312.13,9.57,1.0,23.61,29192.0,2.33,43795.0,0.00351398,0.93808,115.19,14.32,7.46,3.47,11.92,0.89577,9.62,9.05,3.11,3126.69,1.0,2.55,0.988329,0.365757,1.0,5.39,31.73,249.78,0.03012749,0.866463,0.998989,8.32,23.7,0.361513,3004.28,9.71,57749.0,4355.42
2021-09-29,33.07,23.03,22.92,1.0,57.13,2828.21,18.51,0.0217051,0.635222,264.87,0.02228062,722.66,0.04371518,2234.04,9.51,300.11,9.29,1.01,26.8,28671.0,2.29,41427.0,0.00328592,0.920185,109.08,15.14,6.99,3.33,11.22,0.833939,9.16,8.69,3.07,2599.06,1.0,2.5,0.98311,0.35537,1.0,5.09,30.55,237.53,0.02830658,0.830783,1.01,8.62,19.88,0.345061,2864.14,9.49,56387.0,4101.06
2021-09-28,36.76,22.93,22.11,0.994649,56.52,2796.3,18.04,0.02173305,0.626109,260.52,0.0220543,638.1,0.04303996,2228.96,9.67,319.53,9.32,0.989065,22.4,28188.0,2.25,41230.0,0.00328698,0.931656,107.87,13.75,7.01,3.27,11.67,0.816206,9.1,8.55,2.79,2368.71,0.989543,2.38,0.973642,0.351015,1.0,5.11,30.03,233.95,0.02730893,0.789492,0.992892,8.63,19.77,0.337341,2785.82,9.3,59140.0,4319.36
2021-09-27,34.54,22.4,23.09,0.994492,59.21,2934.72,18.4,0.02151415,0.661101,273.85,0.02207984,631.23,0.04426691,2247.36,10.04,338.74,9.83,0.998438,20.62,28689.0,2.37,42405.0,0.00338009,1.03,114.99,15.27,7.6,3.43,12.27,0.85376,9.68,8.85,2.91,2561.44,0.990364,2.52,0.970564,0.365716,0.992234,5.56,31.33,244.31,0.02868969,0.823268,0.990467,8.91,22.81,0.346397,2953.77,9.9,60083.0,4436.19
2021-09-26,38.08,23.89,24.55,1.0,61.59,3030.25,18.67,0.02167479,0.672878,292.94,0.02224489,590.59,0.04631043,2352.1,11.36,351.11,10.43,1.0,19.17,30429.0,2.55,43401.0,0.0038171,1.16,116.7,14.1,7.62,3.54,12.99,0.893571,9.67,9.38,2.94,2690.21,0.998309,2.68,0.985823,0.36937,1.0,5.65,31.95,248.92,0.03020982,0.850635,1.01,9.46,25.07,0.357916,3099.3,10.68,58459.0,4317.6
