Date,Luna,Uniswap,ChainLink,Dai,cEth,STETH,CAKE,CDAI,GRT,AAVE,CUSDC,OHM,AMP,MKR,SUSHI,COMP,SNX,MIM,DYDX,YFI,CRV,RENBTC,SPELL,REN,NXM,PERP,SRM,BNT,XSUSHI,ZRX,RAY,UMA,C98,TIME,LUSD,INCH,USDN,LRC,FEI,KAVA,RPL,GNO,RSR,ALPHA,FRAX,CVX,RGT,KEEP,SETH,INJ,BTC,ETH
2021-10-15,959812936.0,467610593.0,1220883029.0,1283969082.0,8606155.0,7308645.0,231243566.0,37609321.0,396015575.0,204065698.0,10792107.0,525774529.0,34634297.0,81783484.0,322642553.0,152322905.0,112552097.0,81985621.0,357640070.0,224212451.0,204700088.0,10195092.0,110018148.0,119207740.0,15552.43,63001732.0,216374511.0,39827503.0,7607347.0,104759998.0,156386138.0,71942378.0,57007641.0,127450643.0,82427088.0,168258709.0,20625170.0,203670364.0,52341727.0,93072970.0,782381.0,6849811.0,57365360.0,20686094.0,61119510.0,19375873.0,27501751.0,1424779569.0,4528431.0,20561498.0,26590164539.0,19661953642.0
2021-10-14,912624540.0,463096855.0,1360412069.0,640218034.0,179825275.0,20844968.0,288010076.0,9785884.0,107055669.0,234827952.0,49934020.0,125940598.0,17483674.0,87389405.0,277863543.0,113756825.0,81421945.0,180416969.0,302882107.0,203199677.0,252721016.0,921540.0,60917760.0,67852263.0,3867.98,52342382.0,99889166.0,61731240.0,1743620.0,89400793.0,84040538.0,36628324.0,95337260.0,46734335.0,22455338.0,239715243.0,33599190.0,22924971.0,32946745.0,74887580.0,840592.0,5980446.0,47953693.0,13222295.0,12908028.0,12231319.0,31783114.0,7855440.0,23858683.0,22807147.0,30083305920.0,21808603058.0
2021-10-13,1135813742.0,612128286.0,1044763607.0,1600165906.0,254222300.0,9343735.0,586309036.0,1249703475.0,104715954.0,276210105.0,1019777339.0,86455334.0,15881771.0,78011505.0,290307645.0,108650192.0,70698811.0,23062376.0,572091473.0,300210747.0,292814460.0,4488891.0,63769164.0,62718141.0,1049.84,147116172.0,122353925.0,54002260.0,5234384.0,92309940.0,154668776.0,27348380.0,221079656.0,37214780.0,26582708.0,88765352.0,42612265.0,23305145.0,62450771.0,76520422.0,1071135.0,2910269.0,38094763.0,18632324.0,9753113.0,1760159.0,25651659.0,12897130.0,609973.0,50153437.0,36126018722.0,30676805366.0
2021-10-12,912620347.0,277583515.0,995123503.0,591828426.0,11214533.0,4925936.0,297903800.0,197863571.0,82960091.0,236016966.0,142999943.0,93071260.0,32039935.0,105620640.0,206065599.0,122796159.0,85141720.0,83658053.0,460080110.0,407274401.0,132380292.0,2752262.0,140893244.0,83522606.0,10163.28,61552170.0,150521853.0,57485105.0,3097361.0,97005496.0,63948516.0,28518621.0,53037445.0,89973303.0,21535753.0,84353231.0,24772518.0,31257108.0,92702703.0,82495908.0,4577558.0,8214274.0,41454295.0,12347786.0,17378805.0,15483000.0,6156455.0,11739113.0,333455.0,18621185.0,32826574574.0,25848780908.0
2021-10-11,658427398.0,272560317.0,853296324.0,462183445.0,1260109.0,8725531.0,164061160.0,17804971.0,73484857.0,175599475.0,40377923.0,93139304.0,17739180.0,76852209.0,211946292.0,124722878.0,74903972.0,51564153.0,835546286.0,336277023.0,135813305.0,2194005.0,70306418.0,113789509.0,54004.0,86186203.0,102208651.0,56288383.0,5294320.0,86565146.0,81366309.0,29708757.0,44394414.0,59815298.0,16195605.0,72850530.0,12856291.0,45205194.0,54112578.0,76902206.0,864698.0,4292395.0,37687170.0,6774741.0,13613178.0,17382661.0,6003774.0,27279385.0,12567029.0,13605991.0,55941408415.0,40547950440.0
2021-10-10,595231134.0,298370109.0,782901053.0,317846194.0,151956768.0,9471839.0,171567156.0,30713206.0,81296102.0,162698591.0,9817555.0,67378204.0,17755175.0,125192735.0,201416389.0,107238423.0,74791009.0,60787663.0,638963428.0,201013927.0,141317152.0,1566617.0,145066527.0,54235449.0,15265.86,20764060.0,115798782.0,30237429.0,1760326.0,107878005.0,72206259.0,52555988.0,38095893.0,43184419.0,14595310.0,67210131.0,7338386.0,27620883.0,40563590.0,77145901.0,913382.0,5755236.0,40409381.0,9255714.0,8834823.0,20717135.0,5032255.0,16582927.0,40036990.0,17538383.0,39527112726.0,27620915094.0
2021-10-09,1183224241.0,246026272.0,910334743.0,267447014.0,355.4,9678207.0,132340188.0,21722168.0,87170819.0,126960098.0,42851126.0,39911591.0,30136727.0,81275721.0,141641411.0,137933090.0,90679420.0,33975425.0,262945762.0,212876575.0,259763929.0,7336065.0,66885483.0,55188787.0,4834.03,21636578.0,127044783.0,38574278.0,1302322.0,108980055.0,62566649.0,94040189.0,37154739.0,31496859.0,7899836.0,60447140.0,6747338.0,41064486.0,28957404.0,89766154.0,1471886.0,7367189.0,59980252.0,10868346.0,6531323.0,13971016.0,3452213.0,13078213.0,6521631.0,16721732.0,36296342257.0,22586539837.0
2021-10-08,1585131191.0,320602934.0,895901736.0,382016557.0,322736049.0,14337599.0,288837943.0,33046381.0,93886713.0,246638154.0,5375749.0,46517753.0,21246697.0,78390610.0,274720162.0,197146018.0,102737850.0,47410688.0,351687588.0,432005477.0,181377786.0,14851430.0,52847288.0,66794221.0,8776.82,27614009.0,154449192.0,44176302.0,1493501.0,133720707.0,99229050.0,29379506.0,64423809.0,43348672.0,7368428.0,97344406.0,11731391.0,60826417.0,29650020.0,81550803.0,1306754.0,8179491.0,63459318.0,25102535.0,8863013.0,5359529.0,2585591.0,22406029.0,44930112.0,32722356.0,49383073891.0,27957934804.0
2021-10-07,1322088565.0,374299518.0,1174576942.0,397177241.0,1071703.0,37195418.0,383539864.0,589850.0,105832974.0,212823848.0,456411.0,67064184.0,36375988.0,80940995.0,276939316.0,196891429.0,106273664.0,50126956.0,517150033.0,243434748.0,216619348.0,17981168.0,63808576.0,108327550.0,1555.15,36343217.0,162628178.0,50317067.0,1753894.0,94657910.0,109262609.0,30972003.0,66605653.0,28186707.0,2741286.0,112873537.0,12851391.0,33217966.0,48685258.0,83423911.0,5369174.0,3997035.0,48662500.0,28438253.0,8311012.0,7115897.0,3899110.0,30076406.0,6130505.0,68485349.0,35723038604.0,31531135169.0
2021-10-06,1280626967.0,424072460.0,1278611229.0,614728813.0,168983132.0,10472441.0,237626080.0,184398194.0,148153417.0,324375018.0,23691140.0,65298244.0,33311285.0,86704928.0,360328735.0,196648903.0,100788732.0,87748997.0,598016298.0,230472235.0,205778666.0,9741996.0,40616213.0,122825553.0,286.2,55699797.0,210623688.0,62327779.0,2919286.0,121959834.0,138602471.0,32625369.0,87448644.0,21343461.0,7779976.0,136345909.0,19851610.0,44193868.0,88558119.0,44780962.0,2179144.0,7563131.0,64570524.0,23907617.0,8064037.0,12435484.0,5669190.0,29335234.0,21724150.0,20281235.0,30985196647.0,20150915711.0
