Date,Market Cap,Volume,Open,Close
2021-10-16,"$6,142,240,024","$8,606,155",$77.93,N/A
2021-10-15,"$6,079,786,594","$179,825,275",$76.13,$77.93
2021-10-14,"$5,940,306,727","$254,222,300",$72.32,$76.13
2021-10-13,"$5,528,610,421","$11,214,533",$70.25,$72.32
2021-10-12,"$5,568,463,228","$1,260,109",$71.19,$70.25
2021-10-11,"$5,445,774,819","$151,956,768",$68.60,$71.19
2021-10-10,"$5,533,581,724",$355.40,$77.52,$68.60
2021-10-09,"$5,554,569,919","$322,736,049",$71.54,$77.52
2021-10-08,"$5,933,724,139","$1,071,703",$72.08,$71.54
2021-10-07,"$5,985,715,115","$168,983,132",$71.95,$72.08
2021-10-06,"$6,081,657,332","$1,404,019",$70.58,$71.95
2021-10-05,"$5,883,250,074","$33,500,197",$68.16,$70.58
2021-10-04,"$5,967,420,553","$344,438,295",$68.72,$68.16
2021-10-03,"$6,188,215,589","$14,680,630",$67.98,$68.72
2021-10-02,"$6,055,338,696","$84,118,206",$66.40,$67.98
2021-10-01,"$5,602,538,030","$10,155,855",$60.35,$66.40
2021-09-30,"$5,376,260,661","$13,475,431",$57.13,$60.35
2021-09-29,"$5,355,202,287","$11,517,834",$56.52,$57.13
2021-09-28,"$5,618,286,099","$16,434,855",$59.21,$56.52
2021-09-27,"$5,809,531,840","$6,309,177",$61.59,$59.21
2021-09-26,"$5,597,337,378","$693,798",$58.93,$61.59
2021-09-25,"$5,634,416,384","$32,434,737",$58.83,$58.93
2021-09-24,"$6,077,208,769","$3,524,903",$63.44,$58.83
2021-09-23,"$5,882,044,719","$149,005,573",$61.56,$63.44
2021-09-22,"$5,146,335,491","$10,687,188",$55.11,$61.56
2021-09-21,"$5,389,966,777","$139,077,307",$59.48,$55.11
2021-09-20,"$5,910,229,871","$9,600,793",$66.93,$59.48
2021-09-19,"$6,075,346,061","$3,501,502",$68.86,$66.93
2021-09-18,"$6,039,807,021","$68,031,989",$68.35,$68.86
2021-09-17,"$6,255,083,964","$98,142,208",$71.55,$68.35
2021-09-16,"$6,387,087,310","$341,741,905",$72.21,$71.55
2021-09-15,"$5,761,890,386","$114,051,302",$68.67,$72.21
2021-09-14,"$5,688,340,835","$92,481,356",$66.17,$68.67
2021-09-13,"$6,003,507,221","$5,922,185",$68.60,$66.17
2021-09-12,"$5,717,839,428","$126,042,041",$65.56,$68.60
2021-09-11,"$5,749,058,891","$3,013,214",$64.30,$65.56
2021-09-10,"$6,175,660,555","$18,081,972",$69.01,$64.30
2021-09-09,"$6,332,489,687","$37,475,453",$70.26,$69.01
2021-09-08,"$6,582,234,495","$86,797,808",$69.12,$70.26
2021-09-07,"$7,387,656,175","$15,718,720",$78.84,$69.12
2021-09-06,"$7,410,072,043","$2,012,852",$79.16,$78.84
2021-09-05,"$7,331,633,841","$16,844,010",$77.93,$79.16
2021-09-04,"$7,416,295,713","$8,706,586",$78.76,$77.93
2021-09-03,"$7,164,027,422","$183,575,799",$76.05,$78.76
2021-09-02,"$6,981,943,279","$13,775,991",$76.54,$76.05
2021-09-01,"$6,351,894,363","$512,939",$69.12,$76.54
2021-08-31,"$5,991,752,171","$52,559,268",$64.94,$69.12
2021-08-30,"$5,671,249,158","$17,059,415",$64.94,$64.94
2021-08-29,"$5,699,796,221","$48,880,791",$65.03,$64.94
2021-08-28,"$5,676,796,421","$22,703,021",$65.41,$65.03
2021-08-27,"$5,428,854,428","$34,773,811",$62.71,$65.41
2021-08-26,"$5,563,867,514","$183,019,258",$64.73,$62.71
2021-08-25,"$5,329,691,072","$95,110,546",$63.98,$64.73
2021-08-24,"$5,432,484,676","$8,776,659",$66.63,$63.98
2021-08-23,"$5,300,625,371","$13,137,768",$64.94,$66.63
2021-08-22,"$5,251,978,622","$65,060,061",$64.84,$64.94
2021-08-21,"$5,264,718,092","$30,608,634",$65.67,$64.84
2021-08-20,"$4,902,062,678","$5,868,901",$62.96,$65.67
2021-08-19,"$4,906,777,993","$132,969,134",$60.86,$62.96
2021-08-18,"$4,748,731,821","$3,291,091",$60.34,$60.86
2021-08-17,"$5,003,928,967","$66,342,419",$63.48,$60.34
2021-08-16,"$5,122,384,587","$11,218,893",$66.35,$63.48
2021-08-15,"$5,056,057,075","$5,097,100",$65.46,$66.35
2021-08-14,"$5,139,891,605","$10,225,402",$66.55,$65.46
2021-08-13,"$4,722,489,474","$66,521,506",$61.02,$66.55
2021-08-12,"$4,835,452,921","$43,068,840",$63.52,$61.02
2021-08-11,"$4,736,254,864","$12,459,140",$62.79,$63.52
2021-08-10,"$4,659,745,677","$7,706,350",$63.38,$62.79
2021-08-09,"$4,558,473,957","$32,324,019",$60.65,$63.38
2021-08-08,"$4,721,326,569","$2,852,137",$63.15,$60.65
2021-08-07,"$4,362,462,232","$19,993,410",$57.87,$63.15
2021-08-06,"$4,296,508,599","$35,158,142",$56.67,$57.87
2021-08-05,"$4,119,985,513","$8,814,094",$54.61,$56.67
2021-08-04,"$3,790,907,754","$22,369,399",$50.32,$54.61
2021-08-03,"$3,957,719,434","$16,288,925",$52.55,$50.32
2021-08-02,"$3,881,916,187","$104,834",$51.20,$52.55
2021-08-01,"$3,848,366,165","$23,330,230",$51.03,$51.20
2021-07-31,"$3,660,992,262","$6,214,029",$49.13,$51.03
2021-07-30,"$3,601,762,071","$10,305,104",$47.84,$49.13
2021-07-29,"$3,453,593,179","$5,089,338",$46.09,$47.84
2021-07-28,"$3,440,389,045","$14,492,367",$45.82,$46.09
2021-07-27,"$3,391,341,168","$146,526,396",$44.78,$45.82
2021-07-26,"$3,151,163,715","$70,462,624",$43.94,$44.78
2021-07-25,"$3,065,887,183","$28,067,510",$43.72,$43.94
2021-07-24,"$3,000,110,289","$51,672,180",$42.45,$43.72
2021-07-23,"$2,785,349,918","$64,194,959",$40.62,$42.45
2021-07-22,"$2,811,101,745","$11,588,398",$40.11,$40.62
2021-07-21,"$2,545,570,642","$19,302,024",$35.87,$40.11
2021-07-20,"$2,596,602,326","$38,407,541",$36.66,$35.87
2021-07-19,"$2,633,065,517","$25,085,455",$38.04,$36.66
2021-07-18,"$2,669,621,258","$22,623,255",$38.12,$38.04
2021-07-17,"$2,618,483,981","$10,509,323",$37.70,$38.12
2021-07-16,"$2,643,550,866","$163,085",$38.34,$37.70
2021-07-15,"$2,755,187,797","$14,768,199",$40.00,$38.34
2021-07-14,"$2,669,126,281","$10,749,946",$38.92,$40.00
2021-07-13,"$2,783,039,765","$227,432,504",$40.85,$38.92
2021-07-12,"$2,683,974,429","$35,691,206",$43.01,$40.85
2021-07-11,"$2,615,003,856","$3,106,175",$42.51,$43.01
2021-07-10,"$2,663,411,069","$5,539,723",$43.25,$42.51
2021-07-09,"$2,642,430,712","$720,630",$42.59,$43.25
2021-07-08,"$2,886,469,063","$93,252,697",$46.55,$42.59
2021-07-07,"$2,785,420,308","$20,942,822",$46.56,$46.55
2021-07-06,"$2,640,075,991","$18,599,464",$44.37,$46.56
2021-07-05,"$2,795,356,950","$54,898,275",$46.73,$44.37
2021-07-04,"$2,608,715,933","$16,441,952",$44.74,$46.73
2021-07-03,"$2,510,954,118","$776,799",$43.21,$44.74
2021-07-02,"$2,464,740,985","$17,496,745",$42.47,$43.21
2021-07-01,"$2,663,154,592","$2,528,274",$45.71,$42.47
2021-06-30,"$2,542,264,205","$1,307,691",$44.15,$45.71
2021-06-29,"$2,402,187,201","$3,528,437",$41.76,$44.15
2021-06-28,"$2,279,293,875","$18,693,340",$39.64,$41.76
2021-06-27,"$2,097,907,629","$5,413,058",$36.45,$39.64
2021-06-26,"$2,122,555,088","$15,969,742",$36.57,$36.45
2021-06-25,"$2,342,517,165","$16,446,291",$39.93,$36.57
2021-06-24,"$2,269,758,476","$849,767",$39.03,$39.93
2021-06-23,"$2,166,285,015","$10,435,466",$37.35,$39.03
2021-06-22,"$2,184,739,864","$21,476,421",$37.97,$37.35
2021-06-21,"$2,680,425,037","$18,054,969",$45.56,$37.97
2021-06-20,"$2,560,778,025","$135,972,866",$43.56,$45.56
2021-06-19,"$2,761,274,075","$36,282,166",$44.79,$43.56
2021-06-18,"$2,910,969,560","$180,417,473",$47.73,$44.79
2021-06-17,"$2,711,191,600","$67,783,527",$47.33,$47.73
2021-06-16,"$3,020,213,276","$21,649,969",$51.29,$47.33
2021-06-15,"$3,019,138,619","$19,763,610",$51.43,$51.29
2021-06-14,"$2,966,153,339","$1,774,957",$50.23,$51.43
2021-06-13,"$2,820,762,093","$96,262,398",$48.12,$50.23
2021-06-12,"$2,894,660,773","$58,467,629",$46.90,$48.12
2021-06-11,"$2,986,250,161","$311,066,622",$49.83,$46.90
2021-06-10,"$3,462,489,002","$49,863,424",$52.42,$49.83
2021-06-09,"$3,391,555,926","$2,279,934",$50.64,$52.42
2021-06-08,"$3,510,586,707","$7,967,379",$52.55,$50.64
2021-06-07,"$3,621,153,465","$2,734,172",$54.29,$52.55
2021-06-06,"$3,471,667,644","$9,369,482",$52.02,$54.29
2021-06-05,"$3,586,607,399","$32,767,469",$53.79,$52.02
2021-06-04,"$3,817,433,188","$8,310,869",$57.49,$53.79
2021-06-03,"$3,660,045,582","$200,254,970",$54.40,$57.49
2021-06-02,"$3,296,895,069","$159,544,383",$52.59,$54.40
2021-06-01,"$3,547,092,020","$2,977,773",$54.26,$52.59
2021-05-31,"$3,188,973,116","$11,399,602",$47.99,$54.26
2021-05-30,"$3,108,838,436","$95,942,368",$46.03,$47.99
2021-05-29,"$3,366,778,755","$37,909,529",$48.49,$46.03
2021-05-28,"$3,820,237,862","$8,102,756",$55.01,$48.49
2021-05-27,"$4,014,625,182","$56,645,365",$57.50,$55.01
2021-05-26,"$3,741,676,385","$11,202,295",$52.98,$57.50
2021-05-25,"$3,815,503,426","$46,292,036",$52.77,$52.98
2021-05-24,"$3,149,359,797","$182,425,577",$42.30,$52.77
2021-05-23,"$3,255,157,427","$17,670,743",$46.76,$42.30
2021-05-22,"$3,407,854,103","$74,038,220",$48.33,$46.76
2021-05-21,"$3,992,250,238","$642,068,985",$55.70,$48.33
