Date,Market Cap,Volume,Open,Close
2021-10-16,"$1,284,279,491","$357,640,070",$22.72,N/A
2021-10-15,"$1,319,006,523","$302,882,107",$23.59,$22.72
2021-10-14,"$1,260,871,063","$572,091,473",$22.33,$23.59
2021-10-13,"$1,263,136,903","$460,080,110",$22.38,$22.33
2021-10-12,"$1,325,691,383","$835,546,286",$23.58,$22.38
2021-10-11,"$1,276,939,055","$638,963,428",$22.70,$23.58
2021-10-10,"$1,219,464,902","$262,945,762",$21.78,$22.70
2021-10-09,"$1,230,096,719","$351,687,588",$21.97,$21.78
2021-10-08,"$1,212,795,655","$517,150,033",$21.75,$21.97
2021-10-07,"$1,266,546,415","$598,016,298",$23.36,$21.75
2021-10-06,"$1,176,946,769","$453,994,035",$22.58,$23.36
2021-10-05,"$1,214,539,782","$823,547,462",$23.48,$22.58
2021-10-04,"$1,216,424,038","$467,372,107",$23.59,$23.48
2021-10-03,"$1,179,533,017","$589,982,518",$22.91,$23.59
2021-10-02,"$1,142,825,482","$788,722,468",$22.31,$22.91
2021-10-01,"$1,213,259,265","$831,513,748",$23.61,$22.31
2021-09-30,"$1,372,576,924","$1,139,487,892",$26.80,$23.61
2021-09-29,"$1,143,679,271","$998,472,253",$22.40,$26.80
2021-09-28,"$1,043,995,819","$1,059,269,190",$20.62,$22.40
2021-09-27,"$971,949,348","$1,064,946,676",$19.17,$20.62
2021-09-26,"$702,878,969","$299,022,022",$13.90,$19.17
2021-09-25,"$603,198,561","$298,191,046",$12.06,$13.90
2021-09-24,"$695,649,174","$240,261,230",$13.93,$12.06
2021-09-23,"$739,109,036","$349,702,442",$14.66,$13.93
2021-09-22,"$610,137,886","$403,376,373",$12.32,$14.66
2021-09-21,"$583,835,423","$418,284,666",$11.78,$12.32
2021-09-20,"$707,432,493","$297,397,421",$14.27,$11.78
2021-09-19,"$794,582,750","$382,672,476",$16.13,$14.27
2021-09-18,"$782,827,115","$742,012,026",$16.13,$16.13
2021-09-17,"$741,644,464","$728,443,947",$15.30,$16.13
2021-09-16,"$555,511,005","$211,202,293",$11.53,$15.30
2021-09-15,"$556,255,109","$255,638,857",$11.63,$11.53
2021-09-14,"$496,596,627","$272,602,963",$10.49,$11.63
2021-09-13,"$636,560,410","$245,355,394",$11.36,$10.49
2021-09-12,"$616,896,449","$302,548,914",$11.10,$11.36
2021-09-11,"$570,312,349","$463,253,757",$10.33,$11.10
2021-09-10,"$727,461,004","$1,292,132,585",$13.06,$10.33
2021-09-09,"$669,948,674","$366,745,750",$12.61,$13.06
2021-09-08,"$669,948,674","$366,745,750",$12.61,$12.61
