Symbol,Date,Market Cap,Volume,Open,Close
1INCH,2021-10-16,589134527.0,168258709.0,3.25,N/A
1INCH,2021-10-15,606514697.0,239715243.0,3.35,3.25
1INCH,2021-10-14,535648097.0,88765352.0,2.96,3.35
1INCH,2021-10-13,523115043.0,84353231.0,2.89,2.96
1INCH,2021-10-12,522370056.0,72850530.0,2.9,2.89
1INCH,2021-10-11,534769887.0,67210131.0,2.96,2.9
1INCH,2021-10-10,579282101.0,60447140.0,3.2,2.96
1INCH,2021-10-09,569925056.0,97344406.0,3.16,3.2
1INCH,2021-10-08,566598292.0,112873537.0,3.14,3.16
1INCH,2021-10-07,563988319.0,136345909.0,3.12,3.14
1INCH,2021-10-06,592431869.0,142191781.0,3.28,3.12
1INCH,2021-10-05,575248632.0,144918108.0,3.17,3.28
1INCH,2021-10-04,556855420.0,146898169.0,3.08,3.17
1INCH,2021-10-03,551723106.0,160543182.0,3.06,3.08
1INCH,2021-10-02,525733466.0,148317363.0,2.92,3.06
1INCH,2021-10-01,460783005.0,81525822.0,2.55,2.92
1INCH,2021-09-30,450464357.0,94021207.0,2.5,2.55
1INCH,2021-09-29,429537845.0,79007095.0,2.38,2.5
1INCH,2021-09-28,457448282.0,124459722.0,2.52,2.38
1INCH,2021-09-27,484443767.0,150293406.0,2.68,2.52
1INCH,2021-09-26,451997837.0,59183131.0,2.51,2.68
1INCH,2021-09-25,458689060.0,98840354.0,2.55,2.51
1INCH,2021-09-24,501984534.0,105166286.0,2.78,2.55
1INCH,2021-09-23,471693805.0,87593784.0,2.62,2.78
1INCH,2021-09-22,415170327.0,93783441.0,2.3,2.62
1INCH,2021-09-21,462516842.0,108524031.0,2.57,2.3
1INCH,2021-09-20,537300029.0,62078066.0,2.97,2.57
1INCH,2021-09-19,564437144.0,79786708.0,3.13,2.97
1INCH,2021-09-18,562915384.0,93909242.0,3.1,3.13
1INCH,2021-09-17,602184539.0,190647625.0,3.34,3.1
1INCH,2021-09-16,591434566.0,124125221.0,3.29,3.34
1INCH,2021-09-15,553394002.0,90436642.0,3.07,3.29
1INCH,2021-09-14,514814163.0,63000201.0,2.85,3.07
1INCH,2021-09-13,540852673.0,63327001.0,2.99,2.85
1INCH,2021-09-12,525086876.0,51466540.0,2.91,2.99
1INCH,2021-09-11,518283912.0,78901391.0,2.88,2.91
1INCH,2021-09-10,548470966.0,102157756.0,3.03,2.88
1INCH,2021-09-09,528235660.0,149480148.0,2.92,3.03
1INCH,2021-09-08,531456681.0,220036217.0,2.94,2.92
1INCH,2021-09-07,673370823.0,129832541.0,3.72,2.94
1INCH,2021-09-06,692161837.0,151008729.0,3.83,3.72
1INCH,2021-09-05,669398571.0,133803139.0,3.7,3.83
1INCH,2021-09-04,641925379.0,158642448.0,3.58,3.7
1INCH,2021-09-03,608081168.0,106653283.0,3.36,3.58
1INCH,2021-09-02,605644310.0,128118318.0,3.36,3.36
1INCH,2021-09-01,552720022.0,97606643.0,3.06,3.36
1INCH,2021-08-31,543474185.0,74377101.0,3.02,3.06
1INCH,2021-08-30,570871246.0,62735485.0,3.16,3.02
1INCH,2021-08-29,594327030.0,101413699.0,3.29,3.16
1INCH,2021-08-28,578983071.0,130160700.0,3.21,3.29
1INCH,2021-08-27,536116463.0,88044208.0,2.96,3.21
1INCH,2021-08-26,573813784.0,86529014.0,3.17,2.96
1INCH,2021-08-25,559617358.0,117237766.0,3.08,3.17
1INCH,2021-08-24,614578268.0,81052383.0,3.4,3.08
1INCH,2021-08-23,609373007.0,85766343.0,3.38,3.4
1INCH,2021-08-22,608155779.0,113848833.0,3.37,3.38
1INCH,2021-08-21,619687846.0,141403110.0,3.44,3.37
1INCH,2021-08-20,602886032.0,177651125.0,3.39,3.44
1INCH,2021-08-19,570733719.0,160918052.0,3.16,3.39
1INCH,2021-08-18,553213745.0,192175449.0,3.05,3.16
1INCH,2021-08-17,557970415.0,127893757.0,3.04,3.05
1INCH,2021-08-16,550926011.0,67666924.0,3.05,3.04
1INCH,2021-08-15,549118340.0,75348829.0,3.04,3.05
1INCH,2021-08-14,552763726.0,130999769.0,3.06,3.04
1INCH,2021-08-13,505386429.0,147664864.0,2.8,3.06
1INCH,2021-08-12,533074625.0,128124458.0,2.96,2.8
1INCH,2021-08-11,1823543507.0,173137418.0,2.8,2.96
1INCH,2021-08-10,1800821120.0,186815432.0,2.77,2.8
1INCH,2021-08-09,947657640.0,76620592.0,2.49,2.77
1INCH,2021-08-08,1033130069.0,154599842.0,2.71,2.49
1INCH,2021-08-07,955295405.0,151900078.0,2.51,2.71
1INCH,2021-08-06,915946613.0,136449711.0,2.41,2.51
1INCH,2021-08-05,894247219.0,137261623.0,2.35,2.41
1INCH,2021-08-04,402818194.0,107122197.0,2.23,2.35
1INCH,2021-08-03,418985677.0,76951988.0,2.32,2.23
1INCH,2021-08-02,419220179.0,91852710.0,2.33,2.32
1INCH,2021-08-01,432485738.0,79651262.0,2.4,2.33
1INCH,2021-07-31,416434660.0,103374211.0,2.31,2.4
1INCH,2021-07-30,406348628.0,86816917.0,2.25,2.31
1INCH,2021-07-29,393038579.0,75116274.0,2.18,2.25
1INCH,2021-07-28,396255565.0,104157892.0,2.2,2.18
1INCH,2021-07-27,386325851.0,157672126.0,2.13,2.2
1INCH,2021-07-26,369937001.0,73996081.0,2.05,2.13
1INCH,2021-07-25,368654683.0,57243485.0,2.05,2.05
1INCH,2021-07-24,379968262.0,81753482.0,2.11,2.05
1INCH,2021-07-23,372238003.0,62102592.0,2.06,2.11
1INCH,2021-07-22,328253808.0,41223213.0,1.83,2.06
1INCH,2021-07-21,310853630.0,47472102.0,1.72,1.83
1INCH,2021-07-20,327583491.0,41894064.0,1.81,1.72
1INCH,2021-07-19,368350748.0,24802936.0,2.04,1.81
1INCH,2021-07-18,363344856.0,29201395.0,2.01,2.04
1INCH,2021-07-17,355027157.0,53271177.0,1.97,2.01
1INCH,2021-07-16,374442522.0,35200194.0,2.14,1.97
1INCH,2021-07-15,401378874.0,34182638.0,2.3,2.14
1INCH,2021-07-14,399999319.0,27780436.0,2.31,2.3
1INCH,2021-07-13,419496606.0,32891551.0,2.43,2.31
1INCH,2021-07-12,435996470.0,24353473.0,2.52,2.43
1INCH,2021-07-11,431830975.0,30266434.0,2.5,2.52
1INCH,2021-07-10,448329084.0,42138344.0,2.59,2.5
1INCH,2021-07-09,434861354.0,47761564.0,2.52,2.59
1INCH,2021-07-08,477084654.0,56484411.0,2.76,2.52
1INCH,2021-07-07,489796965.0,118830797.0,2.84,2.76
1INCH,2021-07-06,433920331.0,53075288.0,2.51,2.84
1INCH,2021-07-05,440245418.0,48678830.0,2.54,2.51
1INCH,2021-07-04,425675838.0,36038501.0,2.47,2.54
1INCH,2021-07-03,415092160.0,33930223.0,2.4,2.47
1INCH,2021-07-02,412675063.0,37768615.0,2.39,2.4
1INCH,2021-07-01,437666771.0,52219188.0,2.53,2.39
1INCH,2021-06-30,440106002.0,66741913.0,2.54,2.53
1INCH,2021-06-29,426435322.0,88049565.0,2.47,2.54
1INCH,2021-06-28,433013646.0,47190876.0,2.51,2.47
1INCH,2021-06-27,402091612.0,56335004.0,2.33,2.51
1INCH,2021-06-26,414561167.0,71833423.0,2.39,2.33
1INCH,2021-06-25,465868235.0,60717572.0,2.7,2.39
1INCH,2021-06-24,450506859.0,98893000.0,2.61,2.7
1INCH,2021-06-23,412265266.0,144103840.0,2.39,2.61
1INCH,2021-06-22,469369556.0,173429052.0,2.67,2.39
1INCH,2021-06-21,597641118.0,89332330.0,3.46,2.67
1INCH,2021-06-20,523337298.0,50999803.0,3.03,3.46
1INCH,2021-06-19,545009803.0,64901361.0,3.15,3.03
1INCH,2021-06-18,587292311.0,104111787.0,3.42,3.15
1INCH,2021-06-17,617018771.0,116131014.0,3.57,3.42
1INCH,2021-06-16,653543682.0,105425481.0,3.78,3.57
1INCH,2021-06-15,639926934.0,322112083.0,3.69,3.78
1INCH,2021-06-14,518109484.0,79045728.0,3.02,3.69
1INCH,2021-06-13,476804384.0,67507491.0,2.75,3.02
1INCH,2021-06-12,470522135.0,69042153.0,2.73,2.75
1INCH,2021-06-11,524323883.0,102803042.0,3.01,2.73
1INCH,2021-06-10,543410494.0,160359741.0,3.17,3.01
1INCH,2021-06-09,539006229.0,121703258.0,3.11,3.17
1INCH,2021-06-08,581643591.0,94366895.0,3.36,3.11
1INCH,2021-06-07,666637108.0,162829781.0,3.89,3.36
1INCH,2021-06-06,621864646.0,216557054.0,3.67,3.89
1INCH,2021-06-05,584677708.0,182921773.0,3.39,3.67
1INCH,2021-06-04,606064203.0,97562031.0,3.5,3.39
1INCH,2021-06-03,585782616.0,125769093.0,3.39,3.5
1INCH,2021-06-02,522647757.0,78002611.0,3.12,3.39
1INCH,2021-06-01,535443777.0,117543126.0,3.21,3.12
1INCH,2021-05-31,483784869.0,83984212.0,2.88,3.21
1INCH,2021-05-30,435381355.0,96069062.0,2.57,2.88
1INCH,2021-05-29,462278560.0,121595299.0,2.76,2.57
1INCH,2021-05-28,551282315.0,99494514.0,3.28,2.76
