Symbol,Date,Market Cap,Volume,Open,Close
ALPHA,2021-10-16,461585560.0,20686094.0,1.03,N/A
ALPHA,2021-10-15,472654224.0,13222295.0,1.06,1.03
ALPHA,2021-10-14,462799927.0,18632324.0,1.04,1.06
ALPHA,2021-10-13,434630153.0,12347786.0,0.9733,1.04
ALPHA,2021-10-12,429187600.0,6774741.0,0.963024,0.9733
ALPHA,2021-10-11,390199546.0,9255714.0,0.962313,0.963024
ALPHA,2021-10-10,421130081.0,10868346.0,1.04,0.962313
ALPHA,2021-10-09,427622343.0,25102535.0,1.05,1.04
ALPHA,2021-10-08,439932183.0,28438253.0,1.08,1.05
ALPHA,2021-10-07,423979416.0,23907617.0,1.05,1.08
ALPHA,2021-10-06,424113910.0,21874852.0,1.04,1.05
ALPHA,2021-10-05,408253699.0,18839975.0,1.0,1.04
ALPHA,2021-10-04,404265504.0,13865090.0,0.993761,1.0
ALPHA,2021-10-03,403633832.0,15942437.0,0.992458,0.993761
ALPHA,2021-10-02,385295668.0,13576825.0,0.951648,0.992458
ALPHA,2021-10-01,352282446.0,30350945.0,0.866463,0.951648
ALPHA,2021-09-30,336130565.0,37816929.0,0.830783,0.866463
ALPHA,2021-09-29,320995592.0,20672191.0,0.789492,0.830783
ALPHA,2021-09-28,336185856.0,25161387.0,0.823268,0.789492
ALPHA,2021-09-27,345315801.0,27650102.0,0.850635,0.823268
ALPHA,2021-09-26,347706392.0,20178315.0,0.85514,0.850635
ALPHA,2021-09-25,353392015.0,37385386.0,0.871247,0.85514
ALPHA,2021-09-24,389056306.0,37347852.0,0.957536,0.871247
ALPHA,2021-09-23,372437577.0,35132903.0,0.921785,0.957536
ALPHA,2021-09-22,326233579.0,37236710.0,0.804009,0.921785
ALPHA,2021-09-21,358850954.0,68803375.0,0.887259,0.804009
ALPHA,2021-09-20,434589355.0,32851199.0,1.07,0.887259
ALPHA,2021-09-19,447154331.0,34184824.0,1.1,1.07
ALPHA,2021-09-18,455732001.0,44068128.0,1.12,1.1
ALPHA,2021-09-17,484300586.0,57507633.0,1.2,1.12
ALPHA,2021-09-16,496498082.0,54122574.0,1.22,1.2
ALPHA,2021-09-15,476644468.0,60844734.0,1.17,1.22
ALPHA,2021-09-14,436856908.0,47358367.0,1.08,1.17
ALPHA,2021-09-13,458458765.0,39040418.0,1.12,1.08
ALPHA,2021-09-12,437591124.0,32442815.0,1.08,1.12
ALPHA,2021-09-11,443968926.0,46675825.0,1.1,1.08
ALPHA,2021-09-10,475194859.0,65453506.0,1.17,1.1
ALPHA,2021-09-09,463882914.0,71532552.0,1.14,1.17
ALPHA,2021-09-08,464872238.0,108843330.0,1.15,1.14
ALPHA,2021-09-07,574590919.0,83471602.0,1.41,1.15
ALPHA,2021-09-06,562867480.0,54719989.0,1.39,1.41
ALPHA,2021-09-05,547394841.0,40771799.0,1.34,1.39
ALPHA,2021-09-04,561419185.0,84375728.0,1.38,1.34
ALPHA,2021-09-03,550331978.0,85454937.0,1.36,1.38
ALPHA,2021-09-02,533000491.0,125040494.0,1.31,1.36
ALPHA,2021-09-01,499533193.0,139207914.0,1.22,1.31
ALPHA,2021-08-31,444714130.0,91911615.0,1.1,1.22
ALPHA,2021-08-30,446545390.0,38908620.0,1.1,1.1
ALPHA,2021-08-29,443621733.0,37302699.0,1.09,1.1
ALPHA,2021-08-28,458375155.0,59769608.0,1.13,1.09
ALPHA,2021-08-27,445596876.0,80919497.0,1.09,1.13
ALPHA,2021-08-26,475245052.0,156862403.0,1.17,1.09
ALPHA,2021-08-25,474303533.0,110554554.0,1.17,1.17
ALPHA,2021-08-24,460193109.0,74890791.0,1.13,1.17
ALPHA,2021-08-23,470438553.0,145741584.0,1.16,1.13
ALPHA,2021-08-22,399355690.0,46834224.0,0.983089,1.16
ALPHA,2021-08-21,417723083.0,78171384.0,1.03,0.983089
ALPHA,2021-08-20,365143156.0,49714876.0,0.911898,1.03
ALPHA,2021-08-19,366883708.0,51037439.0,0.896777,0.911898
ALPHA,2021-08-18,372642582.0,59543337.0,0.908552,0.896777
ALPHA,2021-08-17,397189642.0,75799715.0,0.965513,0.908552
ALPHA,2021-08-16,408521234.0,48675912.0,1.01,0.965513
ALPHA,2021-08-15,402193256.0,53807047.0,0.987572,1.01
ALPHA,2021-08-14,416763210.0,44519914.0,1.03,0.987572
ALPHA,2021-08-13,387490173.0,64280365.0,0.954372,1.03
ALPHA,2021-08-12,403001694.0,106898988.0,0.993952,0.954372
ALPHA,2021-08-11,376192477.0,61905312.0,0.927646,0.993952
ALPHA,2021-08-10,325653788.0,73532811.0,0.955323,0.927646
ALPHA,2021-08-09,303465213.0,66499737.0,0.864359,0.955323
ALPHA,2021-08-08,329111069.0,147865370.0,0.938273,0.864359
ALPHA,2021-08-07,280297256.0,44045255.0,0.798749,0.938273
ALPHA,2021-08-06,289245764.0,137437394.0,0.812322,0.798749
ALPHA,2021-08-05,260225595.0,47891374.0,0.744426,0.812322
ALPHA,2021-08-04,230710927.0,44672964.0,0.651938,0.744426
ALPHA,2021-08-03,237237243.0,56700821.0,0.675583,0.651938
ALPHA,2021-08-02,236206189.0,75655733.0,0.6746,0.675583
ALPHA,2021-08-01,224570376.0,34200695.0,0.639523,0.6746
ALPHA,2021-07-31,223003763.0,44761268.0,0.635536,0.639523
ALPHA,2021-07-30,215112640.0,29264165.0,0.612388,0.635536
ALPHA,2021-07-29,209297356.0,35987617.0,0.596323,0.612388
ALPHA,2021-07-28,210709371.0,51488138.0,0.600305,0.596323
ALPHA,2021-07-27,216344592.0,80082794.0,0.614074,0.600305
ALPHA,2021-07-26,211036488.0,50748415.0,0.600815,0.614074
ALPHA,2021-07-25,208089113.0,48748803.0,0.59319,0.600815
ALPHA,2021-07-24,197486723.0,38329461.0,0.563696,0.59319
ALPHA,2021-07-23,196342202.0,47167952.0,0.559356,0.563696
ALPHA,2021-07-22,190290634.0,71652944.0,0.544096,0.559356
ALPHA,2021-07-21,175451540.0,65310982.0,0.49815,0.544096
ALPHA,2021-07-20,135209983.0,29302437.0,0.469794,0.49815
ALPHA,2021-07-19,148665920.0,29183645.0,0.518518,0.469794
ALPHA,2021-07-18,147090166.0,35865255.0,0.516199,0.518518
ALPHA,2021-07-17,152780399.0,50852055.0,0.534407,0.516199
ALPHA,2021-07-16,160643936.0,57175518.0,0.562893,0.534407
ALPHA,2021-07-15,176350737.0,70265727.0,0.617317,0.562893
ALPHA,2021-07-14,190801134.0,42001605.0,0.669535,0.617317
ALPHA,2021-07-13,215924205.0,59599397.0,0.756876,0.669535
ALPHA,2021-07-12,220051465.0,38747741.0,0.770256,0.756876
ALPHA,2021-07-11,216029665.0,88521275.0,0.756382,0.770256
ALPHA,2021-07-10,213175417.0,51932699.0,0.746197,0.756382
ALPHA,2021-07-09,210726947.0,117426970.0,0.742643,0.746197
ALPHA,2021-07-08,260597237.0,120823009.0,0.913487,0.742643
ALPHA,2021-07-07,223890291.0,283502453.0,0.783718,0.913487
ALPHA,2021-07-06,174681746.0,89300704.0,0.61171,0.783718
ALPHA,2021-07-05,151708772.0,33028775.0,0.531709,0.61171
ALPHA,2021-07-04,130919372.0,14417222.0,0.458886,0.531709
ALPHA,2021-07-03,127001450.0,18820244.0,0.445622,0.458886
ALPHA,2021-07-02,125357934.0,20427559.0,0.439172,0.445622
ALPHA,2021-07-01,136754963.0,34543369.0,0.480702,0.439172
ALPHA,2021-06-30,135423316.0,42224635.0,0.472503,0.480702
ALPHA,2021-06-29,119828023.0,29626506.0,0.41982,0.472503
ALPHA,2021-06-28,109027016.0,12779047.0,0.382068,0.41982
ALPHA,2021-06-27,101596113.0,21568953.0,0.357048,0.382068
ALPHA,2021-06-26,102944866.0,25183980.0,0.359429,0.357048
ALPHA,2021-06-25,112948191.0,25027383.0,0.39514,0.359429
ALPHA,2021-06-24,107220601.0,34176675.0,0.376326,0.39514
ALPHA,2021-06-23,94475245.0,43456467.0,0.332455,0.376326
ALPHA,2021-06-22,113995514.0,25612319.0,0.397601,0.332455
ALPHA,2021-06-21,154270497.0,19581124.0,0.54029,0.397601
ALPHA,2021-06-20,153541409.0,12912992.0,0.538762,0.54029
ALPHA,2021-06-19,159161943.0,15631012.0,0.556563,0.538762
ALPHA,2021-06-18,169789302.0,14324934.0,0.597804,0.556563
ALPHA,2021-06-17,168589720.0,20319598.0,0.589779,0.597804
ALPHA,2021-06-16,183460401.0,32120535.0,0.641407,0.589779
ALPHA,2021-06-15,178111777.0,33266107.0,0.624438,0.641407
ALPHA,2021-06-14,174689734.0,23794344.0,0.615306,0.624438
ALPHA,2021-06-13,168167927.0,29251854.0,0.584922,0.615306
ALPHA,2021-06-12,167752135.0,43450173.0,0.590217,0.584922
ALPHA,2021-06-11,190207550.0,29001290.0,0.661304,0.590217
ALPHA,2021-06-10,208633402.0,32370387.0,0.729058,0.661304
ALPHA,2021-06-09,193685527.0,29558915.0,0.676771,0.729058
ALPHA,2021-06-08,202800916.0,25918211.0,0.704613,0.676771
ALPHA,2021-06-07,225125268.0,17240354.0,0.78898,0.704613
ALPHA,2021-06-06,220926074.0,35281262.0,0.77722,0.78898
ALPHA,2021-06-05,236958807.0,39802573.0,0.828316,0.77722
ALPHA,2021-06-04,267675857.0,55595500.0,0.932696,0.828316
ALPHA,2021-06-03,240601979.0,32167077.0,0.841342,0.932696
ALPHA,2021-06-02,236268948.0,41316709.0,0.826625,0.841342
ALPHA,2021-06-01,247786572.0,50596904.0,0.867822,0.826625
ALPHA,2021-05-31,215797948.0,28346366.0,0.75229,0.867822
ALPHA,2021-05-30,203793107.0,31207069.0,0.705757,0.75229
ALPHA,2021-05-29,219986910.0,42539588.0,0.769407,0.705757
ALPHA,2021-05-28,255488203.0,39538956.0,0.894277,0.769407
ALPHA,2021-05-27,273151210.0,48608637.0,0.958319,0.894277
ALPHA,2021-05-26,244069785.0,60987783.0,0.852344,0.958319
ALPHA,2021-05-25,263313429.0,79133504.0,0.920242,0.852344
ALPHA,2021-05-24,187029118.0,71788454.0,0.661417,0.920242
ALPHA,2021-05-23,254528678.0,44202103.0,0.890128,0.661417
ALPHA,2021-05-22,294968801.0,92919027.0,1.04,0.890128
ALPHA,2021-05-21,373152873.0,82895003.0,1.31,1.04
ALPHA,2021-05-20,341093128.0,141895789.0,1.18,1.31
