Symbol,Date,Market Cap,Volume,Open,Close
ChainLink,2021-10-16,12422699585.0,1220883029.0,27.08,N/A
ChainLink,2021-10-15,12196548692.0,1360412069.0,26.68,27.08
ChainLink,2021-10-14,11677138027.0,1044763607.0,25.53,26.68
ChainLink,2021-10-13,11305427384.0,995123503.0,24.66,25.53
ChainLink,2021-10-12,11496017971.0,853296324.0,25.21,24.66
ChainLink,2021-10-11,11730341073.0,782901053.0,25.62,25.21
ChainLink,2021-10-10,12560659740.0,910334743.0,27.45,25.62
ChainLink,2021-10-09,12042931529.0,895901736.0,26.27,27.45
ChainLink,2021-10-08,12244178055.0,1174576942.0,26.89,26.27
ChainLink,2021-10-07,12274829797.0,1278611229.0,26.89,26.89
ChainLink,2021-10-06,12504224060.0,965956925.0,27.27,26.89
ChainLink,2021-10-05,12185133064.0,1010407962.0,26.61,27.27
ChainLink,2021-10-04,12627009283.0,914842197.0,27.61,26.61
ChainLink,2021-10-03,12319787470.0,975093496.0,26.97,27.61
ChainLink,2021-10-02,11985438391.0,1209726617.0,26.31,26.97
ChainLink,2021-10-01,10859891608.0,921098525.0,23.93,26.31
ChainLink,2021-09-30,10389961503.0,959094246.0,22.92,23.93
ChainLink,2021-09-29,10096077469.0,1014146026.0,22.11,22.92
ChainLink,2021-09-28,10504305854.0,1033739203.0,23.09,22.11
ChainLink,2021-09-27,11141413422.0,1800385252.0,24.55,23.09
ChainLink,2021-09-26,11154693970.0,1294999923.0,24.67,24.55
ChainLink,2021-09-25,10742519171.0,1546272258.0,23.19,24.67
ChainLink,2021-09-24,11478067808.0,1156230797.0,25.36,23.19
ChainLink,2021-09-23,10996655910.0,1305647884.0,24.33,25.36
ChainLink,2021-09-22,9637898532.0,1613474202.0,21.21,24.33
ChainLink,2021-09-21,10629208014.0,1744721051.0,23.53,21.21
ChainLink,2021-09-20,12446260480.0,818519778.0,27.44,23.53
ChainLink,2021-09-19,12858130068.0,969729588.0,28.41,27.44
ChainLink,2021-09-18,12623161871.0,1290180004.0,27.7,28.41
ChainLink,2021-09-17,13527227285.0,1614080006.0,29.92,27.7
ChainLink,2021-09-16,13812895164.0,1812550197.0,30.67,29.92
ChainLink,2021-09-15,13816924370.0,1828205385.0,30.49,30.67
ChainLink,2021-09-14,12251877099.0,2018390346.0,27.12,30.49
ChainLink,2021-09-13,13334116916.0,1381007876.0,29.42,27.12
ChainLink,2021-09-12,12157292071.0,1030301995.0,26.93,29.42
ChainLink,2021-09-11,11879802414.0,1724958547.0,26.31,26.93
ChainLink,2021-09-10,12660111947.0,1933789042.0,28.01,26.31
ChainLink,2021-09-09,12304993306.0,2465782008.0,27.17,28.01
ChainLink,2021-09-08,12729172603.0,3627207146.0,28.35,27.17
ChainLink,2021-09-07,15710779906.0,2433785072.0,34.89,28.35
ChainLink,2021-09-06,14966448414.0,1509759931.0,33.28,34.89
ChainLink,2021-09-05,13518369649.0,1075909712.0,29.96,33.28
ChainLink,2021-09-04,13790722105.0,1555947905.0,30.71,29.96
ChainLink,2021-09-03,13496276025.0,1554856448.0,30.06,30.71
ChainLink,2021-09-02,13300469955.0,1771226270.0,29.63,30.06
ChainLink,2021-09-01,12003882155.0,1432869187.0,26.73,29.63
ChainLink,2021-08-31,11293069376.0,939632803.0,25.11,26.73
ChainLink,2021-08-30,11575530552.0,702880214.0,25.81,25.11
ChainLink,2021-08-29,11531440132.0,635236281.0,25.7,25.81
ChainLink,2021-08-28,11661885184.0,1151616406.0,25.97,25.7
ChainLink,2021-08-27,11111513141.0,1214280933.0,24.81,25.97
ChainLink,2021-08-26,11890759057.0,1319105776.0,26.57,24.81
ChainLink,2021-08-25,11626164965.0,1462081546.0,25.93,26.57
ChainLink,2021-08-24,12777030467.0,1459998157.0,28.5,25.93
ChainLink,2021-08-23,12535219331.0,1284691376.0,27.98,28.5
ChainLink,2021-08-22,12487430659.0,1316807166.0,27.89,27.98
ChainLink,2021-08-21,12803637958.0,1625996459.0,28.66,27.89
ChainLink,2021-08-20,11787402600.0,1445504632.0,26.95,28.66
ChainLink,2021-08-19,11532629617.0,1439444168.0,25.69,26.95
ChainLink,2021-08-18,11743273729.0,1735916219.0,26.1,25.69
ChainLink,2021-08-17,12676026710.0,1846650789.0,28.07,26.1
ChainLink,2021-08-16,12354613873.0,950128281.0,27.77,28.07
ChainLink,2021-08-15,12130143539.0,1104036409.0,27.15,27.77
ChainLink,2021-08-14,12296383598.0,1109543009.0,27.72,27.15
ChainLink,2021-08-13,11035736825.0,1148446157.0,24.93,27.72
ChainLink,2021-08-12,11523611256.0,1384454668.0,25.94,24.93
ChainLink,2021-08-11,10895542909.0,1082979491.0,24.55,25.94
ChainLink,2021-08-10,10660779664.0,989277024.0,24.27,24.55
ChainLink,2021-08-09,10273394368.0,900348797.0,23.06,24.27
ChainLink,2021-08-08,10936667406.0,1028863967.0,24.61,23.06
ChainLink,2021-08-07,10607452228.0,1088167820.0,23.86,24.61
ChainLink,2021-08-06,10648767743.0,1105770147.0,24.05,23.86
ChainLink,2021-08-05,10745747766.0,1193169797.0,24.2,24.05
ChainLink,2021-08-04,10667314343.0,1415000503.0,24.09,24.2
ChainLink,2021-08-03,10469397729.0,1174623506.0,23.63,24.09
ChainLink,2021-08-02,9737760812.0,1173705963.0,22.07,23.63
ChainLink,2021-08-01,10151007353.0,1105673123.0,22.84,22.07
ChainLink,2021-07-31,9902916406.0,1753895145.0,22.34,22.84
ChainLink,2021-07-30,8559160247.0,607923416.0,19.34,22.34
ChainLink,2021-07-29,8402001967.0,949386580.0,19.07,19.34
ChainLink,2021-07-28,8522057080.0,1037473442.0,19.35,19.07
ChainLink,2021-07-27,7991454885.0,1593123749.0,18.02,19.35
ChainLink,2021-07-26,7415877636.0,607809027.0,16.81,18.02
ChainLink,2021-07-25,7365430940.0,662738292.0,16.69,16.81
ChainLink,2021-07-24,7281439788.0,650429882.0,16.52,16.69
ChainLink,2021-07-23,7071647317.0,694718335.0,16.09,16.52
ChainLink,2021-07-22,6710757534.0,876707518.0,15.31,16.09
ChainLink,2021-07-21,6098378527.0,756102979.0,13.88,15.31
ChainLink,2021-07-20,6470433681.0,606673027.0,14.61,13.88
ChainLink,2021-07-19,6862469517.0,513956835.0,15.6,14.61
ChainLink,2021-07-18,6776190629.0,603602951.0,15.4,15.6
ChainLink,2021-07-17,6692521336.0,600169163.0,15.25,15.4
ChainLink,2021-07-16,6891481428.0,643424396.0,15.65,15.25
ChainLink,2021-07-15,7425370139.0,604089386.0,16.95,15.65
ChainLink,2021-07-14,7403536798.0,474935073.0,16.86,16.95
ChainLink,2021-07-13,7718372717.0,517060799.0,17.62,16.86
ChainLink,2021-07-12,8039992739.0,432269926.0,18.37,17.62
ChainLink,2021-07-11,8026402613.0,583728400.0,18.3,18.37
ChainLink,2021-07-10,8214360162.0,737929885.0,18.73,18.3
ChainLink,2021-07-09,8090397979.0,962173434.0,18.52,18.73
ChainLink,2021-07-08,8673287033.0,987570560.0,19.86,18.52
ChainLink,2021-07-07,8729368508.0,1039774686.0,20.0,19.86
ChainLink,2021-07-06,8078719641.0,688520282.0,18.49,20.0
ChainLink,2021-07-05,8462052234.0,736556099.0,19.31,18.49
ChainLink,2021-07-04,8084804410.0,507861559.0,18.51,19.31
ChainLink,2021-07-03,7984941870.0,669998149.0,18.33,18.51
ChainLink,2021-07-02,7979565497.0,840146133.0,18.34,18.33
ChainLink,2021-07-01,8524079841.0,907152171.0,19.56,18.34
ChainLink,2021-06-30,8541763214.0,1054922444.0,19.58,19.56
ChainLink,2021-06-29,8207485515.0,983184175.0,18.86,19.58
ChainLink,2021-06-28,7974082851.0,782913513.0,18.33,18.86
ChainLink,2021-06-27,7300862222.0,1010418163.0,16.82,18.33
ChainLink,2021-06-26,7548646482.0,1183038206.0,17.24,16.82
ChainLink,2021-06-25,8280072942.0,883251697.0,19.04,17.24
ChainLink,2021-06-24,7923006406.0,1317364488.0,18.33,19.04
ChainLink,2021-06-23,7222229391.0,2057186815.0,16.72,18.33
ChainLink,2021-06-22,7662615017.0,1852117034.0,17.47,16.72
ChainLink,2021-06-21,9431544245.0,1024853082.0,21.71,17.47
ChainLink,2021-06-20,8909634824.0,780336685.0,20.46,21.71
ChainLink,2021-06-19,9273199944.0,1059988620.0,21.33,20.46
ChainLink,2021-06-18,10068865640.0,843432513.0,23.41,21.33
ChainLink,2021-06-17,9948477439.0,1079949882.0,23.0,23.41
ChainLink,2021-06-16,10728550365.0,1270307655.0,24.74,23.0
ChainLink,2021-06-15,10754787267.0,1306048544.0,24.93,24.74
ChainLink,2021-06-14,10078863533.0,1328820190.0,23.4,24.93
ChainLink,2021-06-13,9476107536.0,1269382863.0,21.79,23.4
ChainLink,2021-06-12,9238332118.0,1012586735.0,21.41,21.79
ChainLink,2021-06-11,10034956906.0,1144246112.0,23.1,21.41
ChainLink,2021-06-10,11050310220.0,1624847275.0,25.6,23.1
ChainLink,2021-06-09,10453239795.0,1821025557.0,24.17,25.6
ChainLink,2021-06-08,10675612008.0,1475311734.0,24.59,24.17
ChainLink,2021-06-07,11840904182.0,794052113.0,27.47,24.59
ChainLink,2021-06-06,11634948528.0,1443543817.0,27.08,27.47
ChainLink,2021-06-05,12499019441.0,1950875733.0,28.93,27.08
ChainLink,2021-06-04,13930564847.0,1432906429.0,32.35,28.93
ChainLink,2021-06-03,13235164464.0,1370113649.0,30.82,32.35
ChainLink,2021-06-02,13254761603.0,1872589231.0,30.74,30.82
ChainLink,2021-06-01,13732388150.0,2468673771.0,31.97,30.74
ChainLink,2021-05-31,11561471923.0,2019637832.0,26.85,31.97
ChainLink,2021-05-30,11006436098.0,2114214232.0,25.37,26.85
ChainLink,2021-05-29,12046937975.0,2971015168.0,28.05,25.37
ChainLink,2021-05-28,13559727768.0,2985226351.0,31.64,28.05
ChainLink,2021-05-27,14398812018.0,3201030591.0,33.89,31.64
ChainLink,2021-05-26,11694252755.0,2295717092.0,27.38,33.89
ChainLink,2021-05-25,11186843878.0,2835542526.0,26.2,27.38
ChainLink,2021-05-24,8541726848.0,3517658466.0,20.1,26.2
ChainLink,2021-05-23,10016401298.0,1963963770.0,23.34,20.1
ChainLink,2021-05-22,10818938184.0,2710057773.0,25.41,23.34
ChainLink,2021-05-21,12918473112.0,3480409270.0,30.16,25.41
ChainLink,2021-05-20,11703270527.0,4901308353.0,27.44,30.16
ChainLink,2021-05-19,18028260937.0,2778831151.0,42.64,27.44
ChainLink,2021-05-18,15876330602.0,2418989730.0,37.11,42.64
ChainLink,2021-05-17,17224763463.0,2303552576.0,40.45,37.11
ChainLink,2021-05-16,17628835724.0,2558139630.0,41.33,40.45
ChainLink,2021-05-15,19873709750.0,1998927229.0,46.54,41.33
ChainLink,2021-05-14,18161248503.0,3284556307.0,43.33,46.54
ChainLink,2021-05-13,18348698006.0,2466624937.0,42.12,43.33
ChainLink,2021-05-12,20651666017.0,2425500129.0,48.8,42.12
ChainLink,2021-05-11,19970909380.0,3468330866.0,46.81,48.8
ChainLink,2021-05-10,22037403035.0,2906961085.0,51.85,46.81
ChainLink,2021-05-09,20499347661.0,2133658197.0,48.59,51.85
ChainLink,2021-05-08,20892021596.0,3236607576.0,49.23,48.59
ChainLink,2021-05-07,20035914394.0,2820777195.0,47.31,49.23
ChainLink,2021-05-06,21034869731.0,4581633161.0,49.52,47.31
ChainLink,2021-05-05,19675704327.0,5076238048.0,45.86,49.52
ChainLink,2021-05-04,17798251360.0,1728718653.0,42.0,45.86
ChainLink,2021-05-03,16711390231.0,1439347181.0,39.47,42.0
ChainLink,2021-05-02,17400548194.0,1579734292.0,41.03,39.47
ChainLink,2021-05-01,16116983357.0,1417891047.0,38.12,41.03
ChainLink,2021-04-30,15328076533.0,1346539752.0,36.36,38.12
ChainLink,2021-04-29,15256450651.0,1423358996.0,36.22,36.36
ChainLink,2021-04-28,15465994841.0,1520690813.0,36.68,36.22
ChainLink,2021-04-27,14722512910.0,1719495453.0,35.02,36.68
ChainLink,2021-04-26,13240241835.0,1297424133.0,31.37,35.02
ChainLink,2021-04-25,13305708757.0,1593510327.0,31.18,31.37
ChainLink,2021-04-24,14749295193.0,3677037230.0,35.05,31.18
ChainLink,2021-04-23,15035866440.0,3491720646.0,35.46,35.05
ChainLink,2021-04-22,15400642176.0,2267772025.0,36.46,35.46
ChainLink,2021-04-21,16351577231.0,3597706487.0,38.79,36.46
ChainLink,2021-04-20,15196136707.0,3565130060.0,36.0,38.79
