Symbol,Date,Market Cap,Volume,Open,Close
NXM,2021-10-16,1019426138.0,15552.43,148.71,N/A
NXM,2021-10-15,997589625.0,3867.98,144.46,148.71
NXM,2021-10-14,933484898.0,1049.84,137.72,144.46
NXM,2021-10-13,925327011.0,10163.28,134.31,137.72
NXM,2021-10-12,932135253.0,54004.0,135.04,134.31
NXM,2021-10-11,911247852.0,15265.86,132.13,135.04
NXM,2021-10-10,945116045.0,4834.03,136.98,132.13
NXM,2021-10-09,940214397.0,8776.82,136.26,136.98
NXM,2021-10-08,947654338.0,1555.15,137.3,136.26
NXM,2021-10-07,945191991.0,286.2,136.94,137.3
NXM,2021-10-06,928206631.0,1065.04,134.48,136.94
NXM,2021-10-05,885979407.0,190290.0,128.86,134.48
NXM,2021-10-04,900792689.0,95041.0,130.54,128.86
NXM,2021-10-03,906675742.0,2123.77,131.62,130.54
NXM,2021-10-02,869785382.0,1066.65,126.03,131.62
NXM,2021-10-01,788346652.0,720.57,115.19,126.03
NXM,2021-09-30,750229296.0,223367.0,109.08,115.19
NXM,2021-09-29,748072393.0,8776.65,107.87,109.08
NXM,2021-09-28,793765167.0,97306.0,114.99,107.87
NXM,2021-09-27,818193102.0,196056.0,116.7,114.99
NXM,2021-09-26,772326067.0,550.4,111.96,116.7
NXM,2021-09-25,784491068.0,316.44,112.44,111.96
NXM,2021-09-24,835838550.0,2487.41,121.07,112.44
NXM,2021-09-23,806223826.0,4727.37,117.44,121.07
NXM,2021-09-22,729014199.0,163733.0,105.94,117.44
NXM,2021-09-21,797705203.0,249981.0,113.66,105.94
NXM,2021-09-20,876706845.0,44099.0,127.17,113.66
NXM,2021-09-19,906558815.0,2864.27,131.25,127.17
NXM,2021-09-18,893446307.0,98.83,130.49,131.25
NXM,2021-09-17,931452266.0,4729.98,135.69,130.49
NXM,2021-09-16,942149186.0,2274.37,137.25,135.69
NXM,2021-09-15,890341135.0,2388.58,131.23,137.25
NXM,2021-09-14,869463554.0,110693.0,125.88,131.23
NXM,2021-09-13,881814493.0,3350.28,127.44,125.88
NXM,2021-09-12,862488357.0,3714.31,124.87,127.44
NXM,2021-09-11,848693037.0,79532.0,122.64,124.87
NXM,2021-09-10,915400760.0,172.6,132.12,122.64
NXM,2021-09-09,941063088.0,38383.0,134.13,132.12
NXM,2021-09-08,890335973.0,197792.0,131.64,134.13
NXM,2021-09-07,1039880727.0,86750.0,150.34,131.64
NXM,2021-09-06,1035934933.0,7771.24,150.66,150.34
NXM,2021-09-05,1026154300.0,2478.21,149.04,150.66
NXM,2021-09-04,1034579641.0,808.95,149.76,149.04
NXM,2021-09-03,1005557656.0,3207.99,145.15,149.76
NXM,2021-09-02,997590090.0,6328.2,144.48,145.15
NXM,2021-09-01,902477220.0,3716.35,130.88,144.48
NXM,2021-08-31,861460584.0,68950.0,123.75,130.88
NXM,2021-08-30,859769420.0,1010.26,123.84,123.75
NXM,2021-08-29,862107447.0,102.03,124.32,123.84
NXM,2021-08-28,855294975.0,4967.9,123.81,124.32
NXM,2021-08-27,821363859.0,32123.0,118.9,123.81
NXM,2021-08-26,852082740.0,6409.57,123.34,118.9
NXM,2021-08-25,852735157.0,11606.47,122.91,123.34
NXM,2021-08-24,879626285.0,81605.0,127.33,122.91
NXM,2021-08-23,849695425.0,7290.14,123.9,127.33
NXM,2021-08-22,857218452.0,1350.11,124.1,123.9
NXM,2021-08-21,861441379.0,11505.74,124.48,124.1
NXM,2021-08-20,804250462.0,9766.64,120.93,124.48
NXM,2021-08-19,805049324.0,3416.43,116.76,120.93
NXM,2021-08-18,801399998.0,16472.24,116.09,116.76
NXM,2021-08-17,843046213.0,131853.0,120.8,116.09
NXM,2021-08-16,873513497.0,7587.15,126.47,120.8
NXM,2021-08-15,859799530.0,8100.87,124.87,126.47
NXM,2021-08-14,868291395.0,4424.34,126.6,124.87
