Symbol,Date,Market Cap,Volume,Open,Close
SRM,2021-10-16,1000603843.0,216374511.0,7.51,N/A
SRM,2021-10-15,1017991040.0,99889166.0,7.64,7.51
SRM,2021-10-14,1008274313.0,122353925.0,7.57,7.64
SRM,2021-10-13,997555213.0,150521853.0,7.48,7.57
SRM,2021-10-12,973471042.0,102208651.0,7.34,7.48
SRM,2021-10-11,993791586.0,115798782.0,7.46,7.34
SRM,2021-10-10,1078319583.0,127044783.0,8.1,7.46
SRM,2021-10-09,1052568663.0,154449192.0,7.89,8.1
SRM,2021-10-08,1084916473.0,162628178.0,8.15,7.89
SRM,2021-10-07,1087209174.0,210623688.0,8.16,8.15
SRM,2021-10-06,1140587216.0,258690841.0,8.54,8.16
SRM,2021-10-05,1145545531.0,253348434.0,8.56,8.54
SRM,2021-10-04,1195015228.0,314666125.0,8.96,8.56
SRM,2021-10-03,1151969474.0,267586211.0,8.65,8.96
SRM,2021-10-02,1095541764.0,301005592.0,8.24,8.65
SRM,2021-10-01,993945587.0,176607029.0,7.46,8.24
SRM,2021-09-30,929168065.0,146062915.0,6.99,7.46
SRM,2021-09-29,934898354.0,275241248.0,7.01,6.99
SRM,2021-09-28,1013469791.0,421010045.0,7.6,7.01
SRM,2021-09-27,1014020976.0,286549198.0,7.62,7.6
SRM,2021-09-26,1009975724.0,152962406.0,7.59,7.62
SRM,2021-09-25,1040379043.0,241463264.0,7.8,7.59
SRM,2021-09-24,431206340.0,249400288.0,8.63,7.8
SRM,2021-09-23,412468013.0,339492663.0,8.26,8.63
SRM,2021-09-22,350480723.0,391658192.0,7.08,8.26
SRM,2021-09-21,399517503.0,461859061.0,8.05,7.08
SRM,2021-09-20,493140157.0,365921795.0,9.84,8.05
SRM,2021-09-19,535175268.0,715092914.0,10.85,9.84
SRM,2021-09-18,484238329.0,286711630.0,9.69,10.85
SRM,2021-09-17,512520557.0,331683548.0,10.26,9.69
SRM,2021-09-16,535708543.0,330263609.0,10.71,10.26
SRM,2021-09-15,525488763.0,425743623.0,10.44,10.71
SRM,2021-09-14,564603322.0,606043978.0,11.3,10.44
SRM,2021-09-13,629911842.0,1287206186.0,12.52,11.3
SRM,2021-09-12,591727489.0,1399638387.0,11.8,12.52
SRM,2021-09-11,559165506.0,1599658855.0,11.25,11.8
SRM,2021-09-10,551340422.0,3008367726.0,10.96,11.25
SRM,2021-09-09,447030437.0,1104222514.0,8.97,10.96
SRM,2021-09-08,415573364.0,1145370736.0,8.28,8.97
SRM,2021-09-07,455631765.0,447197267.0,9.11,8.28
SRM,2021-09-06,434005936.0,230168630.0,8.68,9.11
SRM,2021-09-05,441816813.0,393527728.0,8.82,8.68
SRM,2021-09-04,464092572.0,614798178.0,9.32,8.82
SRM,2021-09-03,443434224.0,384466053.0,8.88,9.32
SRM,2021-09-02,435134251.0,534875397.0,8.71,8.88
SRM,2021-09-01,420825729.0,1097412645.0,8.43,8.71
SRM,2021-08-31,409460349.0,920366301.0,8.22,8.43
SRM,2021-08-30,397417438.0,396997984.0,7.93,8.22
SRM,2021-08-29,414151633.0,934966684.0,8.27,7.93
SRM,2021-08-28,372748822.0,944513171.0,7.45,8.27
SRM,2021-08-27,326552764.0,247746396.0,6.51,7.45
SRM,2021-08-26,346052329.0,130984166.0,6.95,6.51
SRM,2021-08-25,339507487.0,260248052.0,6.79,6.95
SRM,2021-08-24,376870677.0,266826517.0,7.55,6.79
SRM,2021-08-23,373670742.0,215782095.0,7.46,7.55
SRM,2021-08-22,384614297.0,343140657.0,7.69,7.46
SRM,2021-08-21,392478151.0,375605841.0,7.86,7.69
SRM,2021-08-20,387918478.0,1094013854.0,7.87,7.86
SRM,2021-08-19,389216933.0,1521123159.0,7.71,7.87
SRM,2021-08-18,315985992.0,575128731.0,6.3,7.71
SRM,2021-08-17,341870955.0,983549712.0,6.62,6.3
SRM,2021-08-16,299509990.0,284432105.0,6.0,6.62
SRM,2021-08-15,262015806.0,105550930.0,5.23,6.0
SRM,2021-08-14,259473197.0,116889747.0,5.2,5.23
SRM,2021-08-13,233714960.0,106682450.0,4.69,5.2
SRM,2021-08-12,242412646.0,173385970.0,4.85,4.69
SRM,2021-08-11,232043168.0,160440942.0,4.65,4.85
SRM,2021-08-10,224200262.0,100249838.0,4.57,4.65
SRM,2021-08-09,212350927.0,76934767.0,4.25,4.57
SRM,2021-08-08,229664213.0,94310051.0,4.59,4.25
SRM,2021-08-07,226597669.0,79704225.0,4.54,4.59
SRM,2021-08-06,222867659.0,95120897.0,4.45,4.54
SRM,2021-08-05,227713017.0,167196945.0,4.55,4.45
SRM,2021-08-04,217497793.0,134464812.0,4.42,4.55
SRM,2021-08-03,197924423.0,95876612.0,3.94,4.42
SRM,2021-08-02,188254345.0,114608308.0,3.77,3.94
SRM,2021-08-01,202602477.0,119138778.0,4.05,3.77
SRM,2021-07-31,194444101.0,115354269.0,3.89,4.05
SRM,2021-07-30,178662317.0,113289967.0,3.58,3.89
SRM,2021-07-29,161668386.0,61605394.0,3.23,3.58
SRM,2021-07-28,158104985.0,61343368.0,3.17,3.23
SRM,2021-07-27,152659318.0,124256731.0,3.04,3.17
SRM,2021-07-26,149758244.0,52929682.0,2.99,3.04
SRM,2021-07-25,144384334.0,41937962.0,2.89,2.99
SRM,2021-07-24,139834409.0,43782452.0,2.8,2.89
SRM,2021-07-23,138074307.0,37272439.0,2.76,2.8
SRM,2021-07-22,136192915.0,38401127.0,2.73,2.76
SRM,2021-07-21,124264275.0,35848480.0,2.49,2.73
SRM,2021-07-20,135432501.0,47252075.0,2.7,2.49
SRM,2021-07-19,146835728.0,70555222.0,2.93,2.7
SRM,2021-07-18,134963093.0,20197529.0,2.7,2.93
SRM,2021-07-17,133590380.0,27027850.0,2.67,2.7
SRM,2021-07-16,141287259.0,31816323.0,2.83,2.67
SRM,2021-07-15,149332674.0,30897000.0,2.99,2.83
SRM,2021-07-14,152430212.0,31002448.0,3.04,2.99
SRM,2021-07-13,159557204.0,34066068.0,3.2,3.04
SRM,2021-07-12,159779298.0,28245150.0,3.2,3.2
SRM,2021-07-11,157537565.0,31574612.0,3.15,3.2
SRM,2021-07-10,160605222.0,37914815.0,3.21,3.15
SRM,2021-07-09,160615935.0,53399016.0,3.21,3.21
SRM,2021-07-08,179637152.0,75893261.0,3.59,3.21
SRM,2021-07-07,187154634.0,80835735.0,3.75,3.59
SRM,2021-07-06,165905908.0,45397543.0,3.32,3.75
SRM,2021-07-05,173593057.0,32851033.0,3.47,3.32
SRM,2021-07-04,169657796.0,32001212.0,3.4,3.47
SRM,2021-07-03,162469824.0,36055328.0,3.26,3.4
SRM,2021-07-02,162959835.0,45804215.0,3.27,3.26
SRM,2021-07-01,178447744.0,56872935.0,3.57,3.27
SRM,2021-06-30,162863209.0,65340633.0,3.25,3.57
SRM,2021-06-29,153351085.0,36843492.0,3.06,3.25
SRM,2021-06-28,142589837.0,29966148.0,2.85,3.06
SRM,2021-06-27,133159715.0,29694851.0,2.67,2.85
SRM,2021-06-26,136690712.0,37630841.0,2.73,2.67
SRM,2021-06-25,149225202.0,30941013.0,2.98,2.73
SRM,2021-06-24,143859919.0,45287059.0,2.88,2.98
SRM,2021-06-23,136173111.0,64219487.0,2.73,2.88
SRM,2021-06-22,149714317.0,54829001.0,2.97,2.73
SRM,2021-06-21,188316525.0,34652720.0,3.77,2.97
SRM,2021-06-20,186594772.0,33318731.0,3.74,3.77
SRM,2021-06-19,191399037.0,46784180.0,3.82,3.74
SRM,2021-06-18,203248697.0,41142805.0,4.09,3.82
SRM,2021-06-17,204820259.0,76168751.0,4.1,4.09
