Symbol,Date,Market Cap,Volume,Open,Close
SUSHI,2021-10-16,2139319228.0,322642553.0,11.11,N/A
SUSHI,2021-10-15,2075095414.0,277863543.0,10.75,11.11
SUSHI,2021-10-14,1953195184.0,290307645.0,10.14,10.75
SUSHI,2021-10-13,1936971065.0,206065599.0,10.04,10.14
SUSHI,2021-10-12,1972039685.0,211946292.0,10.28,10.04
SUSHI,2021-10-11,1977047346.0,201416389.0,10.27,10.28
SUSHI,2021-10-10,2106223717.0,141641411.0,10.94,10.27
SUSHI,2021-10-09,2069323182.0,274720162.0,10.72,10.94
SUSHI,2021-10-08,2079986779.0,276939316.0,10.8,10.72
SUSHI,2021-10-07,2040246870.0,360328735.0,10.57,10.8
SUSHI,2021-10-06,2076813989.0,252107100.0,10.76,10.57
SUSHI,2021-10-05,2009926188.0,239482366.0,10.42,10.76
SUSHI,2021-10-04,2091389137.0,194232883.0,10.84,10.42
SUSHI,2021-10-03,2103988116.0,232640911.0,10.93,10.84
SUSHI,2021-10-02,2080166608.0,349450551.0,10.82,10.93
SUSHI,2021-10-01,1955552502.0,326173729.0,10.15,10.82
SUSHI,2021-09-30,1830949130.0,361145740.0,9.51,10.15
SUSHI,2021-09-29,1871927159.0,520191719.0,9.67,9.51
SUSHI,2021-09-28,1935396154.0,647798673.0,10.04,9.67
SUSHI,2021-09-27,2184788691.0,1058541509.0,11.36,10.04
SUSHI,2021-09-26,1845766357.0,287912626.0,9.59,11.36
SUSHI,2021-09-25,1864643967.0,428364574.0,9.67,9.59
SUSHI,2021-09-24,2050227882.0,386585090.0,10.64,9.67
SUSHI,2021-09-23,2020326537.0,391564586.0,10.52,10.64
SUSHI,2021-09-22,1751223566.0,463641316.0,9.13,10.52
SUSHI,2021-09-21,1981543731.0,558740612.0,10.31,9.13
SUSHI,2021-09-20,2320486038.0,362984465.0,12.03,10.31
SUSHI,2021-09-19,2437099375.0,683068402.0,12.68,12.03
SUSHI,2021-09-18,2417898448.0,1251080751.0,12.55,12.68
SUSHI,2021-09-17,2868524068.0,1205921068.0,14.93,12.55
SUSHI,2021-09-16,2913601635.0,967013719.0,15.18,14.93
SUSHI,2021-09-15,2515562100.0,578247919.0,13.07,15.18
SUSHI,2021-09-14,2137176645.0,475813525.0,11.11,13.07
SUSHI,2021-09-13,2290563131.0,383124845.0,11.85,11.11
SUSHI,2021-09-12,2037742335.0,202167392.0,10.58,11.85
SUSHI,2021-09-11,1942563944.0,288215607.0,10.1,10.58
SUSHI,2021-09-10,2126321230.0,388781065.0,11.01,10.1
SUSHI,2021-09-09,2190127229.0,438741064.0,11.27,11.01
SUSHI,2021-09-08,2118249817.0,740803374.0,10.99,11.27
SUSHI,2021-09-07,2640954558.0,316136017.0,13.67,10.99
SUSHI,2021-09-06,2737582091.0,477099996.0,14.23,13.67
SUSHI,2021-09-05,2537293987.0,245514928.0,13.15,14.23
SUSHI,2021-09-04,2512665927.0,317421700.0,13.06,13.15
SUSHI,2021-09-03,2538843378.0,339819158.0,13.17,13.06
SUSHI,2021-09-02,2656942471.0,639705125.0,13.79,13.17
SUSHI,2021-09-01,2328749634.0,438365422.0,12.09,13.79
SUSHI,2021-08-31,2209411435.0,332964691.0,11.48,12.09
SUSHI,2021-08-30,2246671560.0,246732842.0,11.63,11.48
SUSHI,2021-08-29,2264984631.0,220200218.0,11.77,11.63
SUSHI,2021-08-28,2353365859.0,345760640.0,12.19,11.77
SUSHI,2021-08-27,2270886680.0,341814126.0,11.76,12.19
SUSHI,2021-08-26,2372863566.0,393952637.0,12.3,11.76
SUSHI,2021-08-25,2393111891.0,422779363.0,12.36,12.3
SUSHI,2021-08-24,2655641898.0,291355778.0,13.76,12.36
SUSHI,2021-08-23,2651533343.0,303681175.0,13.74,13.76
SUSHI,2021-08-22,2644648814.0,493112269.0,13.71,13.74
SUSHI,2021-08-21,2775378806.0,518404351.0,14.52,13.71
SUSHI,2021-08-20,2682109240.0,686031775.0,14.0,14.52
SUSHI,2021-08-19,2477270883.0,625089387.0,12.72,14.0
SUSHI,2021-08-18,2443270553.0,906436379.0,12.53,12.72
SUSHI,2021-08-17,2484802748.0,633758896.0,12.62,12.53
SUSHI,2021-08-16,2419195455.0,348969956.0,12.58,12.62
SUSHI,2021-08-15,2353663289.0,344290021.0,12.18,12.58
SUSHI,2021-08-14,2420681363.0,445060946.0,12.55,12.18
SUSHI,2021-08-13,2318799251.0,524281085.0,12.11,12.55
SUSHI,2021-08-12,2173166983.0,563853667.0,11.28,12.11
SUSHI,2021-08-11,1974317205.0,412785413.0,10.25,11.28
SUSHI,2021-08-10,1885006157.0,315990971.0,9.82,10.25
SUSHI,2021-08-09,1806857654.0,272859610.0,9.36,9.82
