Symbol,Date,Market Cap,Volume,Open,Close
UMA,2021-10-16,695981892.0,71942378.0,10.98,N/A
UMA,2021-10-15,643105875.0,36628324.0,10.2,10.98
UMA,2021-10-14,631429052.0,27348380.0,10.02,10.2
UMA,2021-10-13,612238682.0,28518621.0,9.72,10.02
UMA,2021-10-12,625468435.0,29708757.0,9.99,9.72
UMA,2021-10-11,647504181.0,52555988.0,10.25,9.99
UMA,2021-10-10,715063792.0,94040189.0,11.4,10.25
UMA,2021-10-09,616099666.0,29379506.0,9.8,11.4
UMA,2021-10-08,624653919.0,30972003.0,9.92,9.8
UMA,2021-10-07,623141627.0,32625369.0,9.88,9.92
UMA,2021-10-06,633227786.0,34462407.0,10.05,9.88
UMA,2021-10-05,613268726.0,36751597.0,9.7,10.05
UMA,2021-10-04,638003627.0,31071057.0,10.13,9.7
UMA,2021-10-03,624268732.0,38993287.0,9.93,10.13
UMA,2021-10-02,601115132.0,35658402.0,9.55,9.93
UMA,2021-10-01,570174111.0,37157163.0,9.05,9.55
UMA,2021-09-30,546408202.0,37551729.0,8.69,9.05
UMA,2021-09-29,541397032.0,33247883.0,8.55,8.69
UMA,2021-09-28,561181186.0,33322719.0,8.85,8.55
UMA,2021-09-27,589969580.0,37114877.0,9.38,8.85
UMA,2021-09-26,580874919.0,30429125.0,9.21,9.38
UMA,2021-09-25,580016888.0,40838664.0,9.24,9.21
UMA,2021-09-24,635148228.0,40652992.0,10.11,9.24
UMA,2021-09-23,635990950.0,44116450.0,10.13,10.11
UMA,2021-09-22,582268108.0,92025670.0,9.27,10.13
UMA,2021-09-21,608555971.0,71478855.0,9.7,9.27
UMA,2021-09-20,694266376.0,55449346.0,11.07,9.7
UMA,2021-09-19,703642013.0,52780670.0,11.22,11.07
UMA,2021-09-18,703261124.0,62442611.0,11.15,11.22
UMA,2021-09-17,748881162.0,84819253.0,11.94,11.15
UMA,2021-09-16,742740842.0,56339776.0,11.84,11.94
UMA,2021-09-15,708090314.0,62545308.0,11.28,11.84
UMA,2021-09-14,651623873.0,44215070.0,10.38,11.28
UMA,2021-09-13,684833012.0,36377681.0,10.87,10.38
UMA,2021-09-12,655889096.0,30336228.0,10.44,10.87
UMA,2021-09-11,654050869.0,34358330.0,10.43,10.44
UMA,2021-09-10,696995210.0,74732528.0,11.08,10.43
UMA,2021-09-09,697349406.0,56804345.0,11.06,11.08
UMA,2021-09-08,688889716.0,66752583.0,11.01,11.06
UMA,2021-09-07,882735610.0,48658852.0,14.05,11.01
UMA,2021-09-06,888802923.0,45956615.0,14.15,14.05
UMA,2021-09-05,837948306.0,27502689.0,13.33,14.15
UMA,2021-09-04,800405763.0,33590952.0,12.79,13.33
UMA,2021-09-03,807772666.0,36971179.0,12.8,12.79
UMA,2021-09-02,825575738.0,37572725.0,13.19,12.8
UMA,2021-09-01,807592927.0,38823518.0,12.9,13.19
UMA,2021-08-31,781263206.0,28569901.0,12.49,12.9
UMA,2021-08-30,829735498.0,28950970.0,13.25,12.49
UMA,2021-08-29,825765133.0,40487122.0,13.33,13.25
UMA,2021-08-28,810634415.0,38505478.0,13.0,13.33
UMA,2021-08-27,770344703.0,40508104.0,12.27,13.0
UMA,2021-08-26,813790846.0,35185025.0,13.0,12.27
UMA,2021-08-25,803252963.0,37145724.0,12.8,13.0
UMA,2021-08-24,891646428.0,69208832.0,14.24,12.8
UMA,2021-08-23,898617236.0,112795638.0,14.39,14.24
UMA,2021-08-22,911686914.0,114382656.0,14.59,14.39
UMA,2021-08-21,785761260.0,35645448.0,12.59,14.59
UMA,2021-08-20,742639115.0,44519187.0,12.31,12.59
UMA,2021-08-19,715898856.0,49761860.0,11.4,12.31
UMA,2021-08-18,714360498.0,91188640.0,11.36,11.4
UMA,2021-08-17,743545635.0,40008519.0,11.7,11.36
UMA,2021-08-16,759202677.0,57861472.0,12.22,11.7
UMA,2021-08-15,741497651.0,34236908.0,11.92,12.22
UMA,2021-08-14,738583884.0,41237035.0,11.89,11.92
UMA,2021-08-13,666841490.0,41193716.0,10.73,11.89
UMA,2021-08-12,701454683.0,54718138.0,11.3,10.73
UMA,2021-08-11,685894072.0,61537864.0,11.07,11.3
UMA,2021-08-10,700893630.0,88800193.0,11.49,11.07
UMA,2021-08-09,583874720.0,39991807.0,9.39,11.49
UMA,2021-08-08,639736637.0,42112238.0,10.38,9.39
UMA,2021-08-07,616665449.0,48689453.0,9.93,10.38
UMA,2021-08-06,591720740.0,50851927.0,9.48,9.93
UMA,2021-08-05,573301249.0,33067541.0,9.19,9.48
UMA,2021-08-04,528641318.0,19844924.0,8.51,9.19
UMA,2021-08-03,541520705.0,24806606.0,8.72,8.51
UMA,2021-08-02,547138234.0,22076235.0,8.83,8.72
UMA,2021-08-01,566746223.0,20831690.0,9.13,8.83
UMA,2021-07-31,551249720.0,26410647.0,8.84,9.13
UMA,2021-07-30,556917809.0,20960976.0,8.97,8.84
UMA,2021-07-29,530564598.0,21248359.0,8.56,8.97
UMA,2021-07-28,529884152.0,16594891.0,8.55,8.56
UMA,2021-07-27,533915164.0,24763536.0,8.59,8.55
UMA,2021-07-26,525574129.0,16875389.0,8.5,8.59
UMA,2021-07-25,528050099.0,14360477.0,8.52,8.5
UMA,2021-07-24,525563759.0,15307651.0,8.48,8.52
UMA,2021-07-23,529974471.0,17447231.0,8.55,8.48
UMA,2021-07-22,499735872.0,19343018.0,8.1,8.55
UMA,2021-07-21,472205340.0,12783776.0,7.63,8.1
UMA,2021-07-20,490852994.0,18890984.0,7.91,7.63
UMA,2021-07-19,519035997.0,13794514.0,8.38,7.91
UMA,2021-07-18,508377124.0,15484941.0,8.21,8.38
UMA,2021-07-17,521591859.0,34088981.0,8.47,8.21
UMA,2021-07-16,500415838.0,13093346.0,8.11,8.47
UMA,2021-07-15,527745917.0,14996782.0,8.55,8.11
UMA,2021-07-14,521385434.0,13498283.0,8.42,8.55
UMA,2021-07-13,551263812.0,15765141.0,8.94,8.42
UMA,2021-07-12,576571992.0,14869794.0,9.33,8.94
UMA,2021-07-11,561462566.0,12985968.0,9.09,9.33
UMA,2021-07-10,572606702.0,18152785.0,9.28,9.09
UMA,2021-07-09,578346602.0,21866547.0,9.39,9.28
UMA,2021-07-08,618833266.0,24548534.0,10.03,9.39
UMA,2021-07-07,608457109.0,24174354.0,9.86,10.03
UMA,2021-07-06,586766883.0,17917682.0,9.51,9.86
UMA,2021-07-05,611561456.0,22394719.0,9.9,9.51
UMA,2021-07-04,579338414.0,17738559.0,9.4,9.9
UMA,2021-07-03,537660289.0,16902021.0,8.74,9.4
UMA,2021-07-02,563399920.0,20511302.0,9.14,8.74
UMA,2021-07-01,611568843.0,65780435.0,9.92,9.14
UMA,2021-06-30,549841509.0,19200095.0,8.91,9.92
UMA,2021-06-29,539592763.0,18966547.0,8.75,8.91
UMA,2021-06-28,516797830.0,17286766.0,8.38,8.75
UMA,2021-06-27,487220348.0,18250094.0,7.9,8.38
UMA,2021-06-26,503196608.0,25475346.0,8.13,7.9
UMA,2021-06-25,560704353.0,15818335.0,9.11,8.13
UMA,2021-06-24,542287257.0,18120717.0,8.8,9.11
UMA,2021-06-23,540576612.0,27572574.0,8.78,8.8
UMA,2021-06-22,527613043.0,25972400.0,8.53,8.78
UMA,2021-06-21,664384762.0,22184498.0,10.77,8.53
UMA,2021-06-20,660623346.0,15731562.0,10.75,10.77
UMA,2021-06-19,664809415.0,27221913.0,10.77,10.75
UMA,2021-06-18,727667156.0,37181485.0,11.87,10.77
UMA,2021-06-17,732380786.0,44600735.0,11.97,11.87
UMA,2021-06-16,773565449.0,37992342.0,12.59,11.97
UMA,2021-06-15,762894582.0,33323551.0,12.48,12.59
UMA,2021-06-14,723567766.0,28189808.0,11.96,12.48
UMA,2021-06-13,696292043.0,34428613.0,11.37,11.96
UMA,2021-06-12,686796507.0,22905089.0,11.26,11.37
UMA,2021-06-11,756687948.0,31289794.0,12.38,11.26
UMA,2021-06-10,798234022.0,43327382.0,13.05,12.38
UMA,2021-06-09,780470387.0,94701569.0,12.82,13.05
UMA,2021-06-08,810406556.0,39138490.0,13.29,12.82
UMA,2021-06-07,906310249.0,35818134.0,14.88,13.29
UMA,2021-06-06,919908844.0,62308714.0,15.2,14.88
UMA,2021-06-05,998288107.0,150823489.0,16.3,15.2
UMA,2021-06-04,898075600.0,41001571.0,14.66,16.3
UMA,2021-06-03,857767977.0,25566103.0,14.09,14.66
UMA,2021-06-02,824285126.0,26945711.0,13.55,14.09
UMA,2021-06-01,853495473.0,29277505.0,13.94,13.55
UMA,2021-05-31,772922816.0,24231814.0,12.76,13.94
UMA,2021-05-30,751062686.0,26131534.0,12.23,12.76
UMA,2021-05-29,800470109.0,30515545.0,13.21,12.23
UMA,2021-05-28,880109235.0,28087192.0,14.51,13.21
UMA,2021-05-27,954170139.0,50343341.0,15.81,14.51
UMA,2021-05-26,873847703.0,33058165.0,14.42,15.81
UMA,2021-05-25,857896907.0,41227175.0,14.18,14.42
UMA,2021-05-24,700682214.0,35450110.0,11.77,14.18
UMA,2021-05-23,826193449.0,57718390.0,13.62,11.77
UMA,2021-05-22,907355460.0,46152203.0,15.04,13.62
UMA,2021-05-21,1083234202.0,52416669.0,17.98,15.04
UMA,2021-05-20,992077581.0,91226707.0,16.27,17.98
UMA,2021-05-19,1499549289.0,87392805.0,24.97,16.27
UMA,2021-05-18,1316543002.0,71787656.0,21.56,24.97
UMA,2021-05-17,1468250580.0,75694295.0,24.5,21.56
UMA,2021-05-16,1431634292.0,69084567.0,23.68,24.5
UMA,2021-05-15,1638451003.0,67019568.0,27.17,23.68
UMA,2021-05-14,1461181089.0,80839454.0,24.48,27.17
UMA,2021-05-13,1600995277.0,80496249.0,25.96,24.48
UMA,2021-05-12,1740187457.0,241829564.0,28.95,25.96
UMA,2021-05-11,1755087446.0,169535573.0,28.84,28.95
UMA,2021-05-10,1554534650.0,43947475.0,25.64,28.84
UMA,2021-05-09,1616468916.0,66489807.0,26.8,25.64
UMA,2021-05-08,1515431580.0,58623275.0,25.21,26.8
UMA,2021-05-07,1529272016.0,72373831.0,25.3,25.21
UMA,2021-05-06,1548921655.0,70472154.0,25.85,25.3
UMA,2021-05-05,1455509623.0,66983282.0,23.98,25.85
UMA,2021-05-04,1609513763.0,52590482.0,26.67,23.98
UMA,2021-05-03,1556049995.0,56249382.0,25.82,26.67
UMA,2021-05-02,1627388149.0,102577457.0,26.82,25.82
UMA,2021-05-01,1533322723.0,59297350.0,25.4,26.82
UMA,2021-04-30,1498225789.0,72106334.0,25.09,25.4
UMA,2021-04-29,1504296395.0,67419789.0,25.03,25.09
UMA,2021-04-28,1564732475.0,62489458.0,25.94,25.03
UMA,2021-04-27,1505989650.0,101897371.0,25.11,25.94
UMA,2021-04-26,1392552035.0,122623724.0,23.17,25.11
UMA,2021-04-25,1251690416.0,80954860.0,20.6,23.17
UMA,2021-04-24,1391838283.0,129082038.0,23.36,20.6
UMA,2021-04-23,1522375254.0,116130998.0,25.26,23.36
UMA,2021-04-22,1539629123.0,98970347.0,25.42,25.26
UMA,2021-04-21,1712192798.0,171943382.0,28.31,25.42
UMA,2021-04-20,1620679641.0,227860940.0,26.91,28.31
UMA,2021-04-19,1956284329.0,347078547.0,32.54,26.91
UMA,2021-04-18,1730395413.0,115859389.0,28.79,32.54
UMA,2021-04-17,1752414130.0,130364187.0,29.06,28.79
UMA,2021-04-16,1788834805.0,157766613.0,29.79,29.06
UMA,2021-04-15,1591868623.0,91121818.0,26.52,29.79
UMA,2021-04-14,1600081458.0,75195477.0,26.75,26.52
UMA,2021-04-13,1643693401.0,97447388.0,27.22,26.75
UMA,2021-04-12,1621577104.0,104108992.0,27.12,27.22
UMA,2021-04-11,1687173942.0,175139785.0,28.11,27.12
UMA,2021-04-10,1484420461.0,64055094.0,24.66,28.11
UMA,2021-04-09,1469694276.0,73050418.0,24.45,24.66
UMA,2021-04-08,1405941604.0,106389185.0,23.38,24.45
UMA,2021-04-07,1531221184.0,96561033.0,25.4,23.38
UMA,2021-04-06,1567914260.0,92659399.0,26.12,25.4
UMA,2021-04-05,1529963924.0,79658043.0,25.58,26.12
UMA,2021-04-04,1488691007.0,128321137.0,24.69,25.58
UMA,2021-04-03,1520394446.0,76451057.0,25.35,24.69
UMA,2021-04-02,1457061674.0,77021299.0,24.22,25.35
UMA,2021-04-01,1477925591.0,109367394.0,24.74,24.22
UMA,2021-03-31,1389080209.0,64279985.0,23.17,24.74
