Symbol,Date,Market Cap,Volume,Open,Close
Uniswap,2021-10-16,13469626952.0,467610593.0,25.96,N/A
Uniswap,2021-10-15,13655956591.0,463096855.0,26.29,25.96
Uniswap,2021-10-14,12807967415.0,612128286.0,24.66,26.29
Uniswap,2021-10-13,12176411995.0,277583515.0,23.4,24.66
Uniswap,2021-10-12,12538232547.0,272560317.0,24.17,23.4
Uniswap,2021-10-11,12596667450.0,298370109.0,24.26,24.17
Uniswap,2021-10-10,13112639636.0,246026272.0,25.19,24.26
Uniswap,2021-10-09,12877029268.0,320602934.0,24.72,25.19
Uniswap,2021-10-08,13290767667.0,374299518.0,25.59,24.72
Uniswap,2021-10-07,13161254610.0,424072460.0,25.32,25.59
Uniswap,2021-10-06,13374376469.0,375749110.0,25.68,25.32
Uniswap,2021-10-05,13186914972.0,402599015.0,25.3,25.68
Uniswap,2021-10-04,13544155547.0,343004137.0,26.04,25.3
Uniswap,2021-10-03,13605115541.0,594393104.0,26.18,26.04
Uniswap,2021-10-02,13277805312.0,700423037.0,25.65,26.18
Uniswap,2021-10-01,12160020539.0,517424056.0,23.44,25.65
Uniswap,2021-09-30,11953447834.0,780794940.0,23.03,23.44
Uniswap,2021-09-29,11941770348.0,1290304392.0,22.93,23.03
Uniswap,2021-09-28,11705363838.0,1066548559.0,22.4,22.93
Uniswap,2021-09-27,12335326029.0,1583534192.0,23.89,22.4
Uniswap,2021-09-26,10175032976.0,265078098.0,19.57,23.89
Uniswap,2021-09-25,10234832653.0,432897752.0,19.62,19.57
Uniswap,2021-09-24,11202622681.0,262156346.0,21.55,19.62
Uniswap,2021-09-23,11154749132.0,447596021.0,21.5,21.55
Uniswap,2021-09-22,9794322823.0,495596373.0,18.89,21.5
Uniswap,2021-09-21,10765678764.0,532993826.0,20.8,18.89
Uniswap,2021-09-20,12440989943.0,214205298.0,23.91,20.8
Uniswap,2021-09-19,12709544325.0,246937881.0,24.47,23.91
Uniswap,2021-09-18,12674179714.0,433400713.0,24.26,24.47
Uniswap,2021-09-17,13659160597.0,564251576.0,26.31,24.26
Uniswap,2021-09-16,14240178336.0,608722044.0,27.34,26.31
Uniswap,2021-09-15,13398897666.0,570879782.0,25.72,27.34
Uniswap,2021-09-14,11820309694.0,444930553.0,22.77,25.72
Uniswap,2021-09-13,12383055974.0,403802698.0,23.77,22.77
Uniswap,2021-09-12,11798032960.0,321145858.0,22.7,23.77
Uniswap,2021-09-11,11542729782.0,457902343.0,22.24,22.7
Uniswap,2021-09-10,12160029205.0,559191927.0,23.32,22.24
Uniswap,2021-09-09,12086066790.0,769781310.0,23.23,23.32
Uniswap,2021-09-08,12666014861.0,1253299881.0,24.39,23.23
Uniswap,2021-09-07,15099884142.0,693745684.0,28.99,24.39
Uniswap,2021-09-06,15209137506.0,427663409.0,29.31,28.99
Uniswap,2021-09-05,14958201739.0,474162338.0,28.67,29.31
Uniswap,2021-09-04,14865045190.0,954422715.0,28.62,28.67
Uniswap,2021-09-03,15623666079.0,447984348.0,30.04,28.62
Uniswap,2021-09-02,16128419939.0,877875675.0,31.05,30.04
Uniswap,2021-09-01,15407946681.0,783954257.0,29.58,31.05
Uniswap,2021-08-31,13907754625.0,402930911.0,26.89,29.58
Uniswap,2021-08-30,13913928721.0,284267514.0,26.81,26.89
Uniswap,2021-08-29,13943939694.0,223173121.0,26.84,26.81
Uniswap,2021-08-28,14213954708.0,360776831.0,27.32,26.84
Uniswap,2021-08-27,13527339634.0,363793502.0,25.86,27.32
Uniswap,2021-08-26,14097395316.0,333577741.0,27.08,25.86
Uniswap,2021-08-25,13915252559.0,422140396.0,26.77,27.08
Uniswap,2021-08-24,14987643095.0,386748324.0,28.76,26.77
Uniswap,2021-08-23,14791766057.0,383614068.0,28.43,28.76
Uniswap,2021-08-22,14703038938.0,407137435.0,28.29,28.43
Uniswap,2021-08-21,14905083712.0,442776320.0,28.74,28.29
Uniswap,2021-08-20,14176608464.0,507667360.0,27.64,28.74
Uniswap,2021-08-19,13939845221.0,627293390.0,26.63,27.64
Uniswap,2021-08-18,13754741700.0,767742021.0,26.35,26.63
Uniswap,2021-08-17,15369230973.0,546782678.0,29.22,26.35
Uniswap,2021-08-16,15696675064.0,398902725.0,30.23,29.22
Uniswap,2021-08-15,15709168427.0,487706691.0,30.13,30.23
Uniswap,2021-08-14,15856553007.0,554988173.0,30.52,30.13
Uniswap,2021-08-13,14535927994.0,569346101.0,28.03,30.52
Uniswap,2021-08-12,15074057040.0,652752266.0,29.03,28.03
Uniswap,2021-08-11,15013840776.0,724256685.0,28.87,29.03
Uniswap,2021-08-10,14573644345.0,559545305.0,28.42,28.87
Uniswap,2021-08-09,13848908166.0,432207757.0,26.65,28.42
Uniswap,2021-08-08,14632225046.0,640825905.0,28.31,26.65
Uniswap,2021-08-07,13638910794.0,490333635.0,26.21,28.31
Uniswap,2021-08-06,13185352006.0,699296575.0,25.36,26.21
Uniswap,2021-08-05,12203745071.0,552814278.0,23.55,25.36
Uniswap,2021-08-04,11132368109.0,414981351.0,21.41,23.55
Uniswap,2021-08-03,11713474226.0,425771626.0,22.47,21.41
Uniswap,2021-08-02,11374697963.0,475683658.0,22.05,22.47
Uniswap,2021-08-01,11388284081.0,410758851.0,21.91,22.05
Uniswap,2021-07-31,10914562607.0,514663303.0,21.0,21.91
Uniswap,2021-07-30,10188404387.0,333570031.0,19.55,21.0
Uniswap,2021-07-29,9913956668.0,385362059.0,19.08,19.55
Uniswap,2021-07-28,9722571439.0,372578996.0,18.73,19.08
Uniswap,2021-07-27,9684226981.0,503649049.0,18.58,18.73
Uniswap,2021-07-26,9563991876.0,277562389.0,18.38,18.58
Uniswap,2021-07-25,9505862255.0,285379633.0,18.28,18.38
Uniswap,2021-07-24,9652174791.0,355034093.0,18.62,18.28
Uniswap,2021-07-23,9149059874.0,310071792.0,17.6,18.62
Uniswap,2021-07-22,8689643629.0,384141492.0,16.77,17.6
Uniswap,2021-07-21,7631443233.0,295482578.0,14.64,16.77
Uniswap,2021-07-20,8262119708.0,303121489.0,15.76,14.64
Uniswap,2021-07-19,8554255182.0,250496328.0,16.45,15.76
Uniswap,2021-07-18,8387277898.0,247664806.0,16.12,16.45
