Symbol,Date,Market Cap,Volume,Open,Close
BNT,2021-10-16,945683359.0,39827503.0,4.14,N/A
BNT,2021-10-15,917353704.0,61731240.0,3.99,4.14
BNT,2021-10-14,893868572.0,54002260.0,3.9,3.99
BNT,2021-10-13,874494158.0,57485105.0,3.81,3.9
BNT,2021-10-12,884087749.0,56288383.0,3.9,3.81
BNT,2021-10-11,874456555.0,30237429.0,3.84,3.9
BNT,2021-10-10,911135554.0,38574278.0,4.01,3.84
BNT,2021-10-09,897621832.0,44176302.0,3.93,4.01
BNT,2021-10-08,903164653.0,50317067.0,3.94,3.93
BNT,2021-10-07,917120354.0,62327779.0,3.99,3.94
BNT,2021-10-06,904559938.0,49603824.0,3.94,3.99
BNT,2021-10-05,876138702.0,43187008.0,3.82,3.94
BNT,2021-10-04,888039034.0,34576554.0,3.88,3.82
BNT,2021-10-03,874949111.0,53941789.0,3.81,3.88
BNT,2021-10-02,875627246.0,51337835.0,3.77,3.81
BNT,2021-10-01,806386720.0,38376728.0,3.47,3.77
BNT,2021-09-30,772523417.0,35018863.0,3.33,3.47
BNT,2021-09-29,764509345.0,35562360.0,3.27,3.33
BNT,2021-09-28,801675584.0,53797447.0,3.43,3.27
BNT,2021-09-27,837538012.0,77512742.0,3.54,3.43
BNT,2021-09-26,809887004.0,54718063.0,3.49,3.54
BNT,2021-09-25,814006640.0,80068034.0,3.45,3.49
BNT,2021-09-24,858329900.0,55807237.0,3.7,3.45
BNT,2021-09-23,832754903.0,69726688.0,3.59,3.7
BNT,2021-09-22,759123979.0,82054980.0,3.26,3.59
BNT,2021-09-21,814299488.0,103222803.0,3.51,3.26
BNT,2021-09-20,922325875.0,48638593.0,3.97,3.51
BNT,2021-09-19,944391855.0,45100380.0,4.07,3.97
BNT,2021-09-18,941523250.0,73333851.0,4.05,4.07
BNT,2021-09-17,979030896.0,82782299.0,4.21,4.05
BNT,2021-09-16,990086085.0,85989101.0,4.27,4.21
BNT,2021-09-15,963578044.0,76451199.0,4.15,4.27
BNT,2021-09-14,912433549.0,94112284.0,3.92,4.15
