Symbol,Date,Market Cap,Volume,Open,Close
CRV,2021-10-16,1141532764.0,204700088.0,2.91,N/A
CRV,2021-10-15,1126258195.0,252721016.0,2.88,2.91
CRV,2021-10-14,1162430742.0,292814460.0,2.97,2.88
CRV,2021-10-13,1051084932.0,132380292.0,2.69,2.97
CRV,2021-10-12,1045579660.0,135813305.0,2.7,2.69
CRV,2021-10-11,1053835495.0,141317152.0,2.7,2.7
CRV,2021-10-10,1142604893.0,259763929.0,2.91,2.7
CRV,2021-10-09,1153116805.0,181377786.0,2.94,2.91
CRV,2021-10-08,1105256649.0,216619348.0,2.81,2.94
CRV,2021-10-07,1080403148.0,205778666.0,2.74,2.81
CRV,2021-10-06,1150218388.0,261996106.0,2.93,2.74
CRV,2021-10-05,1135371077.0,309674083.0,2.87,2.93
CRV,2021-10-04,1119831318.0,368150303.0,2.83,2.87
CRV,2021-10-03,1011845989.0,172989276.0,2.55,2.83
CRV,2021-10-02,1002848788.0,199057162.0,2.53,2.55
CRV,2021-10-01,930804679.0,197205252.0,2.33,2.53
CRV,2021-09-30,909273235.0,181942799.0,2.29,2.33
CRV,2021-09-29,904122927.0,260641110.0,2.25,2.29
CRV,2021-09-28,948436666.0,413054834.0,2.37,2.25
CRV,2021-09-27,1022150595.0,387209619.0,2.55,2.37
CRV,2021-09-26,935442687.0,153059069.0,2.32,2.55
CRV,2021-09-25,975988346.0,366629514.0,2.42,2.32
CRV,2021-09-24,1123634160.0,346930274.0,2.79,2.42
CRV,2021-09-23,982596221.0,224994142.0,2.44,2.79
CRV,2021-09-22,871651908.0,338126918.0,2.17,2.44
CRV,2021-09-21,969600275.0,458067860.0,2.42,2.17
CRV,2021-09-20,1233004173.0,337898055.0,3.05,2.42
CRV,2021-09-19,1157834235.0,316168532.0,2.88,3.05
CRV,2021-09-18,1133438315.0,478938944.0,2.81,2.88
CRV,2021-09-17,1252889758.0,711626426.0,3.11,2.81
CRV,2021-09-16,1218137519.0,653415270.0,3.03,3.11
CRV,2021-09-15,1122400923.0,617138731.0,2.8,3.03
