Symbol,Date,Market Cap,Volume,Open,Close
KAVA,2021-10-16,525883137.0,93072970.0,5.75,N/A
KAVA,2021-10-15,551293550.0,74887580.0,6.02,5.75
KAVA,2021-10-14,546984066.0,76520422.0,5.98,6.02
KAVA,2021-10-13,530294969.0,82495908.0,5.8,5.98
KAVA,2021-10-12,551353052.0,76902206.0,6.08,5.8
KAVA,2021-10-11,564464349.0,77145901.0,6.19,6.08
KAVA,2021-10-10,614873704.0,89766154.0,6.73,6.19
KAVA,2021-10-09,595955027.0,81550803.0,6.5,6.73
KAVA,2021-10-08,596990863.0,83423911.0,6.53,6.5
KAVA,2021-10-07,576551419.0,44780962.0,6.32,6.53
KAVA,2021-10-06,586617571.0,41215687.0,6.41,6.32
KAVA,2021-10-05,568214115.0,70778090.0,6.23,6.41
KAVA,2021-10-04,603585639.0,104839423.0,6.59,6.23
KAVA,2021-10-03,551971446.0,94541741.0,6.06,6.59
KAVA,2021-10-02,533772139.0,91556276.0,5.85,6.06
KAVA,2021-10-01,492231986.0,112452415.0,5.39,5.85
KAVA,2021-09-30,464559639.0,118890548.0,5.09,5.39
KAVA,2021-09-29,467670160.0,119027737.0,5.11,5.09
KAVA,2021-09-28,512002687.0,124140099.0,5.56,5.11
KAVA,2021-09-27,516985593.0,134170651.0,5.65,5.56
KAVA,2021-09-26,540303760.0,116343648.0,5.92,5.65
KAVA,2021-09-25,579852573.0,194069111.0,6.34,5.92
KAVA,2021-09-24,544559317.0,109918004.0,5.94,6.34
KAVA,2021-09-23,501753007.0,149161439.0,5.5,5.94
KAVA,2021-09-22,420726891.0,96334707.0,4.63,5.5
KAVA,2021-09-21,466858969.0,109619984.0,5.14,4.63
KAVA,2021-09-20,550299097.0,74286442.0,6.02,5.14
KAVA,2021-09-19,574221677.0,75760781.0,6.28,6.02
KAVA,2021-09-18,561856385.0,113595229.0,6.15,6.28
KAVA,2021-09-17,585499251.0,40132324.0,6.41,6.15
KAVA,2021-09-16,592204116.0,31415659.0,6.48,6.41
KAVA,2021-09-15,582255053.0,34314138.0,6.38,6.48
KAVA,2021-09-14,574620601.0,61259540.0,6.28,6.38
KAVA,2021-09-13,622834741.0,47820802.0,6.82,6.28
KAVA,2021-09-12,572201930.0,39441635.0,6.26,6.82
KAVA,2021-09-11,574446137.0,65842993.0,6.3,6.26
KAVA,2021-09-10,617491272.0,87189293.0,6.73,6.3
KAVA,2021-09-09,565602658.0,74980876.0,6.15,6.73
KAVA,2021-09-08,564464983.0,124785904.0,6.16,6.15
KAVA,2021-09-07,716795969.0,114953070.0,7.83,6.16
KAVA,2021-09-06,726268133.0,89859958.0,7.95,7.83
KAVA,2021-09-05,733879567.0,114367793.0,8.06,7.95
KAVA,2021-09-04,735161320.0,138139719.0,8.05,8.06
KAVA,2021-09-03,746280371.0,180190344.0,8.15,8.05
KAVA,2021-09-02,744763512.0,224004916.0,8.16,8.15
KAVA,2021-09-01,693389992.0,92890495.0,7.59,8.16
KAVA,2021-08-31,710965468.0,430303735.0,7.86,7.59
KAVA,2021-08-30,692360020.0,113148108.0,8.47,7.86
KAVA,2021-08-29,700135505.0,173466969.0,8.6,8.47
KAVA,2021-08-28,664074135.0,257124593.0,8.17,8.6
KAVA,2021-08-27,627169007.0,132830710.0,7.69,8.17
KAVA,2021-08-26,657340330.0,219316219.0,8.08,7.69
KAVA,2021-08-25,650725583.0,241302204.0,7.97,8.08
KAVA,2021-08-24,704124832.0,334557298.0,8.65,7.97
KAVA,2021-08-23,683990460.0,755544818.0,8.4,8.65
KAVA,2021-08-22,618195845.0,351084207.0,7.57,8.4
KAVA,2021-08-21,573238165.0,81359222.0,7.05,7.57
KAVA,2021-08-20,525995160.0,113907434.0,6.6,7.05
KAVA,2021-08-19,528038533.0,179184190.0,6.45,6.6
KAVA,2021-08-18,515801438.0,240936603.0,6.32,6.45
KAVA,2021-08-17,533200455.0,140480091.0,6.42,6.32
KAVA,2021-08-16,532320052.0,269900245.0,6.54,6.42
KAVA,2021-08-15,493060553.0,71333239.0,6.04,6.54
KAVA,2021-08-14,500129393.0,70931988.0,6.14,6.04
KAVA,2021-08-13,478914849.0,86640266.0,5.89,6.14
KAVA,2021-08-12,502040211.0,102532692.0,6.18,5.89
KAVA,2021-08-11,495942956.0,110796792.0,6.07,6.18
KAVA,2021-08-10,482453698.0,125507649.0,5.94,6.07
KAVA,2021-08-09,463433739.0,111949011.0,5.69,5.94
KAVA,2021-08-08,495342637.0,119566022.0,6.1,5.69
KAVA,2021-08-07,497841688.0,105724360.0,6.11,6.1
KAVA,2021-08-06,491869550.0,109683300.0,6.03,6.11
KAVA,2021-08-05,428113924.0,127177436.0,6.12,6.03
KAVA,2021-08-04,433940402.0,381333287.0,6.18,6.12
KAVA,2021-08-03,412731223.0,185027325.0,5.84,6.18
KAVA,2021-08-02,364584974.0,137004119.0,5.22,5.84
KAVA,2021-08-01,369846707.0,94576387.0,5.27,5.22
KAVA,2021-07-31,370236709.0,75876861.0,5.28,5.27
KAVA,2021-07-30,369048434.0,83725793.0,5.25,5.28
KAVA,2021-07-29,370894746.0,111261307.0,5.29,5.25
KAVA,2021-07-28,382991107.0,191021271.0,5.47,5.29
KAVA,2021-07-27,353299700.0,243946255.0,5.02,5.47
KAVA,2021-07-26,324312789.0,93737407.0,4.63,5.02
KAVA,2021-07-25,311570691.0,92211207.0,4.44,4.63
KAVA,2021-07-24,309483012.0,203009625.0,4.41,4.44
KAVA,2021-07-23,275430134.0,80195939.0,3.92,4.41
KAVA,2021-07-22,257213515.0,74064499.0,3.68,3.92
KAVA,2021-07-21,236005955.0,22832896.0,3.36,3.68
KAVA,2021-07-20,256077293.0,21529054.0,3.64,3.36
KAVA,2021-07-19,277120822.0,26186909.0,3.94,3.64
KAVA,2021-07-18,269441907.0,18289160.0,3.83,3.94
KAVA,2021-07-17,265110756.0,35619144.0,3.78,3.83
KAVA,2021-07-16,276308628.0,36849927.0,3.95,3.78
KAVA,2021-07-15,295246617.0,36564126.0,4.21,3.95
KAVA,2021-07-14,286975611.0,25952279.0,4.09,4.21
KAVA,2021-07-13,301808885.0,33005919.0,4.32,4.09
KAVA,2021-07-12,309318044.0,51276798.0,4.41,4.32
KAVA,2021-07-11,303520191.0,34376288.0,4.32,4.41
KAVA,2021-07-10,310248513.0,31178930.0,4.43,4.32
KAVA,2021-07-09,305729749.0,46448211.0,4.37,4.43
KAVA,2021-07-08,333687549.0,48209522.0,4.76,4.37
KAVA,2021-07-07,322164940.0,56453173.0,4.59,4.76
KAVA,2021-07-06,318581023.0,72668939.0,4.54,4.59
KAVA,2021-07-05,315122734.0,45644128.0,4.49,4.54
KAVA,2021-07-04,300795378.0,31706328.0,4.29,4.49
KAVA,2021-07-03,288690288.0,30688480.0,4.14,4.29
KAVA,2021-07-02,277128550.0,37647431.0,3.97,4.14
KAVA,2021-07-01,295890989.0,75116176.0,4.21,3.97
KAVA,2021-06-30,282294077.0,98743294.0,4.0,4.21
KAVA,2021-06-29,254499799.0,34993188.0,3.63,4.0
KAVA,2021-06-28,247987192.0,28916291.0,3.54,3.63
KAVA,2021-06-27,240699446.0,38517163.0,3.45,3.54
KAVA,2021-06-26,232775615.0,41856332.0,3.31,3.45
KAVA,2021-06-25,250030184.0,77545792.0,3.56,3.31
KAVA,2021-06-24,236398763.0,124227498.0,3.38,3.56
KAVA,2021-06-23,225398626.0,124064734.0,3.21,3.38
KAVA,2021-06-22,218256514.0,122609826.0,3.09,3.21
KAVA,2021-06-21,284760349.0,37130005.0,4.06,3.09
KAVA,2021-06-20,270656107.0,28771849.0,3.86,4.06
KAVA,2021-06-19,264222281.0,66885068.0,3.74,3.86
KAVA,2021-06-18,289065475.0,81347737.0,4.15,3.74
KAVA,2021-06-17,288791756.0,132573749.0,4.12,4.15
KAVA,2021-06-16,286986541.0,109815864.0,4.09,4.12
KAVA,2021-06-15,281862213.0,179157551.0,4.01,4.09
KAVA,2021-06-14,269982110.0,96724450.0,3.88,4.01
KAVA,2021-06-13,257979881.0,43147730.0,3.64,3.88
KAVA,2021-06-12,249486292.0,32418682.0,3.57,3.64
KAVA,2021-06-11,272703232.0,41006390.0,3.89,3.57
KAVA,2021-06-10,288703343.0,47181951.0,4.11,3.89
KAVA,2021-06-09,288748042.0,55832190.0,4.11,4.11
KAVA,2021-06-08,292073720.0,46394807.0,4.1,4.11
KAVA,2021-06-07,327698519.0,47770876.0,4.69,4.1
KAVA,2021-06-06,332975859.0,96683000.0,4.75,4.69
KAVA,2021-06-05,327556317.0,80449163.0,4.67,4.75
KAVA,2021-06-04,358156671.0,253593356.0,5.05,4.67
KAVA,2021-06-03,337798313.0,343813373.0,4.8,5.05
KAVA,2021-06-02,249047056.0,104489248.0,3.54,4.8
KAVA,2021-06-01,251831162.0,31379203.0,3.59,3.54
KAVA,2021-05-31,227998942.0,64057170.0,3.25,3.59
KAVA,2021-05-30,222979268.0,116895080.0,3.16,3.25
KAVA,2021-05-29,233908232.0,109649207.0,3.31,3.16
KAVA,2021-05-28,282693922.0,101532718.0,4.0,3.31
KAVA,2021-05-27,263209953.0,90626920.0,3.77,4.0
KAVA,2021-05-26,240979069.0,140481173.0,3.43,3.77
KAVA,2021-05-25,224733144.0,108135340.0,3.19,3.43
KAVA,2021-05-24,193885847.0,133732790.0,2.78,3.19
KAVA,2021-05-23,221668113.0,153894820.0,3.17,2.78
KAVA,2021-05-22,240080775.0,154147869.0,3.46,3.17
KAVA,2021-05-21,275350769.0,179265364.0,3.96,3.46
KAVA,2021-05-20,226838788.0,142456314.0,3.23,3.96
KAVA,2021-05-19,350433076.0,37991084.0,5.03,3.23
KAVA,2021-05-18,325965288.0,50664975.0,4.61,5.03
KAVA,2021-05-17,352707490.0,56241357.0,5.06,4.61
KAVA,2021-05-16,358293238.0,56881555.0,5.1,5.06
KAVA,2021-05-15,393304711.0,34487836.0,5.61,5.1
KAVA,2021-05-14,373321103.0,86314636.0,5.31,5.61
KAVA,2021-05-13,382731241.0,94681139.0,5.19,5.31
KAVA,2021-05-12,427911986.0,79785223.0,6.1,5.19
KAVA,2021-05-11,403169040.0,150645108.0,5.77,6.1
KAVA,2021-05-10,432766844.0,59795174.0,6.15,5.77
KAVA,2021-05-09,439864803.0,77107995.0,6.27,6.15
KAVA,2021-05-08,454421945.0,152818353.0,6.49,6.27
KAVA,2021-05-07,439523080.0,109463060.0,6.25,6.49
KAVA,2021-05-06,434184728.0,71640523.0,6.19,6.25
KAVA,2021-05-05,334555570.0,98110394.0,5.66,6.19
KAVA,2021-05-04,372042734.0,165839123.0,6.34,5.66
KAVA,2021-05-03,326917482.0,36044349.0,5.59,6.34
KAVA,2021-05-02,336083830.0,64257677.0,5.75,5.59
KAVA,2021-05-01,327718858.0,76274964.0,5.61,5.75
KAVA,2021-04-30,301312730.0,65245909.0,5.14,5.61
KAVA,2021-04-29,295710779.0,48299546.0,5.08,5.14
KAVA,2021-04-28,306353636.0,55994451.0,5.29,5.08
KAVA,2021-04-27,283165553.0,74954526.0,4.87,5.29
KAVA,2021-04-26,242568634.0,50937728.0,4.15,4.87
KAVA,2021-04-25,243534401.0,50241053.0,4.1,4.15
KAVA,2021-04-24,261889032.0,125368703.0,4.53,4.1
KAVA,2021-04-23,265242798.0,66395377.0,4.47,4.53
KAVA,2021-04-22,294163982.0,71937806.0,5.0,4.47
KAVA,2021-04-21,304264612.0,161079639.0,5.19,5.0
KAVA,2021-04-20,290731497.0,61728299.0,4.96,5.19
KAVA,2021-04-19,320485047.0,131521639.0,5.46,4.96
KAVA,2021-04-18,382539603.0,80708679.0,6.51,5.46
KAVA,2021-04-17,382669360.0,67759167.0,6.54,6.51
KAVA,2021-04-16,400148634.0,89088369.0,6.88,6.54
KAVA,2021-04-15,378059149.0,67265963.0,6.49,6.88
KAVA,2021-04-14,382481413.0,58663227.0,6.51,6.49
KAVA,2021-04-13,385817073.0,55760690.0,6.6,6.51
