Symbol,Date,Market Cap,Volume,Open,Close
CAKE,2021-10-16,4627290977.0,231243566.0,19.94,N/A
CAKE,2021-10-15,4612872608.0,288010076.0,19.94,19.94
CAKE,2021-10-14,4698457116.0,586309036.0,20.3,19.94
CAKE,2021-10-13,4461236373.0,297903800.0,19.33,20.3
CAKE,2021-10-12,4362442999.0,164061160.0,18.82,19.33
CAKE,2021-10-11,4292477256.0,171567156.0,18.62,18.82
CAKE,2021-10-10,4545650105.0,132340188.0,19.72,18.62
CAKE,2021-10-09,4480135889.0,288837943.0,19.5,19.72
CAKE,2021-10-08,4464509245.0,383539864.0,19.47,19.5
CAKE,2021-10-07,4529296958.0,237626080.0,19.78,19.47
CAKE,2021-10-06,4561307372.0,187148082.0,19.97,19.78
CAKE,2021-10-05,4430089134.0,180146348.0,19.37,19.97
CAKE,2021-10-04,4499795053.0,165869191.0,19.7,19.37
CAKE,2021-10-03,4584851803.0,169934054.0,20.11,19.7
CAKE,2021-10-02,4530046560.0,221027782.0,19.94,20.11
CAKE,2021-10-01,4289177181.0,210076476.0,18.88,19.94
CAKE,2021-09-30,4190948425.0,220781054.0,18.51,18.88
CAKE,2021-09-29,4087811136.0,172583403.0,18.04,18.51
CAKE,2021-09-28,4180768515.0,226136301.0,18.4,18.04
CAKE,2021-09-27,4210133861.0,306896346.0,18.67,18.4
CAKE,2021-09-26,4186270015.0,140533472.0,18.57,18.67
CAKE,2021-09-25,4251854676.0,313160335.0,18.84,18.57
CAKE,2021-09-24,4523598271.0,185576137.0,20.14,18.84
CAKE,2021-09-23,4509711508.0,249753809.0,20.14,20.14
CAKE,2021-09-22,4004593847.0,343257435.0,17.92,20.14
CAKE,2021-09-21,4244246691.0,429946190.0,19.12,17.92
CAKE,2021-09-20,5105426105.0,258488024.0,22.85,19.12
CAKE,2021-09-19,4995428422.0,206298840.0,22.4,22.85
CAKE,2021-09-18,4757234489.0,183084936.0,21.37,22.4
CAKE,2021-09-17,4960072261.0,256600479.0,22.35,21.37
CAKE,2021-09-16,4982755963.0,305847577.0,22.55,22.35
CAKE,2021-09-15,4724763131.0,166223701.0,20.75,22.55
CAKE,2021-09-14,4352377806.0,238062387.0,19.45,20.75
CAKE,2021-09-13,4597036800.0,156672678.0,20.53,19.45
CAKE,2021-09-12,4375296187.0,150272247.0,19.6,20.53
