Symbol,Date,Market Cap,Volume,Open,Close
RGT,2021-10-16,406916385.0,27501751.0,36.12,N/A
RGT,2021-10-15,520930960.0,31783114.0,46.42,36.12
RGT,2021-10-14,436237820.0,25651659.0,39.14,46.42
RGT,2021-10-13,321851586.0,6156455.0,28.67,39.14
RGT,2021-10-12,358460213.0,6003774.0,31.97,28.67
RGT,2021-10-11,341493723.0,5032255.0,30.27,31.97
RGT,2021-10-10,341970655.0,3452213.0,30.39,30.27
RGT,2021-10-09,327981009.0,2585591.0,28.17,30.39
RGT,2021-10-08,305461298.0,3899110.0,27.0,28.17
RGT,2021-10-07,309260888.0,5669190.0,27.43,27.0
RGT,2021-10-06,340988306.0,7591927.0,30.26,27.43
RGT,2021-10-05,333161568.0,8302405.0,29.61,30.26
RGT,2021-10-04,349858443.0,13645456.0,30.88,29.61
RGT,2021-10-03,298302344.0,1998325.0,26.53,30.88
RGT,2021-10-02,276394066.0,7221790.0,24.76,26.53
RGT,2021-10-01,269197730.0,9788623.0,23.7,24.76
RGT,2021-09-30,224089543.0,2727135.0,19.88,23.7
RGT,2021-09-29,224417910.0,4522478.0,19.77,19.88
RGT,2021-09-28,256154663.0,5568885.0,22.81,19.77
RGT,2021-09-27,282182396.0,10778886.0,25.07,22.81
RGT,2021-09-26,249646179.0,10400840.0,21.87,25.07
RGT,2021-09-25,223150373.0,6771460.0,19.94,21.87
RGT,2021-09-24,196375817.0,4252260.0,17.49,19.94
RGT,2021-09-23,195997729.0,3572561.0,17.44,17.49
RGT,2021-09-22,166995936.0,2431817.0,14.66,17.44
RGT,2021-09-21,188606668.0,5269960.0,16.78,14.66
RGT,2021-09-20,224572958.0,3401365.0,19.88,16.78
RGT,2021-09-19,178781841.0,8624572.0,20.44,19.88
RGT,2021-09-18,158243368.0,5201858.0,18.07,20.44
RGT,2021-09-17,147744129.0,1601411.0,16.88,18.07
RGT,2021-09-16,154252829.0,8113844.0,17.5,16.88
RGT,2021-09-15,164286109.0,18121269.0,18.61,17.5
RGT,2021-09-14,145159214.0,2722394.0,16.58,18.61
RGT,2021-09-13,136267311.0,4335692.0,15.39,16.58
RGT,2021-09-12,145370840.0,10833351.0,16.37,15.39
RGT,2021-09-11,119987802.0,12301481.0,13.71,16.37
RGT,2021-09-10,148146031.0,24554497.0,16.91,13.71
RGT,2021-09-09,137765280.0,23558807.0,15.75,16.91
RGT,2021-09-08,164607327.0,11818755.0,18.8,15.75
RGT,2021-09-07,164356863.0,9059395.0,18.77,18.8
RGT,2021-09-06,142624917.0,2559271.0,16.35,18.77
RGT,2021-09-05,139224824.0,1788618.0,15.9,16.35
RGT,2021-09-04,145014971.0,4489422.0,16.61,15.9
RGT,2021-09-03,147402123.0,4395805.0,16.88,16.61
RGT,2021-09-02,151416680.0,15756850.0,18.02,16.88
RGT,2021-09-01,116614636.0,18948053.0,13.27,18.02
RGT,2021-08-31,86547810.0,1358408.0,9.68,13.27
RGT,2021-08-30,87849735.0,882138.0,10.02,9.68
RGT,2021-08-29,87320272.0,1278320.0,9.95,10.02
RGT,2021-08-28,94653024.0,963115.0,10.78,9.95
RGT,2021-08-27,88421852.0,2759693.0,10.06,10.78
RGT,2021-08-26,98651088.0,2559346.0,11.23,10.06
RGT,2021-08-25,92317846.0,1598559.0,10.5,11.23
RGT,2021-08-24,101880626.0,1177850.0,11.59,10.5
RGT,2021-08-23,100530233.0,1924854.0,11.43,11.59
RGT,2021-08-22,99590002.0,2303252.0,11.22,11.43
RGT,2021-08-21,107016204.0,2607244.0,12.19,11.22
RGT,2021-08-20,87975847.0,1478611.0,10.22,12.19
RGT,2021-08-19,90774925.0,766740.0,10.29,10.22
RGT,2021-08-18,93222507.0,833330.0,10.64,10.29
RGT,2021-08-17,102860082.0,1245722.0,11.66,10.64
RGT,2021-08-16,108055886.0,637158.0,12.36,11.66
RGT,2021-08-15,106469202.0,1380220.0,12.16,12.36
RGT,2021-08-14,112199582.0,1317889.0,12.84,12.16
