Symbol,Date,Market Cap,Volume,Open,Close
SETH,2021-10-16,383146483.0,4528431.0,3872.02,N/A
SETH,2021-10-15,374157919.0,23858683.0,3759.85,3872.02
SETH,2021-10-14,379625693.0,609973.0,3608.4,3759.85
SETH,2021-10-13,374148477.0,333455.0,3516.44,3608.4
SETH,2021-10-12,376346534.0,12567029.0,3521.0,3516.44
SETH,2021-10-11,371576891.0,40036990.0,3444.8,3521.0
SETH,2021-10-10,423971084.0,6521631.0,3601.24,3444.8
SETH,2021-10-09,421179526.0,44930112.0,3578.03,3601.24
SETH,2021-10-08,415212076.0,6130505.0,3584.44,3578.03
SETH,2021-10-07,419265227.0,21724150.0,3614.37,3584.44
SETH,2021-10-06,430784846.0,785298.0,3519.5,3614.37
SETH,2021-10-05,425058600.0,2838848.0,3389.32,3519.5
SETH,2021-10-04,426454604.0,4464415.0,3419.78,3389.32
SETH,2021-10-03,427251855.0,2944685.0,3399.49,3419.78
SETH,2021-10-02,409902100.0,3664598.0,3292.95,3399.49
SETH,2021-10-01,374777178.0,7556315.0,3004.28,3292.95
SETH,2021-09-30,352799984.0,11827444.0,2864.14,3004.28
SETH,2021-09-29,343951666.0,1409641.0,2785.82,2864.14
SETH,2021-09-28,356870855.0,1170760.0,2953.77,2785.82
SETH,2021-09-27,383465351.0,36629279.0,3099.3,2953.77
SETH,2021-09-26,344053836.0,10678577.0,2951.22,3099.3
SETH,2021-09-25,345924606.0,66669710.0,2930.33,2951.22
SETH,2021-09-24,384869001.0,12307.25,3135.03,2930.33
SETH,2021-09-23,379823545.0,2338322.0,3073.47,3135.03
SETH,2021-09-22,311465422.0,57453531.0,2510.99,3073.47
SETH,2021-09-21,322449732.0,1076553.0,2778.28,2510.99
SETH,2021-09-20,375937360.0,5430279.0,3241.7,2778.28
SETH,2021-09-19,395963225.0,1566460.0,3417.23,3241.7
SETH,2021-09-18,397671572.0,846442.0,3406.44,3417.23
SETH,2021-09-17,417509254.0,10233149.0,3582.55,3406.44
SETH,2021-09-16,407404673.0,2608588.0,3573.36,3582.55
SETH,2021-09-15,388668629.0,2995837.0,3423.83,3573.36
SETH,2021-09-14,364419076.0,13725914.0,3299.59,3423.83
SETH,2021-09-13,378760850.0,7947278.0,3409.03,3299.59
SETH,2021-09-12,360765837.0,340383.0,3279.03,3409.03
SETH,2021-09-11,351625755.0,11826399.0,3196.58,3279.03
SETH,2021-09-10,387448023.0,1366222.0,3431.69,3196.58
SETH,2021-09-09,396709255.0,21277576.0,3500.66,3431.69
SETH,2021-09-08,369870754.0,26864259.0,3395.49,3500.66
SETH,2021-09-07,421087233.0,4444047.0,3986.56,3395.49
SETH,2021-09-06,417359842.0,3466449.0,3943.64,3986.56
SETH,2021-09-05,411292315.0,1288951.0,3861.39,3943.64
SETH,2021-09-04,413679561.0,10460360.0,3902.52,3861.39
SETH,2021-09-03,399279747.0,5053748.0,3770.49,3902.52
SETH,2021-09-02,395504361.0,43453944.0,3772.03,3770.49
SETH,2021-09-01,341227031.0,27590753.0,3421.97,3772.03
SETH,2021-08-31,322393474.0,4512349.0,3219.72,3421.97
SETH,2021-08-30,317678685.0,1020793.0,3199.88,3219.72
SETH,2021-08-29,320614705.0,353080.0,3228.64,3199.88
SETH,2021-08-28,325514085.0,726463.0,3267.68,3228.64
SETH,2021-08-27,307363480.0,11548920.0,3107.36,3267.68
SETH,2021-08-26,315030528.0,1285332.0,3213.9,3107.36
SETH,2021-08-25,310901361.0,2804170.0,3173.5,3213.9
SETH,2021-08-24,324305620.0,60231005.0,3343.6,3173.5
SETH,2021-08-23,340184448.0,5213873.0,3263.84,3343.6
SETH,2021-08-22,340908704.0,2822770.0,3240.84,3263.84
SETH,2021-08-21,342113421.0,21528260.0,3275.63,3240.84
SETH,2021-08-20,309192247.0,3850426.0,3091.46,3275.63
SETH,2021-08-19,307395158.0,14418579.0,3047.09,3091.46
SETH,2021-08-18,299144480.0,14767622.0,3022.63,3047.09
SETH,2021-08-17,313972320.0,65333747.0,3187.2,3022.63
SETH,2021-08-16,327120255.0,1249053.0,3303.85,3187.2
SETH,2021-08-15,323544420.0,2166854.0,3276.04,3303.85
SETH,2021-08-14,325566588.0,34063900.0,3314.68,3276.04
SETH,2021-08-13,290862561.0,52469143.0,3052.65,3314.68
SETH,2021-08-12,303063026.0,1814109.0,3185.37,3052.65
SETH,2021-08-11,300566086.0,4678211.0,3158.26,3185.37
SETH,2021-08-10,299823511.0,50485552.0,3159.08,3158.26
SETH,2021-08-09,327054034.0,42606688.0,3030.28,3159.08
SETH,2021-08-08,296301398.0,31953821.0,3158.2,3030.28
SETH,2021-08-07,286582635.0,39571263.0,2910.39,3158.2
SETH,2021-08-06,314640115.0,87249882.0,2832.66,2910.39
SETH,2021-08-05,315959869.0,113076035.0,2736.04,2832.66
SETH,2021-08-04,248582372.0,34824901.0,2523.67,2736.04
SETH,2021-08-03,293912073.0,11339558.0,2632.74,2523.67
SETH,2021-08-02,286686474.0,92215053.0,2543.53,2632.74
SETH,2021-08-01,293196044.0,12328728.0,2561.65,2543.53
SETH,2021-07-31,283509236.0,109545813.0,2449.54,2561.65
SETH,2021-07-30,289554750.0,37718754.0,2394.61,2449.54
SETH,2021-07-29,249302741.0,6105355.0,2311.4,2394.61
SETH,2021-07-28,249225776.0,2112643.0,2305.76,2311.4
SETH,2021-07-27,254072945.0,4621746.0,2363.44,2305.76
SETH,2021-07-26,229717069.0,6316238.0,2204.9,2363.44
SETH,2021-07-25,234412536.0,86536185.0,2193.64,2204.9
SETH,2021-07-24,236110671.0,80206055.0,2138.3,2193.64
SETH,2021-07-23,213306083.0,79029774.0,2035.44,2138.3
SETH,2021-07-22,209674618.0,232273298.0,2001.66,2035.44
SETH,2021-07-21,186850403.0,53509034.0,1800.09,2001.66
SETH,2021-07-20,231414383.0,62596448.0,1836.44,1800.09
SETH,2021-07-19,209333247.0,4688723.0,1900.57,1836.44
SETH,2021-07-18,213444419.0,85329673.0,1910.94,1900.57
SETH,2021-07-17,217005247.0,80652537.0,1878.18,1910.94
SETH,2021-07-16,212143535.0,3817296.0,1937.75,1878.18
SETH,2021-07-15,220739496.0,3341824.0,2003.48,1937.75
SETH,2021-07-14,213361563.0,142239558.0,1953.87,2003.48
SETH,2021-07-13,230280257.0,9775384.0,2049.41,1953.87
SETH,2021-07-12,242620266.0,76018480.0,2169.39,2049.41
SETH,2021-07-11,236875046.0,580866.0,2124.63,2169.39
SETH,2021-07-10,242794039.0,4402111.0,2175.24,2124.63
SETH,2021-07-09,236991065.0,1997669.0,2145.17,2175.24
SETH,2021-07-08,259094388.0,4937355.0,2328.11,2145.17
SETH,2021-07-07,259953203.0,30410264.0,2327.55,2328.11
SETH,2021-07-06,239807806.0,17943581.0,2246.09,2327.55
SETH,2021-07-05,258355785.0,4470910.0,2348.24,2246.09
SETH,2021-07-04,245044940.0,135148931.0,2244.52,2348.24
SETH,2021-07-03,239569644.0,57494985.0,2179.72,2244.52
SETH,2021-07-02,227616657.0,113418244.0,2164.53,2179.72
SETH,2021-07-01,244123022.0,6567696.0,2299.32,2164.53
SETH,2021-06-30,245577247.0,21959749.0,2220.06,2299.32
SETH,2021-06-29,238071609.0,11742330.0,2115.32,2220.06
SETH,2021-06-28,219140381.0,389436.0,1988.08,2115.32
SETH,2021-06-27,201614695.0,3183699.0,1824.89,1988.08
SETH,2021-06-26,207855159.0,31294350.0,1860.07,1824.89
SETH,2021-06-25,241575064.0,18169243.0,2001.64,1860.07
SETH,2021-06-24,250125879.0,14380860.0,1970.3,2001.64
SETH,2021-06-23,244286226.0,70134669.0,1904.59,1970.3
SETH,2021-06-22,284883268.0,43941282.0,1933.36,1904.59
SETH,2021-06-21,333724482.0,21636950.0,2252.11,1933.36
SETH,2021-06-20,324607280.0,4329229.0,2205.45,2252.11
SETH,2021-06-19,329458871.0,14282405.0,2240.01,2205.45
SETH,2021-06-18,359209403.0,5704898.0,2382.34,2240.01
SETH,2021-06-17,360572296.0,48443814.0,2375.62,2382.34
SETH,2021-06-16,403289389.0,15406575.0,2586.0,2375.62
SETH,2021-06-15,396902154.0,21625416.0,2609.69,2586.0
SETH,2021-06-14,397331851.0,20893534.0,2540.9,2609.69
SETH,2021-06-13,377364854.0,18439193.0,2409.96,2540.9
SETH,2021-06-12,383458830.0,62182712.0,2380.78,2409.96
