Symbol,Date,Market Cap,Volume,Open,Close
XSUSHI,2021-10-16,862856949.0,7607347.0,13.1,N/A
XSUSHI,2021-10-15,842656573.0,1743620.0,12.8,13.1
XSUSHI,2021-10-14,791470806.0,5234384.0,12.02,12.8
XSUSHI,2021-10-13,787299356.0,3097361.0,11.98,12.02
XSUSHI,2021-10-12,801320932.0,5294320.0,12.21,11.98
XSUSHI,2021-10-11,807424246.0,1760326.0,12.3,12.21
XSUSHI,2021-10-10,858055796.0,1302322.0,12.96,12.3
XSUSHI,2021-10-09,845471293.0,1493501.0,12.81,12.96
XSUSHI,2021-10-08,851684695.0,1753894.0,12.91,12.81
XSUSHI,2021-10-07,830761724.0,2919286.0,12.63,12.91
XSUSHI,2021-10-06,821628926.0,2454963.0,12.7,12.63
XSUSHI,2021-10-05,790486028.0,654296.0,12.23,12.7
XSUSHI,2021-10-04,826863191.0,786825.0,12.77,12.23
XSUSHI,2021-10-03,851851846.0,780753.0,13.16,12.77
XSUSHI,2021-10-02,823282681.0,1151165.0,12.75,13.16
XSUSHI,2021-10-01,783835812.0,906870.0,11.92,12.75
XSUSHI,2021-09-30,740728552.0,893195.0,11.22,11.92
XSUSHI,2021-09-29,763668142.0,1279269.0,11.67,11.22
XSUSHI,2021-09-28,801905822.0,2754434.0,12.27,11.67
XSUSHI,2021-09-27,841235979.0,4752658.0,12.99,12.27
XSUSHI,2021-09-26,781588214.0,1125948.0,11.3,12.99
XSUSHI,2021-09-25,782312150.0,1864167.0,11.58,11.3
XSUSHI,2021-09-24,847677720.0,2504366.0,12.52,11.58
XSUSHI,2021-09-23,836409474.0,2195360.0,12.35,12.52
XSUSHI,2021-09-22,731362837.0,2323024.0,10.73,12.35
XSUSHI,2021-09-21,837498463.0,3275274.0,12.33,10.73
XSUSHI,2021-09-20,958609535.0,3566067.0,14.08,12.33
XSUSHI,2021-09-19,1017278329.0,3358397.0,14.75,14.08
XSUSHI,2021-09-18,1017292295.0,11351669.0,14.71,14.75
XSUSHI,2021-09-17,1290638909.0,6673212.0,17.59,14.71
XSUSHI,2021-09-16,1319847260.0,5110524.0,18.04,17.59
XSUSHI,2021-09-15,1122372332.0,2915160.0,15.31,18.04
XSUSHI,2021-09-14,962422735.0,2579635.0,13.12,15.31
XSUSHI,2021-09-13,981553879.0,1730243.0,13.39,13.12
XSUSHI,2021-09-12,915663980.0,1010381.0,12.5,13.39
XSUSHI,2021-09-11,850856446.0,1059715.0,11.66,12.5
XSUSHI,2021-09-10,959297669.0,1402918.0,13.15,11.66
XSUSHI,2021-09-09,1001223165.0,2394054.0,13.61,13.15
XSUSHI,2021-09-08,947793756.0,7248560.0,12.95,13.61
XSUSHI,2021-09-07,1211448840.0,1860763.0,16.17,12.95
XSUSHI,2021-09-06,1251631935.0,1721867.0,16.72,16.17
XSUSHI,2021-09-05,1155826057.0,1000004.0,15.42,16.72
XSUSHI,2021-09-04,1128901122.0,1869623.0,15.22,15.42
XSUSHI,2021-09-03,1162317427.0,1698190.0,15.65,15.22
XSUSHI,2021-09-02,1154101776.0,3349017.0,16.16,15.65
XSUSHI,2021-09-01,994301621.0,1310028.0,13.93,16.16
XSUSHI,2021-08-31,991610610.0,3240329.0,13.9,13.93
XSUSHI,2021-08-30,947239300.0,1560462.0,13.76,13.9
XSUSHI,2021-08-29,959747008.0,1310374.0,13.8,13.76
XSUSHI,2021-08-28,1011770902.0,1845111.0,14.41,13.8
XSUSHI,2021-08-27,968100345.0,1640978.0,13.8,14.41
XSUSHI,2021-08-26,1010101835.0,1128318.0,14.42,13.8
