Date,Market Cap,Volume,Open,Close
2021-10-16,"$1,075,852,504","$10,195,092","$61,616",N/A
2021-10-15,"$966,615,244","$921,540","$56,661","$61,616"
2021-10-14,"$982,978,335","$4,488,891","$57,403","$56,661"
2021-10-13,"$987,079,026","$2,752,262","$56,290","$57,403"
2021-10-12,"$992,857,974","$2,194,005","$57,115","$56,290"
2021-10-11,"$931,358,810","$1,566,617","$53,321","$57,115"
2021-10-10,"$948,990,760","$7,336,065","$54,439","$53,321"
2021-10-09,"$939,464,105","$14,851,430","$53,817","$54,439"
2021-10-08,"$937,268,889","$17,981,168","$53,846","$53,817"
2021-10-07,"$962,062,416","$9,741,996","$55,349","$53,846"
2021-10-06,"$852,827,736","$4,711,740","$51,489","$55,349"
2021-10-05,"$834,923,183","$3,515,179","$49,235","$51,489"
2021-10-04,"$807,538,951","$8,652,928","$48,223","$49,235"
2021-10-03,"$798,717,319","$4,422,639","$47,767","$48,223"
2021-10-02,"$839,035,534","$14,766,291","$48,113","$47,767"
2021-10-01,"$753,545,119","$11,658,487","$43,795","$48,113"
2021-09-30,"$702,545,380","$1,888,499","$41,427","$43,795"
2021-09-29,"$700,532,495","$18,973,150","$41,230","$41,427"
2021-09-28,"$719,951,670","$7,344,732","$42,405","$41,230"
2021-09-27,"$738,387,543","$3,694,415","$43,401","$42,405"
2021-09-26,"$723,672,135","$1,986,766","$42,761","$43,401"
2021-09-25,"$679,421,407","$17,909,610","$42,809","$42,761"
2021-09-24,"$713,892,330","$8,664,373","$44,929","$42,809"
2021-09-23,"$690,058,647","$8,351,471","$43,529","$44,929"
2021-09-22,"$638,930,658","$6,526,871","$40,116","$43,529"
2021-09-21,"$672,787,445","$21,133,980","$42,520","$40,116"
2021-09-20,"$758,213,457","$5,652,793","$47,302","$42,520"
2021-09-19,"$754,803,555","$1,856,022","$48,066","$47,302"
2021-09-18,"$738,513,865","$3,404,843","$47,078","$48,066"
2021-09-17,"$743,273,257","$16,434,234","$47,870","$47,078"
2021-09-16,"$741,608,616","$9,092,919","$48,323","$47,870"
2021-09-15,"$719,460,130","$10,726,877","$46,992","$48,323"
2021-09-14,"$684,642,307","$5,654,740","$44,887","$46,992"
2021-09-13,"$702,112,227","$6,868,985","$46,161","$44,887"
2021-09-12,"$682,146,590","$1,027,428","$45,010","$46,161"
2021-09-11,"$678,671,993","$5,689,372","$44,740","$45,010"
2021-09-10,"$707,775,025","$5,415,701","$46,479","$44,740"
2021-09-09,"$725,735,242","$2,309,346","$46,183","$46,479"
2021-09-08,"$736,758,869","$4,137,066","$46,878","$46,183"
2021-09-07,"$822,723,307","$3,599,415","$52,508","$46,878"
2021-09-06,"$812,389,329","$3,456,503","$51,725","$52,508"
2021-09-05,"$783,414,382","$1,981,212","$49,814","$51,725"
2021-09-04,"$771,244,961","$6,302,986","$49,880","$49,814"
2021-09-03,"$763,552,381","$9,303,961","$49,239","$49,880"
2021-09-02,"$749,937,531","$2,177,740","$48,494","$49,239"
2021-09-01,"$691,709,885","$7,581,448","$47,233","$48,494"
2021-08-31,"$669,327,515","$2,812,179","$47,228","$47,233"
2021-08-30,"$684,233,960","$2,143,910","$48,794","$47,228"
2021-08-29,"$682,133,416","$3,509,427","$48,840","$48,794"
2021-08-28,"$682,674,476","$1,667,060","$48,796","$48,840"
2021-08-27,"$656,512,702","$1,855,981","$47,133","$48,796"
2021-08-26,"$679,875,916","$12,188,827","$48,959","$47,133"
2021-08-25,"$676,107,665","$3,568,046","$47,836","$48,959"
2021-08-24,"$701,540,196","$4,804,178","$49,614","$47,836"
2021-08-23,"$683,093,063","$2,106,773","$49,125","$49,614"
2021-08-22,"$678,034,730","$12,090,053","$48,987","$49,125"
2021-08-21,"$675,983,664","$3,575,827","$49,018","$48,987"
2021-08-20,"$634,179,972","$5,483,207","$46,591","$49,018"
2021-08-19,"$619,833,575","$2,533,866","$44,872","$46,591"
2021-08-18,"$622,721,913","$3,726,612","$44,624","$44,872"
2021-08-17,"$636,451,445","$6,373,118","$45,934","$44,624"
2021-08-16,"$642,303,042","$1,529,815","$46,764","$45,934"
2021-08-15,"$644,217,626","$7,390,935","$46,901","$46,764"
2021-08-14,"$649,908,927","$4,164,019","$47,482","$46,901"
2021-08-13,"$605,372,191","$3,697,859","$44,289","$47,482"
2021-08-12,"$620,298,408","$2,042,648","$45,488","$44,289"
2021-08-11,"$620,713,063","$19,276,327","$45,544","$45,488"
2021-08-10,"$620,338,685","$12,639,111","$46,179","$45,544"
