Date,Market Cap,Volume,Open,Close
2021-10-16,"$383,146,483","$4,528,431","$3,872.02",N/A
2021-10-15,"$374,157,919","$23,858,683","$3,759.85","$3,872.02"
2021-10-14,"$379,625,693","$609,973","$3,608.40","$3,759.85"
2021-10-13,"$374,148,477","$333,455","$3,516.44","$3,608.40"
2021-10-12,"$376,346,534","$12,567,029","$3,521.00","$3,516.44"
2021-10-11,"$371,576,891","$40,036,990","$3,444.80","$3,521.00"
2021-10-10,"$423,971,084","$6,521,631","$3,601.24","$3,444.80"
2021-10-09,"$421,179,526","$44,930,112","$3,578.03","$3,601.24"
2021-10-08,"$415,212,076","$6,130,505","$3,584.44","$3,578.03"
2021-10-07,"$419,265,227","$21,724,150","$3,614.37","$3,584.44"
2021-10-06,"$430,784,846","$785,298","$3,519.50","$3,614.37"
2021-10-05,"$425,058,600","$2,838,848","$3,389.32","$3,519.50"
2021-10-04,"$426,454,604","$4,464,415","$3,419.78","$3,389.32"
2021-10-03,"$427,251,855","$2,944,685","$3,399.49","$3,419.78"
2021-10-02,"$409,902,100","$3,664,598","$3,292.95","$3,399.49"
2021-10-01,"$374,777,178","$7,556,315","$3,004.28","$3,292.95"
2021-09-30,"$352,799,984","$11,827,444","$2,864.14","$3,004.28"
2021-09-29,"$343,951,666","$1,409,641","$2,785.82","$2,864.14"
2021-09-28,"$356,870,855","$1,170,760","$2,953.77","$2,785.82"
2021-09-27,"$383,465,351","$36,629,279","$3,099.30","$2,953.77"
2021-09-26,"$344,053,836","$10,678,577","$2,951.22","$3,099.30"
2021-09-25,"$345,924,606","$66,669,710","$2,930.33","$2,951.22"
2021-09-24,"$384,869,001","$12,307.25","$3,135.03","$2,930.33"
2021-09-23,"$379,823,545","$2,338,322","$3,073.47","$3,135.03"
2021-09-22,"$311,465,422","$57,453,531","$2,510.99","$3,073.47"
2021-09-21,"$322,449,732","$1,076,553","$2,778.28","$2,510.99"
2021-09-20,"$375,937,360","$5,430,279","$3,241.70","$2,778.28"
2021-09-19,"$395,963,225","$1,566,460","$3,417.23","$3,241.70"
2021-09-18,"$397,671,572","$846,442","$3,406.44","$3,417.23"
2021-09-17,"$417,509,254","$10,233,149","$3,582.55","$3,406.44"
2021-09-16,"$407,404,673","$2,608,588","$3,573.36","$3,582.55"
2021-09-15,"$388,668,629","$2,995,837","$3,423.83","$3,573.36"
2021-09-14,"$364,419,076","$13,725,914","$3,299.59","$3,423.83"
2021-09-13,"$378,760,850","$7,947,278","$3,409.03","$3,299.59"
2021-09-12,"$360,765,837","$340,383","$3,279.03","$3,409.03"
2021-09-11,"$351,625,755","$11,826,399","$3,196.58","$3,279.03"
2021-09-10,"$387,448,023","$1,366,222","$3,431.69","$3,196.58"
