Date,Market Cap,Volume,Open,Close
2021-10-16,"$862,856,949","$7,607,347",$13.10,N/A
2021-10-15,"$842,656,573","$1,743,620",$12.80,$13.10
2021-10-14,"$791,470,806","$5,234,384",$12.02,$12.80
2021-10-13,"$787,299,356","$3,097,361",$11.98,$12.02
2021-10-12,"$801,320,932","$5,294,320",$12.21,$11.98
2021-10-11,"$807,424,246","$1,760,326",$12.30,$12.21
2021-10-10,"$858,055,796","$1,302,322",$12.96,$12.30
2021-10-09,"$845,471,293","$1,493,501",$12.81,$12.96
2021-10-08,"$851,684,695","$1,753,894",$12.91,$12.81
2021-10-07,"$830,761,724","$2,919,286",$12.63,$12.91
2021-10-06,"$821,628,926","$2,454,963",$12.70,$12.63
2021-10-05,"$790,486,028","$654,296",$12.23,$12.70
2021-10-04,"$826,863,191","$786,825",$12.77,$12.23
2021-10-03,"$851,851,846","$780,753",$13.16,$12.77
2021-10-02,"$823,282,681","$1,151,165",$12.75,$13.16
2021-10-01,"$783,835,812","$906,870",$11.92,$12.75
2021-09-30,"$740,728,552","$893,195",$11.22,$11.92
2021-09-29,"$763,668,142","$1,279,269",$11.67,$11.22
2021-09-28,"$801,905,822","$2,754,434",$12.27,$11.67
2021-09-27,"$841,235,979","$4,752,658",$12.99,$12.27
2021-09-26,"$781,588,214","$1,125,948",$11.30,$12.99
2021-09-25,"$782,312,150","$1,864,167",$11.58,$11.30
2021-09-24,"$847,677,720","$2,504,366",$12.52,$11.58
2021-09-23,"$836,409,474","$2,195,360",$12.35,$12.52
2021-09-22,"$731,362,837","$2,323,024",$10.73,$12.35
2021-09-21,"$837,498,463","$3,275,274",$12.33,$10.73
2021-09-20,"$958,609,535","$3,566,067",$14.08,$12.33
2021-09-19,"$1,017,278,329","$3,358,397",$14.75,$14.08
2021-09-18,"$1,017,292,295","$11,351,669",$14.71,$14.75
2021-09-17,"$1,290,638,909","$6,673,212",$17.59,$14.71
2021-09-16,"$1,319,847,260","$5,110,524",$18.04,$17.59
2021-09-15,"$1,122,372,332","$2,915,160",$15.31,$18.04
2021-09-14,"$962,422,735","$2,579,635",$13.12,$15.31
2021-09-13,"$981,553,879","$1,730,243",$13.39,$13.12
2021-09-12,"$915,663,980","$1,010,381",$12.50,$13.39
2021-09-11,"$850,856,446","$1,059,715",$11.66,$12.50
2021-09-10,"$959,297,669","$1,402,918",$13.15,$11.66
2021-09-09,"$1,001,223,165","$2,394,054",$13.61,$13.15
2021-09-08,"$947,793,756","$7,248,560",$12.95,$13.61
2021-09-07,"$1,211,448,840","$1,860,763",$16.17,$12.95
2021-09-06,"$1,251,631,935","$1,721,867",$16.72,$16.17
2021-09-05,"$1,155,826,057","$1,000,004",$15.42,$16.72
2021-09-04,"$1,128,901,122","$1,869,623",$15.22,$15.42
2021-09-03,"$1,162,317,427","$1,698,190",$15.65,$15.22
2021-09-02,"$1,154,101,776","$3,349,017",$16.16,$15.65
2021-09-01,"$994,301,621","$1,310,028",$13.93,$16.16
2021-08-31,"$991,610,610","$3,240,329",$13.90,$13.93
2021-08-30,"$947,239,300","$1,560,462",$13.76,$13.90
2021-08-29,"$959,747,008","$1,310,374",$13.80,$13.76
2021-08-28,"$1,011,770,902","$1,845,111",$14.41,$13.80
2021-08-27,"$968,100,345","$1,640,978",$13.80,$14.41
2021-08-26,"$1,010,101,835","$1,128,318",$14.42,$13.80
2021-08-25,"$1,035,216,717","$2,493,999",$14.85,$14.42
2021-08-24,"$1,142,400,770","$1,118,254",$16.23,$14.85
2021-08-23,"$1,123,790,601","$1,660,573",$16.01,$16.23
2021-08-22,"$1,137,601,763","$3,232,791",$16.30,$16.01
2021-08-21,"$1,149,891,367","$2,821,025",$16.61,$16.30
2021-08-20,"$1,127,181,078","$4,610,228",$16.53,$16.61
2021-08-19,"$1,043,450,251","$5,368,101",$14.90,$16.53
2021-08-18,"$1,040,650,470","$5,910,510",$14.88,$14.90
2021-08-17,"$1,057,366,512","$6,873,056",$15.14,$14.88
2021-08-16,"$1,051,804,119","$1,142,854",$14.63,$15.14
2021-08-15,"$1,019,373,269","$2,117,427",$14.17,$14.63
2021-08-14,"$1,043,742,743","$2,320,797",$14.49,$14.17
2021-08-13,"$974,627,537","$2,395,435",$13.55,$14.49
2021-08-12,"$953,389,808","$2,814,611",$13.21,$13.55
2021-08-11,"$859,548,342","$1,551,163",$12.00,$13.21
2021-08-10,"$820,466,370","$2,161,052",$11.55,$12.00
2021-08-09,"$798,232,752","$1,487,345",$11.18,$11.55
2021-08-08,"$833,590,245","$2,275,253",$11.83,$11.18
2021-08-07,"$812,161,656","$1,200,608",$11.58,$11.83
2021-08-06,"$779,823,739","$835,523",$11.04,$11.58
2021-08-05,"$714,205,805","$722,648",$10.16,$11.04
2021-08-04,"$666,082,695","$1,171,569",$9.56,$10.16
2021-08-03,"$690,451,355","$295,420",$9.92,$9.56
2021-08-02,"$705,492,793","$1,208,907",$10.14,$9.92
2021-08-01,"$713,660,021","$703,620",$10.40,$10.14
2021-07-31,"$664,883,413","$1,070,429",$9.74,$10.40
2021-07-30,"$639,096,198","$659,518",$9.42,$9.74
2021-07-29,"$636,009,515","$606,210",$9.44,$9.42
2021-07-28,"$638,250,920","$890,926",$9.48,$9.44
2021-07-27,"$670,806,867","$2,312,573",$10.00,$9.48
2021-07-26,"$642,496,310","$627,833",$9.59,$10.00
2021-07-25,"$628,186,198","$1,338,179",$9.40,$9.59
2021-07-24,"$651,795,768","$1,669,752",$9.85,$9.40
2021-07-23,"$593,825,374","$1,811,313",$9.01,$9.85
2021-07-22,"$536,197,805","$793,722",$8.15,$9.01
2021-07-21,"$468,782,682","$1,056,852",$7.32,$8.15
2021-07-20,"$501,023,406","$728,049",$7.82,$7.32
2021-07-19,"$526,838,794","$845,058",$8.24,$7.82
2021-07-18,"$547,546,330","$2,050,449",$8.56,$8.24
2021-07-17,"$478,130,618","$2,041,910",$7.47,$8.56
2021-07-16,"$485,119,003","$996,479",$7.91,$7.47
2021-07-15,"$510,582,484","$635,771",$8.40,$7.91
2021-07-14,"$523,429,621","$1,127,430",$8.33,$8.40
2021-07-13,"$574,692,289","$603,765",$8.94,$8.33
2021-07-12,"$599,818,892","$209,287",$9.60,$8.94
2021-07-11,"$590,101,269","$1,111,444",$9.39,$9.60
2021-07-10,"$625,017,518","$608,130",$9.96,$9.39
2021-07-09,"$572,795,323","$755,971",$9.20,$9.96
2021-07-08,"$656,548,494","$1,194,652",$10.38,$9.20
2021-07-07,"$704,902,269","$3,075,837",$10.42,$10.38
2021-07-06,"$640,297,181","$2,585,672",$9.17,$10.42
2021-07-05,"$649,857,343","$1,145,393",$9.30,$9.17
2021-07-04,"$616,274,159","$2,513,675",$8.82,$9.30
2021-07-03,"$599,950,718","$1,584,190",$8.64,$8.82
2021-07-02,"$567,260,730","$1,753,715",$8.64,$8.64
2021-07-01,"$610,229,182","$3,853,385",$9.41,$8.64
2021-06-30,"$600,349,246","$583,680",$9.26,$9.41
2021-06-29,"$571,645,707","$803,854",$8.87,$9.26
2021-06-28,"$530,894,617","$3,114,804",$8.30,$8.87
2021-06-27,"$499,220,366","$1,205,933",$7.81,$8.30
2021-06-26,"$462,616,755","$1,072,372",$7.29,$7.81
2021-06-25,"$519,562,088","$691,266",$8.19,$7.29
2021-06-24,"$515,769,200","$1,424,725",$8.13,$8.19
2021-06-23,"$499,421,402","$3,137,686",$8.07,$8.13
2021-06-22,"$474,354,429","$4,302,489",$7.71,$8.07
2021-06-21,"$614,162,403","$1,822,037",$9.95,$7.71
2021-06-20,"$550,377,733","$196,239",$8.84,$9.95
2021-06-19,"$551,075,740","$1,210,410",$8.98,$8.84
2021-06-18,"$597,747,051","$1,098,855",$9.71,$8.98
2021-06-17,"$609,264,493","$975,682",$9.90,$9.71
2021-06-16,"$657,684,750","$3,325,993",$10.69,$9.90
2021-06-15,"$650,954,709","$1,270,143",$10.63,$10.69
2021-06-14,"$617,397,925","$1,717,268",$10.11,$10.63
2021-06-13,"$578,986,239","$1,962,314",$9.49,$10.11
2021-06-12,"$614,370,049","$2,311,639",$9.81,$9.49
2021-06-11,"$699,368,214","$1,430,282",$11.10,$9.81
2021-06-10,"$756,941,435","$1,577,311",$11.85,$11.10
2021-06-09,"$743,965,647","$6,974,202",$11.70,$11.85
2021-06-08,"$765,075,162","$1,538,924",$12.10,$11.70
2021-06-07,"$843,718,553","$713,963",$13.28,$12.10
2021-06-06,"$829,935,380","$1,420,572",$13.09,$13.28
2021-06-05,"$892,331,577","$2,038,805",$14.00,$13.09
2021-06-04,"$956,256,334","$1,342,151",$15.17,$14.00
2021-06-03,"$909,269,739","$2,417,172",$14.44,$15.17
2021-06-02,"$864,127,390","$1,042,052",$13.78,$14.44
2021-06-01,"$877,599,029","$1,666,365",$14.05,$13.78
2021-05-31,"$787,352,872","$1,790,228",$12.61,$14.05
2021-05-30,"$718,454,546","$2,777,002",$11.51,$12.61
2021-05-29,"$740,280,868","$1,938,105",$11.95,$11.51
2021-05-28,"$863,416,149","$1,593,950",$14.06,$11.95
2021-05-27,"$919,948,777","$3,808,157",$15.01,$14.06
2021-05-26,"$847,405,843","$6,943,033",$13.82,$15.01
2021-05-25,"$817,860,639","$4,431,475",$13.52,$13.82
2021-05-24,"$575,485,689","$8,570,910",$10.15,$13.52
2021-05-23,"$811,286,840","$5,531,926",$13.04,$10.15
2021-05-22,"$867,426,308","$5,290,817",$14.07,$13.04
2021-05-21,"$1,047,601,441","$5,944,177",$17.17,$14.07
2021-05-20,"$1,007,025,987","$9,756,310",$16.79,$17.17
2021-05-19,"$1,470,824,827","$5,752,464",$23.83,$16.79
2021-05-18,"$1,142,646,839","$2,721,624",$18.60,$23.83
2021-05-17,"$1,121,832,878","$943,223",$18.34,$18.60
2021-05-16,"$1,133,679,063","$2,856,354",$19.00,$18.34
2021-05-15,"$1,255,740,151","$1,688,972",$21.49,$19.00
2021-05-14,"$938,720,322","$492,769",$16.29,$21.49
2021-05-13,"$1,106,382,869","$593,703",$19.52,$16.29
2021-05-12,"$960,097,561","$104,043",$17.13,$19.52
2021-05-11,"$889,439,840","$306,675",$15.95,$17.13
2021-05-10,"$940,826,546","$120,073",$17.73,$15.95
2021-05-09,"$989,738,136","$159,506",$18.60,$17.73
2021-05-08,"$935,805,671","$870,801",$17.60,$18.60
