Date,Market Cap,Volume,Open,Close
2021-10-16,"$1,291,554,465","$224,212,451","$36,202",N/A
2021-10-15,"$1,256,191,723","$203,199,677","$35,235","$36,202"
2021-10-14,"$1,234,346,853","$300,210,747","$34,586","$35,235"
2021-10-13,"$1,242,888,344","$407,274,401","$34,804","$34,586"
2021-10-12,"$1,257,708,919","$336,277,023","$35,402","$34,804"
2021-10-11,"$1,167,960,828","$201,013,927","$32,685","$35,402"
2021-10-10,"$1,216,451,048","$212,876,575","$34,019","$32,685"
2021-10-09,"$1,233,689,494","$432,005,477","$34,596","$34,019"
2021-10-08,"$1,147,184,440","$243,434,748","$32,147","$34,596"
2021-10-07,"$1,149,475,137","$230,472,235","$32,194","$32,147"
2021-10-06,"$1,142,539,684","$194,216,963","$31,972","$32,194"
2021-10-05,"$1,102,620,733","$160,016,211","$30,747","$31,972"
2021-10-04,"$1,124,856,923","$158,192,943","$31,443","$30,747"
2021-10-03,"$1,145,947,801","$164,424,443","$32,108","$31,443"
2021-10-02,"$1,127,249,386","$205,190,947","$31,603","$32,108"
2021-10-01,"$1,041,801,264","$322,003,324","$29,192","$31,603"
2021-09-30,"$1,020,515,200","$264,923,820","$28,671","$29,192"
2021-09-29,"$1,009,139,764","$268,546,139","$28,188","$28,671"
2021-09-28,"$1,030,291,667","$223,469,612","$28,689","$28,188"
2021-09-27,"$1,085,532,905","$233,825,504","$30,429","$28,689"
2021-09-26,"$1,082,097,807","$173,452,077","$30,415","$30,429"
2021-09-25,"$1,036,437,228","$164,866,555","$29,174","$30,415"
2021-09-24,"$1,116,812,005","$154,690,874","$31,304","$29,174"
2021-09-23,"$1,085,159,497","$178,650,587","$30,436","$31,304"
2021-09-22,"$964,434,320","$196,816,152","$27,137","$30,436"
2021-09-21,"$1,048,725,270","$248,479,538","$29,538","$27,137"
2021-09-20,"$1,178,582,096","$160,487,197","$33,039","$29,538"
2021-09-19,"$1,209,623,435","$167,311,044","$33,902","$33,039"
2021-09-18,"$1,192,020,142","$192,179,006","$33,260","$33,902"
2021-09-17,"$1,242,666,541","$225,423,852","$34,824","$33,260"
2021-09-16,"$1,301,591,959","$303,817,695","$36,472","$34,824"
2021-09-15,"$1,268,634,084","$217,529,317","$35,554","$36,472"
2021-09-14,"$1,177,575,003","$205,067,900","$32,933","$35,554"
2021-09-13,"$1,192,661,074","$170,346,715","$33,332","$32,933"
2021-09-12,"$1,177,301,048","$166,540,254","$32,988","$33,332"
2021-09-11,"$1,169,489,284","$202,972,037","$32,785","$32,988"
2021-09-10,"$1,233,027,720","$238,110,341","$34,492","$32,785"
2021-09-09,"$1,242,025,716","$300,885,626","$34,683","$34,492"
2021-09-08,"$1,238,689,760","$499,003,447","$34,847","$34,683"
